p,count
"http://example.com/n4l/common_assays_(imvic_tests,_h2s_production,_others)",91
http://example.com/n4l/acid_produced_aerobically,40
http://example.com/n4l/radiation_tolerance,24
http://example.com/n4l/p_h,27
http://example.com/n4l/subgenus_taxon,27
http://example.com/n4l/subgenus,27
http://example.com/n4l/thallus_morphology,1
http://example.com/n4l/other_polar_lipids,22
http://example.com/n4l/other_non_polar_lipids,1
http://example.com/n4l/cellular_morphology_(dimension_3),3
http://example.com/n4l/nan,4
