id,medium_id,substance_id,substance_name,amount,unit_id,units,note,synonym
37,MacConkey agar,N4L.m_p:00010,Pancreatic digest of gelatin (peptone G),17,UO_0000021,g,peptone in difco,
38,MacConkey agar,N4L.m_p:00001,Bacto™ agar,13.5,UO_0000021,g,,
39,MacConkey agar,CHEBI:17716,#NAME?,10,UO_0000021,g,,
40,MacConkey agar,CHEBI:26710,#NAME?,5,UO_0000021,g,,
41,MacConkey agar,N4L.m_p:00011,Bile salts,1.5,UO_0000021,g,,
42,MacConkey agar,N4L.m_p:00002,Casitone™ (pancreatic digest of casein),1.5,UO_0000021,g,proteose peptone in difco,
43,MacConkey agar,N4L.m_p:00005,Peptic digest of animal tissue (peptone A),1.5,UO_0000021,g,,
44,MacConkey agar,N4L.m_p:00012,Neutral red,0.03,UO_0000021,g,,
45,MacConkey agar,N4L.m_p:00013,Crystal violet,1,UO_0000022,mg,,
46,Czapek agar,CHEBI:17992,#NAME?,30,UO_0000021,g,mixed in 100 mL of water and mixed with medium after autoclave.,
47,Czapek agar,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,mixed in 900 mL of water and mixed with sucrose after autoclave.,
48,Czapek agar,CHEBI:63005,#NAME?,3,UO_0000021,g,mixed in 900 mL of water and mixed with sucrose after autoclave. 2g in difco,
49,Czapek agar,N4L.m_p:00004,"Potassium phosphate, dibasic",1,UO_0000021,g,mixed in 900 mL of water and mixed with sucrose after autoclave.,
50,Czapek agar,CHEBI:32588,#NAME?,0.5,UO_0000021,g,mixed in 900 mL of water and mixed with sucrose after autoclave.,
51,Czapek agar,CHEBI:31795,#NAME?,0.5,UO_0000021,g,mixed in 900 mL of water and mixed with sucrose after autoclave.,
52,Czapek agar,N4L.m_p:00014,FeSO4 7H2O,0.01,UO_0000021,g,mixed in 900 mL of water and mixed with sucrose after autoclave.,
53,Czapek Dox agar,CHEBI:17992,#NAME?,30,UO_0000021,g,,
54,Czapek Dox agar,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
55,Czapek Dox agar,CHEBI:63005,#NAME?,3,UO_0000021,g,,
56,Czapek Dox agar,N4L.m_p:00004,"Potassium phosphate, dibasic",1,UO_0000021,g,,
57,Czapek Dox agar,CHEBI:32588,#NAME?,0.5,UO_0000021,g,,
58,Czapek Dox agar,CHEBI:31795,#NAME?,0.5,UO_0000021,g,,
59,Czapek Dox agar,N4L.m_p:00014,FeSO4 7H2O,0.01,UO_0000021,g,,
60,Bennett's medium,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
61,Bennett's medium,CHEBI:17634,#NAME?,10,UO_0000021,g,,
62,Bennett's medium,N4L.m_p:00002,Casitone™ (pancreatic digest of casein),2,UO_0000021,g,,
63,Bennett's medium,N4L.m_p:00006,Yeast extract,1,UO_0000021,g,,
64,Bennett's medium,N4L.m_p:00015,Beef extract,1,UO_0000021,g,,
65,"LB agar, Lenox",N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
66,"LB agar, Lenox",N4L.m_p:00002,Casitone™ (pancreatic digest of casein),10,UO_0000021,g,,
67,"LB agar, Lenox",CHEBI:26710,#NAME?,5,UO_0000021,g,,
68,"LB agar, Lenox",N4L.m_p:00006,Yeast extract,5,UO_0000021,g,,
69,"LB broth, Lenox",N4L.m_p:00002,Casitone™ (pancreatic digest of casein),10,UO_0000021,g,,
70,"LB broth, Lenox",CHEBI:26710,#NAME?,5,UO_0000021,g,,
71,"LB broth, Lenox",N4L.m_p:00006,Yeast extract,5,UO_0000021,g,,
72,LB agar,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
73,LB agar,CHEBI:26710,#NAME?,5,UO_0000021,g,,
74,LB agar,N4L.m_p:00006,Yeast extract,5,UO_0000021,g,,
75,LB agar,N4L.m_p:00002,Casitone™ (pancreatic digest of casein),10,UO_0000021,g,,
76,LB agar,CHEBI:32145,#NAME?,1,UO_0000098,mL,1N NaOH,
77,"Luria Bertani agar, Miller",N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
78,"Luria Bertani agar, Miller",N4L.m_p:00002,Casitone™ (pancreatic digest of casein),10,UO_0000021,g,,
79,"Luria Bertani agar, Miller",CHEBI:26710,#NAME?,10,UO_0000021,g,,
80,"Luria Bertani agar, Miller",N4L.m_p:00006,Yeast extract,5,UO_0000021,g,,
81,"Luria Bertani broth, Miller",N4L.m_p:00002,Casitone™ (pancreatic digest of casein),10,UO_0000021,g,,
82,"Luria Bertani broth, Miller",CHEBI:26710,#NAME?,10,UO_0000021,g,,
83,"Luria Bertani broth, Miller",N4L.m_p:00006,Yeast extract,5,UO_0000021,g,,
84,"Luria agar base, Miller",N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
85,"Luria agar base, Miller",N4L.m_p:00002,Casitone™ (pancreatic digest of casein),10,UO_0000021,g,,
86,"Luria agar base, Miller",N4L.m_p:00006,Yeast extract,5,UO_0000021,g,,
87,"Luria agar base, Miller",CHEBI:26710,#NAME?,0.5,UO_0000021,g,,
88,"Luria broth base, Miller",N4L.m_p:00002,Casitone™ (pancreatic digest of casein),10,UO_0000021,g,,
89,"Luria broth base, Miller",N4L.m_p:00006,Yeast extract,5,UO_0000021,g,,
90,"Luria broth base, Miller",CHEBI:26710,#NAME?,0.5,UO_0000021,g,,
91,MRS agar,CHEBI:17634,#NAME?,20,UO_0000021,g,,
92,MRS agar,N4L.m_p:00005,Peptic digest of animal tissue (peptone A),10,UO_0000021,g,,
93,MRS agar,N4L.m_p:00001,Bacto™ agar,10,UO_0000021,g,,
94,MRS agar,N4L.m_p:00015,Beef extract,8,UO_0000021,g,,
95,MRS agar,CHEBI:32954,#NAME?,5,UO_0000021,g,sodium acetate 3 H2O,
96,MRS agar,N4L.m_p:00006,Yeast extract,4,UO_0000021,g,,
97,MRS agar,N4L.m_p:00004,"Potassium phosphate, dibasic",2,UO_0000021,g,,
98,MRS agar,CHEBI:63037,#NAME?,2,UO_0000021,g,,
99,MRS agar,CHEBI:31795,#NAME?,0.2,UO_0000021,g,,
100,MRS agar,N4L.m_p:00016,MnSO4 4H2O,0.5,UO_0000021,g,,
101,MRS agar,CHEBI:53426,#NAME?,1,UO_0000098,mL,,
102,Simmons' citrate agar,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
103,Simmons' citrate agar,CHEBI:26710,#NAME?,5,UO_0000021,g,,
104,Simmons' citrate agar,CHEBI:53258,#NAME?,2,UO_0000021,g,,
105,Simmons' citrate agar,N4L.m_p:00004,"Potassium phosphate, dibasic",1,UO_0000021,g,,
106,Simmons' citrate agar,N4L.m_p:00018,(NH4)H2PO4,1,UO_0000021,g,,
107,Simmons' citrate agar,CHEBI:31795,#NAME?,0.2,UO_0000021,g,,
108,Simmons' citrate agar,N4L.m_p:00019,Bromothymol blue,0.08,UO_0000021,g,,
109,blood agar base,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
110,blood agar base,CHEBI:26710,#NAME?,5,UO_0000021,g,,
111,blood agar base,N4L.m_p:00020,Tryptose,10,UO_0000021,g,,
112,blood agar base,N4L.m_p:00030,Beef heart infusion,500,UO_0000021,g,,
113,oatmeal agar,N4L.m_p:00022,Oatmeal,60,UO_0000021,g,,
114,oatmeal agar,N4L.m_p:00001,Bacto™ agar,12.5,UO_0000021,g,,
115,ISP 3,N4L.m_p:00022,Oatmeal,20,UO_0000021,g,,
116,ISP 3,N4L.m_p:00001,Bacto™ agar,18,UO_0000021,g,,
117,ISP 3,10.1601/mixture.exemplar.8,Err:504,1,UO_0000098,mL,,
118,ISP 4,N4L.m_p:00001,Bacto™ agar,20,UO_0000021,g,,
119,ISP 4,N4L.m_p:00009,Soluble starch,10,UO_0000021,g,,
120,ISP 4,CHEBI:3311,#NAME?,2,UO_0000021,g,,
121,ISP 4,CHEBI:26710,#NAME?,1,UO_0000021,g,,
122,ISP 4,CHEBI:62946,#NAME?,2,UO_0000021,g,,
123,ISP 4,N4L.m_p:00004,"Potassium phosphate, dibasic",1,UO_0000021,g,,
124,ISP 4,N4L.m_p:00014,FeSO4 7H2O,1,UO_0000022,mg,,
125,ISP 4,CHEBI:63041,#NAME?,1,UO_0000022,mg,as MnCl2 7H2O,
126,ISP 4,CHEBI:32312,#NAME?,1,UO_0000022,mg,,
127,ISP 4,CHEBI:31795,#NAME?,1,UO_0000021,g,,
128,nutrient agar,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
129,nutrient agar,N4L.m_p:00010,Pancreatic digest of gelatin (peptone G),5,UO_0000021,g,,
130,nutrient agar,N4L.m_p:00015,Beef extract,3,UO_0000021,g,,
131,nutrient agar Oxoid Unipath,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
132,nutrient agar Oxoid Unipath,N4L.m_p:00005,Peptic digest of animal tissue (peptone A),5,UO_0000021,g,,
133,nutrient agar Oxoid Unipath,CHEBI:26710,#NAME?,5,UO_0000021,g,,
134,nutrient agar Oxoid Unipath,N4L.m_p:00006,Yeast extract,2,UO_0000021,g,,
135,nutrient agar Oxoid Unipath,N4L.m_p:00015,Beef extract,1,UO_0000021,g,,
136,nutrient agar with NaCl,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
137,nutrient agar with NaCl,CHEBI:26710,#NAME?,*,UO_0000021,g,*add 1 g for each .1% NaCl ,
138,nutrient agar with NaCl,N4L.m_p:00010,Pancreatic digest of gelatin (peptone G),5,UO_0000021,g,,
139,nutrient agar with NaCl,N4L.m_p:00015,Beef extract,3,UO_0000021,g,,
140,nutrient broth,N4L.m_p:00010,Pancreatic digest of gelatin (peptone G),5,UO_0000021,g,,
141,nutrient broth,N4L.m_p:00015,Beef extract,3,UO_0000021,g,,
142,nutrient broth Oxoid Unipath,N4L.m_p:00005,Peptic digest of animal tissue (peptone A),5,UO_0000021,g,,
143,nutrient broth Oxoid Unipath,CHEBI:26710,#NAME?,5,UO_0000021,g,,
144,nutrient broth Oxoid Unipath,N4L.m_p:00006,Yeast extract,2,UO_0000021,g,,
145,nutrient broth Oxoid Unipath,N4L.m_p:00015,Beef extract,1,UO_0000021,g,,
146,KCN broth,N4L.m_p:00005,Peptic digest of animal tissue (peptone A),3,UO_0000021,g,,
147,KCN broth,CHEBI:26710,#NAME?,5,UO_0000021,g,,
148,KCN broth,CHEBI:34683,#NAME?,5.64,UO_0000021,g,,
149,KCN broth,CHEBI:63036,#NAME?,0.225,UO_0000021,g,,
150,KCN broth,CHEBI:33191,#NAME?,15,UO_0000098,mL,as a .5% solution,
151,ISP 2,N4L.m_p:00001,Bacto™ agar,20,UO_0000021,g,12g in DSMZ 65,
152,ISP 2,N4L.m_p:00023,Malt extract,10,UO_0000021,g,,
153,ISP 2,N4L.m_p:00006,Yeast extract,4,UO_0000021,g,,
154,ISP 2,CHEBI:17634,#NAME?,4,UO_0000021,g,,
155,DSMZ 65 addition of CaCO3 to ISP 2,CHEBI:3311,#NAME?,2,UO_0000021,g,add only for DSMZ 65,
156,ISP 1,N4L.m_p:00006,Yeast extract,3,UO_0000021,g,,
157,ISP 1,N4L.m_p:00002,Casitone™ (pancreatic digest of casein),5,UO_0000021,g,,
158,litmus milk,N4L.m_p:00040,Skim milk powder,100,UO_0000021,g,,
159,litmus milk,N4L.m_p:00041,Azolitmin,0.5,UO_0000021,g,,
160,litmus milk,N4L.m_p:00042,Na2SO3,0.5,UO_0000021,g,,
161,mannitol salt agar,CHEBI:26710,#NAME?,75,UO_0000021,g,,
162,mannitol salt agar,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
163,mannitol salt agar,CHEBI:16899,#NAME?,10,UO_0000021,g,,
164,mannitol salt agar,N4L.m_p:00002,Casitone™ (pancreatic digest of casein),5,UO_0000021,g,10 g of peptone in difco,
165,mannitol salt agar,N4L.m_p:00005,Peptic digest of animal tissue (peptone A),5,UO_0000021,g,10 g of peptone in difco,
166,mannitol salt agar,N4L.m_p:00015,Beef extract,1,UO_0000021,g,,
167,mannitol salt agar,CHEBI:31991,#NAME?,0.025,UO_0000021,g,,
168,phenethyl alcohol agar,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
169,phenethyl alcohol agar,N4L.m_p:00002,Casitone™ (pancreatic digest of casein),15,UO_0000021,g,,
170,phenethyl alcohol agar,CHEBI:26710,#NAME?,5,UO_0000021,g,,
171,phenethyl alcohol agar,N4L.m_p:00003,Phytone™ enzymatic digest of soybean meal,5,UO_0000021,g,,
172,phenethyl alcohol agar,CHEBI:49000,#NAME?,2.5,UO_0000021,g,,
173,phenethyl alcohol agar with blood,N4L.m_p:00031,Defibrinated sheep blood,,,#N/A,add to a concentration of 5% if desired,
174,Hektoen agar,N4L.m_p:00001,Bacto™ agar,14,UO_0000021,g,,
175,Hektoen agar,CHEBI:17716,#NAME?,12,UO_0000021,g,,
176,Hektoen agar,N4L.m_p:00005,Peptic digest of animal tissue (peptone A),12,UO_0000021,g,,
177,Hektoen agar,CHEBI:17992,#NAME?,12,UO_0000021,g,,
178,Hektoen agar,N4L.m_p:00011,Bile salts,9,UO_0000021,g,,
179,Hektoen agar,CHEBI:17814,#NAME?,2,UO_0000021,g,,
180,Hektoen agar,CHEBI:26710,#NAME?,5,UO_0000021,g,,
181,Hektoen agar,N4L.m_p:00008,Sodium thiosulfate,5,UO_0000021,g,,
182,Hektoen agar,CHEBI:31604,#NAME?,1.5,UO_0000021,g,,
183,Hektoen agar,N4L.m_p:00006,Yeast extract,3,UO_0000021,g,,
184,Hektoen agar,N4L.m_p:00025,Acid fuchsin,0.1,UO_0000021,g,,
185,Hektoen agar,N4L.m_p:00019,Bromothymol blue,0.065,UO_0000021,g,,
186,Löwenstein-Jensen,N4L.m_p:00045,Potato starch,30,UO_0000021,g,per 600 mL water,
187,Löwenstein-Jensen,CHEBI:22653,#NAME?,3.6,UO_0000021,g,per 600 mL water,
188,Löwenstein-Jensen,CHEBI:63036,#NAME?,2.4,UO_0000021,g,per 600 mL water,
189,Löwenstein-Jensen,N4L.m_p:00024,Magnesium citrate,0.6,UO_0000021,g,per 600 mL water,
190,Löwenstein-Jensen,CHEBI:72449,#NAME?,0.4,UO_0000021,g,per 600 mL water,
191,Löwenstein-Jensen,CHEBI:17754,#NAME?,12,UO_0000098,mL,per 600 mL water,
192,Löwenstein-Jensen,N4L.m_p:00054,Whole eggs,1,UO_0000099,L,"per 600 mL. Preparation: Use less than one week old, fresh eggs. Scrub shells with soap and let eggs stand in soap solution for 30 min. Rinse in running water. Soak eggs in 70% ethanol for 15 min. Break eggs into a sterile container. Homogenize by shaking. Filter through four layers of sterile cheesecloth into a sterile graduated cylinder. measure out 1 L.",
193,Löwenstein-Jensen,CHEBI:31795,#NAME?,0.24,UO_0000021,g,per 600 mL water,
194,Löwenstein-Jensen without glycerol,N4L.m_p:00045,Potato starch,30,UO_0000021,g,per 600 mL water ,
195,Löwenstein-Jensen without glycerol,CHEBI:22653,#NAME?,3.6,UO_0000021,g,per 600 mL water ,
196,Löwenstein-Jensen without glycerol,CHEBI:63036,#NAME?,2.4,UO_0000021,g,per 600 mL water ,
197,Löwenstein-Jensen without glycerol,N4L.m_p:00024,Magnesium citrate,0.6,UO_0000021,g,per 600 mL water ,
198,Löwenstein-Jensen without glycerol,CHEBI:72449,#NAME?,0.4,UO_0000021,g,per 600 mL water ,
199,Löwenstein-Jensen without glycerol,N4L.m_p:00054,Whole eggs,1,UO_0000099,L,"must be homogenized, per 600 mL water ",
200,Löwenstein-Jensen without glycerol,CHEBI:31795,#NAME?,0.24,UO_0000021,g,per 600 mL water,
201,Middlebrook 7H9 broth base without glycerol,CHEBI:34683,#NAME?,2.5,UO_0000021,g,,
202,Middlebrook 7H9 broth base without glycerol,CHEBI:63036,#NAME?,1,UO_0000021,g,,
203,Middlebrook 7H9 broth base without glycerol,CHEBI:16015,#NAME?,0.5,UO_0000021,g,or monosodium glutamate CHEBI:64220,
204,Middlebrook 7H9 broth base without glycerol,CHEBI:62946,#NAME?,0.5,UO_0000021,g,,
205,Middlebrook 7H9 broth base without glycerol,CHEBI:53258,#NAME?,0.1,UO_0000021,g,,
206,Middlebrook 7H9 broth base without glycerol,CHEBI:31795,#NAME?,0.05,UO_0000021,g,,
207,Middlebrook 7H9 broth base without glycerol,CHEBI:31604,#NAME?,0.04,UO_0000021,g,,
208,Middlebrook 7H9 broth base without glycerol,CHEBI:31440,#NAME?,1,UO_0000022,mg,,
209,Middlebrook 7H9 broth base without glycerol,CHEBI:16709,#NAME?,1,UO_0000022,mg,,
210,Middlebrook 7H9 broth base without glycerol,CHEBI:32312,#NAME?,1,UO_0000022,mg,,
211,Middlebrook 7H9 broth base without glycerol,CHEBI:15956,#NAME?,0.5,UO_0000022,mg,,
212,Middlebrook 7H9 broth base without glycerol,CHEBI:3312,#NAME?,0.5,UO_0000022,mg,as CaCl2 2H2O,
213,Middlebrook 7H9 broth base,CHEBI:34683,#NAME?,2.5,UO_0000021,g,,
214,Middlebrook 7H9 broth base,CHEBI:63036,#NAME?,1,UO_0000021,g,,
215,Middlebrook 7H9 broth base,CHEBI:16015,#NAME?,0.5,UO_0000021,g,or monosodium glutamate CHEBI:64220,
216,Middlebrook 7H9 broth base,CHEBI:62946,#NAME?,0.5,UO_0000021,g,,
217,Middlebrook 7H9 broth base,CHEBI:53258,#NAME?,0.1,UO_0000021,g,,
218,Middlebrook 7H9 broth base,CHEBI:31795,#NAME?,0.05,UO_0000021,g,,
219,Middlebrook 7H9 broth base,CHEBI:31604,#NAME?,0.04,UO_0000021,g,,
220,Middlebrook 7H9 broth base,CHEBI:31440,#NAME?,1,UO_0000022,mg,,
221,Middlebrook 7H9 broth base,CHEBI:16709,#NAME?,1,UO_0000022,mg,,
222,Middlebrook 7H9 broth base,CHEBI:32312,#NAME?,1,UO_0000022,mg,,
223,Middlebrook 7H9 broth base,CHEBI:15956,#NAME?,0.5,UO_0000022,mg,,
224,Middlebrook 7H9 broth base,CHEBI:3312,#NAME?,0.5,UO_0000022,mg,as CaCl2 2H2O,
225,Middlebrook 7H9 broth base,CHEBI:17754,#NAME?,2,UO_0000098,mL,,
226,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:34683,#NAME?,2.5,UO_0000021,g,,
227,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:63036,#NAME?,1,UO_0000021,g,,
228,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:16015,#NAME?,0.5,UO_0000021,g,or monosodium glutamate CHEBI:64220,
229,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:62946,#NAME?,0.5,UO_0000021,g,,
230,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:53258,#NAME?,0.1,UO_0000021,g,,
231,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:31795,#NAME?,0.05,UO_0000021,g,,
232,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:31604,#NAME?,0.04,UO_0000021,g,,
233,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:31440,#NAME?,1,UO_0000022,mg,,
234,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:16709,#NAME?,1,UO_0000022,mg,,
235,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:32312,#NAME?,1,UO_0000022,mg,,
236,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:15956,#NAME?,0.5,UO_0000022,mg,,
237,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:3312,#NAME?,0.5,UO_0000022,mg,as CaCl2 2H2O,
238,Middlebrook 7H9 broth with ADC enrichment and glycerol,CHEBI:17754,#NAME?,2,UO_0000098,mL,,
239,Middlebrook 7H9 broth with ADC enrichment and glycerol,10.1601/mixture.exemplar.43,Err:504,100,UO_0000098,mL,,
240,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:34683,#NAME?,2.5,UO_0000021,g,,
241,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:63036,#NAME?,1,UO_0000021,g,,
242,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:16015,#NAME?,0.5,UO_0000021,g,or monosodium glutamate CHEBI:64220,
243,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:62946,#NAME?,0.5,UO_0000021,g,,
244,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:53258,#NAME?,0.1,UO_0000021,g,,
245,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:31795,#NAME?,0.05,UO_0000021,g,,
246,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:31604,#NAME?,0.04,UO_0000021,g,,
247,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:31440,#NAME?,1,UO_0000022,mg,,
248,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:16709,#NAME?,1,UO_0000022,mg,,
249,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:32312,#NAME?,1,UO_0000022,mg,,
250,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:15956,#NAME?,0.5,UO_0000022,mg,,
251,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:3312,#NAME?,0.5,UO_0000022,mg,as CaCl2 2H2O,
252,Middlebrook 7H9 with OADC enrichment and glycerol,CHEBI:17754,#NAME?,2,UO_0000098,mL,,
253,Middlebrook 7H9 with OADC enrichment and glycerol,10.1601/mixture.exemplar.44,Err:504,100,UO_0000098,mL,,
254,Middlebrook 7H10 agar base,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
255,Middlebrook 7H10 agar base,CHEBI:34683,#NAME?,1.5,UO_0000021,g,,
256,Middlebrook 7H10 agar base,CHEBI:63036,#NAME?,1.5,UO_0000021,g,,
257,Middlebrook 7H10 agar base,CHEBI:16015,#NAME?,0.5,UO_0000021,g,,
258,Middlebrook 7H10 agar base,CHEBI:62946,#NAME?,0.5,UO_0000021,g,,
259,Middlebrook 7H10 agar base,CHEBI:53258,#NAME?,0.4,UO_0000021,g,,
260,Middlebrook 7H10 agar base,CHEBI:31795,#NAME?,0.025,UO_0000021,g,,
261,Middlebrook 7H10 agar base,CHEBI:31604,#NAME?,0.04,UO_0000021,g,,
262,Middlebrook 7H10 agar base,CHEBI:31440,#NAME?,1,UO_0000022,mg,,
263,Middlebrook 7H10 agar base,CHEBI:16709,#NAME?,1,UO_0000022,mg,,
264,Middlebrook 7H10 agar base,CHEBI:32312,#NAME?,1,UO_0000022,mg,,
265,Middlebrook 7H10 agar base,CHEBI:15956,#NAME?,0.5,UO_0000022,mg,,
266,Middlebrook 7H10 agar base,CHEBI:3312,#NAME?,0.5,UO_0000022,mg,,
267,Middlebrook 7H10 agar base,CHEBI:17754,#NAME?,5,UO_0000098,mL,,
268,Middlebrook 7H10 agar base,CHEBI:72449,#NAME?,0.25,UO_0000022,mg,,
269,Middlebrook 7H10 with ADC enrichment and glycerol,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
270,Middlebrook 7H10 with ADC enrichment and glycerol,CHEBI:34683,#NAME?,1.5,UO_0000021,g,,
271,Middlebrook 7H10 with ADC enrichment and glycerol,CHEBI:63036,#NAME?,1.5,UO_0000021,g,,
272,Middlebrook 7H10 with ADC enrichment and glycerol,CHEBI:16015,#NAME?,0.5,UO_0000021,g,or monosodium glutamate CHEBI:64220,
273,Middlebrook 7H10 with ADC enrichment and glycerol,CHEBI:62946,#NAME?,0.5,UO_0000021,g,,
274,Middlebrook 7H10 with ADC enrichment and glycerol,CHEBI:53258,#NAME?,0.4,UO_0000021,g,,
275,Middlebrook 7H10 with ADC enrichment and glycerol,CHEBI:31795,#NAME?,0.025,UO_0000021,g,,
276,Middlebrook 7H10 with ADC enrichment and glycerol,CHEBI:31604,#NAME?,0.04,UO_0000021,g,,
277,Middlebrook 7H10 with ADC enrichment and glycerol,CHEBI:31440,#NAME?,1,UO_0000022,mg,,
278,Middlebrook 7H10 with ADC enrichment and glycerol,CHEBI:16709,#NAME?,1,UO_0000022,mg,,
279,Middlebrook 7H10 with ADC enrichment and glycerol,CHEBI:32312,#NAME?,1,UO_0000022,mg,,
