?class	?labels	?synonyms	?definitions
<http://purl.org/zonmw/id-amr/10013>	"prudent use"		
<http://purl.org/zonmw/id-amr/10015>	"human domain"		
<http://purl.org/zonmw/id-amr/10016>	"animal domain"		
<http://purl.org/zonmw/id-amr/10017>	"environment"		
<http://purl.org/zonmw/id-amr/10018>	"environmental domain"		
<http://purl.org/zonmw/id-amr/10021>	"diagnostic phase"		
<http://purl.org/zonmw/id-amr/10022>	"screening phase"		
<http://purl.org/zonmw/id-amr/10023>	"intervention phase"		
<http://purl.org/zonmw/id-amr/10024>	"disease phase"		
<http://purl.org/zonmw/id-amr/10025>	"free-from-disease phase"		
<http://purl.org/zonmw/id-amr/10028>	"subject with an infection"		
<http://purl.org/zonmw/id-amr/10029>	"subject with a bacterial infection"		
<http://purl.org/zonmw/id-amr/10030>	"subject with a viral infection"		
<http://purl.org/zonmw/id-amr/10031>	"subject with an unknown infection"		
<http://purl.org/zonmw/id-amr/10032>	"subject with risk of infection"		
<http://purl.org/zonmw/id-amr/10033>	"subject with risk of bacterial infection"		
<http://purl.org/zonmw/id-amr/10034>	"subject with risk of viral infection"		
<http://purl.org/zonmw/id-amr/10035>	"subject having antimicrobial treatment"		
<http://purl.org/zonmw/id-amr/10036>	"subject having vaccination"		
<http://purl.org/zonmw/id-amr/10037>	"subject having other treatments"		
<http://purl.org/zonmw/id-amr/10038>	"subject by age"		
<http://purl.org/zonmw/id-amr/10039>	"subject by sex"		
<http://purl.org/zonmw/id-amr/10040>	"infectious agent"	"pathogen"	
<http://purl.org/zonmw/id-amr/10041>	"infectious agent having antimicrobial resistance"		
<http://purl.org/zonmw/id-amr/10042>	"soil"		
<http://purl.org/zonmw/id-amr/10043>	"soil-waste"		
<http://purl.org/zonmw/id-amr/10044>	"wastewater"		
<http://purl.org/zonmw/id-amr/10045>	"water"		
<http://purl.org/zonmw/id-amr/10046>	"air"		
<http://purl.org/zonmw/id-amr/10047>	"livestock"		
<http://purl.org/zonmw/id-amr/10048>	"diary cattle"		
<http://purl.org/zonmw/id-amr/10049>	"veal calve"		
<http://purl.org/zonmw/id-amr/10050>	"beef cattle"		
<http://purl.org/zonmw/id-amr/10051>	"buffalo"		
<http://purl.org/zonmw/id-amr/10052>	"sheep (wool)"		
<http://purl.org/zonmw/id-amr/10053>	"sheep (milk)"		
<http://purl.org/zonmw/id-amr/10054>	"goat (meat)"		
<http://purl.org/zonmw/id-amr/10055>	"goat (milk)"		
<http://purl.org/zonmw/id-amr/10056>	"horse"		
<http://purl.org/zonmw/id-amr/10057>	"pig"		
<http://purl.org/zonmw/id-amr/10058>	"broiler"		
<http://purl.org/zonmw/id-amr/10059>	"layer"		
<http://purl.org/zonmw/id-amr/10060>	"poultry"		
<http://purl.org/zonmw/id-amr/10061>	"insect"		
<http://purl.org/zonmw/id-amr/10062>	"wildlife"		
<http://purl.org/zonmw/id-amr/10063>	"companion animal"		
<http://purl.org/zonmw/id-amr/10065>	"fungus"		
<http://purl.org/zonmw/id-amr/10066>	"aquaculture"		
<http://purl.org/zonmw/id-amr/10068>	"epidemiological data"		
<http://purl.org/zonmw/id-amr/10069>	"diagnostics usage data"		
<http://purl.org/zonmw/id-amr/10070>	"complete medical records"		
<http://purl.org/zonmw/id-amr/10071>	"imaging data"		
<http://purl.org/zonmw/id-amr/10072>	"data regarding antimicrobial resistance"		
<http://purl.org/zonmw/id-amr/10073>	"health status data"		
<http://purl.org/zonmw/id-amr/10074>	"taxonomical data"		
<http://purl.org/zonmw/id-amr/10084>	"domain"		
<http://purl.org/zonmw/id-amr/10085>	"protein"		
<http://purl.org/zonmw/id-amr/10086>	"antibody"		
<http://purl.org/zonmw/id-amr/10087>	"outbreak"		
<http://purl.org/zonmw/id-amr/10088>	"biopsy sample"		
<http://purl.org/zonmw/id-amr/10089>	"blood specimen"		
<http://purl.org/zonmw/id-amr/10090>	"bronchoalveolar lavage fluid sample"		
<http://purl.org/zonmw/id-amr/10091>	"cerebrospinal fluid sample"		
<http://purl.org/zonmw/id-amr/10092>	"respiratory sample"		
<http://purl.org/zonmw/id-amr/10093>	"skin swab"		
<http://purl.org/zonmw/id-amr/10094>	"specimen from geinital system"		
<http://purl.org/zonmw/id-amr/10095>	"specimen of unknown material"		
<http://purl.org/zonmw/id-amr/10096>	"stool specimen"		
<http://purl.org/zonmw/id-amr/10097>	"synovial fluid specimen"		
<http://purl.org/zonmw/id-amr/10098>	"urine specimen"		
<http://purl.org/zonmw/id-amr/10099>	"body fluid sample"		
<http://purl.org/zonmw/id-amr/10100>	"fruit"		
<http://purl.org/zonmw/id-amr/10101>	"vegetable"		
<http://purl.org/zonmw/id-amr/10102>	"crop"		
<http://purl.org/zonmw/id-amr/10103>	"cereal"		
<http://purl.org/zonmw/id-amr/10104>	"oil seed"		
<http://purl.org/zonmw/id-amr/10105>	"pulse - bean"		
<http://purl.org/zonmw/id-amr/10106>	"tree nut"		
<http://purl.org/zonmw/id-amr/10107>	"detailed type of specimen"		
<http://purl.org/zonmw/id-amr/10108>	"amniotic fluid"		
<http://purl.org/zonmw/id-amr/10109>	"ascites fluid"		
<http://purl.org/zonmw/id-amr/10110>	"blood (whole)"		
<http://purl.org/zonmw/id-amr/10111>	"bone"		
<http://purl.org/zonmw/id-amr/10112>	"bone marrow aspirate"		
<http://purl.org/zonmw/id-amr/10113>	"breast milk"		
<http://purl.org/zonmw/id-amr/10114>	"bronchoalveolar lavage"		
<http://purl.org/zonmw/id-amr/10115>	"buccal cells"		
<http://purl.org/zonmw/id-amr/10116>	"cells from fine needle aspirate"		
<http://purl.org/zonmw/id-amr/10117>	"cells from laser capture microdissected tissue"		
<http://purl.org/zonmw/id-amr/10118>	"cells from non blood specimen type (e.g. ascites, amniotic), non-viable"		
<http://purl.org/zonmw/id-amr/10119>	"cells from non blood specimen type (e.g. ascites, amniotic), viable"		
<http://purl.org/zonmw/id-amr/10120>	"cells from non-blood specimen type (e.g. dissociated tissue), non-viable"		
<http://purl.org/zonmw/id-amr/10121>	"cells from non-blood specimen type (e.g. dissociated tissue), viable"		
<http://purl.org/zonmw/id-amr/10122>	"cerebrospinal fluid"		
<http://purl.org/zonmw/id-amr/10123>	"cord blood"		
<http://purl.org/zonmw/id-amr/10124>	"density-gradient-centrifugation-separated mononuclear cells, non viable"		
<http://purl.org/zonmw/id-amr/10125>	"density-gradient-centrifugation-separated mononuclear cells, viable"		
<http://purl.org/zonmw/id-amr/10126>	"dental pulp"		
<http://purl.org/zonmw/id-amr/10127>	"disrupted tissue, non-viable"		
<http://purl.org/zonmw/id-amr/10128>	"dried whole blood (e.g. guthrie cards)"		
<http://purl.org/zonmw/id-amr/10129>	"enriched (physicochemically) circulating tumor cells"		
<http://purl.org/zonmw/id-amr/10130>	"fresh cells from non-blood specimen type"		
<http://purl.org/zonmw/id-amr/10131>	"fresh cells from non-blood specimen type (e.g. biopsy)"		
<http://purl.org/zonmw/id-amr/10132>	"hair"		
<http://purl.org/zonmw/id-amr/10133>	"nails"		
<http://purl.org/zonmw/id-amr/10134>	"nasal washing"		
<http://purl.org/zonmw/id-amr/10135>	"non-density-gradient-centrifugation-separated buffy coat, non-viable"		
<http://purl.org/zonmw/id-amr/10136>	"non-density-gradient-centrifugation-separated buffy coat, viable"		
<http://purl.org/zonmw/id-amr/10137>	"placenta"		
<http://purl.org/zonmw/id-amr/10138>	"plasma, double spun"		
<http://purl.org/zonmw/id-amr/10139>	"plasma, single spun"		
<http://purl.org/zonmw/id-amr/10140>	"pleural fluid"		
<http://purl.org/zonmw/id-amr/10141>	"red blood cells"		
<http://purl.org/zonmw/id-amr/10142>	"saliva"		
<http://purl.org/zonmw/id-amr/10143>	"semen"		
<http://purl.org/zonmw/id-amr/10144>	"serum"		
<http://purl.org/zonmw/id-amr/10145>	"solid tissue"		
<http://purl.org/zonmw/id-amr/10146>	"sputum"		
<http://purl.org/zonmw/id-amr/10147>	"stool"		
<http://purl.org/zonmw/id-amr/10148>	"synovial fluid"		
<http://purl.org/zonmw/id-amr/10149>	"tears"		
<http://purl.org/zonmw/id-amr/10150>	"teeth"		
<http://purl.org/zonmw/id-amr/10151>	"urine, 24 h"		
<http://purl.org/zonmw/id-amr/10152>	"urine, first morning"		
<http://purl.org/zonmw/id-amr/10153>	"urine, random"		
<http://purl.org/zonmw/id-amr/10154>	"urine, timed"		
<http://purl.org/zonmw/id-amr/10155>	"isolation source"		
<http://purl.org/zonmw/id-amr/10156>	"human material"		
<http://purl.org/zonmw/id-amr/10157>	"animal material"		
<http://purl.org/zonmw/id-amr/10158>	"specimen from environment"		
<http://purl.org/zonmw/id-amr/10159>	"plant specimen"		
<http://purl.org/zonmw/id-amr/10160>	"solution"		
<http://purl.org/zonmw/id-amr/10161>	"biomedical device"		
<http://purl.org/zonmw/id-amr/10162>	"quality control of biomaterials"		
<http://purl.org/zonmw/id-amr/10163>	"pre-analytical data"		
<http://purl.org/zonmw/id-amr/10164>	"quality management of pre-analytical data"		
<http://purl.org/zonmw/id-amr/10165>	"concentration of molecular or cellular derivatives"		
<http://purl.org/zonmw/id-amr/10166>	"purity of nucleic acids"		
<http://purl.org/zonmw/id-amr/10167>	"amplifiablility of nucleic acids"		
<http://purl.org/zonmw/id-amr/10168>	"storage format for long-term preservation"		
<http://purl.org/zonmw/id-amr/10170>	"type of primary container"		
<http://purl.org/zonmw/id-amr/10171>	"pre-centrifugation conditions"		
<http://purl.org/zonmw/id-amr/10172>	"centrifugation conditions"		
<http://purl.org/zonmw/id-amr/10173>	"post-centrifugation conditions"		
<http://purl.org/zonmw/id-amr/10174>	"storage temperature for long-term preservation"		
<http://purl.org/zonmw/id-amr/10179>	"quality control of microbiological material"		
<http://purl.org/zonmw/id-amr/10180>	"authenticity of microbiological material"		
<http://purl.org/zonmw/id-amr/10181>	"purity of microbiological material"		
<http://purl.org/zonmw/id-amr/10182>	"viability of microbiological material"		
<http://purl.org/zonmw/id-amr/10183>	"once every year"		
<http://purl.org/zonmw/id-amr/10184>	"every two years"		
<http://purl.org/zonmw/id-amr/10185>	"every five years"		
<http://purl.org/zonmw/id-amr/10186>	"less frequently"		
<http://purl.org/zonmw/id-amr/10187>	"integrity of nucleic acids"		
<http://purl.org/zonmw/id-amr/10188>	"food specimen"		
<http://purl.org/zonmw/id-amr/10190>	"physiological - biochemical measurement"		
<http://purl.org/zonmw/id-amr/10191>	"sequencing - genotyping data"		
<http://purl.org/zonmw/id-amr/10192>	"clinical records"		
<http://purl.org/zonmw/id-amr/10193>	"follow-up records"		
<http://purl.org/zonmw/id-amr/10194>	"monitoring data"		
<http://purl.org/zonmw/id-amr/10195>	"surveillance data"		
<http://purl.org/zonmw/id-amr/10196>	"patient ethnicity data"		
<http://purl.org/zonmw/id-amr/10197>	"quality data"		
<http://purl.org/zonmw/id-amr/10198>	"experimental data"		
<http://purl.org/zonmw/id-amr/10199>	"biospecimen processing"		
<http://purl.org/zonmw/id-amr/10200>	"data analysis"		
<http://purl.org/zonmw/id-amr/10201>	"data integration"		
<http://purl.org/zonmw/id-amr/10202>	"digital imaging"		
<http://purl.org/zonmw/id-amr/10203>	"FAIRification service"		
<http://purl.org/zonmw/id-amr/10204>	"providing reference materials"		
<http://purl.org/zonmw/id-amr/10205>	"quality control"		
<http://purl.org/zonmw/id-amr/10206>	"regulatory"		
<http://purl.org/zonmw/id-amr/10207>	"training"		
<http://purl.org/zonmw/id-amr/10208>	"communication"		
<http://purl.org/zonmw/id-amr/10209>	"national registries data"		
<http://purl.org/zonmw/id-amr/10210>	"organisation level"		
<http://purl.org/zonmw/id-amr/10211>	"university faculty"		
<http://purl.org/zonmw/id-amr/10212>	"university hospital"		
<http://purl.org/zonmw/id-amr/10213>	"laboratory"		
<http://purl.org/zonmw/id-amr/10214>	"research group"		
<http://purl.org/zonmw/id-amr/10215>	"specific research project"		
<http://purl.org/zonmw/id-amr/10216>	"reference centre"		
<http://purl.org/zonmw/id-amr/10217>	"company department"		
<http://purl.org/zonmw/id-amr/10218>	"public funding"		
<http://purl.org/zonmw/id-amr/10219>	"private funding"		
<http://purl.org/zonmw/id-amr/10220>	"charity of philanthropic funding"		
<http://purl.org/zonmw/id-amr/10221>	"collection status"		
<http://purl.org/zonmw/id-amr/10222>	"not started"		
<http://purl.org/zonmw/id-amr/10223>	"in progress"		
<http://purl.org/zonmw/id-amr/10224>	"completed"		
<http://purl.org/zonmw/id-amr/10225>	"consent restriction"		
<http://purl.org/zonmw/id-amr/10226>	"commerial resctriction"		
<http://purl.org/zonmw/id-amr/10227>	"disease area restriction"		
<http://purl.org/zonmw/id-amr/10228>	"export restriction"		
<http://purl.org/zonmw/id-amr/10229>	"genetic analysis restriction"		
<http://purl.org/zonmw/id-amr/10230>	"human genetic analysis restriction"		
<http://purl.org/zonmw/id-amr/10231>	"project specific restriction"		
<http://purl.org/zonmw/id-amr/10232>	"scope of use restriction"		
<http://purl.org/zonmw/id-amr/10233>	"access condition"		
<http://purl.org/zonmw/id-amr/10234>	"open to everyone"		
<http://purl.org/zonmw/id-amr/10235>	"open to applicants"		
<http://purl.org/zonmw/id-amr/10236>	"open in response to specific calls"		
<http://purl.org/zonmw/id-amr/10237>	"open only through collaboration"		
<http://purl.org/zonmw/id-amr/10238>	"data access only"		
<http://purl.org/zonmw/id-amr/10239>	"access restricted at present"		
<http://purl.org/zonmw/id-amr/10240>	"closed to access"		
<http://purl.org/zonmw/id-amr/10241>	"time frame"		
<http://purl.org/zonmw/id-amr/10242>	"up to one month"		
<http://purl.org/zonmw/id-amr/10243>	"up to one year"		
<http://purl.org/zonmw/id-amr/10244>	"up to three years"		
<http://purl.org/zonmw/id-amr/10245>	"three years or longer"		
<http://purl.org/zonmw/id-amr/10246>	"data quality"		
<http://purl.org/zonmw/id-amr/10247>	"data plausibility"		
<http://purl.org/zonmw/id-amr/10248>	"data completeness"		
<http://purl.org/zonmw/id-amr/10249>	"data accuracy"		
<http://purl.org/zonmw/id-amr/10250>	"sensitive information"		
<http://purl.org/zonmw/id-amr/10251>	"yes, and it is GDPR compliant"		
<http://purl.org/zonmw/id-amr/10252>	"yes, but it is not (yet) GDPR compliant"		
<http://purl.org/zonmw/id-amr/10253>	"viral disease"		
<http://purl.org/zonmw/id-amr/10254>	"bacterial disease"		
<http://purl.org/zonmw/id-amr/10255>	"fungal disease"		
<http://purl.org/zonmw/id-amr/10256>	"nematode disease"		
<http://purl.org/zonmw/id-amr/10257>	"phytoplasma disease"		
<http://purl.org/zonmw/id-amr/10258>	"disease caused by insects"		
<http://purl.org/zonmw/id-amr/10259>	"parasite disease"		
<http://purl.org/zonmw/id-amr/10260>	"non-infectious disease"		
<http://purl.org/zonmw/id-amr/10261>	"funding type"		
<http://purl.org/zonmw/id-amr/10262>	"storage"		
<http://purl.org/zonmw/id-amr/10263>	"centrifugation"		
<http://purl.org/zonmw/id-amr/10264>	"storage information"		
<http://purl.org/zonmw/id-amr/10265>	"centrifugation information"		
<http://purl.org/zonmw/id-amr/10266>	"viability frequency"		
