keyword	count	in_metpo	has_structured_path	structured_path	path_coverage	notes
amino acid production	28	No	Partial	Physiology and metabolism.compound production.compound	2508	Path has "L glutamic acid" (21 strains) but keyword may be broader
polysaccharide production	26	No	Partial	Physiology and metabolism.metabolite production	7	Path has "cellulose" (7 strains) - keyword is broad category, path has specific types
halotolerant	25	Yes	Yes	Physiology and metabolism.halophily.halophily level	364	Direct match
sphere-shaped	16	Yes	Yes	Morphology.cell morphology.cell shape	15182	Direct match
non-halophilic	16	Yes	Yes	Physiology and metabolism.halophily.halophily level	364	Direct match
slightly halophilic	14	Yes	Yes	Physiology and metabolism.halophily.halophily level	364	Direct match
aerotolerant	13	Yes	Yes	Physiology and metabolism.oxygen tolerance.oxygen tolerance	23254	Direct match
helical-shaped	12	Yes	Yes	Morphology.cell morphology.cell shape	15182	Direct match
curved-shaped	9	Yes	Yes	Morphology.cell morphology.cell shape	15182	Direct match
extremely halophilic	9	Yes	Yes	Physiology and metabolism.halophily.halophily level	364	Direct match
chemoautolithotroph	8	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
organoheterotroph	8	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
autotroph	8	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
organotroph	7	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
methylotroph	6	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
chemolithotroph	6	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
phototroph	5	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
photoheterotroph	5	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
methane production	5	No	Yes	Physiology and metabolism.metabolite production	11	Path has better coverage - metabolite="methane" with ChEBI ID
chemolithoheterotroph	3	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
ellipsoidal	3	Yes	Yes	Morphology.cell morphology.cell shape	15182	Direct match
microaerotolerant	3	Yes	Yes	Physiology and metabolism.oxygen tolerance.oxygen tolerance	23254	Direct match
spore-shaped	3	Yes	Yes	Morphology.cell morphology.cell shape	15182	Direct match
methanotroph	2	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
star-shaped	2	Yes	Yes	Morphology.cell morphology.cell shape	15182	Direct match
dumbbell-shaped	2	Yes	Yes	Morphology.cell morphology.cell shape	15182	Direct match
lithotroph	2	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
haloalkaliphilic	2	Yes	Yes	Physiology and metabolism.halophily.halophily level	364	Direct match
diazotroph	2	No	No			Nitrogen fixation capability
lithoheterotroph	2	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
crescent-shaped	1	Yes	Yes	Morphology.cell morphology.cell shape	15182	Direct match
photoorganoheterotroph	1	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
diplococcus-shaped	1	Yes	Yes	Morphology.cell morphology.cell shape	15182	Direct match
chemotroph	1	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
chemoautotroph	1	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
lithoautotroph	1	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
mixotroph	1	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
organotroph|photoautotroph	1	No	Yes	Physiology and metabolism.nutrition type.type	490	Malformed keyword with pipe character
photolithotroph	1	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
oligotroph	1	Yes	Yes	Physiology and metabolism.nutrition type.type	490	Direct match
ring-shaped	1	Yes	Yes	Morphology.cell morphology.cell shape	15182	Direct match
