branch	branch_id	ontology	coverage_pct	covered_leaves	total_leaves	avg_similarity
delta phenotype with numerical limits	METPO:1000534	METPO	100.0	15	15	0.7281729724812556
delta phenotype with numerical limits	METPO:1000534	pride	66.66666666666666	10	15	0.5752277327935224
delta phenotype with numerical limits	METPO:1000534	snomed	60.0	9	15	0.5949407455461891
delta phenotype with numerical limits	METPO:1000534	SNOMEDCT	60.0	9	15	0.6011553802694599
delta phenotype with numerical limits	METPO:1000534	go	53.333333333333336	8	15	0.6030415263748597
optimum phenotype with numerical limits	METPO:1000536	micro	100.0	15	15	0.590012193984134
optimum phenotype with numerical limits	METPO:1000536	snomed	100.0	15	15	0.5990793351242892
optimum phenotype with numerical limits	METPO:1000536	ncit	100.0	15	15	0.5941927257990872
optimum phenotype with numerical limits	METPO:1000536	METPO	100.0	15	15	0.6909513716503924
optimum phenotype with numerical limits	METPO:1000536	SNOMEDCT	100.0	15	15	0.5802260403631344
optimum phenotype with numerical limits	METPO:1000536	IOBC	100.0	15	15	0.5704421066717041
optimum phenotype with numerical limits	METPO:1000536	D3O	93.33333333333333	14	15	0.5704806441257163
optimum phenotype with numerical limits	METPO:1000536	KISAO	66.66666666666666	10	15	0.5480989294942783
optimum phenotype with numerical limits	METPO:1000536	NCIT	66.66666666666666	10	15	0.6191596085074346
metabolism	METPO:1000060	METPO	100.0	12	12	1.0
metabolism	METPO:1000060	go	66.66666666666666	8	12	0.6925259831104671
metabolism	METPO:1000060	GO	66.66666666666666	8	12	0.7416391421886772
metabolism	METPO:1000060	BERO	66.66666666666666	8	12	0.8142980914699877
metabolism	METPO:1000060	upheno	58.333333333333336	7	12	0.750416561264322
metabolism	METPO:1000060	ncit	58.333333333333336	7	12	0.6646673094159268
metabolism	METPO:1000060	mesh	58.333333333333336	7	12	0.7094280125023148
metabolism	METPO:1000060	snomed	58.333333333333336	7	12	0.6641752893945382
metabolism	METPO:1000060	GO-EXT	58.333333333333336	7	12	0.7758392854935083
metabolism	METPO:1000060	NIFSTD	58.333333333333336	7	12	0.7527638028959263
salinity phenotype with numerical limits	METPO:1000532	ncit	100.0	12	12	0.5321753432494278
salinity phenotype with numerical limits	METPO:1000532	METPO	100.0	12	12	0.6782622733671951
salinity phenotype with numerical limits	METPO:1000532	snomed	91.66666666666666	11	12	0.5459263884263884
salinity phenotype with numerical limits	METPO:1000532	NCIT	83.33333333333334	10	12	0.5411327231121281
salinity phenotype with numerical limits	METPO:1000532	SNOMEDCT	58.333333333333336	7	12	0.5494845067213489
salinity phenotype with numerical limits	METPO:1000532	aro	50.0	6	12	0.531135531135531
salinity phenotype with numerical limits	METPO:1000532	IOBC	50.0	6	12	0.5470858741885574
salinity phenotype with numerical limits	METPO:1000532	ncbitaxon	50.0	6	12	0.5222117794486215
biological process	METPO:1000630	METPO	100.0	12	12	1.0
biological process	METPO:1000630	go	66.66666666666666	8	12	0.6925259831104671
biological process	METPO:1000630	GO	66.66666666666666	8	12	0.7416391421886772
biological process	METPO:1000630	BERO	66.66666666666666	8	12	0.8142980914699877
biological process	METPO:1000630	upheno	58.333333333333336	7	12	0.750416561264322
biological process	METPO:1000630	ncit	58.333333333333336	7	12	0.6646673094159268
biological process	METPO:1000630	mesh	58.333333333333336	7	12	0.7094280125023148
biological process	METPO:1000630	snomed	58.333333333333336	7	12	0.6641752893945382
biological process	METPO:1000630	GO-EXT	58.333333333333336	7	12	0.7758392854935083
biological process	METPO:1000630	NIFSTD	58.333333333333336	7	12	0.7527638028959263
oxygen preference	METPO:1000601	METPO	100.0	10	10	0.8384952961245333
oxygen preference	METPO:1000601	micro	90.0	9	10	0.736479264608813
oxygen preference	METPO:1000601	snomed	90.0	9	10	0.5896326604489311
oxygen preference	METPO:1000601	SNOMEDCT	90.0	9	10	0.6047723021713524
oxygen preference	METPO:1000601	ncit	80.0	8	10	0.6079226389976523
oxygen preference	METPO:1000601	mesh	80.0	8	10	0.6426608633915465
oxygen preference	METPO:1000601	MIXS	80.0	8	10	0.6939166666666667
oxygen preference	METPO:1000601	VALUESETS	80.0	8	10	0.6939166666666667
oxygen preference	METPO:1000601	NCIT	80.0	8	10	0.6221004068315027
oxygen preference	METPO:1000601	pato	70.0	7	10	0.6859981684981685
pigmentation	METPO:1003021	pato	100.0	10	10	0.674809586548717
pigmentation	METPO:1003021	snomed	100.0	10	10	0.6282662594654312
pigmentation	METPO:1003021	METPO	100.0	10	10	1.0
pigmentation	METPO:1003021	flopo	90.0	9	10	0.6859575113199401
pigmentation	METPO:1003021	ncit	90.0	9	10	0.5931961486587168
pigmentation	METPO:1003021	omit	90.0	9	10	0.6749199397037273
pigmentation	METPO:1003021	mesh	90.0	9	10	0.6530634028965308
pigmentation	METPO:1003021	SNOMEDCT	90.0	9	10	0.6732225537524829
pigmentation	METPO:1003021	OCHV	90.0	9	10	0.6864028075098122
pigmentation	METPO:1003021	UPHENO	90.0	9	10	0.6799747474747474
halophily preference	METPO:1000629	METPO	100.0	9	9	0.7953581214809315
halophily preference	METPO:1000629	MPO	88.88888888888889	8	9	0.8543520578420468
halophily preference	METPO:1000629	ncbitaxon	77.77777777777779	7	9	0.5624852455931242
halophily preference	METPO:1000629	micro	66.66666666666666	6	9	0.7570449513611607
halophily preference	METPO:1000629	omp	55.55555555555556	5	9	0.6016627833266203
halophily preference	METPO:1000629	OMP	55.55555555555556	5	9	0.6016627833266203
halophily preference	METPO:1000629	BIODIVTHES	55.55555555555556	5	9	0.5784549987336365
pH growth preference	METPO:1003000	METPO	100.0	9	9	0.8006709847098445
pH growth preference	METPO:1003000	micro	77.77777777777779	7	9	0.7767205011860967
pH growth preference	METPO:1003000	snomed	66.66666666666666	6	9	0.6076066686844559
pH growth preference	METPO:1003000	SNOMEDCT	66.66666666666666	6	9	0.6361660490341332
pH growth preference	METPO:1003000	BERO	55.55555555555556	5	9	0.5960504246039382
pH growth preference	METPO:1003000	IOBC	55.55555555555556	5	9	0.6701969196372181
pH growth preference	METPO:1003000	ncbitaxon	55.55555555555556	5	9	0.5502434524754368
temperature preference	METPO:1000613	micro	100.0	8	8	0.7765351793845657
temperature preference	METPO:1000613	MPO	100.0	8	8	0.8465382095125058
temperature preference	METPO:1000613	METPO	100.0	8	8	0.8836150310093789
temperature preference	METPO:1000613	BERO	75.0	6	8	0.6493713652025597
temperature preference	METPO:1000613	ncbitaxon	62.5	5	8	0.584364414593119
temperature preference	METPO:1000613	IOBC	62.5	5	8	0.7240941065883858
temperature preference	METPO:1000613	envo	50.0	4	8	0.6553025284034094
temperature preference	METPO:1000613	ENVO	50.0	4	8	0.6770879224815732
temperature preference	METPO:1000613	MEO	50.0	4	8	0.6866154310054965
temperature preference	METPO:1000613	NMDCO	50.0	4	8	0.6770879224815732
temperature optimum	METPO:1000304	micro	100.0	7	7	0.6209717478873539
temperature optimum	METPO:1000304	snomed	100.0	7	7	0.601800159897461
temperature optimum	METPO:1000304	foodon	100.0	7	7	0.5127950510132426
temperature optimum	METPO:1000304	ncit	100.0	7	7	0.5944695417272124
temperature optimum	METPO:1000304	METPO	100.0	7	7	0.724091405810611
temperature optimum	METPO:1000304	SNOMEDCT	100.0	7	7	0.5708988418252493
temperature optimum	METPO:1000304	IOBC	100.0	7	7	0.5734474870510129
temperature optimum	METPO:1000304	to	85.71428571428571	6	7	0.5354841120377842
temperature optimum	METPO:1000304	pato	85.71428571428571	6	7	0.5621110459687751
temperature optimum	METPO:1000304	afo	85.71428571428571	6	7	0.6090265581267424
temperature range	METPO:1000306	ncit	100.0	7	7	0.6209305709194437
temperature range	METPO:1000306	snomed	100.0	7	7	0.6086409047458426
temperature range	METPO:1000306	foodon	100.0	7	7	0.5316531901732061
temperature range	METPO:1000306	METPO	100.0	7	7	0.8098253427238051
temperature range	METPO:1000306	NCIT	100.0	7	7	0.6471567784442505
temperature range	METPO:1000306	SWEET	100.0	7	7	0.8098921346108774
temperature range	METPO:1000306	SNOMEDCT	100.0	7	7	0.6035885415104778
temperature range	METPO:1000306	to	85.71428571428571	6	7	0.5726970560303895
temperature range	METPO:1000306	pato	85.71428571428571	6	7	0.5550766825448276
temperature range	METPO:1000306	afo	85.71428571428571	6	7	0.6274595004935062
pH delta	METPO:1000232	ncit	100.0	6	6	0.5402333479724785
pH delta	METPO:1000232	METPO	100.0	6	6	0.7141513408165419
pH delta	METPO:1000232	go	83.33333333333334	5	6	0.5538888888888889
pH delta	METPO:1000232	MDM	83.33333333333334	5	6	0.5961904761904762
pH delta	METPO:1000232	MEDDRA	50.0	3	6	0.6411030061892131
pH range	METPO:1000332	ncit	100.0	6	6	0.5834811025859619
pH range	METPO:1000332	METPO	100.0	6	6	0.7177648744370386
pH range	METPO:1000332	SEP	100.0	6	6	0.7479365079365078
pH range	METPO:1000332	afo	83.33333333333334	5	6	0.5620915032679739
pH range	METPO:1000332	labo	83.33333333333334	5	6	0.5620915032679739
pH range	METPO:1000332	mi	83.33333333333334	5	6	0.5620915032679739
pH range	METPO:1000332	obcs	83.33333333333334	5	6	0.5620915032679739
pH range	METPO:1000332	stato	83.33333333333334	5	6	0.5620915032679739
pH range	METPO:1000332	go	83.33333333333334	5	6	0.5222222222222221
pH range	METPO:1000332	MEDDRA	50.0	3	6	0.6984084880636604
temperature delta	METPO:1000303	snomed	100.0	5	5	0.6158449969683255
temperature delta	METPO:1000303	foodon	100.0	5	5	0.537677624602333
temperature delta	METPO:1000303	ncit	100.0	5	5	0.6042831988789739
temperature delta	METPO:1000303	to	100.0	5	5	0.559248548722233
temperature delta	METPO:1000303	afo	100.0	5	5	0.6126517033538997
temperature delta	METPO:1000303	METPO	100.0	5	5	0.7919117321976417
temperature delta	METPO:1000303	SNOMEDCT	100.0	5	5	0.6228195376880193
temperature delta	METPO:1000303	pato	80.0	4	5	0.5603672252721281
temperature delta	METPO:1000303	fbcv	80.0	4	5	0.6783008658008659
temperature delta	METPO:1000303	ncro	80.0	4	5	0.671875
