?class	?labels	?synonyms	?definitions
<https://purl.dsmz.de/schema/MISO_1_5_20>	"House"		
<https://purl.dsmz.de/schema/MISO_1_5_21>	"Indoor"		
<https://purl.dsmz.de/schema/MISO_1_5_23>	"Water reservoir (Aquarium/pool)"		
<https://purl.dsmz.de/schema/MISO_1_5_305>	"Container (Reservoir)"		
<https://purl.dsmz.de/schema/MISO_1_5_306>	"Surface swab"		
<https://purl.dsmz.de/schema/MISO_1_5_339>	"Animal habitation (Nest, Burrow)"		
<https://purl.dsmz.de/schema/MISO_1_5_340>	"Transportation ways (Roads)"		
<https://purl.dsmz.de/schema/MISO_1_6>	"Contamination"		
<https://purl.dsmz.de/schema/MISO_1_65>	"Treatment"		
<https://purl.dsmz.de/schema/MISO_1_65_336>	"Sterilized (Desinfected)"		
<https://purl.dsmz.de/schema/MISO_1_65_337>	"Preserved"		
<https://purl.dsmz.de/schema/MISO_1_65_338>	"Heated (Burned) | Cooked"		
<https://purl.dsmz.de/schema/MISO_1_65_352>	"Frozen"		
<https://purl.dsmz.de/schema/MISO_1_6_24>	"Oil (Fuel)"		
<https://purl.dsmz.de/schema/MISO_1_6_25>	"Heavy metals"		
<https://purl.dsmz.de/schema/MISO_1_6_321>	"Pesticide"		
<https://purl.dsmz.de/schema/MISO_1_7>	"Food production"		
<https://purl.dsmz.de/schema/MISO_1_7_26>	"Aquaculture"		
<https://purl.dsmz.de/schema/MISO_1_7_27>	"Beverage"		
<https://purl.dsmz.de/schema/MISO_1_7_28>	"Bottled, canned, packed food"		
<https://purl.dsmz.de/schema/MISO_1_7_29>	"Dairy product"		
<https://purl.dsmz.de/schema/MISO_1_7_30>	"Fermented"		
<https://purl.dsmz.de/schema/MISO_1_7_31>	"Seafood"		
<https://purl.dsmz.de/schema/MISO_1_7_32>	"Vegetable (incl. Grains)"		
<https://purl.dsmz.de/schema/MISO_1_7_322>	"Egg"		
<https://purl.dsmz.de/schema/MISO_1_7_33>	"Food"		
<https://purl.dsmz.de/schema/MISO_1_7_332>	"Spoiled"		
<https://purl.dsmz.de/schema/MISO_1_7_335>	"Animal feed"		
<https://purl.dsmz.de/schema/MISO_1_7_34>	"Meat"		
<https://purl.dsmz.de/schema/MISO_1_7_35>	"Oil (Food)"		
<https://purl.dsmz.de/schema/MISO_1_7_36>	"Starter culture"		
<https://purl.dsmz.de/schema/MISO_1_7_37>	"Sugary food"		
<https://purl.dsmz.de/schema/MISO_1_8>	"Industrial"		
<https://purl.dsmz.de/schema/MISO_1_8_39>	"Cooling tower"		
<https://purl.dsmz.de/schema/MISO_1_8_40>	"Engineered product"		
<https://purl.dsmz.de/schema/MISO_1_8_41>	"Industrial product"		
<https://purl.dsmz.de/schema/MISO_1_8_43>	"Machines and devices"		
<https://purl.dsmz.de/schema/MISO_1_8_47>	"Oil reservoir"		
<https://purl.dsmz.de/schema/MISO_1_8_48>	"Plant (Factory)"		
<https://purl.dsmz.de/schema/MISO_1_9>	"Laboratory"		
<https://purl.dsmz.de/schema/MISO_1_9_49>	"Contaminant"		
<https://purl.dsmz.de/schema/MISO_1_9_50>	"Cultivation Medium"		
<https://purl.dsmz.de/schema/MISO_1_9_51>	"Lab enrichment"		
<https://purl.dsmz.de/schema/MISO_1_9_52>	"Lab synthesis"		
<https://purl.dsmz.de/schema/MISO_1_9_54>	"Simulated communities"		
<https://purl.dsmz.de/schema/MISO_2>	"Environmental"		
<https://purl.dsmz.de/schema/MISO_2_13>	"Air"		
<https://purl.dsmz.de/schema/MISO_2_13_66>	"Indoor Air"		
<https://purl.dsmz.de/schema/MISO_2_13_67>	"Outdoor Air"		
<https://purl.dsmz.de/schema/MISO_2_14>	"Aquatic"		
<https://purl.dsmz.de/schema/MISO_2_14_68>	"Hydrothermal vent"		
<https://purl.dsmz.de/schema/MISO_2_14_69>	"Brackish"		
<https://purl.dsmz.de/schema/MISO_2_14_70>	"Cave water"		
<https://purl.dsmz.de/schema/MISO_2_14_71>	"Coral reef"		
<https://purl.dsmz.de/schema/MISO_2_14_72>	"Estuary"		
<https://purl.dsmz.de/schema/MISO_2_14_73>	"Foam"		
<https://purl.dsmz.de/schema/MISO_2_14_74>	"Freshwater"		
<https://purl.dsmz.de/schema/MISO_2_14_75>	"Geologic"		
<https://purl.dsmz.de/schema/MISO_2_14_77>	"Groundwater"		
<https://purl.dsmz.de/schema/MISO_2_14_78>	"Ice"		
<https://purl.dsmz.de/schema/MISO_2_14_79>	"Lake (large)"		
<https://purl.dsmz.de/schema/MISO_2_14_80>	"Mangrove"		
<https://purl.dsmz.de/schema/MISO_2_14_81>	"Marine"		
<https://purl.dsmz.de/schema/MISO_2_14_83>	"Non-marine Saline and Alkaline"		
<https://purl.dsmz.de/schema/MISO_2_14_84>	"Pond (small)"		
<https://purl.dsmz.de/schema/MISO_2_14_85>	"River (Creek)"		
<https://purl.dsmz.de/schema/MISO_2_14_87>	"Sediment"		
<https://purl.dsmz.de/schema/MISO_2_14_88>	"Spring"		
<https://purl.dsmz.de/schema/MISO_2_14_89>	"Surface water"		
<https://purl.dsmz.de/schema/MISO_2_14_90>	"Thermal spring"		
<https://purl.dsmz.de/schema/MISO_2_15>	"Biofilm"		
<https://purl.dsmz.de/schema/MISO_2_15_314>	"Iron mat"		
<https://purl.dsmz.de/schema/MISO_2_16>	"Microbial community"	"Microbiome"	
<https://purl.dsmz.de/schema/MISO_2_16_134>	"Decomposing algae"		
<https://purl.dsmz.de/schema/MISO_2_16_342>	"Decomposing fungi"		
<https://purl.dsmz.de/schema/MISO_2_16_94>	"Bacteriome"		
<https://purl.dsmz.de/schema/MISO_2_16_95>	"Co-culture"		
<https://purl.dsmz.de/schema/MISO_2_16_99>	"Microbial mat"		
<https://purl.dsmz.de/schema/MISO_2_17>	"Terrestrial"		
<https://purl.dsmz.de/schema/MISO_2_17_101>	"Coast"		
<https://purl.dsmz.de/schema/MISO_2_17_102>	"Core sample"		
<https://purl.dsmz.de/schema/MISO_2_17_103>	"Desert"		
<https://purl.dsmz.de/schema/MISO_2_17_104>	"Forest"		
<https://purl.dsmz.de/schema/MISO_2_17_105>	"Geologic"		
<https://purl.dsmz.de/schema/MISO_2_17_106>	"Glacier"		
<https://purl.dsmz.de/schema/MISO_2_17_107>	"Grassland"		
<https://purl.dsmz.de/schema/MISO_2_17_108>	"Mud (Sludge)"		
<https://purl.dsmz.de/schema/MISO_2_17_109>	"Permafrost"		
<https://purl.dsmz.de/schema/MISO_2_17_110>	"Salt marsh"		
<https://purl.dsmz.de/schema/MISO_2_17_111>	"Sandy"		
<https://purl.dsmz.de/schema/MISO_2_17_112>	"Sediment"		
<https://purl.dsmz.de/schema/MISO_2_17_113>	"Soil"		
<https://purl.dsmz.de/schema/MISO_2_17_114>	"Tidal flat"		
<https://purl.dsmz.de/schema/MISO_2_17_115>	"Tundra"		
<https://purl.dsmz.de/schema/MISO_2_17_116>	"Volcanic"		
<https://purl.dsmz.de/schema/MISO_2_17_117>	"Wetland (Swamp)"		
<https://purl.dsmz.de/schema/MISO_2_17_315>	"Dust"		
<https://purl.dsmz.de/schema/MISO_3>	"Infection"		
<https://purl.dsmz.de/schema/MISO_3_18>	"Disease"		
<https://purl.dsmz.de/schema/MISO_3_18_119>	"Tuberculosis"		
<https://purl.dsmz.de/schema/MISO_3_18_120>	"Cystic fibrosis"		
<https://purl.dsmz.de/schema/MISO_3_18_121>	"Meningitis"		
<https://purl.dsmz.de/schema/MISO_3_18_122>	"Mycosis"		
<https://purl.dsmz.de/schema/MISO_3_18_351>	"Post mortem"		
<https://purl.dsmz.de/schema/MISO_3_19>	"Medical device"		
<https://purl.dsmz.de/schema/MISO_3_19_316>	"Catheter"		
<https://purl.dsmz.de/schema/MISO_3_19_317>	"Heart valve"		
<https://purl.dsmz.de/schema/MISO_3_20>	"Medical environment"		
<https://purl.dsmz.de/schema/MISO_3_20_123>	"Clinic"		
<https://purl.dsmz.de/schema/MISO_3_20_124>	"Medical practice"		
<https://purl.dsmz.de/schema/MISO_3_21>	"Patient"		
<https://purl.dsmz.de/schema/MISO_3_21_126>	"Biopsy"		
<https://purl.dsmz.de/schema/MISO_3_21_127>	"Blood culture"		
<https://purl.dsmz.de/schema/MISO_3_21_128>	"Specimen"		
<https://purl.dsmz.de/schema/MISO_3_21_301>	"Antibiotic treatment"		
<https://purl.dsmz.de/schema/MISO_3_21_323>	"Swab"		
<https://purl.dsmz.de/schema/MISO_3_21_324>	"Immunocompromised"		
<https://purl.dsmz.de/schema/MISO_3_22>	"Inflammation"		
<https://purl.dsmz.de/schema/MISO_3_62>	"Medical product"		
<https://purl.dsmz.de/schema/MISO_3_63>	"Outbreak"		
<https://purl.dsmz.de/schema/MISO_3_67>	"Plant infections"		
<https://purl.dsmz.de/schema/MISO_3_67_238>	"Gall"		
<https://purl.dsmz.de/schema/MISO_3_67_343>	"Canker"		
<https://purl.dsmz.de/schema/MISO_3_67_344>	"Deformation (Broom)"		
<https://purl.dsmz.de/schema/MISO_3_67_345>	"Lesion (incl. Necrosis)"		
<https://purl.dsmz.de/schema/MISO_3_67_346>	"Rot (Root, Stem)"		
<https://purl.dsmz.de/schema/MISO_3_67_347>	"Spot (Leaf, Stem)"		
<https://purl.dsmz.de/schema/MISO_3_67_348>	"Wilt"		
<https://purl.dsmz.de/schema/MISO_3_67_350>	"Coloration/Discoloration"		
<https://purl.dsmz.de/schema/MISO_4>	"Host"		
<https://purl.dsmz.de/schema/MISO_4_23>	"Algae"		
<https://purl.dsmz.de/schema/MISO_4_23_133>	"Brown Algae"		
<https://purl.dsmz.de/schema/MISO_4_23_135>	"Green algae"		
<https://purl.dsmz.de/schema/MISO_4_23_136>	"Red algae"		
<https://purl.dsmz.de/schema/MISO_4_24>	"Amphibia"		
<https://purl.dsmz.de/schema/MISO_4_25>	"Arthropoda"		
<https://purl.dsmz.de/schema/MISO_4_25_137>	"Insecta"		
<https://purl.dsmz.de/schema/MISO_4_25_138>	"Arachnida (Ticks, Spiders)"		
<https://purl.dsmz.de/schema/MISO_4_25_140>	"Crustacea"		
<https://purl.dsmz.de/schema/MISO_4_26>	"Birds"		
<https://purl.dsmz.de/schema/MISO_4_26_141>	"Chicken"		
<https://purl.dsmz.de/schema/MISO_4_27>	"Fishes"		
<https://purl.dsmz.de/schema/MISO_4_27_142>	"Salmonidae"		
<https://purl.dsmz.de/schema/MISO_4_27_143>	"Zebrafish"		
<https://purl.dsmz.de/schema/MISO_4_28>	"Fungi"		
<https://purl.dsmz.de/schema/MISO_4_28_144>	"Mushroom"		
<https://purl.dsmz.de/schema/MISO_4_28_145>	"Mycelium"		
<https://purl.dsmz.de/schema/MISO_4_28_146>	"Mycorrhiza"		
<https://purl.dsmz.de/schema/MISO_4_28_147>	"Symbiotic fungal garden and gallery"		
<https://purl.dsmz.de/schema/MISO_4_28_326>	"Rot fungi"		
<https://purl.dsmz.de/schema/MISO_4_28_327>	"Slime mold"		
<https://purl.dsmz.de/schema/MISO_4_29>	"Human"		
<https://purl.dsmz.de/schema/MISO_4_29_148>	"Male"		
<https://purl.dsmz.de/schema/MISO_4_29_149>	"Female"		
<https://purl.dsmz.de/schema/MISO_4_29_150>	"Child"		
<https://purl.dsmz.de/schema/MISO_4_30>	"Invertebrates (Other)"		
<https://purl.dsmz.de/schema/MISO_4_30_151>	"Annelida"		
<https://purl.dsmz.de/schema/MISO_4_30_153>	"Tunicata"		
<https://purl.dsmz.de/schema/MISO_4_30_154>	"Cnidaria (Corals)"		
<https://purl.dsmz.de/schema/MISO_4_30_155>	"Echinodermata"		
<https://purl.dsmz.de/schema/MISO_4_30_157>	"Mollusca"		
<https://purl.dsmz.de/schema/MISO_4_30_158>	"Nematoda"		
<https://purl.dsmz.de/schema/MISO_4_30_159>	"Porifera (Sponges)"		
<https://purl.dsmz.de/schema/MISO_4_31>	"Mammals"		
<https://purl.dsmz.de/schema/MISO_4_31_160>	"Bovinae (Cow, Cattle)"		
<https://purl.dsmz.de/schema/MISO_4_31_161>	"Canidae (Dog)"		
<https://purl.dsmz.de/schema/MISO_4_31_162>	"Caprinae (Sheep, Goat)"		
<https://purl.dsmz.de/schema/MISO_4_31_163>	"Aquatic mammal"		
<https://purl.dsmz.de/schema/MISO_4_31_164>	"Equidae (Horse)"		
<https://purl.dsmz.de/schema/MISO_4_31_165>	"Felidae (Cat)"		
<https://purl.dsmz.de/schema/MISO_4_31_166>	"Leporidae (Rabbit, Hare)"		
<https://purl.dsmz.de/schema/MISO_4_31_167>	"Muridae (Mouse, Rat)"		
<https://purl.dsmz.de/schema/MISO_4_31_169>	"Suidae (Pig, Swine)"		
<https://purl.dsmz.de/schema/MISO_4_31_170>	"Primates"		
<https://purl.dsmz.de/schema/MISO_4_31_171>	"Rodentia (Other)"		
<https://purl.dsmz.de/schema/MISO_4_32>	"Microbial"		
<https://purl.dsmz.de/schema/MISO_4_32_172>	"Bacteria"		
<https://purl.dsmz.de/schema/MISO_4_32_177>	"Virome"		
<https://purl.dsmz.de/schema/MISO_4_32_356>	"Oomycota (Water moulds)"		
<https://purl.dsmz.de/schema/MISO_4_32_357>	"Phytoplankton"		
<https://purl.dsmz.de/schema/MISO_4_32_358>	"Zooplankton"		
<https://purl.dsmz.de/schema/MISO_4_33>	"Plants | Plantae"		
<https://purl.dsmz.de/schema/MISO_4_33_178>	"Aquatic plant"		
<https://purl.dsmz.de/schema/MISO_4_33_179>	"Decomposing plant"		
<https://purl.dsmz.de/schema/MISO_4_33_180>	"Herbaceous plants (Grass, Crops)"		
<https://purl.dsmz.de/schema/MISO_4_33_182>	"Moss | Moos"		
<https://purl.dsmz.de/schema/MISO_4_33_183>	"Torfmoos | Peat moss"		
<https://purl.dsmz.de/schema/MISO_4_33_184>	"Strauch | Shrub (Scrub)"		
<https://purl.dsmz.de/schema/MISO_4_33_185>	"Tree | Baum"		
<https://purl.dsmz.de/schema/MISO_4_33_186>	"Xerophytisch | Xerophytic"		
<https://purl.dsmz.de/schema/MISO_4_33_355>	"Liane | Liana (Vine)"		
<https://purl.dsmz.de/schema/MISO_4_34>	"Protozoa"		
<https://purl.dsmz.de/schema/MISO_4_34_187>	"Dinoflagellate"		
<https://purl.dsmz.de/schema/MISO_4_34_188>	"Protist"		
<https://purl.dsmz.de/schema/MISO_4_35>	"Reptilia | Reptilien"		
<https://purl.dsmz.de/schema/MISO_4_36>	"Other Host"		
<https://purl.dsmz.de/schema/MISO_4_36_189>	"Decomposing animal"		
<https://purl.dsmz.de/schema/MISO_4_36_190>	"Ectosymbiont"		
<https://purl.dsmz.de/schema/MISO_4_36_191>	"Endosymbiont"		
<https://purl.dsmz.de/schema/MISO_4_36_192>	"Epibiont"		
<https://purl.dsmz.de/schema/MISO_4_36_193>	"Extracellular"		
<https://purl.dsmz.de/schema/MISO_4_36_195>	"Intracellular"		
<https://purl.dsmz.de/schema/MISO_4_36_197>	"Lichen | Flechte"		
<https://purl.dsmz.de/schema/MISO_4_36_325>	"Parasite"		
<https://purl.dsmz.de/schema/MISO_4_37>	"Yeast"		
<https://purl.dsmz.de/schema/MISO_4_64>	"Juvenile"		
<https://purl.dsmz.de/schema/MISO_5>	"Host Body-Site"		
<https://purl.dsmz.de/schema/MISO_5_38>	"Gastrointestinaltrakt | Gastrointestinal tract"		
<https://purl.dsmz.de/schema/MISO_5_38_199>	"Large intestine | Dickdarm | Colon"		
<https://purl.dsmz.de/schema/MISO_5_38_200>	"Rectum"		
<https://purl.dsmz.de/schema/MISO_5_38_201>	"Small intestine | Dünndarm"		
<https://purl.dsmz.de/schema/MISO_5_38_202>	"Stomach | Magen"		
<https://purl.dsmz.de/schema/MISO_5_39>	"Limb | Extremität"		
<https://purl.dsmz.de/schema/MISO_5_39_203>	"Ankle | Knöchel"		"This should be moved into \"joint\" to be a bit more general."
<https://purl.dsmz.de/schema/MISO_5_39_204>	"Arm | Arm"		
<https://purl.dsmz.de/schema/MISO_5_39_205>	"Fuß | Foot"		
<https://purl.dsmz.de/schema/MISO_5_39_206>	"Hand | Hand"		
<https://purl.dsmz.de/schema/MISO_5_39_207>	"Leg | Bein"		
<https://purl.dsmz.de/schema/MISO_5_39_318>	"Joint | Gelenk"		
<https://purl.dsmz.de/schema/MISO_5_40>	"Organ | Organ"		
<https://purl.dsmz.de/schema/MISO_5_40_208>	"Gehirn | Brain"		
<https://purl.dsmz.de/schema/MISO_5_40_209>	"Ohr | Ear"		
<https://purl.dsmz.de/schema/MISO_5_40_210>	"Eye | Auge"		
<https://purl.dsmz.de/schema/MISO_5_40_211>	"Herz | Heart"		
<https://purl.dsmz.de/schema/MISO_5_40_213>	"Liver | Leber"		
<https://purl.dsmz.de/schema/MISO_5_40_215>	"Lymphknoten | Lymph node"		
<https://purl.dsmz.de/schema/MISO_5_40_216>	"Milchdrüse | Mammary gland"		
<https://purl.dsmz.de/schema/MISO_5_40_217>	"Nose | Nase"		
<https://purl.dsmz.de/schema/MISO_5_40_218>	"Rumen"		
<https://purl.dsmz.de/schema/MISO_5_40_219>	"Skin, Nail, Hair | Haut, Nagel, Haar"		"BTO:1253 is skin and includes hair (BTO:0001501). Nails are not part of the BTO yet."
<https://purl.dsmz.de/schema/MISO_5_40_220>	"Spinal Cord | Rückenmark"		
<https://purl.dsmz.de/schema/MISO_5_40_221>	"Spleen | Milz"		
<https://purl.dsmz.de/schema/MISO_5_40_222>	"Vascular system | Gefäßsystem"		
<https://purl.dsmz.de/schema/MISO_5_41>	"Oral cavity and airways | Mundhöhle und Atemwege"		
<https://purl.dsmz.de/schema/MISO_5_41_223>	"Atemwege | Airways"		
<https://purl.dsmz.de/schema/MISO_5_41_224>	"Zahnfleisch | Gingiva"		
<https://purl.dsmz.de/schema/MISO_5_41_225>	"Lunge | Lung"		
<https://purl.dsmz.de/schema/MISO_5_41_226>	"Mund | Mouth"		
<https://purl.dsmz.de/schema/MISO_5_41_227>	"Periodontal pocket | Parodontaltasche"		"This class might be obsolete. It is not clear if it is a body site or a disease. Maybe move associated terms to to 5_41_224? Or do we mean periodontium?"
<https://purl.dsmz.de/schema/MISO_5_41_228>	"Dental plaque | Plaque"		
<https://purl.dsmz.de/schema/MISO_5_41_229>	"Wurzel (Zahn) | Root (Tooth)"		"No mapping in BTO available."
<https://purl.dsmz.de/schema/MISO_5_41_230>	"Subgingivale Plaque | Subgingival plaque"		"No mapping in BTO available. Do we need this in addition to plague?"
<https://purl.dsmz.de/schema/MISO_5_41_231>	"Throat | Rachen"		
<https://purl.dsmz.de/schema/MISO_5_41_232>	"Zahn | Tooth"		
<https://purl.dsmz.de/schema/MISO_5_41_233>	"Trachea | Luftröhre"		
<https://purl.dsmz.de/schema/MISO_5_42>	"Plant | Pflanze"		
<https://purl.dsmz.de/schema/MISO_5_42_234>	"Rinde | Bark"		
<https://purl.dsmz.de/schema/MISO_5_42_235>	"Endosphere"		
<https://purl.dsmz.de/schema/MISO_5_42_236>	"Flower | Blüte"		
<https://purl.dsmz.de/schema/MISO_5_42_237>	"Fruit (Seed) | Frucht (Samen)"		
<https://purl.dsmz.de/schema/MISO_5_42_239>	"Leaf (Phyllosphere) | Blatt (Phyllosphäre)"		
<https://purl.dsmz.de/schema/MISO_5_42_240>	"Phylloplane | Blattoberfläche"		
<https://purl.dsmz.de/schema/MISO_5_42_241>	"Rhizoplane"		
<https://purl.dsmz.de/schema/MISO_5_42_242>	"Rhizosphere"		
<https://purl.dsmz.de/schema/MISO_5_42_243>	"Wurzel (Rhizom) | Root (Rhizome)"		
<https://purl.dsmz.de/schema/MISO_5_42_244>	"Wurzelknolle | Root nodule"		
<https://purl.dsmz.de/schema/MISO_5_42_245>	"Stem (Branch) | Stamm (Ast)"		
<https://purl.dsmz.de/schema/MISO_5_42_302>	"Sterilized plant part | Sterilisierter Pflanzenteil"		
<https://purl.dsmz.de/schema/MISO_5_43>	"Urogenitaltrakt | Urogenital tract"		
<https://purl.dsmz.de/schema/MISO_5_43_246>	"Blase | Bladder"		
<https://purl.dsmz.de/schema/MISO_5_43_247>	"Niere | Kidney"		
<https://purl.dsmz.de/schema/MISO_5_43_248>	"Nephridium | Nephridium"		
<https://purl.dsmz.de/schema/MISO_5_43_249>	"Ovary | Eierstock"		
<https://purl.dsmz.de/schema/MISO_5_43_250>	"Urethra | Harnröhre"		
<https://purl.dsmz.de/schema/MISO_5_43_251>	"Vagina"		
<https://purl.dsmz.de/schema/MISO_5_44>	"Weitere (Urogenitaltrakt) | Other (Urogenital tract)"		
<https://purl.dsmz.de/schema/MISO_5_44_252>	"Bauch | Abdomen"		
<https://purl.dsmz.de/schema/MISO_5_44_253>	"Abszess | Abscess"		
<https://purl.dsmz.de/schema/MISO_5_44_254>	"Knochen | Bone"		
<https://purl.dsmz.de/schema/MISO_5_44_255>	"Thoracic segment | Brustsegment"		
<https://purl.dsmz.de/schema/MISO_5_44_256>	"Wunde | Wound"		
<https://purl.dsmz.de/schema/MISO_5_44_328>	"Torso | Rumpf"		
<https://purl.dsmz.de/schema/MISO_5_44_329>	"Kopf | Head"		
<https://purl.dsmz.de/schema/MISO_6>	"Wirtskörperprodukt | Host Body Product"		
<https://purl.dsmz.de/schema/MISO_6_45>	"Flüssigkeiten | Fluids"		
<https://purl.dsmz.de/schema/MISO_6_45_257>	"Aspirate | Aspirat"		
<https://purl.dsmz.de/schema/MISO_6_45_258>	"Blut | Blood"		
<https://purl.dsmz.de/schema/MISO_6_45_259>	"Liquor cerebrospinalis | Cerebrospinal fluid"		
<https://purl.dsmz.de/schema/MISO_6_45_260>	"Furuncle fluid"		
<https://purl.dsmz.de/schema/MISO_6_45_261>	"Milk | Milch"	"Mammary Gland Milk"	
<https://purl.dsmz.de/schema/MISO_6_45_262>	"Rumen fluid | Pansensaft"		
<https://purl.dsmz.de/schema/MISO_6_45_263>	"Sputum | Sputum"		
<https://purl.dsmz.de/schema/MISO_6_45_264>	"Synovialflüssigkeit | Synovial fluid"		
<https://purl.dsmz.de/schema/MISO_6_45_265>	"Urine | Urin"		
<https://purl.dsmz.de/schema/MISO_6_45_266>	"Wundsekret | Wound fluid"		
<https://purl.dsmz.de/schema/MISO_6_46>	"Gastrointestinaltrakt | Gastrointestinal tract"		
<https://purl.dsmz.de/schema/MISO_6_46_267>	"Caecuminhalt | Caecal content"		
<https://purl.dsmz.de/schema/MISO_6_46_268>	"Kot | Feces (Stool)"		
<https://purl.dsmz.de/schema/MISO_6_46_269>	"Vomit | Erbrochenes"		
<https://purl.dsmz.de/schema/MISO_6_47>	"Oral cavity and Airways | Mundhöhle und Atemwege"		
<https://purl.dsmz.de/schema/MISO_6_47_270>	"Bronchialspülung | Bronchial wash"		
<https://purl.dsmz.de/schema/MISO_6_47_271>	"Plaque | Dental plaque"		
<https://purl.dsmz.de/schema/MISO_6_47_272>	"Schleim (Mucosa) | Mucus"		
<https://purl.dsmz.de/schema/MISO_6_47_273>	"Nasopharyngealaspirat | Nasopharyngeal aspirate"		
<https://purl.dsmz.de/schema/MISO_6_47_274>	"Phlegm | Infizierter Schleim"		
<https://purl.dsmz.de/schema/MISO_6_47_275>	"Pleural fluid | Pleurafüssigkeit"		
<https://purl.dsmz.de/schema/MISO_6_47_276>	"Speichel | Saliva"		
<https://purl.dsmz.de/schema/MISO_6_47_278>	"Trachealaspirat | Tracheal aspirate"		
<https://purl.dsmz.de/schema/MISO_6_48>	"Plant | Pflanze"		
<https://purl.dsmz.de/schema/MISO_6_48_279>	"Verdauungsflüssigkeit (Pflanzen) | Digestive fluid (Plants)"		
<https://purl.dsmz.de/schema/MISO_6_48_280>	"Saft | Juice (natural)"		
<https://purl.dsmz.de/schema/MISO_6_48_281>	"Nektar | Nectar"		
<https://purl.dsmz.de/schema/MISO_6_48_282>	"Plant exudate (Resin) | Pflanzenexsudat (Harz)"		
<https://purl.dsmz.de/schema/MISO_6_48_283>	"Plant sap (Flux) | Pflanzensaft (Fluss)"		
<https://purl.dsmz.de/schema/MISO_6_48_284>	"Timber | Holz"		
<https://purl.dsmz.de/schema/MISO_6_48_330>	"Stroh | Straw"		
<https://purl.dsmz.de/schema/MISO_6_48_331>	"Cotton (other fibres) | Baumwolle (andere Fasern)"		
<https://purl.dsmz.de/schema/MISO_6_48_349>	"Plant litter (Forest) | Pflanzenstreu (Wald)"		
<https://purl.dsmz.de/schema/MISO_6_48_359>	"Pollen | Blütenstaub"		
<https://purl.dsmz.de/schema/MISO_6_49>	"Urogenitaltrakt | Urogenital tract"		
