?class	?labels	?synonyms	?definitions
<http://doi.org/10.1601/Feature>	"Feature"		
<http://doi.org/10.1601/Fermentation>	"Fermentation"		
<http://doi.org/10.1601/FermentationRespirationOfTheSameSubstance>	"T5: Given strain can not have {?templateProperty} of substance and {?otherTemplateProperty} of the same substance (only for those who are members of organic compound group)."		
<http://doi.org/10.1601/FlagellaDistribution>	"Flagella distribution"		
<http://doi.org/10.1601/FlagellaFeature>	"Flagella feature"		
<http://doi.org/10.1601/FlagellaObservation>	"Flagella observation"		
<http://doi.org/10.1601/FlagellaOrdinal>	"Flagella ordinal"		
<http://doi.org/10.1601/Flagellation>	"Flagellation"		
<http://doi.org/10.1601/FormOfMotility>	"Form of motility"		
<http://doi.org/10.1601/GasProduction>	"Gas production"		
<http://doi.org/10.1601/GasVacuole>	"Gas vacuole"		
<http://doi.org/10.1601/Gliding>	"Gliding"		
<http://doi.org/10.1601/Growth>	"growth"		
<http://doi.org/10.1601/GrowthObservation>	"Growth observation"		
<http://doi.org/10.1601/GrowthObservationInAerobicAndOneOtherCondition>	"T63: Given strain has observations ({?thirdTemplateProperty},  {?fourthTemplateProperty})  and ({?templateProperty},  hasAerobicCondition). Aerobic condition may be defined more precelly as air or microaerobic. | Growth observation aerobic and one other condition"		
<http://doi.org/10.1601/GrowthObservationInConditionUnderCellularActivityForSubstance>	"Growth in anoxic condition under cellular activity for oxygen | T22: Strain can not have observation ({?secondTemplateProperty}, {?thirdTemplateProperty}) and {?templateProperty} for {?defaultValue}."		
<http://doi.org/10.1601/GrowthObservationOfTheSameSubstance>	"Growth condition of the same substance | T8: Given strain can not have {?templateProperty} and {?otherTemplateProperty} of the same substance."		
<http://doi.org/10.1601/HighPHCondition>	"High PHCondition"		
<http://doi.org/10.1601/HighTemperatureCondition>	"High temperature condition"		
<http://doi.org/10.1601/HighlyMotile>	"Highly motile"		
<http://doi.org/10.1601/Hyperthermophile>	"Hyperthermophile"		
<http://doi.org/10.1601/InclusionBodyObservation>	"Inclusion body observation"		
<http://doi.org/10.1601/IndirectObservation>	"Indirect observation"		
<http://doi.org/10.1601/LipidDroplet>	"Lipid droplet"		
<http://doi.org/10.1601/LowPHCondition>	"Low PHCondition"		
<http://doi.org/10.1601/LowTemperatureCondition>	"Low temperature condition"		
<http://doi.org/10.1601/Magnetosome>	"Magnetosome"		
<http://doi.org/10.1601/Mesophile>	"Mesophile"		
<http://doi.org/10.1601/Metabolism>	"Metabolism"		
<http://doi.org/10.1601/MetabolismPhenotype>	"Metabolism phenotype"		
<http://doi.org/10.1601/Method>	"Method"		
<http://doi.org/10.1601/Microaerobic>	"Microaerobic"		
<http://doi.org/10.1601/Microaerophilic>	"Microaerophilic"		
<http://doi.org/10.1601/Microorganism>	"Microorganism"		
<http://doi.org/10.1601/Microscopy>	"Microscopy"		
<http://doi.org/10.1601/MidRangeTemperatureCondition>	"Mid range temperature condition"		
<http://doi.org/10.1601/ModerateHighTemperatureCondition>	"Moderate high temperature condition"		
<http://doi.org/10.1601/ModerateLowTemperatureCondition>	"Moderate low temperature condition"		
<http://doi.org/10.1601/Modifier>	"Modifier"		
<http://doi.org/10.1601/Motile>	"Motile"		
<http://doi.org/10.1601/MotilityModifier>	"Motility modifier"		
<http://doi.org/10.1601/MotilityObservation>	"Motility"		
<http://doi.org/10.1601/NeutralPHCondition>	"Neutral PHCondition"		
<http://doi.org/10.1601/Neutrophile>	"Neutrophile"		
<http://doi.org/10.1601/NoAcidProduction>	"No acid production"		
<http://doi.org/10.1601/NoAssimilation>	"No assimilate"		
<http://doi.org/10.1601/NoFermentation>	"No fermentation"		
<http://doi.org/10.1601/NoGasProduction>	"No gas production"		
<http://doi.org/10.1601/NoGrowth>	"No growth"		
<http://doi.org/10.1601/NoRespiration>	"No respiration"		
<http://doi.org/10.1601/NoUtilization>	"No utilization"		
<http://doi.org/10.1601/NoUtilizationVsBiologicalRole>	"T6: Strain can not have {?otherTemplateProperty} of a substance {?type} that has property {?templateProperty} as biological role. | No utilization vs biological role"		
<http://doi.org/10.1601/NonMotile>	"Non motile"		
<http://doi.org/10.1601/None>	"None"		
<http://doi.org/10.1601/OptimalGrowth>	"Optimal growth"		
<http://doi.org/10.1601/OptimalGrowthUnderDifferentCondition>	"Optimal growth under different condition | T51: Strain can not have observations N4L:OptimalGrowth for different properties {?templateProperty} and {?otherTemplateProperty}."		
<http://doi.org/10.1601/Organism>	"Organism"		
<http://doi.org/10.1601/OrganismObservation>	"Organism observation"		
<http://doi.org/10.1601/OxygenCondition>	"Oxygen condition"		
<http://doi.org/10.1601/OxygenPhenotype>	"Oxygen phenotype"		
<http://doi.org/10.1601/PHB>	"Poly-β-hydroxybutyrate Granules"		
<http://doi.org/10.1601/PHCondition>	"PHCondition"		
<http://doi.org/10.1601/PHPhenotype>	"PHPhenotype"		
<http://doi.org/10.1601/Phenotype>	"Phenotype"		
<http://doi.org/10.1601/Polar>	"Polar"		
<http://doi.org/10.1601/Polyglucoside>	"Polyglucoside"		
<http://doi.org/10.1601/Polyphosphate>	"Polyphosphate"		
<http://doi.org/10.1601/Psychrophile>	"Psychrophile"		
<http://doi.org/10.1601/Psychrotolerant>	"Psychrotolerant"		
<http://doi.org/10.1601/RangeOfGrowthCondition>	"T14: Strain has observation ({?templateProperty}, {?arg1}) with environmental property {?secondTemplateProperty} that is out of  range ({?valueType}, {?defaultValue}). | Range of growth condition"		
<http://doi.org/10.1601/Resistant>	"Resistant"		
<http://doi.org/10.1601/Respiration>	"Respiration"		
<http://doi.org/10.1601/ShapeDiameter>	"Shape diameter"		
<http://doi.org/10.1601/ShapeFeature>	"Shape feature"		
<http://doi.org/10.1601/ShapeLong>	"Shape long"		
<http://doi.org/10.1601/ShapeModifier>	"Shape modifier"		
<http://doi.org/10.1601/Single>	"Single"		
<http://doi.org/10.1601/StorageGranule>	"Storage granule"		
<http://doi.org/10.1601/Strain>	"Strain"		
<http://doi.org/10.1601/StrictAerobe>	"Strict aerobe"		
<http://doi.org/10.1601/StrictAnaerobe>	"Strict anaerobe"		
<http://doi.org/10.1601/Strip>	"Strip"		
<http://doi.org/10.1601/SubOptimalGrowth>	"Sub optimal growth"		
<http://doi.org/10.1601/SubstanceProduction>	"Substance production observation"		
<http://doi.org/10.1601/SubstrateUtilization>	"Carbon source utilization"		
<http://doi.org/10.1601/SulfurGranules>	"Sulfur granules"		
<http://doi.org/10.1601/Susceptible>	"Susceptible"		
<http://doi.org/10.1601/TemperatureCondition>	"Temperature condition"		
<http://doi.org/10.1601/TemperaturePhenotype>	"Temperature phenotype"		
<http://doi.org/10.1601/Thermophile>	"Thermophile"		
<http://doi.org/10.1601/Thermotolerant>	"Thermotolerant"		
<http://doi.org/10.1601/Utilization>	"Utilization"		
<http://doi.org/10.1601/UtilizationOfGroupMembers>	"T52: Strain has utilization or no utilization for a substance that is member of a group over property {?templateProperty} .  | Utilization of group members"		
<http://doi.org/10.1601/UtilizationVsBiologicalRole>	"T10: Strain has property {?otherTemplateProperty} and {?secondTemplateProperty} of {?type1} substance that has property {?templateProperty} as biological role. | Utilization vs biological role"		
<http://doi.org/10.1601/UtilizationVsNoUtilizationIndependentOfBiologicalRole>	"T62: Strain has property {?otherTemplateProperty} and {?secondTemplateProperty} of {?type1} substance independent of a biological role. | Utilization vs no utilization independent of biological role"		
<http://doi.org/10.1601/UtilizationWithBiologicalRoleAndNotMemberOfGroup>	"Utilization with biological role and not member of group | T11: Strain utilizes substance as {?templateProperty} biological role, but substance is not member of {?otherTemplateProperty}."		
<http://doi.org/10.1601/VariableAcidProduction>	"Variable acid production"		
<http://doi.org/10.1601/VariableFermentation>	"Variably fermentation"		
<http://doi.org/10.1601/VariableUtilization>	"Variable utilization"		
<http://doi.org/10.1601/VeryHighTemperatureCondition>	"Very high temperature condition"		
<http://doi.org/10.1601/Vibrio>	"Vibrio"		
<http://doi.org/10.1601/WeakAcidProduction>	"Weak acid production"		"This term sould be revised to WeakProductionAcid"
<http://doi.org/10.1601/WeakFermentation>	"Weak fermentation"		
<http://doi.org/10.1601/WeakUtilization>	"Weak utilization"		
<http://doi.org/10.1601/infersGrowthObservationInAerobicCondition>	"infers growth observation in aerobic condition | T35: infers observation ({?property}, N4L:hasAerobicCondition) based on ({?property}, {?templateProperty}) or ({?property}, {?otherTemplateProperty})."		
<http://doi.org/10.1601/infersNoUtilizationBasedOnNoAssimilationAndSubstanceGroupMembership>	"infers no utilization based on no assimilation and substance group membership | T17: infers no utilization based on no assimilation and property {?templateProperty}"		
<http://doi.org/10.1601/infersOxygenPhenotypeBasedOnAerobicAndOneOtherCondition>	"infers oxygen phenotype based aerobic and one other condition | T31: Infers {?sixthTemplateProperty} and ({?otherTemplateProperty}, {?fifthTemplateProperty}) based on ({?templateProperty}, N4L:hasAerobicCondition) and ({?secondTemplateProperty}, {?thirdTemplateProperty})"		
<http://doi.org/10.1601/infersOxygenPhenotypeBasedOnOneCondition>	"T23: Infers {?sixthTemplateProperty} and ({?property}, N4L:hasAerobicCondition) based on ({?templateProperty}, {?thirdTemplateProperty}). | infers oxygen phenotype based on one condition"		
<http://doi.org/10.1601/infersOxygenPhenotypeBasedOnThreeConditions>	"infers oxygen phenotype based on three conditions | T24: Infers {?sixthTemplateProperty} phenotype based on ({?templateProperty}, {?thirdTemplateProperty}), ({?secondTemplateProperty},{?fourthTemplateProperty}), and ({?otherTemplateProperty},{?fifthTemplateProperty})."		
<http://doi.org/10.1601/infersOxygenPhenotypeBasedOnTwoConditions>	"infers oxygen phenotype based on two conditions | T25: Infers {?sixthTemplateProperty} and observation ({?otherTemplateProperty}, {?fifthTemplateProperty}), based on ({?templateProperty}, {?thirdTemplateProperty}), and ({?secondTemplateProperty}, {?fourthTemplateProperty})."		
<http://doi.org/10.1601/infersPHPhenotype>	"infers PHPhenotype | T26: Infers {?secondTemplateProperty} based on observation ({?templateProperty}, {?otherTemplateProperty})."		
<http://doi.org/10.1601/infersStrictAnaerobeBasedOnAerobicCondition>	"T27: Infers N4L:hasStrictAnaerobePhenotype based on ({?templateProperty}, {?thirdTemplateProperty}) and ({?secondTemplateProperty}, {?fourthTemplateProperty}). | infers strict anaerobe based on aerobic condition"		
<http://doi.org/10.1601/infersSubPropertyBasedOnRangeType>	"infers sub property based on range side | T28: Infers {?otherTemplateProperty} from {?templateProperty} and {?valueType}."		
<http://doi.org/10.1601/infersTemperaturePhenotypeBasedOnOneCondition>	"infers temperature phenotype based on one condition | T29: Infers {?sixthTemplateProperty} phenotype based on observation ({?templateProperty}, {?thirdTemplateProperty})"		
<http://doi.org/10.1601/infersTemperaturePhenotypeBasedOnTwoConditions>	"infers temperature phenotype based on two conditions | T30: Infers {?templateProperty} phenotype based on observations ({?otherTemplateProperty}, {?secondTemplateProperty}), and ({?thirdTemplateProperty}, {?fourthTemplateProperty})."		
<http://doi.org/10.1601/infersUtilizationBasedOnAssimilationAndSubstanceGroupMembership>	"infers utilization based on assimilation and substance group membership | T15: infers utilization and biological role {?otherTemplateProperty} based on {?templateProperty} and assimilation cellular activity."		
<http://doi.org/10.1601/media/AmikacinMezlocillin>	"Amikacin mezlocillin"		
<http://doi.org/10.1601/media/AmoxicillinClavulanate>	"Amoxicillin clavulanate"		
<http://doi.org/10.1601/media/AmpicillinSulbactam>	"ampicillin sulbactam"		
<http://doi.org/10.1601/media/AnaerobicExogenousElectronAcceptorGroup>	"Anaerobic electron acceptor group"		
<http://doi.org/10.1601/media/AntibacterialAgent>	"Antibacterial agent"		
<http://doi.org/10.1601/media/AntimicrobialAgent>	"Antimicrobial agent"		
<http://doi.org/10.1601/media/AntimicrobialEntity>	"Antimicrobial entity"		
<http://doi.org/10.1601/media/AntimicrobialGroup>	"Antimicrobial group"		
<http://doi.org/10.1601/media/AntimicrobialMixture>	"Antimicrobial mixture"		
<http://doi.org/10.1601/media/BiologicalRole>	"Biological role"		
<http://doi.org/10.1601/media/CarbonSource>	"Carbon source"		
<http://doi.org/10.1601/media/ChemicalEntity>	"Chemical entity"		
<http://doi.org/10.1601/media/CodonEncodedAminoAcid>	"Codon encoded amino acid"		
<http://doi.org/10.1601/media/ComplexChemicalEntity>	"Complex chemical entity"		
<http://doi.org/10.1601/media/ComplexSubstance>	"Complex substance"		
<http://doi.org/10.1601/media/Component>	"Component"		
<http://doi.org/10.1601/media/Concentration>	"Concentration"		
<http://doi.org/10.1601/media/DisjointnessOfSubstanceGroupMembership>	"Disjointness of substance group membership | T21: Given substance can not be member of {?arg1} and {?arg2} substance gorups."		
<http://doi.org/10.1601/media/EnergySource>	"Energy source"		
<http://doi.org/10.1601/media/ExogenousElectronAcceptor>	"Electron acceptor"		
<http://doi.org/10.1601/media/ExogenousElectronAcceptorGroup>	"Exogenous electron acceptor group"		
<http://doi.org/10.1601/media/FermentationSubstrate>	"Fermentation substrate"		
<http://doi.org/10.1601/media/ImipenemFosfomycin>	"Imipenem fosfomycin"		
<http://doi.org/10.1601/media/Ingredient>	"Ingredient"		
<http://doi.org/10.1601/media/InorganicCompound>	"Inorganic compound"		
<http://doi.org/10.1601/media/J01A>	"TETRACYCLINES"		
<http://doi.org/10.1601/media/J01AA>	"J01AA"		
<http://doi.org/10.1601/media/J01B>	"AMPHENICOLS"		
<http://doi.org/10.1601/media/J01BA>	"J01BA"		
<http://doi.org/10.1601/media/J01C>	"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"		
<http://doi.org/10.1601/media/J01CA>	"Penicillins with extended spectrum"		
<http://doi.org/10.1601/media/J01CE>	"Beta-lactamase sensitive penicillins"		
<http://doi.org/10.1601/media/J01CF>	"Beta-lactamase resistant penicillins"		
<http://doi.org/10.1601/media/J01CG>	"Beta-lactamase inhibitors"		
<http://doi.org/10.1601/media/J01CR>	"Combinations of penicillins, incl. beta-lactamase inhibitors."		
<http://doi.org/10.1601/media/J01D>	"OTHER BETA-LACTAM ANTIBACTERIALS."		
<http://doi.org/10.1601/media/J01DB>	"First-generation cephalosporins."		
<http://doi.org/10.1601/media/J01DC>	"Second-generation cephalosporins."		
<http://doi.org/10.1601/media/J01DD>	"Third-generation cephalosporins."		
<http://doi.org/10.1601/media/J01DE>	"Fourth-generation cephalosporins."		
<http://doi.org/10.1601/media/J01DF>	"Monobactams."		
<http://doi.org/10.1601/media/J01DH>	"Carbapenems."		
<http://doi.org/10.1601/media/J01DI>	"Other cephalosporins and penems."		
<http://doi.org/10.1601/media/J01E>	"SULFONAMIDES AND TRIMETHOPRIM."		
<http://doi.org/10.1601/media/J01EA>	"Trimethoprim and derivatives."		
<http://doi.org/10.1601/media/J01EB>	"Short-acting sulfonamides."		
<http://doi.org/10.1601/media/J01EC>	" Intermediate-acting sulfonamides."		
<http://doi.org/10.1601/media/J01ED>	"Long-acting sulfonamides."		
<http://doi.org/10.1601/media/J01EE>	"Combinations of sulfonamides and trimethoprim, incl. derivatives."		
<http://doi.org/10.1601/media/J01F>	"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS."		
<http://doi.org/10.1601/media/J01FA>	"Macrolides."		
<http://doi.org/10.1601/media/J01FF>	"J01FF"		
<http://doi.org/10.1601/media/J01FG>	"Streptogramins."		
<http://doi.org/10.1601/media/J01G>	"AMINOGLYCOSIDE ANTIBACTERIALS."		
<http://doi.org/10.1601/media/J01GA>	" Streptomycins."		
<http://doi.org/10.1601/media/J01GB>	"Other aminoglycosides."		
<http://doi.org/10.1601/media/J01M>	"QUINOLONE ANTIBACTERIALS."		
<http://doi.org/10.1601/media/J01MA>	"Fluoroquinolones."		
<http://doi.org/10.1601/media/J01MB>	"Other quinolones."		
<http://doi.org/10.1601/media/J01R>	"COMBINATIONS OF ANTIBACTERIALS."		
<http://doi.org/10.1601/media/J01RA>	"Combinations of antibacterials."		
<http://doi.org/10.1601/media/J01X>	"OTHER ANTIBACTERIALS."		
<http://doi.org/10.1601/media/J01XA>	"Glycopeptide antibacterials."		
<http://doi.org/10.1601/media/J01XB>	"Polymyxins."		
<http://doi.org/10.1601/media/J01XC>	"Steroid antibacterials."		
<http://doi.org/10.1601/media/J01XD>	"Imidazole derivatives."		
<http://doi.org/10.1601/media/J01XE>	"Nitrofuran derivatives."		
<http://doi.org/10.1601/media/J01XX>	"Other antibacterials."		
<http://doi.org/10.1601/media/KanamycinEsculin>	"Kanamycin esculin"		
<http://doi.org/10.1601/media/Measure>	"Measure"		
<http://doi.org/10.1601/media/MediaType>	"Media type"		
<http://doi.org/10.1601/media/NitrogenSource>	"Nitrogen source"		
<http://doi.org/10.1601/media/Non-encodedProteinogenicAminoAcid>	"Non-encoded proteinogenic amino acid"		
<http://doi.org/10.1601/media/OrganicCompound>	"Organic compound"		
<http://doi.org/10.1601/media/OtherCarbonCompound>	"Other carbon compound"		
<http://doi.org/10.1601/media/Oxygen>	"Oxygen"		
<http://doi.org/10.1601/media/PhosphorusSource>	"Phosphorus source"		
<http://doi.org/10.1601/media/PiperacillinTazobactam>	"Piperacillin tazobactam"		
<http://doi.org/10.1601/media/SXT>	"SXT"		
<http://doi.org/10.1601/media/Substance>	"Substance"		
<http://doi.org/10.1601/media/SugarAlcohol>	"Sugar alcohol"		
<http://doi.org/10.1601/media/SulfurSource>	"Sulfur source"		
<http://doi.org/10.1601/media/TetracyclineClavulanate>	"Tetracycline clavulanate"		
<http://doi.org/10.1601/media/infersGroupMembership>	"infers group membership | T19: infers {?property} based on group membership of a given chemical entity {?this}."		
<http://spinrdf.org/sp#Add>	"Add"		"A SPARQL UPDATE ADD operation. Uses sp:source and sp:target to represent \"from\" and \"to\" graphs, respectively. Also sp:silent may be true."
<http://spinrdf.org/sp#Aggregation>	"Aggregation"		"Base class of aggregation types (not part of the SPARQL 1.0 standard but supported by ARQ and other engines)."
<http://spinrdf.org/sp#AltPath>	"Alt path"		"An alternative path with the union of sp:path1 and sp:path2."
<http://spinrdf.org/sp#Asc>	"Asc"		"Marker to indicate ascending order."
<http://spinrdf.org/sp#Ask>	"Ask"		"An ASK query that returns true if the condition in the body is met by at least one result set."
<http://spinrdf.org/sp#Avg>	"AVG"		"Represents AVG aggregations."
<http://spinrdf.org/sp#Bind>	"Bind"		"A BIND element."
<http://spinrdf.org/sp#Clear>	"Clear"		"An Update operation that removes all triples from a specified graph. Must specify the graph using sp:graphIRI, or sp:default, sp:named or sp:all. May have the SILENT flag, encoded using sp:silent."
<http://spinrdf.org/sp#Command>	"Command"		"A shared superclass for sp:Query and sp:Update that can be used to specify that the range of property can be either one."
<http://spinrdf.org/sp#Construct>	"Construct"		"A CONSTRUCT-type query that can be used to construct new triples from template triples (head) that use variable bindings from the match patterns (body)."
<http://spinrdf.org/sp#Count>	"COUNT"		"Counts the number of times a variable is used. The variable is stored in the variable property. This might be left blank to indicate COUNT(*)."
<http://spinrdf.org/sp#Create>	"Create"		"An Update operation that creates a new empty graph with a name specified by sp:graphIRI. May have sp:silent set to true."
<http://spinrdf.org/sp#Delete>	"Delete"		"Deprecated - use sp:Modify instead.\n\nRepresents a DELETE FROM (part of SPARQL UPDATE language). The graph IRIs are stored in sp:graphIRI. The template patterns to delete are stored in sp:deletePattern. The WHERE clause is represented using sp:where."
<http://spinrdf.org/sp#DeleteData>	"Delete data"		"An Update operation to delete specific triples. The graph triples are represented using sp:data, which points to an rdf:List of sp:Triples or sp:NamedGraphs."
<http://spinrdf.org/sp#DeleteWhere>	"Delete where"		"An Update operation where the triples matched by the WHERE clause (sp:where) will be the triples deleted."
<http://spinrdf.org/sp#Desc>	"Desc"		"Marker to indicate descending order."
<http://spinrdf.org/sp#Describe>	"Describe"		"A DESCRIBE-type Query."
<http://spinrdf.org/sp#Drop>	"Drop"		"An Update operation that removes a specified graph from the Graph Store. Must specify the graph using sp:graphIRI, or sp:default, sp:named or sp:all. May have the SILENT flag, encoded using sp:silent."
<http://spinrdf.org/sp#Element>	"Element"		"An abstract base class for all pattern elements."
<http://spinrdf.org/sp#ElementGroup>	"Element group"		"Abstract base class of group patterns."
<http://spinrdf.org/sp#ElementList>	"Element list"		"A list of Elements. This class is never instantiated directly as SPIN will use plain rdf:Lists to store element lists."
<http://spinrdf.org/sp#Exists>	"Exists"		"An EXISTS element group."
<http://spinrdf.org/sp#Filter>	"Filter"		"A constraint element that evaluates a given expression to true or false."
<http://spinrdf.org/sp#GroupConcat>	"GROUP_CONCAT"		"Represents GROUP_CONCAT aggregations."
<http://spinrdf.org/sp#Insert>	"Insert"		"Deprecated - use sp:Modify instead.\n\nRepresents a INSERT INTO (part of SPARQL UPDATE language). The graph IRIs are stored in sp:graphIRI. The template patterns to delete are stored in sp:insertPattern. The WHERE clause is represented using sp:where."
<http://spinrdf.org/sp#InsertData>	"Insert data"		"An Update operation to insert specific triples. The graph triples are represented using sp:data, which points to an rdf:List of sp:Triples or sp:NamedGraphs."
<http://spinrdf.org/sp#Let>	"Let"		"Deprecated: use sp:Bind instead.\n\nA variable assignment (LET (?<varName> := <expression>)). Not part of the SPARQL 1.0 standard, but (for example) ARQ."
<http://spinrdf.org/sp#Load>	"Load"		"A LOAD Update operation. The document to load is specified using sp:document, and the (optional) target graph using sp:into."
<http://spinrdf.org/sp#Max>	"MAX"		"Represents MAX aggregations."
<http://spinrdf.org/sp#Min>	"MIN"		"Represents MIN aggregations."
<http://spinrdf.org/sp#Minus>	"Minus"		"A MINUS element group."
<http://spinrdf.org/sp#ModPath>	"Mod path"		"A modified path such as rdfs:subClassOf*."
<http://spinrdf.org/sp#Modify>	"Modify"		"Represents a MODIFY (part of SPARQL UPDATE language). The graph IRIs are stored in sp:graphIRI. The template patterns are stored in sp:deletePattern and sp:insertPattern. The WHERE clause is represented using sp:where."
<http://spinrdf.org/sp#NamedGraph>	"Named graph"		"A named Graph element such as GRAPH <uri> {...}."
<http://spinrdf.org/sp#NotExists>	"Not exists"		"A NOT EXISTS element group."
<http://spinrdf.org/sp#Optional>	"Optional"		"An optional element in a query."
<http://spinrdf.org/sp#OrderByCondition>	"Order by condition"		"An abstract base class for ascending or descending order conditions. Instances of this class (typically bnodes) must have a value for expression to point to the actual values."
<http://spinrdf.org/sp#Path>	"Path"		"The base class of SPARQL property path expressions. Paths are used by sp:TriplePath triple paths."
<http://spinrdf.org/sp#Query>	"Query"		"Abstract base class of the various types of supported queries. Common to all types of queries is that they can have a body (\"WHERE clause\")."
<http://spinrdf.org/sp#ReverseLinkPath>	"Reverse link path"		
<http://spinrdf.org/sp#ReversePath>	"Reverse path"		"A path with reversed direction."
<http://spinrdf.org/sp#Sample>	"SAMPLE"		"Represents SAMPLE aggregations"
<http://spinrdf.org/sp#Select>	"Select query"		"A SELECT-type query that returns variable bindings as its result."
<http://spinrdf.org/sp#SeqPath>	"Seq path"		"A sequence of multiple paths."
<http://spinrdf.org/sp#Service>	"Service"		"A SERVICE call that matches a nested sub-pattern against a SPARQL end point specified by a URI."
<http://spinrdf.org/sp#SubQuery>	"Sub query"		"A nested SELECT query inside of an element list. The query is stored in sp:query."
<http://spinrdf.org/sp#Sum>	"SUM"		"Represents sum aggregations, e.g. SELECT SUM(?varName)..."
<http://spinrdf.org/sp#SystemClass>	"SP System class"		"An \"artificial\" root class that groups all SP classes. This makes them look much less overwhelming in UI tools. Typical end users don't need to see those classes anyway."
