?p	?o
<http://example.com/n4l/ex_id_(or_tx_id)>	ex.8274
<http://example.com/n4l/colony_appearance,_texture,_odor,_and_consistency>	shiny
<http://example.com/n4l/negative_enzyme_activities>	cytochrome oxidase, urease
<http://example.com/n4l/oxygen,_h2_and_co2_requirements>	aerobic
<http://example.com/n4l/media_(grows)>	Trypticase soy agar
<http://example.com/n4l/not_utilized_as_carbon_source>	citrate
<http://example.com/n4l/gram_positive_negative>	Gram-negative
<http://example.com/n4l/gram_positive_negative>	Gram negative
<http://example.com/n4l/cellular_morphology_(dimension_2)>	"0.3-0.5 μm"
<http://example.com/n4l/cellular_morphology_(dimension_2)>	"5 to 15 μm"
<http://example.com/n4l/colony_elevation>	convex, low convex
<http://example.com/n4l/colony_color>	yellow
<http://example.com/n4l/colony_color>	yellow pigmented (aerobically), nonpigmented (anerobically),
<http://example.com/n4l/hydrolysis_negative>	cellulose, agar
<http://example.com/n4l/culture_collection_numbers>	ATCC 29551
<http://example.com/n4l/broad_metabolic_characteristics>	Chemoorganotrophic, respiratory metabolism
<http://example.com/n4l/mol_g+c_content_(no_method)>	"32-37 mol%"
<http://example.com/n4l/flagella_observations>	flagella are absent
<http://example.com/n4l/flagella_observations>	aflagellate
<http://example.com/n4l/fatty_acids>	"15:0, 15:0 iso, 15:1 iso G, 15:0 iso 3OH, summed feature 4 (15:0 iso 20H, 16:1 w7c, or 16:1 w7t, 16:0 iso 30H, 17:1 iso 09c, 17:0 iso 30H."
<http://example.com/n4l/common_assays_(imvic_tests,_milk_tests,_others)>	Indole is not produced
<http://example.com/n4l/common_assays_(imvic_tests,_milk_tests,_others)>	H2S and indole are not produced. Acetylmethylcarbinol is not produced; the methyl red test is negative.
<http://example.com/n4l/growth_factors_and_nutritional_requirements>	Anaerobic growth occurs in the presence of glucose and yeast extract or during nitrate reduction.
<http://example.com/n4l/degradation_negative>	lecithin, cellulose,
<http://example.com/n4l/nitrate_reduction>	Nitrate is reduced to ammonia and can be used as a sole N source.
<http://example.com/n4l/hydrolysis_positive>	o-nitrophenyl-β-D-galactopyranoside, starch, chitin, pectin, carboxymethyl cellulose,
<http://example.com/n4l/hydrolysis_positive>	Tween 40, tween 60, tween 80, tributyrin, Chitin (weakly), Starch, casein, gelatin, peptone, Carboxymethylcellulose (strongly).
<http://example.com/n4l/pathogenicity_and_hemolysis>	Strongly bacteriolytic but not cyanobacteriolytic
<http://example.com/n4l/colony_morphology>	On solid media containing high nutrient contents. (On media containing low levels of nutrients)
<http://example.com/n4l/degradation_positive>	gelatin, casein, tributyrin, tween compounds,
<http://example.com/n4l/no_acid_production>	sucrose, cellobiose, lactose, galactose, mannitol
<http://example.com/n4l/respiratory_quinones>	MK-6
<http://example.com/n4l/pigment_production>	The major pigments produced resemble flexirubin and are not carotenoid.
<http://example.com/n4l/pigment_production>	nondiffusible carotenoid or flexirubin types of pigments or both, but nonpigmented strains do occur.
<http://example.com/n4l/mol_g+c_content_(bd)>	"33.7 mol%"
<http://example.com/n4l/temperature_(does_not_grow)>	"0, 37°C"
<http://example.com/n4l/temperature_(does_not_grow)>	<http://example.org/pg/546e8a8b-0fff-48f7-9618-986212310fef>
<http://example.com/n4l/temperature_(does_not_grow)>	<http://example.org/pg/a6b4cdf7-8514-45dc-a4c8-75cf79c92994>
<http://example.com/n4l/temperature_(does_not_grow)>	<http://example.org/pg/b7601709-0d4b-4dd4-9b07-732b945034fc>
<http://example.com/n4l/temperature_(does_not_grow)>	<http://example.org/pg/c66ba01d-7b2e-49c0-90b3-f9b5d4fbdaef>
<http://example.com/n4l/phospholipids>	Sphingophospholipids are absent
<http://example.com/n4l/acid_production>	carbohydrates,
<http://example.com/n4l/used_as_nitrogen_source>	Nitrate
<http://example.com/n4l/used_as_nitrogen_source>	peptones,
<http://example.com/n4l/do_not_contain_contain_cellular_inclusion_bodies>	poly-β-hydroxybutyrateare
<http://example.com/n4l/media_(does_not_grow)>	seawater-containing media
<http://example.com/n4l/utilized_as_sole_carbon_source>	Tween 40, tween 60, tween 80, tributyrin
<http://example.com/n4l/not_utilized_as_sole_carbon_and_energy_source>	Alginate
<http://example.com/n4l/polyamines>	Homospermidine, minor: putrescine
<http://example.com/n4l/rank>	species
<http://example.com/n4l/ncbi_tax_id>	"991.0"
<http://example.com/n4l/ncbi_tax_id>	"991"
<http://example.com/n4l/rid>	rid.240
<http://example.com/n4l/rid>	rid.1156
<http://example.com/n4l/colony_appearance,_texture,_and_consistency>	shiny
<http://example.com/n4l/acid_produced_aerobically>	glucose, maltose
<http://example.com/n4l/filename>	rid.240_nm.8094.xml
<http://example.com/n4l/n4l_id>	nm.8094
<http://example.com/n4l/n4l_id>	nm.8274
<http://example.com/n4l/refid>	rid.240
<http://example.com/n4l/refid>	rid.1156
<http://example.com/n4l/rid_(effective_emendation)>	rid.240
<http://example.com/n4l/rid_(effective_emendation)>	rid.1156
<http://example.com/n4l/class>	Cytophagia
<http://example.com/n4l/class>	Flavobacteriia
<http://example.com/n4l/genus>	Cytophaga
<http://example.com/n4l/genus>	Flavobacterium
<http://example.com/n4l/validation>	VP
<http://example.com/n4l/validation>	AL
<http://example.com/n4l/root_taxon>	tx.0
<http://example.com/n4l/strains>	NCIMB 2215,LMG 8385,Cy aq1,CCUG 35201,DSM 2063,ATCC 29551,IFO 14958,N
<http://example.com/n4l/strains>	NCIMB 2215,LMG 8385,N,IFO 14958,CCUG 35201,ATCC 29551,DSM 2063,Cy aq1
<http://example.com/n4l/order>	Cytophagales
<http://example.com/n4l/order>	Flavobacteriales
<http://example.com/n4l/domain_taxon>	tx.419
<http://example.com/n4l/species>	Flavobacterium hydatis
<http://example.com/n4l/species>	Cytophaga aquatilis
<http://example.com/n4l/has_16s_sequence_accession>	M58764,AM230487
<http://example.com/n4l/family>	Flavobacteriaceae
<http://example.com/n4l/family>	Cytophagaceae
<http://example.com/n4l/effective_date>	"1978"
<http://example.com/n4l/effective_date>	"1996"
<http://example.com/n4l/nomenclatural_type>	TYPE
<http://example.com/n4l/authority>	Strohl and Tait 1978 (Approved Lists 1980)
<http://example.com/n4l/authority>	Bernardet et al. 1996 emend. Hahnke et al. 2016
<http://example.com/n4l/n4l_exemplar_id>	ex.8274
<http://example.com/n4l/index>	"8087"
<http://example.com/n4l/index>	"8267"
<http://example.com/n4l/valid_date>	"1996.0"
<http://example.com/n4l/valid_date>	"1980.0"
<http://example.com/n4l/is_preferred>	True
<http://example.com/n4l/is_preferred>	False
<http://example.com/n4l/order_taxon>	tx.8069
<http://example.com/n4l/order_taxon>	tx.17929
<http://example.com/n4l/family_taxon>	tx.8070
<http://example.com/n4l/family_taxon>	tx.14010
<http://example.com/n4l/domain>	Bacteria
<http://example.com/n4l/n4l_name_id>	nm.8094
<http://example.com/n4l/n4l_name_id>	nm.8274
<http://example.com/n4l/phylum>	Bacteroidota
<http://example.com/n4l/n4l_taxon_id>	tx.8094
<http://example.com/n4l/n4l_taxon_id>	tx.8274
<http://example.com/n4l/illegitimate>	False
<http://example.com/n4l/species_taxon>	tx.8094
<http://example.com/n4l/species_taxon>	tx.8274
<http://example.com/n4l/genus_taxon>	tx.8071
<http://example.com/n4l/genus_taxon>	tx.8270
<http://example.com/n4l/phylum_taxon>	tx.7927
<http://example.com/n4l/root>	Universal Root
<http://example.com/n4l/class_taxon>	tx.22750
<http://example.com/n4l/class_taxon>	tx.22978
<http://example.com/n4l/nomenclatural_type_exemplar>	ex.8274
<http://example.com/n4l/preferred_name>	Flavobacterium hydatis
<http://example.com/n4l/new_combination>	Flavobacterium hydatis
<http://example.com/n4l/n4l_preferred_id>	nm.8094
<http://example.com/n4l/basonym>	Cytophaga aquatilis
<http://example.com/n4l/type_exemplars>	"1"
<http://example.com/n4l/sequenced_type_exemplars>	"0"
<http://example.com/n4l/in_current_db>	rid.240_nm.8094
<http://example.com/n4l_metpo/nm_identifier>	nm.8094
<http://example.com/n4l_metpo/nm_identifier>	nm.8274
<http://purl.obolibrary.org/obo/ncbitaxon#has_rank>	species
