ID	label	TYPE	parent class	TYPE	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	synonym source	bactotraits synonym	synonym source
METPO:1000455	pH optimum low	owl:Class	pH optimum (metabolic efficiency)	owl:Class	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 0 and 6, characteristic of acidophilic organisms. Values ranging from 0 to 6 pH.				Extreme Acidophile|Acidophile|Acid Tolerant|Facultative acidophile|Obligative acidophile						pHO_0_to_6	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000456	pH optimum mid1	owl:Class	pH optimum (metabolic efficiency)	owl:Class	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 6 and 7, characteristic of neutrophilic or alkali-tolerant organisms. Values ranging from 6 to 7 pH.				Neutrophile|Alkali Tolerant						pHO_6_to_7	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000457	pH optimum mid2	owl:Class	pH optimum (metabolic efficiency)	owl:Class	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 7 and 8, characteristic of neutrophilic, alkaliphilic, or alkali-tolerant organisms. Values ranging from 7 to 8 pH.				Neutrophile|Alkaliphile|Alkali Tolerant						pHO_7_to_8	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000235	pH range (growth tolerance)	owl:Class	phenotype	owl:Class	The span of pH values within which an organism can grow											
METPO:1000332	pH range (cellular homeostasis)	owl:Class	phenotype	owl:Class	The span of hydrogen ion concentrations within which a microorganism can maintain cellular homeostasis and sustain growth.											
METPO:1000464	pH range high	owl:Class	pH range (cellular homeostasis)	owl:Class	A pH range allowing microbial growth at hydrogen ion concentrations between pH 10 and 14, characteristic of extremely alkaliphilic organisms. Values ranging from 10 to 14 pH.				Alkaliphile|Alkali Tolerant|Extreme Alkaliphile						10_to_14	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000460	pH range low	owl:Class	pH range (cellular homeostasis)	owl:Class	A pH range allowing microbial growth at hydrogen ion concentrations between pH 4 and 6, characteristic of acidophilic organisms. Values ranging from 4 to 6 pH.				Acidophile|Acid Tolerant|Facultative acidophile|Obligative acidophile						pHR_4_to_6	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000461	pH range mid1	owl:Class	pH range (cellular homeostasis)	owl:Class	A pH range allowing microbial growth at hydrogen ion concentrations between pH 6 and 7, characteristic of neutrophilic organisms. Values ranging from 6 to 7 pH.				Neutrophile|Alkali Tolerant|Facultative acidophile						pHR_6_to_7	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000462	pH range mid2	owl:Class	pH range (cellular homeostasis)	owl:Class	A pH range allowing microbial growth at hydrogen ion concentrations between pH 7 and 8, characteristic of neutrophilic or alkaliphilic organisms. Values ranging from 7 to 8 pH.				Neutrophile|Alkaliphile|Alkali Tolerant|Facultative acidophile						pHR_7_to_8	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000463	pH range mid3	owl:Class	pH range (cellular homeostasis)	owl:Class	A pH range allowing microbial growth at hydrogen ion concentrations between pH 8 and 10, characteristic of alkaliphilic organisms. Values ranging from 8 to 10 pH.				Alkaliphile|Alkali Tolerant|Extreme Alkaliphile|Facultative acidophile						pHR_8_to_10	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000459	pH range very low	owl:Class	pH range (cellular homeostasis)	owl:Class	A pH range allowing microbial growth at hydrogen ion concentrations between pH 0 and 4, characteristic of extremely acidophilic organisms. Values ranging from 0 to 4 pH.				Extreme Acidophile|Acidophile|Acid Tolerant|Facultative acidophile|Obligative acidophile						pHR_0_to_4	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000236	pH tolerance	owl:Class	phenotype	owl:Class	The ability of an organism to survive exposure to pH values outside its optimal growth range											
METPO:1000303	temperature delta	owl:Class	phenotype	owl:Class	A measure of the breadth of thermal conditions that a microorganism can withstand, calculated as the difference between the maximum and minimum viable temperature values											
METPO:1000487	temperature delta high	owl:Class	temperature delta	owl:Class	A growth tolerance metric measuring the span of temperatures that support an organism's growth, with a wide range greater than 30°C. Values with minimum value of 30 C.										Td_>30	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000484	temperature delta low	owl:Class	temperature delta	owl:Class	A growth tolerance metric measuring the span of temperatures that support an organism's growth, with a range between 5°C and 10°C. Values ranging from 5 to 10 C.										Td_5_10	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000485	temperature delta mid1	owl:Class	temperature delta	owl:Class	A growth tolerance metric measuring the span of temperatures that support an organism's growth, with a range between 10°C and 20°C. Values ranging from 10 to 20 C.										Td_10_20	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000486	temperature delta mid2	owl:Class	temperature delta	owl:Class	A growth tolerance metric measuring the span of temperatures that support an organism's growth, with a range between 20°C and 30°C. Values ranging from 20 to 30 C.										Td_20_30	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000483	temperature delta very low	owl:Class	temperature delta	owl:Class	A growth tolerance metric measuring the span of temperatures that support an organism's growth, with a narrow range between 1°C and 5°C. Values ranging from 1 to 5 C.										Td_1_5	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000304	temperature optimum (growth range)	owl:Class	phenotype	owl:Class	The specific temperature at which an organism exhibits maximum growth rate											
METPO:1000329	temperature optimum (metabolic activity)	owl:Class	biological process	owl:Class	The specific temperature at which a microorganism exhibits maximum metabolic activity and growth rate within its viable range.											
METPO:1000447	temperature optimum high	owl:Class	temperature optimum (growth range)	owl:Class	A temperature optimum manifested as maximum microbial growth at temperatures above 40°C, typical of thermophilic organisms. Values with minimum value of 40 C.				Thermophile						TO_>40	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000442	temperature optimum low	owl:Class	temperature optimum (growth range)	owl:Class	A temperature optimum manifested as maximum microbial growth at temperatures between 10°C and 22°C, common in psychrophilic or psychrotolerant organisms. Values ranging from 10 to 22 C.				Psychrophile|Psychrotolerant						TO_10_to_22	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000443	temperature optimum mid1	owl:Class	temperature optimum (growth range)	owl:Class	A temperature optimum manifested as maximum microbial growth at temperatures between 22°C and 27°C, characteristic of mesophilic organisms. Values ranging from 22 to 27 C.				Mesophilie						TO_22_to_27	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000444	temperature optimum mid2	owl:Class	temperature optimum (growth range)	owl:Class	A temperature optimum manifested as maximum microbial growth at temperatures between 27°C and 30°C, characteristic of mesophilic organisms. Values ranging from 27 to 30 C.				Mesophilie						TO_27_to_30	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000445	temperature optimum mid3	owl:Class	temperature optimum (growth range)	owl:Class	A temperature optimum manifested as maximum microbial growth at temperatures between 30°C and 34°C, characteristic of mesophilic organisms. Values ranging from 30 to 34 C.				Mesophilie						TO_30_to_34	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000446	temperature optimum mid4	owl:Class	temperature optimum (growth range)	owl:Class	A temperature optimum manifested as maximum microbial growth at temperatures between 34°C and 40°C, characteristic of mesophilic organisms. Values ranging from 34 to 40 C.				Mesophilie						TO_34_to_40	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000441	temperature optimum very low	owl:Class	temperature optimum (growth range)	owl:Class	A temperature optimum manifested as maximum microbial growth at temperatures below 10°C, typical of psychrophilic organisms. Values with maximum value of 10 C.				Psychrophile						TO_<10	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000306	temperature range (growth tolerance)	owl:Class	phenotype	owl:Class	The span of temperatures within which an organism can grow											
METPO:1000330	temperature range (metabolic viability)	owl:Class	biological process	owl:Class	The span of temperatures within which a microorganism can maintain metabolic functions and population viability.											
METPO:1000454	temperature range high	owl:Class	temperature range (growth tolerance)	owl:Class	A temperature range allowing microbial growth at temperatures above 40°C, characteristic of thermophilic organisms. Values with minimum value of 40 C.				Thermophile						TR_>40	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000449	temperature range low	owl:Class	temperature range (growth tolerance)	owl:Class	A temperature range allowing microbial growth at temperatures between 10°C and 22°C, characteristic of psychrophilic or psychrotolerant organisms. Values ranging from 10 to 22 C.				Psychrophile|Psychrotolerant						TR_10_to_22	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000450	temperature range mid1	owl:Class	temperature range (growth tolerance)	owl:Class	A temperature range allowing microbial growth at temperatures between 22°C and 27°C, characteristic of mesophilic organisms. Values ranging from 22 to 27 C.				Mesophilie						TR_22_to_27	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000451	temperature range mid2	owl:Class	temperature range (growth tolerance)	owl:Class	A temperature range allowing microbial growth at temperatures between 27°C and 30°C, characteristic of mesophilic organisms. Values ranging from 27 to 30 C.				Mesophilie						TR_27_to_30	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000452	temperature range mid3	owl:Class	temperature range (growth tolerance)	owl:Class	A temperature range allowing microbial growth at temperatures between 30°C and 34°C, characteristic of mesophilic organisms. Values ranging from 30 to 34 C.				Mesophilie						TR_30_to_34	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000453	temperature range mid4	owl:Class	temperature range (growth tolerance)	owl:Class	A temperature range allowing microbial growth at temperatures between 34°C and 40°C, characteristic of mesophilic organisms. Values ranging from 34 to 40 C.				Mesophilie						TR_34_to_40	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000448	temperature range very low	owl:Class	temperature range (growth tolerance)	owl:Class	A temperature range allowing microbial growth at temperatures below 10°C, characteristic of psychrophilic organisms. Values with maximum value of 10 C.				Psychrophile						TR_<10	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000335	NaCl delta	owl:Class	phenotype	owl:Class	A measure of the breadth of sodium chloride concentrations that a microorganism can tolerate, calculated as the difference between the maximum and minimum viable salinity values.											
METPO:1000482	NaCl delta high	owl:Class	NaCl delta	owl:Class	A growth tolerance metric measuring the span of sodium chloride concentrations that support an organism's growth, with a wide range greater than 8%. Values with maximum value of 8 C.										Nad_>8	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000479	NaCl delta low	owl:Class	NaCl delta	owl:Class	A growth tolerance metric measuring the span of sodium chloride concentrations that support an organism's growth, with a narrow range less than 1%. Values with maximum value of 1 C.										Nad_<1	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000480	NaCl delta mid1	owl:Class	NaCl delta	owl:Class	A growth tolerance metric measuring the span of sodium chloride concentrations that support an organism's growth, with a range between 1% and 3%. Values ranging from 1 to 3 C.										Nad_1_3	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000481	NaCl delta mid2	owl:Class	NaCl delta	owl:Class	A growth tolerance metric measuring the span of sodium chloride concentrations that support an organism's growth, with a range between 3% and 8%. Values ranging from 3 to 8 C.										Nad_3_8	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000333	NaCl optimum	owl:Class	phenotype	owl:Class	The specific concentration of sodium chloride at which a microorganism exhibits maximum growth rate and metabolic efficiency.											
METPO:1000468	NaCl optimum high	owl:Class	NaCl optimum	owl:Class	A salinity optimum manifested as maximum microbial growth at sodium chloride concentrations above 8%, characteristic of extreme halophiles. Values with minimum value of 8 % NaCl.				Extreme halophile						NaR_>8	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000465	NaCl optimum low	owl:Class	NaCl optimum	owl:Class	A salinity optimum manifested as maximum microbial growth at sodium chloride concentrations below 1%, characteristic of non-halophilic or halotolerant organisms. Values with maximum value of 1 % NaCl.				Non-halophile|Halotolerant						NaR_<1	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000466	NaCl optimum mid1	owl:Class	NaCl optimum	owl:Class	A salinity optimum manifested as maximum microbial growth at sodium chloride concentrations between 1% and 3%, characteristic of slight halophiles or halotolerant organisms. Values ranging from 1 to 3 % NaCl.				Slight halophile|Halotolerant						NaR_1_to_3	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000467	NaCl optimum mid2	owl:Class	NaCl optimum	owl:Class	A salinity optimum manifested as maximum microbial growth at sodium chloride concentrations between 3% and 8%, characteristic of moderate halophiles or halotolerant organisms. Values ranging from 3 to 8 % NaCl.				Moderate halophile|Halotolerant						NaR_3_to_8	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000334	NaCl range	owl:Class	phenotype	owl:Class	The span of sodium chloride concentrations within which a microorganism can maintain osmotic balance and cellular functions.											
METPO:1000472	NaCl range high	owl:Class	NaCl range	owl:Class	A salinity range allowing microbial growth at sodium chloride concentrations above 8%, characteristic of extreme halophiles. Values with minimum value of 8 % NaCl.				Extreme halophile						NaO_>8	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000469	NaCl range low	owl:Class	NaCl range	owl:Class	A salinity range allowing microbial growth at sodium chloride concentrations below 1%, characteristic of non-halophilic organisms. Values with maximum value of 1 % NaCl.				Non-halophile|Halotolerant						NaO_<1	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000470	NaCl range mid1	owl:Class	NaCl range	owl:Class	A salinity range allowing microbial growth at sodium chloride concentrations between 1% and 3%, characteristic of slight halophiles. Values ranging from 1 to 3 % NaCl.				Slight halophile|Halotolerant						NaO_1_to_3	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000471	NaCl range mid2	owl:Class	NaCl range	owl:Class	A salinity range allowing microbial growth at sodium chloride concentrations between 3% and 8%, characteristic of moderate halophiles. Values ranging from 3 to 8 % NaCl.				Moderate halophile|Halotolerant						NaO_3_to_8	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000127	GC content	owl:Class	quality	owl:Class	The percentage of guanine and cytosine nucleotides in DNA											
METPO:1000432	GC high	owl:Class	GC content	owl:Class	A genomic feature characterized by a guanine-cytosine content percentage above 66.3% in an organism's DNA. Values with minimum value of 66.3 % GC.										GC_>66.3	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000429	GC low	owl:Class	GC content	owl:Class	A genomic feature characterized by a guanine-cytosine content percentage below 42.65% in an organism's DNA. Values with maximum value of 42.65 % GC.										GC_<42.65	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000430	GC mid1	owl:Class	GC content	owl:Class	A genomic feature characterized by a guanine-cytosine content percentage between 42.65% and 57% in an organism's DNA. Values ranging from 42.65 to 57 % GC.										GC_42.65_57.0	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000431	GC mid2	owl:Class	GC content	owl:Class	A genomic feature characterized by a guanine-cytosine content percentage between 57% and 66.3% in an organism's DNA. Values ranging from 57 to 66.3 % GC.										GC_57.0_66.3	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
