provenance,original_subject,organism,predicate,raw_text
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.6682_nm.11128,http://purl.obolibrary.org/obo/NCBITaxon_335972,http://example.com/n4l/na_cl_(does_not_grow),"0%, 15%"
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.2385_nm.11243,http://purl.obolibrary.org/obo/NCBITaxon_370977,http://example.com/n4l/na_cl_optimum,0–1 % (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/1000_proto_proj,http://example.com/n4l/rid.4887_nm.351,http://purl.obolibrary.org/obo/NCBITaxon_29288,http://example.com/n4l/na_cl_optimum,20-25%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2525_nm.11441,http://purl.obolibrary.org/obo/NCBITaxon_435905,http://example.com/n4l/na_cl_(does_not_grow),0% or more than 16 % (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.12432_nm.9750,http://purl.obolibrary.org/obo/NCBITaxon_316068,http://example.com/n4l/na_cl_(grows),1% (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.4179_nm.828,http://purl.obolibrary.org/obo/NCBITaxon_34011,http://example.com/n4l/na_cl_optimum,less than 0.01 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2817_nm.9373,http://purl.obolibrary.org/obo/NCBITaxon_269261,http://example.com/n4l/na_cl_optimum,30 g NaCl L-1
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2788_nm.1082,http://purl.obolibrary.org/obo/NCBITaxon_144022,http://example.com/n4l/na_cl_optimum,5-100 g NaCl l-1
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/1000_proto_proj,http://example.com/n4l/rid.9272_nm.14553,http://purl.obolibrary.org/obo/NCBITaxon_561965,http://example.com/n4l/na_cl_optimum,2–3%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2605_nm.11576,http://purl.obolibrary.org/obo/NCBITaxon_720633,http://example.com/n4l/na_cl_range,up to 5 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.8773_nm.13779,http://purl.obolibrary.org/obo/NCBITaxon_466153,http://example.com/n4l/na_cl_(does_not_grow),>0.5%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2770_nm.1117,http://purl.obolibrary.org/obo/NCBITaxon_85273,http://example.com/n4l/na_cl_(grows),up to 20%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2394_nm.11261,http://purl.obolibrary.org/obo/NCBITaxon_416874,http://example.com/n4l/na_cl_range,1 and 15% (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.5953_nm.2468,http://purl.obolibrary.org/obo/NCBITaxon_217169,http://example.com/n4l/na_cl_optimum,2-3%
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2379_nm.11227,http://purl.obolibrary.org/obo/NCBITaxon_375674,http://example.com/n4l/na_cl_range,0.5–4.0%
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2458_nm.11363,http://purl.obolibrary.org/obo/NCBITaxon_370974,http://example.com/n4l/na_cl_(does_not_grow),more than 2.0 % (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/1000_proto_proj,http://example.com/n4l/rid.3735_nm.445,http://purl.obolibrary.org/obo/NCBITaxon_75906,http://example.com/n4l/na_cl_range,0 -0.4%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2722_nm.7733,http://purl.obolibrary.org/obo/NCBITaxon_58109,http://example.com/n4l/na_cl_(grows),0.03
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2650_nm.352,http://purl.obolibrary.org/obo/NCBITaxon_44470,http://example.com/n4l/na_cl_range,8 and 30%
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2476_nm.11410,http://purl.obolibrary.org/obo/NCBITaxon_420952,http://example.com/n4l/na_cl_(does_not_grow),"0.5, 1.5, 3.0, 4.5 or 6.0 %"
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2394_nm.11259,http://purl.obolibrary.org/obo/NCBITaxon_416873,http://example.com/n4l/na_cl_range,0 and 20 % (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2659_nm.7519,http://purl.obolibrary.org/obo/NCBITaxon_161355,http://example.com/n4l/na_cl_(grows),0.02
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.6951_nm.315,http://purl.obolibrary.org/obo/NCBITaxon_57705,http://example.com/n4l/na_cl_range,"Extremely halophilic, 2.5 and 4.5 MNaCl"
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.6083_nm.10177,http://purl.obolibrary.org/obo/NCBITaxon_350893,http://example.com/n4l/na_cl_range,0–3 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/Sheet2,http://example.com/n4l/nm.10828,http://purl.obolibrary.org/obo/NCBITaxon_1245,http://example.com/n4l/na_cl_(grows),"3.0%, 6.5% (m/v)"
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.4599_nm.6047,http://purl.obolibrary.org/obo/NCBITaxon_159896,http://example.com/n4l/na_cl_(grows),"5%, 7%, 10%, 12% (w/v)"
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2473_nm.11390,http://purl.obolibrary.org/obo/NCBITaxon_271096,http://example.com/n4l/na_cl_(grows),4 % (w/v) (weak)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.9102_nm.14293,http://purl.obolibrary.org/obo/NCBITaxon_337702,http://example.com/n4l/na_cl_optimum,1–3%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.9593_nm.14786,http://purl.obolibrary.org/obo/NCBITaxon_426226,http://example.com/n4l/na_cl_range,0 and 2% (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2331_nm.5228,http://purl.obolibrary.org/obo/NCBITaxon_157225,http://example.com/n4l/na_cl_range,0.5 and 25% (wt/vol)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/Sheet2,http://example.com/n4l/nm.623,http://purl.obolibrary.org/obo/NCBITaxon_187145,http://example.com/n4l/na_cl_range,0.1 - 5.0%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.6536_nm.9377,http://purl.obolibrary.org/obo/NCBITaxon_271155,http://example.com/n4l/na_cl_optimum,0 %
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2704_nm.8330,http://purl.obolibrary.org/obo/NCBITaxon_55505,http://example.com/n4l/na_cl_optimum,1.0-3.0%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2528_nm.11434,http://purl.obolibrary.org/obo/NCBITaxon_421525,http://example.com/n4l/na_cl_optimum,0–1.5 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2852_nm.10304,http://purl.obolibrary.org/obo/NCBITaxon_1025,http://example.com/n4l/na_cl_optimum,3 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.8215_nm.14179,http://purl.obolibrary.org/obo/NCBITaxon_515351,http://example.com/n4l/na_cl_optimum,3 % (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.1124_nm.10074,http://purl.obolibrary.org/obo/NCBITaxon_317577,http://example.com/n4l/na_cl_range,up to 0.5%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2447_nm.11343,http://purl.obolibrary.org/obo/NCBITaxon_366534,http://example.com/n4l/na_cl_(does_not_grow),"7 %, 0%"
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.8817_nm.13380,http://purl.obolibrary.org/obo/NCBITaxon_395085,http://example.com/n4l/na_cl_(does_not_grow),0.065
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2766_nm.5044,http://purl.obolibrary.org/obo/NCBITaxon_135826,http://example.com/n4l/na_cl_(grows),"20% (weak), 19%"
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2443_nm.11327,http://purl.obolibrary.org/obo/NCBITaxon_290732,http://example.com/n4l/na_cl_optimum,0.5 %
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2774_nm.10132,http://purl.obolibrary.org/obo/NCBITaxon_221822,http://example.com/n4l/na_cl_range,0.01 and <1.5 M
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.4489_nm.4063,http://purl.obolibrary.org/obo/NCBITaxon_114628,http://example.com/n4l/na_cl_optimum,5 g 1^-1
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.7242_nm.4541,http://purl.obolibrary.org/obo/NCBITaxon_85874,http://example.com/n4l/na_cl_range,0.05-4.5% (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.3754_nm.11003,http://purl.obolibrary.org/obo/NCBITaxon_366586,http://example.com/n4l/na_cl_range,up to 10 % (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2589_nm.11538,http://purl.obolibrary.org/obo/NCBITaxon_398773,http://example.com/n4l/na_cl_range,0.5 and 4 M
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2750_nm.11033,http://purl.obolibrary.org/obo/NCBITaxon_349750,http://example.com/n4l/na_cl_range,0–3 %
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/1000_proto_proj,http://example.com/n4l/rid.10562_nm.14307,http://purl.obolibrary.org/obo/NCBITaxon_503361,http://example.com/n4l/na_cl_optimum,0
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.7073_nm.5292,http://purl.obolibrary.org/obo/NCBITaxon_157228,http://example.com/n4l/na_cl_(does_not_grow),"15%, 0%"
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.8600_nm.13439,http://purl.obolibrary.org/obo/NCBITaxon_451764,http://example.com/n4l/na_cl_(does_not_grow),0.12
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2476_nm.11410,http://purl.obolibrary.org/obo/NCBITaxon_420952,http://example.com/n4l/na_cl_(does_not_grow),"0.5, 1.5, 3.0, 4.5 or 6.0 %"
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2490_nm.9732,http://purl.obolibrary.org/obo/NCBITaxon_340021,http://example.com/n4l/na_cl_range,1.4 %-8 % (w/v) (marine salts)
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet3,http://example.com/n4l/nm.24927,http://purl.obolibrary.org/obo/NCBITaxon_1495039,http://example.com/n4l/na_cl_range,1–5 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.10009_nm.7760,http://purl.obolibrary.org/obo/NCBITaxon_125,http://example.com/n4l/na_cl_range,up to 50% artificial seawater
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet3,http://example.com/n4l/nm.4569,http://purl.obolibrary.org/obo/NCBITaxon_184064,http://example.com/n4l/na_cl_(does_not_grow),above 1% (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.5966_nm.8600,http://purl.obolibrary.org/obo/NCBITaxon_256821,http://example.com/n4l/na_cl_(does_not_grow),0.08
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2774_nm.10132,http://purl.obolibrary.org/obo/NCBITaxon_221822,http://example.com/n4l/na_cl_optimum,0.51 and 0.68 M
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2423_nm.11302,http://purl.obolibrary.org/obo/NCBITaxon_418701,http://example.com/n4l/na_cl_(does_not_grow),1.0 or 15 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.5687_nm.9938,http://purl.obolibrary.org/obo/NCBITaxon_197461,http://example.com/n4l/na_cl_range,0.5–17.5% (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2438_nm.11317,http://purl.obolibrary.org/obo/NCBITaxon_359365,http://example.com/n4l/na_cl_(grows),"0%, up to 9 % (w/v)"
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.3700_nm.10261,http://purl.obolibrary.org/obo/NCBITaxon_287535,http://example.com/n4l/na_cl_optimum,20 g l ^-1
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.8596_nm.13560,http://purl.obolibrary.org/obo/NCBITaxon_444922,http://example.com/n4l/na_cl_range,2%-5%(w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2097_nm.2675,http://purl.obolibrary.org/obo/NCBITaxon_60550,http://example.com/n4l/na_cl_(does_not_grow),> 5 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.4186_nm.4333,http://purl.obolibrary.org/obo/NCBITaxon_105483,http://example.com/n4l/na_cl_optimum,0.1% (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/Sheet2,http://example.com/n4l/nm.3621,http://purl.obolibrary.org/obo/NCBITaxon_891,http://example.com/n4l/na_cl_(grows),1.5-2%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.4897_nm.1114,http://purl.obolibrary.org/obo/NCBITaxon_77008,http://example.com/n4l/na_cl_range,0 to 3%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2852_nm.10305,http://purl.obolibrary.org/obo/NCBITaxon_367791,http://example.com/n4l/na_cl_optimum,3 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.6951_nm.315,http://purl.obolibrary.org/obo/NCBITaxon_57705,http://example.com/n4l/na_cl_range,"Extremely halophilic, 2.5 and 4.5 MNaCl"
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.2440_nm.11319,http://purl.obolibrary.org/obo/NCBITaxon_370776,http://example.com/n4l/na_cl_(grows),1 and 2 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2498_nm.11431,http://purl.obolibrary.org/obo/NCBITaxon_310769,http://example.com/n4l/na_cl_(grows),less than 10.0 g l−1
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/nm.8072,http://purl.obolibrary.org/obo/NCBITaxon_245,http://example.com/n4l/na_cl_(grows),up to 2–4%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2418_nm.11292,http://purl.obolibrary.org/obo/NCBITaxon_364297,http://example.com/n4l/na_cl_range,0-10 %
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/1000_proto_proj,http://example.com/n4l/rid.5938_nm.8472,http://purl.obolibrary.org/obo/NCBITaxon_279356,http://example.com/n4l/na_cl_range,1–8%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.5938_nm.8472,http://purl.obolibrary.org/obo/NCBITaxon_279356,http://example.com/n4l/na_cl_(does_not_grow),0
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.3711_nm.10290,http://purl.obolibrary.org/obo/NCBITaxon_368811,http://example.com/n4l/na_cl_optimum,1-3%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.3433_nm.4530,http://purl.obolibrary.org/obo/NCBITaxon_108819,http://example.com/n4l/na_cl_(does_not_grow),≥ 0.4 M
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.9454_nm.14591,http://purl.obolibrary.org/obo/NCBITaxon_453851,http://example.com/n4l/na_cl_optimum,1-2%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2787_nm.2585,http://purl.obolibrary.org/obo/NCBITaxon_203192,http://example.com/n4l/na_cl_(grows),up to 40 g NaCl l-1
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2621_nm.303,http://purl.obolibrary.org/obo/NCBITaxon_36738,http://example.com/n4l/na_cl_optimum,20 to 25%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.8219_nm.14177,http://purl.obolibrary.org/obo/NCBITaxon_400065,http://example.com/n4l/na_cl_(does_not_grow),6.5 % NaCl
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.1551_nm.7530,http://purl.obolibrary.org/obo/NCBITaxon_220378,http://example.com/n4l/na_cl_(grows),0.05
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.1353_nm.3115,http://purl.obolibrary.org/obo/NCBITaxon_82979,http://example.com/n4l/na_cl_(grows),"0%, 4%, 6%"
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2614_nm.3011,http://purl.obolibrary.org/obo/NCBITaxon_29498,http://example.com/n4l/na_cl_(does_not_grow),"8% (wt/vol), 0%"
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.3604_nm.8598,http://purl.obolibrary.org/obo/NCBITaxon_279359,http://example.com/n4l/na_cl_range,1–15 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.6890_nm.4488,http://purl.obolibrary.org/obo/NCBITaxon_47055,http://example.com/n4l/na_cl_optimum,0.03
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.6060_nm.9383,http://purl.obolibrary.org/obo/NCBITaxon_299567,http://example.com/n4l/na_cl_range,up to 4.0 % (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.2426_nm.487,http://purl.obolibrary.org/obo/NCBITaxon_2421,http://example.com/n4l/na_cl_range,0.11-3.6%
