original_predicate,normalized_predicate
http://example.com/n4l/isPreferred,http://example.com/n4l/is_preferred
http://example.com/n4l/genus,http://example.com/n4l/genus
http://example.com/n4l/species,http://example.com/n4l/species
http://example.com/n4l/domain_taxon,http://example.com/n4l/domain_taxon
http://example.com/n4l/family,http://example.com/n4l/family
http://example.com/n4l/family_taxon,http://example.com/n4l/family_taxon
http://example.com/n4l/sequenced_type_exemplars,http://example.com/n4l/sequenced_type_exemplars
http://example.com/n4l/Name_N4LID,http://example.com/n4l/n4l_name_id
http://example.com/n4l/subclass_taxon,http://example.com/n4l/subclass_taxon
http://example.com/n4l/subgenus_taxon,http://example.com/n4l/subgenus_taxon
http://example.com/n4l/suborder_taxon,http://example.com/n4l/suborder_taxon
http://example.com/n4l/basonym,http://example.com/n4l/basonym
http://example.com/n4l/root,http://example.com/n4l/root
http://example.com/n4l/species_taxon,http://example.com/n4l/species_taxon
http://example.com/n4l/16S,http://example.com/n4l/has_16s_sequence_accession
http://example.com/n4l/phylum,http://example.com/n4l/phylum
http://example.com/n4l/Nomenclatural_Type,http://example.com/n4l/nomenclatural_type
http://example.com/n4l/subfamily_taxon,http://example.com/n4l/subfamily_taxon
http://example.com/n4l/chromosome,http://example.com/n4l/chromosome
http://example.com/n4l/GOLD,http://example.com/n4l/gold
http://example.com/n4l/assembly,http://example.com/n4l/assembly
http://example.com/n4l/Type_Status,http://example.com/n4l/type_status
http://example.com/n4l/subspecies,http://example.com/n4l/subspecies
http://example.com/n4l/subclass,http://example.com/n4l/subclass
http://example.com/n4l/new_combination,http://example.com/n4l/new_combination
http://example.com/n4l/pH_optimum,http://example.com/n4l/p_h_optimum
http://example.com/n4l/ex.id_%28or_tx.id%29,http://example.com/n4l/ex_id_(or_tx_id)
http://example.com/n4l/rid,http://example.com/n4l/rid
http://example.com/n4l/acid_production,http://example.com/n4l/acid_production
http://example.com/n4l/pH_range,http://example.com/n4l/p_h_range
http://example.com/n4l/cell_wall_content,http://example.com/n4l/cell_wall_content
http://example.com/n4l/NaCl_range,http://example.com/n4l/na_cl_range
http://example.com/n4l/NaCl_%28grows%29,http://example.com/n4l/na_cl_(grows)
http://example.com/n4l/positive_enzyme_activities,http://example.com/n4l/positive_enzyme_activities
http://example.com/n4l/name,http://example.com/n4l/name
http://example.com/n4l/colony_shape,http://example.com/n4l/colony_shape
http://example.com/n4l/nitrate_reduction,http://example.com/n4l/nitrate_reduction
http://example.com/n4l/spore_forming%3F,http://example.com/n4l/spore_forming?
http://example.com/n4l/broad_metabolic_characteristics,http://example.com/n4l/broad_metabolic_characteristics
http://example.com/n4l/utilized_as_energy_source,http://example.com/n4l/utilized_as_energy_source
http://example.com/n4l/respiratory_quinones,http://example.com/n4l/respiratory_quinones
http://example.com/n4l/no_acid_production,http://example.com/n4l/no_acid_production
http://example.com/n4l/antimicrobial_sensitivity,http://example.com/n4l/antimicrobial_sensitivity
http://example.com/n4l/colony_diameter,http://example.com/n4l/colony_diameter
http://example.com/n4l/whole_cell_sugars,http://example.com/n4l/whole_cell_sugars
http://example.com/n4l/NaCl_optimum,http://example.com/n4l/na_cl_optimum
http://example.com/n4l/fatty_acids,http://example.com/n4l/fatty_acids
http://example.com/n4l/oxygen%2C_H2_and_CO2_requirements,"http://example.com/n4l/oxygen,_h2_and_co2_requirements"
http://example.com/n4l/not_utilized_as_carbon_source,http://example.com/n4l/not_utilized_as_carbon_source
http://example.com/n4l/motility,http://example.com/n4l/motility
http://example.com/n4l/temperature_%28does_not_grow%29,http://example.com/n4l/temperature_(does_not_grow)
http://example.com/n4l/colony_margin,http://example.com/n4l/colony_margin
http://example.com/n4l/temperature_optimum,http://example.com/n4l/temperature_optimum
http://example.com/n4l/Gram_positive%2Fnegative,http://example.com/n4l/gram_positive_negative
http://example.com/n4l/colony_morphology,http://example.com/n4l/colony_morphology
http://example.com/n4l/cellular_morphology_%28dimension_1%29,http://example.com/n4l/cellular_morphology_(dimension_1)
http://example.com/n4l/cellular_morphology_%28dimension_2%29,http://example.com/n4l/cellular_morphology_(dimension_2)
http://example.com/n4l/division_by,http://example.com/n4l/division_by
http://example.com/n4l/hydrolysis_positive,http://example.com/n4l/hydrolysis_positive
http://example.com/n4l/genome_sequence_and_gene_presence,http://example.com/n4l/genome_sequence_and_gene_presence
http://example.com/n4l/colony_color,http://example.com/n4l/colony_color
http://example.com/n4l/mol%25_G%2BC_content_%28TM%29,http://example.com/n4l/mol_g+c_content_(tm)
http://example.com/n4l/macromorphology_in_liquid_media,http://example.com/n4l/macromorphology_in_liquid_media
http://example.com/n4l/temperature_range,http://example.com/n4l/temperature_range
http://example.com/n4l/spore_morphology,http://example.com/n4l/spore_morphology
http://example.com/n4l/flagella_observations,http://example.com/n4l/flagella_observations
http://example.com/n4l/does_not_grow_on_%28carbon_source%29,http://example.com/n4l/does_not_grow_on_(carbon_source)
http://example.com/n4l/antimicrobial_resistance,http://example.com/n4l/antimicrobial_resistance
http://example.com/n4l/metabolic_end_products,http://example.com/n4l/metabolic_end_products
http://example.com/n4l/common_assays_%28IMVIC_tests%2C_milk_tests%2C_others%29,"http://example.com/n4l/common_assays_(imvic_tests,_milk_tests,_others)"
http://example.com/n4l/culture_collection_numbers,http://example.com/n4l/culture_collection_numbers
http://example.com/n4l/name.id,http://example.com/n4l/name_id
http://example.com/n4l/colony_opacity,http://example.com/n4l/colony_opacity
http://example.com/n4l/mol%25_G%2BC_content_%28no_method%29,http://example.com/n4l/mol_g+c_content_(no_method)
http://example.com/n4l/isolation_source,http://example.com/n4l/isolation_source
http://example.com/n4l/colony_elevation,http://example.com/n4l/colony_elevation
http://example.com/n4l/pathogenicity_and_hemolysis,http://example.com/n4l/pathogenicity_and_hemolysis
http://example.com/n4l/colony_appearance%2C_texture%2C_and_consistency,"http://example.com/n4l/colony_appearance,_texture,_and_consistency"
http://example.com/n4l/negative_enzyme_activities,http://example.com/n4l/negative_enzyme_activities
http://example.com/n4l/cellular_morphology_%28shape%29,http://example.com/n4l/cellular_morphology_(shape)
http://example.com/n4l/reduction_negative,http://example.com/n4l/reduction_negative
http://example.com/n4l/type_strain_designation,http://example.com/n4l/type_strain_designation
http://example.com/n4l/relationships_to_other_taxa,http://example.com/n4l/relationships_to_other_taxa
http://example.com/n4l/NaCl_%28does_not_grow%29,http://example.com/n4l/na_cl_(does_not_grow)
http://example.com/n4l/mol%25_G%2BC_content_%28HPLC%29,http://example.com/n4l/mol_g+c_content_(hplc)
http://example.com/n4l/pigment_production,http://example.com/n4l/pigment_production
http://example.com/n4l/hyphal_morphology,http://example.com/n4l/hyphal_morphology
http://example.com/n4l/pH_%28does_not_grow%29,http://example.com/n4l/p_h_(does_not_grow)
http://example.com/n4l/Gram_stain%2Freaction,http://example.com/n4l/gram_stain_reaction
http://example.com/n4l/acid-fastness,http://example.com/n4l/acid_fastness
http://example.com/n4l/mol%25_G%2BC_content_%28BD%29,http://example.com/n4l/mol_g+c_content_(bd)
http://example.com/n4l/temperature,http://example.com/n4l/temperature
http://example.com/n4l/hydrolysis_negative,http://example.com/n4l/hydrolysis_negative
http://example.com/n4l/selective_growth_inhibitors,http://example.com/n4l/selective_growth_inhibitors
http://example.com/n4l/fermented,http://example.com/n4l/fermented
http://example.com/n4l/other_salt%2Fion_concentrations,http://example.com/n4l/other_salt_ion_concentrations
http://example.com/n4l/used_as_nitrogen_source,http://example.com/n4l/used_as_nitrogen_source
http://example.com/n4l/media_%28grows%29,http://example.com/n4l/media_(grows)
http://example.com/n4l/variable_enzyme_activities,http://example.com/n4l/variable_enzyme_activities
http://example.com/n4l/not_fermented,http://example.com/n4l/not_fermented
http://example.com/n4l/mycelium_morphology,http://example.com/n4l/mycelium_morphology
http://example.com/n4l/spore_morphology_%28location%29,http://example.com/n4l/spore_morphology_(location)
http://example.com/n4l/spore_morphology_%28shape%29,http://example.com/n4l/spore_morphology_(shape)
http://example.com/n4l/cellular_morphology_%28occurrence%29,http://example.com/n4l/cellular_morphology_(occurrence)
http://example.com/n4l/polar_lipids,http://example.com/n4l/polar_lipids
http://example.com/n4l/oxidization_negative,http://example.com/n4l/oxidization_negative
http://example.com/n4l/contain_cellular_inclusion_bodies,http://example.com/n4l/contain_cellular_inclusion_bodies
http://example.com/n4l/acid_production_variable,http://example.com/n4l/acid_production_variable
http://example.com/n4l/growth_factors_and_nutritional_requirements,http://example.com/n4l/growth_factors_and_nutritional_requirements
http://example.com/n4l/utilized_as_carbon_source,http://example.com/n4l/utilized_as_carbon_source
http://example.com/n4l/Mycolic_acids,http://example.com/n4l/mycolic_acids
http://example.com/n4l/temperature_%28grows%29,http://example.com/n4l/temperature_(grows)
http://example.com/n4l/not_utilized_as_sole_carbon_source,http://example.com/n4l/not_utilized_as_sole_carbon_source
http://example.com/n4l/assimilation_of,http://example.com/n4l/assimilation_of
http://example.com/n4l/not_assimilated,http://example.com/n4l/not_assimilated
http://example.com/n4l/degradation_negative,http://example.com/n4l/degradation_negative
http://example.com/n4l/co-cultivation_and_obligate_intracellular_parasite_comments,http://example.com/n4l/co_cultivation_and_obligate_intracellular_parasite_comments
http://example.com/n4l/degradation_positive,http://example.com/n4l/degradation_positive
http://example.com/n4l/16s_rRNA,http://example.com/n4l/has_16s_sequence_description
http://example.com/n4l/are_not_used_as_electron_acceptors,http://example.com/n4l/are_not_used_as_electron_acceptors
http://example.com/n4l/generation_time,http://example.com/n4l/generation_time
http://example.com/n4l/cell_wall_and_membrane_characteristics_and_capsules,http://example.com/n4l/cell_wall_and_membrane_characteristics_and_capsules
http://example.com/n4l/utilized_as_sole_carbon_source,http://example.com/n4l/utilized_as_sole_carbon_source
http://example.com/n4l/phospholipids,http://example.com/n4l/phospholipids
http://example.com/n4l/media_%28does_not_grow%29,http://example.com/n4l/media_(does_not_grow)
http://example.com/n4l/are_used_as_electron_donors,http://example.com/n4l/are_used_as_electron_donors
http://example.com/n4l/colony_size,http://example.com/n4l/colony_size
http://example.com/n4l/compounds_stimulatory_to_growth,http://example.com/n4l/compounds_stimulatory_to_growth
http://example.com/n4l/denitrification_%2F_nitrogen_fixation,http://example.com/n4l/denitrification_nitrogen_fixation
http://example.com/n4l/pH_%28grows%29,http://example.com/n4l/p_h_(grows)
http://example.com/n4l/do_not_contain_contain_cellular_inclusion_bodies,http://example.com/n4l/do_not_contain_contain_cellular_inclusion_bodies
http://example.com/n4l/reduction_positive,http://example.com/n4l/reduction_positive
http://example.com/n4l/oxidization_positive,http://example.com/n4l/oxidization_positive
http://example.com/n4l/antibiotic_production,http://example.com/n4l/antibiotic_production
http://example.com/n4l/metabolic_shifts_due_to_light,http://example.com/n4l/metabolic_shifts_due_to_light
http://example.com/n4l/are_used_as_electron_acceptors,http://example.com/n4l/are_used_as_electron_acceptors
http://example.com/n4l/acid_production_weak,http://example.com/n4l/acid_production_weak
http://example.com/n4l/other_stains,http://example.com/n4l/other_stains
http://example.com/n4l/Grows_on_%28carbon_source%29,http://example.com/n4l/grows_on_(carbon_source)
http://example.com/n4l/acid_but_no_gas_produced_from,http://example.com/n4l/acid_but_no_gas_produced_from
http://example.com/n4l/utilized_as_sole_carbon_and_energy_source,http://example.com/n4l/utilized_as_sole_carbon_and_energy_source
http://example.com/n4l/utilized_weakly_as_carbon_source,http://example.com/n4l/utilized_weakly_as_carbon_source
http://example.com/n4l/not_utilized_as_sole_carbon_and_energy_source,http://example.com/n4l/not_utilized_as_sole_carbon_and_energy_source
http://example.com/n4l/sulfur_source,http://example.com/n4l/sulfur_source
http://example.com/n4l/not_utilized_as_energy_source,http://example.com/n4l/not_utilized_as_energy_source
http://example.com/n4l/acid_and_gas_production_from,http://example.com/n4l/acid_and_gas_production_from
http://example.com/n4l/Gram_type,http://example.com/n4l/gram_type
http://example.com/n4l/Gram_variable,http://example.com/n4l/gram_variable
http://example.com/n4l/non_selective_growth_inhibitors,http://example.com/n4l/non_selective_growth_inhibitors
http://example.com/n4l/DNA_DNA_homology,http://example.com/n4l/dna_dna_homology
http://example.com/n4l/pressure_requirements_and_tolerance,http://example.com/n4l/pressure_requirements_and_tolerance
http://example.com/n4l/acid_produced_aerobically,http://example.com/n4l/acid_produced_aerobically
http://example.com/n4l/are_not_used_as_electron_donors,http://example.com/n4l/are_not_used_as_electron_donors
http://example.com/n4l/respiration_negative,http://example.com/n4l/respiration_negative
http://example.com/n4l/pili%2C_prosthecae%2C_and_other_appendages,"http://example.com/n4l/pili,_prosthecae,_and_other_appendages"
http://example.com/n4l/light_requirements,http://example.com/n4l/light_requirements
http://example.com/n4l/radiation_tolerance,http://example.com/n4l/radiation_tolerance
http://example.com/n4l/polyamines,http://example.com/n4l/polyamines
http://example.com/n4l/not_used_as_nitrogen_source,http://example.com/n4l/not_used_as_nitrogen_source
http://example.com/n4l/utilized_variably_as_carbon_source,http://example.com/n4l/utilized_variably_as_carbon_source
http://example.com/n4l/respiration_positive,http://example.com/n4l/respiration_positive
http://example.com/n4l/fermentation_variable,http://example.com/n4l/fermentation_variable
http://example.com/n4l/no_acid_or_gas_is_produced_from,http://example.com/n4l/no_acid_or_gas_is_produced_from
http://example.com/n4l/fermentation_weak,http://example.com/n4l/fermentation_weak
http://example.com/n4l/carbon_source_and_acid%2Fgas_production,http://example.com/n4l/carbon_source_and_acid_gas_production
http://example.com/n4l/odor,http://example.com/n4l/odor
http://example.com/n4l/chemical_taxon.id,http://example.com/n4l/chemical_taxon_id
http://example.com/n4l/exemplar_id,http://example.com/n4l/exemplar_id
http://example.com/n4l/colony_appearance%2C_texture%2C_odor%2C_and_consistency,"http://example.com/n4l/colony_appearance,_texture,_odor,_and_consistency"
http://example.com/n4l/rid_%28effective%29,http://example.com/n4l/rid_(effective)
http://example.com/n4l/pigmentation,http://example.com/n4l/pigmentation
http://example.com/n4l/substance_exemplar.type,http://example.com/n4l/substance_exemplar_type
http://example.com/n4l/Preferred_N4LID,http://example.com/n4l/n4l_preferred_id
http://example.com/n4l/Preferred_Name,http://example.com/n4l/preferred_name
http://example.com/n4l/subgenus,http://example.com/n4l/subgenus
http://example.com/n4l/in_current_DB,http://example.com/n4l/in_current_db
http://example.com/n4l/missing_from_current_DB,http://example.com/n4l/missing_from_current_db
http://example.com/n4l/amount,http://example.com/n4l/amount
http://example.com/n4l/units,http://example.com/n4l/units
http://example.com/n4l/substance_name,http://example.com/n4l/substance_name
http://example.com/n4l/unit_id,http://example.com/n4l/unit_id
http://example.com/n4l/medium_id,http://example.com/n4l/medium_id
http://example.com/n4l/nan,http://example.com/n4l/nan
http://example.com/n4l/substance_taxonomy.child_taxon_id,http://example.com/n4l/substance_taxonomy_child_taxon_id
http://example.com/n4l/substance_taxonomy.parent_taxon_id,http://example.com/n4l/substance_taxonomy_parent_taxon_id
http://example.com/n4l/rid_%28effective%2Femendation%29,http://example.com/n4l/rid_(effective_emendation)
http://example.com/n4l/ingredient.substance_id,http://example.com/n4l/ingredient_substance_id
http://example.com/n4l/ingredient.list_id,http://example.com/n4l/ingredient_list_id
http://example.com/n4l/sort_order,http://example.com/n4l/sort_order
http://example.com/n4l/substance_name.taxon_id,http://example.com/n4l/substance_name_taxon_id
http://example.com/n4l/substance_exemplar_type.description,http://example.com/n4l/substance_exemplar_type_description
http://example.com/n4l/chemical_exemplar.id,http://example.com/n4l/chemical_exemplar_id
http://example.com/n4l/web_site_uri,http://example.com/n4l/web_site_uri
http://example.com/n4l/catalog_uri_suffix,http://example.com/n4l/catalog_uri_suffix
http://example.com/n4l/catalog_uri_prefix,http://example.com/n4l/catalog_uri_prefix
http://example.com/n4l/ex.id,http://example.com/n4l/ex_id
http://example.com/n4l/isolation_source_and_habitat,http://example.com/n4l/isolation_source_and_habitat
http://example.com/n4l/oxygen%2C_CO2%2C_and_H2_requirements,"http://example.com/n4l/oxygen,_co2,_and_h2_requirements"
http://example.com/n4l/common_assays_%28IMVIC_tests%2C_H2S_production%2C_others%29,"http://example.com/n4l/common_assays_(imvic_tests,_h2s_production,_others)"
http://example.com/n4l/generation%2Fdoubling_time,http://example.com/n4l/generation_doubling_time
http://example.com/n4l/metabolic_end_products_%2F_produces,http://example.com/n4l/metabolic_end_products_produces
http://example.com/n4l/other_polar_lipids,http://example.com/n4l/other_polar_lipids
http://example.com/n4l/other_non_polar_lipids,http://example.com/n4l/other_non_polar_lipids
http://example.com/n4l/N4LID,http://example.com/n4l/n4l_id
http://example.com/n4l/rank,http://example.com/n4l/rank
http://example.com/n4l/substance_taxon.id,http://example.com/n4l/substance_taxon_id
http://example.com/n4l/parent_taxon.id,http://example.com/n4l/parent_taxon_id
http://example.com/n4l/substance_exemplar.id,http://example.com/n4l/substance_exemplar_id
http://example.com/n4l/pH,http://example.com/n4l/p_h
http://example.com/n4l/thallus_morphology,http://example.com/n4l/thallus_morphology
http://example.com/n4l/cellular_morphology_%28dimension_3%29,http://example.com/n4l/cellular_morphology_(dimension_3)
http://example.com/n4l/pH_min,http://example.com/n4l/p_h_min
http://example.com/n4l/pH_max,http://example.com/n4l/p_h_max
http://example.com/n4l/medium_type,http://example.com/n4l/medium_type
http://example.com/n4l/vendor_id,http://example.com/n4l/vendor_id
http://example.com/n4l/substance_name.id,http://example.com/n4l/substance_name_id
http://example.com/n4l/vendor,http://example.com/n4l/vendor
http://example.com/n4l/productId,http://example.com/n4l/product_id
http://example.com/n4l/synonym,http://example.com/n4l/synonym
http://example.com/n4l/Term,http://example.com/n4l/term
http://example.com/n4l/eponym_language,http://example.com/n4l/eponym_language
http://example.com/n4l/specific_species_definition,http://example.com/n4l/specific_species_definition
http://example.com/n4l/Singleton,http://example.com/n4l/singleton
http://example.com/n4l/dictionary.com,http://example.com/n4l/dictionary_com
http://example.com/n4l/Singular_and%2For_Plural,http://example.com/n4l/singular_and_or_plural
http://example.com/n4l/Notes,http://example.com/n4l/notes
http://example.com/n4l/Part_of_Speech,http://example.com/n4l/part_of_speech
http://example.com/n4l/Pronunciation,http://example.com/n4l/pronunciation
http://example.com/n4l/Definition,http://example.com/n4l/definition
http://example.com/n4l/derivation_language,http://example.com/n4l/derivation_language
http://example.com/n4l/Merriam-Webster,http://example.com/n4l/merriam_webster
http://example.com/n4l/Synonym,http://example.com/n4l/synonym
http://example.com/n4l/eponym,http://example.com/n4l/eponym
http://example.com/n4l/see_also,http://example.com/n4l/see_also
http://example.com/n4l/Prescott,http://example.com/n4l/prescott
http://example.com/n4l/eponym_meaning,http://example.com/n4l/eponym_meaning
http://example.com/n4l/DOI,http://example.com/n4l/doi
