ref,year,pubmedid,prot,protStatementCount,org,rank,ncbiTaxonIRI,doi,kgMicrobeAssertionCount,orgName
http://example.com/n4l/rid.10296,2004,14745485,http://example.com/n4l/rid.10296_nm.20235,23.0,http://example.com/n4l/nm.20235,species,http://purl.obolibrary.org/obo/NCBITaxon_166501,10.1007/s00203-004-0647-7,1.0,Thermobaculum terrenum
http://example.com/n4l/rid.1031,2007,17196483,http://example.com/n4l/rid.1031_nm.10670,29.0,http://example.com/n4l/nm.10670,species,http://purl.obolibrary.org/obo/NCBITaxon_341225,10.1016/j.syapm.2006.02.003,,Clostridium saccharogumia|Erysipelatoclostridium saccharogumia
http://example.com/n4l/rid.10348,2010,19651721,http://example.com/n4l/rid.10348_nm.16861,42.0,http://example.com/n4l/nm.16861,species,http://purl.obolibrary.org/obo/NCBITaxon_349933,10.1099/ijs.0.013169-0,3.0,Clostridium hydrogeniformans
http://example.com/n4l/rid.10365,2010,19651727,http://example.com/n4l/rid.10365_nm.16884,40.0,http://example.com/n4l/nm.16884,species,http://purl.obolibrary.org/obo/NCBITaxon_493376,10.1099/ijs.0.010348-0,15.0,Chryseobacterium palustre|Kaistella palustris
http://example.com/n4l/rid.1037,1983,,http://example.com/n4l/rid.1037_nm.7955,35.0,http://example.com/n4l/nm.7955,species,http://purl.obolibrary.org/obo/NCBITaxon_290053,,,Bacteroides helcogenes
http://example.com/n4l/rid.1037,1983,,http://example.com/n4l/rid.1037_nm.7980,6.0,http://example.com/n4l/nm.7980,species,http://purl.obolibrary.org/obo/NCBITaxon_310300,,15.0,Bacteroides pyogenes|Bacteroides suis|Bacteroides tectum|Bacteroides tectus
http://example.com/n4l/rid.1044,1988,,http://example.com/n4l/rid.1044_nm.5724,42.0,http://example.com/n4l/nm.5724,species,http://purl.obolibrary.org/obo/NCBITaxon_42256,10.1111/j.1574-6968.1988.tb02568.x,1.0,Arthrobacter radiotolerans|Rubrobacter radiotolerans
http://example.com/n4l/rid.10562,2009,19406812,http://example.com/n4l/rid.10562_nm.14307,44.0,http://example.com/n4l/nm.14307,species,http://purl.obolibrary.org/obo/NCBITaxon_503361,10.1099/ijs.0.004978-0,11.0,Flavobacterium sasangense
http://example.com/n4l/rid.10643,2010,21304672,http://example.com/n4l/rid.10643_nm.6185,38.0,http://example.com/n4l/nm.6185,species,http://purl.obolibrary.org/obo/NCBITaxon_186189,10.4056/sigs.571102,3.0,Xylanimonas cellulosilytica
http://example.com/n4l/rid.10644,2010,21304673,http://example.com/n4l/rid.10644_nm.10581,38.0,http://example.com/n4l/nm.10581,species,http://purl.obolibrary.org/obo/NCBITaxon_405212,10.4056/sigs.591104,3.0,Alicyclobacillus acidocaldarius|Alicyclobacillus acidocaldarius acidocaldarius|Bacillus acidocaldarius
http://example.com/n4l/rid.10644,2010,21304673,http://example.com/n4l/rid.10644_nm.10581,38.0,http://example.com/n4l/nm.10581,subspecies,http://purl.obolibrary.org/obo/NCBITaxon_405212,10.4056/sigs.591104,3.0,Alicyclobacillus acidocaldarius|Alicyclobacillus acidocaldarius acidocaldarius|Bacillus acidocaldarius
http://example.com/n4l/rid.10645,2010,,http://example.com/n4l/rid.10645_nm.6288,49.0,http://example.com/n4l/nm.6288,species,http://purl.obolibrary.org/obo/NCBITaxon_2054,10.4056/sigs.611106,21.0,Gordona bronchialis|Gordonia bronchialis|Rhodococcus bronchialis
http://example.com/n4l/rid.10648,2010,21304677,http://example.com/n4l/rid.10648_nm.5766,31.0,http://example.com/n4l/nm.5766,species,http://purl.obolibrary.org/obo/NCBITaxon_2057,10.4056/sigs.601105,,Sphaerobacter thermophilus
http://example.com/n4l/rid.10649,2010,21304678,http://example.com/n4l/rid.10649_nm.11125,31.0,http://example.com/n4l/nm.11125,species,http://purl.obolibrary.org/obo/NCBITaxon_29466,10.4056/sigs.521107,16.0,Micrococcus lactilyticus|Veillonella alcalescens|Veillonella alcalescens alcalescens|Veillonella parvula|Veillonella parvula parvula
http://example.com/n4l/rid.10649,2010,21304678,http://example.com/n4l/rid.10649_nm.11125,31.0,http://example.com/n4l/nm.11125,subspecies,http://purl.obolibrary.org/obo/NCBITaxon_29466,10.4056/sigs.521107,16.0,Micrococcus lactilyticus|Veillonella alcalescens|Veillonella alcalescens alcalescens|Veillonella parvula|Veillonella parvula parvula
http://example.com/n4l/rid.1065,1990,2272492,http://example.com/n4l/rid.1065_nm.5532,9.0,http://example.com/n4l/nm.5532,species,http://purl.obolibrary.org/obo/NCBITaxon_1355,,30.0,Enterococcus columbae
http://example.com/n4l/rid.10652,2010,21304681,http://example.com/n4l/rid.10652_nm.8335,33.0,http://example.com/n4l/nm.8335,species,http://purl.obolibrary.org/obo/NCBITaxon_79329,10.4056/sigs.661199,6.0,Chitinophaga pinensis
http://example.com/n4l/rid.1074,1990,,http://example.com/n4l/rid.1074_nm.408,6.0,http://example.com/n4l/nm.408,species,http://purl.obolibrary.org/obo/NCBITaxon_84156,,5.0,Archaeoglobus profundus
http://example.com/n4l/rid.10928,2010,21304698,http://example.com/n4l/rid.10928_nm.7639,36.0,http://example.com/n4l/nm.7639,species,http://purl.obolibrary.org/obo/NCBITaxon_1861,10.4056/sigs.711311,1.0,Geodermatophilus obscurus
http://example.com/n4l/rid.10932,2010,21304700,http://example.com/n4l/rid.10932_nm.8318,44.0,http://example.com/n4l/nm.8318,species,http://purl.obolibrary.org/obo/NCBITaxon_108,10.4056/sigs.741334,5.0,Spirosoma linguale
http://example.com/n4l/rid.10933,2010,21304701,http://example.com/n4l/rid.10933_nm.6663,21.0,http://example.com/n4l/nm.6663,species,http://purl.obolibrary.org/obo/NCBITaxon_182640,10.4056/sigs.731321,2.0,Kribbella flavida
http://example.com/n4l/rid.10936,2010,21304703,http://example.com/n4l/rid.10936_nm.9501,42.0,http://example.com/n4l/nm.9501,species,http://purl.obolibrary.org/obo/NCBITaxon_286802,10.4056/sigs.791633,20.0,Segniliparus rotundus
http://example.com/n4l/rid.1115,1955,,http://example.com/n4l/rid.1115_nm.4669,11.0,http://example.com/n4l/nm.4669,species,http://purl.obolibrary.org/obo/NCBITaxon_29557,10.1099/0096266X-5-2-67,2.0,Mycoplasma gallinarum|Mycoplasmopsis gallinarum
http://example.com/n4l/rid.1116,1955,,http://example.com/n4l/rid.1116_nm.4679,7.0,http://example.com/n4l/nm.4679,species,http://purl.obolibrary.org/obo/NCBITaxon_2098,,15.0,Metamycoplasma hominis|Mycoplasma hominis
http://example.com/n4l/rid.1116,1955,,http://example.com/n4l/rid.1116_nm.4721,7.0,http://example.com/n4l/nm.4721,species,http://purl.obolibrary.org/obo/NCBITaxon_2124,,1.0,Metamycoplasma salivarium|Mycoplasma salivarium
http://example.com/n4l/rid.1116,1955,,http://example.com/n4l/rid.1116_nm.4725,7.0,http://example.com/n4l/nm.4725,species,http://purl.obolibrary.org/obo/NCBITaxon_92406,,2.0,Metamycoplasma spumans|Mycoplasma spumans
http://example.com/n4l/rid.1119,1962,,http://example.com/n4l/rid.1119_nm.2629,32.0,http://example.com/n4l/nm.2629,species,http://purl.obolibrary.org/obo/NCBITaxon_86182,10.1099/0096266X-12-4-161,7.0,Curvibacter lanceolatus|Pseudomonas lanceolata
http://example.com/n4l/rid.1122,1965,,http://example.com/n4l/rid.1122_nm.7459,6.0,http://example.com/n4l/nm.7459,species,http://purl.obolibrary.org/obo/NCBITaxon_2006,,7.0,Microbispora bispora|Thermobispora bispora
http://example.com/n4l/rid.1124,2006,16445756,http://example.com/n4l/rid.1124_nm.10074,42.0,http://example.com/n4l/nm.10074,species,http://purl.obolibrary.org/obo/NCBITaxon_317577,10.1111/j.1574-6968.2005.00033.x,34.0,Deinococcus ficus|Deinococcus mumbaiensis
http://example.com/n4l/rid.1132,1996,,http://example.com/n4l/rid.1132_nm.5396,36.0,http://example.com/n4l/nm.5396,species,http://purl.obolibrary.org/obo/NCBITaxon_53444,,9.0,Fructilactobacillus lindneri|Lactobacillus lindneri
http://example.com/n4l/rid.1133,1974,,http://example.com/n4l/rid.1133_nm.7699,40.0,http://example.com/n4l/nm.7699,species,http://purl.obolibrary.org/obo/NCBITaxon_1692,10.1099/00207713-24-1-29,20.0,Bifidobacterium magnum
http://example.com/n4l/rid.1146,1979,,http://example.com/n4l/rid.1146_nm.7686,5.0,http://example.com/n4l/nm.7686,species,http://purl.obolibrary.org/obo/NCBITaxon_35760,10.1099/00207713-29-4-291,1.0,Bifidobacterium choerinum
http://example.com/n4l/rid.1148,1978,,http://example.com/n4l/rid.1148_nm.6254,8.0,http://example.com/n4l/nm.6254,species,http://purl.obolibrary.org/obo/NCBITaxon_35756,10.1099/00207713-28-2-209,12.0,Corynebacterium pilosum
http://example.com/n4l/rid.1150,1977,,http://example.com/n4l/rid.1150_nm.7936,37.0,http://example.com/n4l/nm.7936,species,http://purl.obolibrary.org/obo/NCBITaxon_28125,10.1099/00207713-27-4-337,15.0,Bacteroides bivius|Prevotella bivia
http://example.com/n4l/rid.1152,1981,,http://example.com/n4l/rid.1152_nm.508,31.0,http://example.com/n4l/nm.508,species,http://purl.obolibrary.org/obo/NCBITaxon_1299,10.1099/00207713-31-3-353,23.0,Deinococcus radiodurans
http://example.com/n4l/rid.1152,1981,,http://example.com/n4l/rid.1152_nm.514,31.0,http://example.com/n4l/nm.514,species,http://purl.obolibrary.org/obo/NCBITaxon_55148,10.1099/00207713-31-3-353,12.0,Deinococcus proteolyticus
http://example.com/n4l/rid.1156,1978,,http://example.com/n4l/rid.1156_nm.8274,33.0,http://example.com/n4l/nm.8274,species,http://purl.obolibrary.org/obo/NCBITaxon_991,10.1099/00207713-28-2-293,79.0,Cytophaga aquatilis|Flavobacterium hydatis
http://example.com/n4l/rid.11732,2010,21304710,http://example.com/n4l/rid.11732_nm.9797,32.0,http://example.com/n4l/nm.9797,species,http://purl.obolibrary.org/obo/NCBITaxon_84378,10.4056/sigs.831993,3.0,Brachyspira murdochii|Serpulina murdochii
http://example.com/n4l/rid.11735,2010,21304712,http://example.com/n4l/rid.11735_nm.4470,35.0,http://example.com/n4l/nm.4470,species,http://purl.obolibrary.org/obo/NCBITaxon_81468,10.4056/sigs.902116,,Aminobacterium colombiense
http://example.com/n4l/rid.11736,2010,21304713,http://example.com/n4l/rid.11736_nm.10673,34.0,http://example.com/n4l/nm.10673,species,http://purl.obolibrary.org/obo/NCBITaxon_395922,10.4056/sigs.952166,24.0,Coraliomargarita akajimensis
http://example.com/n4l/rid.11738,2010,21304716,http://example.com/n4l/rid.11738_nm.20235,38.0,http://example.com/n4l/nm.20235,species,http://purl.obolibrary.org/obo/NCBITaxon_166501,10.4056/sigs.962171,1.0,Thermobaculum terrenum
http://example.com/n4l/rid.11738,2010,21304716,http://example.com/n4l/rid.11738_nm.6770,26.0,http://example.com/n4l/nm.6770,species,http://purl.obolibrary.org/obo/NCBITaxon_2006,10.4056/sigs.962171,7.0,Microbispora bispora|Thermobispora bispora
http://example.com/n4l/rid.11739,2010,21304717,http://example.com/n4l/rid.11739_nm.408,31.0,http://example.com/n4l/nm.408,species,http://purl.obolibrary.org/obo/NCBITaxon_84156,10.4056/sigs.942153,5.0,Archaeoglobus profundus
http://example.com/n4l/rid.11761,2010,19684316,http://example.com/n4l/rid.11761_nm.19864,40.0,http://example.com/n4l/nm.19864,species,http://purl.obolibrary.org/obo/NCBITaxon_545619,10.1099/ijs.0.014647-0,59.0,Koreibacter algae|Paraoerskovia marina
http://example.com/n4l/rid.1180,1980,,http://example.com/n4l/rid.1180_nm.8281,6.0,http://example.com/n4l/nm.8281,species,http://purl.obolibrary.org/obo/NCBITaxon_984,10.1099/00207713-30-2-473,1.0,Cytophaga heparina|Flavobacterium heparinum|Pedobacter heparinus|Sphingobacterium heparinum
http://example.com/n4l/rid.11829,2010,21304687,http://example.com/n4l/rid.11829_nm.4374,28.0,http://example.com/n4l/nm.4374,species,http://purl.obolibrary.org/obo/NCBITaxon_905,10.4056/sigs.1002553,8.0,Acidaminococcus fermentans
http://example.com/n4l/rid.11830,2010,21304688,http://example.com/n4l/rid.11830_nm.5953,36.0,http://example.com/n4l/nm.5953,species,http://purl.obolibrary.org/obo/NCBITaxon_1711,10.4056/sigs.1012662,2.0,Cellulomonas flavigena
http://example.com/n4l/rid.11833,2010,21304691,http://example.com/n4l/rid.11833_nm.7752,38.0,http://example.com/n4l/nm.7752,species,http://purl.obolibrary.org/obo/NCBITaxon_120,10.4056/sigs.1052813,1.0,Planctomyces limnophilus|Planctopirus limnophila|Planctopirus limnophilus
http://example.com/n4l/rid.1187,1982,,http://example.com/n4l/rid.1187_nm.8077,12.0,http://example.com/n4l/nm.8077,species,http://purl.obolibrary.org/obo/NCBITaxon_247,10.1099/00207713-32-2-233,18.0,Empedobacter brevis|Flavobacterium breve
http://example.com/n4l/rid.11924,2010,19767357,http://example.com/n4l/rid.11924_nm.20022,44.0,http://example.com/n4l/nm.20022,species,http://purl.obolibrary.org/obo/NCBITaxon_1006,10.1099/ijs.0.016121-0,2.0,Flexibacter tractuosus|Marivirga tractuosa
http://example.com/n4l/rid.12108,2010,19801389,http://example.com/n4l/rid.12108_nm.20099,35.0,http://example.com/n4l/nm.20099,species,http://purl.obolibrary.org/obo/NCBITaxon_827,10.1099/ijs.0.017152-0,26.0,Bacteroides ureolyticus|Campylobacter ureolyticus
http://example.com/n4l/rid.12115,2010,19854877,http://example.com/n4l/rid.12115_nm.20108,43.0,http://example.com/n4l/nm.20108,species,http://purl.obolibrary.org/obo/NCBITaxon_470150,10.1099/ijs.0.014779-0,13.0,Pseudomonas taiwanensis
http://example.com/n4l/rid.12189,2010,21304740,http://example.com/n4l/rid.12189_nm.10078,34.0,http://example.com/n4l/nm.10078,species,http://purl.obolibrary.org/obo/NCBITaxon_291990,10.4056/sigs.1133078,,Thermosediminibacter oceani
http://example.com/n4l/rid.12191,2010,21304743,http://example.com/n4l/rid.12191_nm.7810,36.0,http://example.com/n4l/nm.7810,species,http://purl.obolibrary.org/obo/NCBITaxon_55206,10.4056/sigs.1143106,1.0,Sediminispirochaeta smaragdinae|Spirochaeta smaragdinae
http://example.com/n4l/rid.12192,2010,21304742,http://example.com/n4l/rid.12192_nm.5814,40.0,http://example.com/n4l/nm.5814,species,http://purl.obolibrary.org/obo/NCBITaxon_28264,10.4056/sigs.1123072,37.0,Arcanobacterium haemolyticum
http://example.com/n4l/rid.1220,1983,,http://example.com/n4l/rid.1220_nm.5636,24.0,http://example.com/n4l/nm.5636,species,http://purl.obolibrary.org/obo/NCBITaxon_1345,10.1099/00207713-33-4-883,38.0,Streptococcus ferus
http://example.com/n4l/rid.1220,1983,,http://example.com/n4l/rid.1220_nm.5687,30.0,http://example.com/n4l/nm.5687,species,http://purl.obolibrary.org/obo/NCBITaxon_1310,10.1099/00207713-33-4-883,30.0,Streptococcus sobrinus
http://example.com/n4l/rid.12222,2010,20023055,http://example.com/n4l/rid.12222_nm.20220,13.0,http://example.com/n4l/nm.20220,species,http://purl.obolibrary.org/obo/NCBITaxon_217168,10.1099/ijs.0.018770-0,7.0,Balneimonas flocculans|Balneomonas flocculans|Microvirga flocculans
http://example.com/n4l/rid.12295,2010,21304734,http://example.com/n4l/rid.12295_nm.6006,37.0,http://example.com/n4l/nm.6006,species,http://purl.obolibrary.org/obo/NCBITaxon_53358,10.4056/sigs.1263355,6.0,Intrasporangium calvum
http://example.com/n4l/rid.12297,2010,21304736,http://example.com/n4l/rid.12297_nm.141,41.0,http://example.com/n4l/nm.141,species,http://purl.obolibrary.org/obo/NCBITaxon_2180,10.4056/sigs.1283367,10.0,Methanothermus fervidus
http://example.com/n4l/rid.12299,2010,21304738,http://example.com/n4l/rid.12299_nm.4499,31.0,http://example.com/n4l/nm.4499,species,http://purl.obolibrary.org/obo/NCBITaxon_73919,10.4056/sigs.1373474,1.0,Thermaerobacter marianensis
http://example.com/n4l/rid.123,1985,,http://example.com/n4l/rid.123_nm.3376,32.0,http://example.com/n4l/nm.3376,species,http://purl.obolibrary.org/obo/NCBITaxon_750,10.1099/00207713-35-3-309,3.0,Gallibacterium anatis|Pasteurella anatis
http://example.com/n4l/rid.1231,1983,,http://example.com/n4l/rid.1231_nm.4174,18.0,http://example.com/n4l/nm.4174,species,http://purl.obolibrary.org/obo/NCBITaxon_1258,10.1099/00207713-33-4-683,10.0,Peptococcus asaccharolyticus|Peptoniphilus asaccharolyticus|Peptostreptococcus asaccharolyticus
http://example.com/n4l/rid.1231,1983,,http://example.com/n4l/rid.1231_nm.4187,22.0,http://example.com/n4l/nm.4187,species,http://purl.obolibrary.org/obo/NCBITaxon_33034,10.1099/00207713-33-4-683,15.0,Anaerococcus prevotii|Micrococcus prevotii|Peptococcus prevotii|Peptostreptococcus prevotii
http://example.com/n4l/rid.1239,1980,,http://example.com/n4l/rid.1239_nm.14581,57.0,http://example.com/n4l/nm.14581,species,http://purl.obolibrary.org/obo/NCBITaxon_995,10.1099/00207713-30-2-429,2.0,Flexibacter canadensis|Solitalea canadensis
http://example.com/n4l/rid.12432,2011,21475582,http://example.com/n4l/rid.12432_nm.9750,43.0,http://example.com/n4l/nm.9750,species,http://purl.obolibrary.org/obo/NCBITaxon_316068,10.4056/sigs.1413518,29.0,Leadbetterella byssophila
http://example.com/n4l/rid.12433,2011,21475583,http://example.com/n4l/rid.12433_nm.7565,36.0,http://example.com/n4l/nm.7565,species,http://purl.obolibrary.org/obo/NCBITaxon_2020,10.4056/sigs.1453580,4.0,Thermomonospora curvata
http://example.com/n4l/rid.12435,2011,21475585,http://example.com/n4l/rid.12435_nm.9851,34.0,http://example.com/n4l/nm.9851,species,http://purl.obolibrary.org/obo/NCBITaxon_185300,10.4056/sigs.1503846,13.0,Paludibacter propionicigenes
http://example.com/n4l/rid.12436,2011,21475586,http://example.com/n4l/rid.12436_nm.7955,38.0,http://example.com/n4l/nm.7955,species,http://purl.obolibrary.org/obo/NCBITaxon_290053,10.4056/sigs.1513795,,Bacteroides helcogenes
http://example.com/n4l/rid.12437,2011,21475587,http://example.com/n4l/rid.12437_nm.13699,27.0,http://example.com/n4l/nm.13699,species,http://purl.obolibrary.org/obo/NCBITaxon_477976,10.4056/sigs.1523807,11.0,Calditerrivibrio nitroreducens
http://example.com/n4l/rid.12439,2011,21475589,http://example.com/n4l/rid.12439_nm.8143,36.0,http://example.com/n4l/nm.8143,species,http://purl.obolibrary.org/obo/NCBITaxon_59600,10.4056/sigs.1543845,2.0,Cellulophaga algicola
http://example.com/n4l/rid.12440,2011,21475590,http://example.com/n4l/rid.12440_nm.8203,47.0,http://example.com/n4l/nm.8203,species,http://purl.obolibrary.org/obo/NCBITaxon_1014,10.4056/sigs.1603927,13.0,Weeksella virosa
http://example.com/n4l/rid.12441,2011,21475591,http://example.com/n4l/rid.12441_nm.9668,25.0,http://example.com/n4l/nm.9668,species,http://purl.obolibrary.org/obo/NCBITaxon_332249,10.4056/sigs.1563919,4.0,Truepera radiovictrix
http://example.com/n4l/rid.12456,2011,20435744,http://example.com/n4l/rid.12456_nm.5756,9.0,http://example.com/n4l/nm.5756,species,http://purl.obolibrary.org/obo/NCBITaxon_133926,10.1099/ijs.0.022954-0,1.0,Lactobacillus uli|Olsenella uli
http://example.com/n4l/rid.12623,2011,20656816,http://example.com/n4l/rid.12623_nm.22153,9.0,http://example.com/n4l/nm.22153,species,http://purl.obolibrary.org/obo/NCBITaxon_286638,10.1099/ijs.0.025585-0,17.0,Massilia alkalitolerans|Naxibacter alkalitolerans
http://example.com/n4l/rid.127,1979,,http://example.com/n4l/rid.127_nm.1441,37.0,http://example.com/n4l/nm.1441,species,http://purl.obolibrary.org/obo/NCBITaxon_64973,10.1099/00207713-29-2-130,1.0,Oceanospirillum pusillum|Terasakiella pusilla
http://example.com/n4l/rid.127,1979,,http://example.com/n4l/rid.127_nm.1955,39.0,http://example.com/n4l/nm.1955,species,http://purl.obolibrary.org/obo/NCBITaxon_80882,10.1099/00207713-29-2-130,2.0,Aquaspirillum psychrophilum|Simplicispira psychrophila
http://example.com/n4l/rid.12738,2011,20971835,http://example.com/n4l/rid.12738_nm.22515,17.0,http://example.com/n4l/nm.22515,species,http://purl.obolibrary.org/obo/NCBITaxon_415849,10.1099/ijs.0.023010-0,7.0,Sinobacter flavus|Solimonas flava
http://example.com/n4l/rid.12738,2011,20971835,http://example.com/n4l/rid.12738_nm.22516,17.0,http://example.com/n4l/nm.22516,species,http://purl.obolibrary.org/obo/NCBITaxon_254408,10.1099/ijs.0.023010-0,6.0,Singularimonas variicoloris|Sinobacter variicoloris|Solimonas variicoloris
http://example.com/n4l/rid.12749,2011,20952541,http://example.com/n4l/rid.12749_nm.22531,26.0,http://example.com/n4l/nm.22531,species,http://purl.obolibrary.org/obo/NCBITaxon_31962,10.1099/ijs.0.026633-0,,Actinomadura cremea rifamycini|Actinomadura rifamycini
http://example.com/n4l/rid.12749,2011,20952541,http://example.com/n4l/rid.12749_nm.22531,26.0,http://example.com/n4l/nm.22531,subspecies,http://purl.obolibrary.org/obo/NCBITaxon_31962,10.1099/ijs.0.026633-0,,Actinomadura cremea rifamycini|Actinomadura rifamycini
http://example.com/n4l/rid.12758,2011,21886858,http://example.com/n4l/rid.12758_nm.4573,38.0,http://example.com/n4l/nm.4573,species,http://purl.obolibrary.org/obo/NCBITaxon_2331,10.4056/sigs.1824509,3.0,Halanaerobium praevalens|Haloanaerobium praevalens
http://example.com/n4l/rid.1276,1901,,http://example.com/n4l/rid.1276_nm.5210,6.0,http://example.com/n4l/nm.5210,species,http://purl.obolibrary.org/obo/NCBITaxon_1571,,5.0,Sporosarcina ureae
http://example.com/n4l/rid.12760,2011,21886860,http://example.com/n4l/rid.12760_nm.8679,35.0,http://example.com/n4l/nm.8679,species,http://purl.obolibrary.org/obo/NCBITaxon_252966,10.4056/sigs.1864526,10.0,Mahella australiensis
