acronym	name	description	homepage	contact	released	administeredBy
BCIO	Behaviour Change Intervention Ontology	The Human Behaviour Change Project (HBCP) funded by the Wellcome Trust, and the Advancing Prevention Research in Cancer through Ontology Tools (APRICOT) Project funded by the US National Institutes of Health, are developing the Behaviour Change Intervention Ontology and associated tools and resources to be used in reporting research; linking datasets and synthesising evidence; and AI/machine learning algorithms to predict intervention outcomes in novel scenarios.\r\n\r\nThe overall aim of these projects is to automate evidence searching, synthesis and interpretation to rapidly address questions from policy-makers, practitioners and others to answer ‘What works, compared with what, how well, with what exposure, with what behaviours (for how long), for whom, in what settings and why?’. To achieve this, ontologies can help structure evidence, i.e., link evidence with a shared formal description of classes and relationships capturing domain knowledge in order to enable aggregation and semantic querying. We are developing and maintaining the Behaviour Change Intervention Ontology (BCIO) to do this.	https://www.humanbehaviourchange.org/	Maya Braun	2025-07-09T00:00:00.000+00:00	https://data.bioontology.org/users/mayabraun;https://data.bioontology.org/users/Janna+Hastings
LTER-CV	LTER Controlled Vocabulary	Duplicate of https://vocab.lternet.edu/vocab/vocab		Gregory Maurer	2025-06-25T00:00:00.000+00:00	https://data.bioontology.org/users/gmaurer
COGITO	Cognitive Task Ontology	CogiTO relates Tasks from Cognitive Atlas to Hierarchical Event Descriptor (HED) tags via logical relationships (as equivalent class axioms) between concepts. In other words, terms for cognitive tasks are defined by their relation to HED tags.\r\nThe purpose of this ontology is to enable querying partially annotated datasets either by a Cognitive Task or by HED tags. 		Bianca Löhnert	2025-06-24T00:00:00.000+00:00	https://data.bioontology.org/users/benhengler
BBO	Biomedical Burden Ontology	The Biomedical Burden Ontology (BBO) is a BFO-aligned OWL ontology for representing and integrating burden-related aspects of patient experience in biomedicine. It models burden as an affective, appraisal-based process that links situations (e.g., symptom, treatment, disease-course, and side-effect processes) to their perceived impacts on goals and expectations, informed by predictive processing/active inference accounts of cognition. BBO reuses and extends MFO, MFOEM, OGMS, and CCO/IAO, and provides patterns to annotate questionnaire-based measurements (e.g., PETS, MTBQ, MDASI), enabling semantic interoperability, automated reasoning, and analysis of burden across research and clinical settings. , The Biomedical Burden Ontology is an ontology of biomedical burdens. It includes support for burden-related entities, such as treatment burden, symptom burden, and burden appraisals.	https://git.soton.ac.uk/meldb/ontologies/	Paul Smart	2025-09-27T18:00:19.000-07:00	https://data.bioontology.org/users/ps02v
VALUESETS	valuesets			Chris Mungall	2025-09-26T00:00:00.000+00:00	https://data.bioontology.org/users/cjmungall
OC_E	OntoCaimer_Examples	This version of ontocaimer contains instantiated examples of patients, sensors, and actuators.\r\nOntoCaimer is an ontology that aims to support the development of systems that support and facilitate the care of Alzheimer's patients. This ontology offers a platform that contains concepts related to the support and management of the symptoms suffered by Alzheimer's patients in each of stage of disease, also encompasses knowledge about sensors, observations and actuators. With these knoledge covered, the proposed system can be used as a knowledge base or as a basis for creating artifacts that can interact with the real world.\r\n		César Pardo	2025-09-25T00:00:00.000+00:00	https://data.bioontology.org/users/ldlasso12
O3	Operational Ontology for Oncology 	The Operational Ontology for Oncology is formalized, machine-readable knowledge representation that defines and standardizes the concepts, terms, value sets and relationships used in cancer care. O3 is an operational ontology, meaning that its format and content is optimized for clinical process implementation with current clinical data systems. It is formed through multi-professional society based, multi-institutional consensus formation with  physicians, physicists, informaticists and other domain experts in the context of the American Association of Physicists in Medicine (AAPM). It is formed in collaboration with and has been endorse by multiple professional societies including American Society of Radiation Oncology (ASTRO), Canadian Association for Radiation Oncology (CARO) and the European Society for Therapeutic Radiation Oncology (ESTRO).    Its primary purpose is to ensure semantic interoperability of comprehensive data sets from disparate sources like electronic health records (EHRs), lab systems, and research databases to be accurately aggregated and understood by different systems. This is particularly crucial for a complex and data-rich field like oncology.  \r\n\r\nO3 was first published in the article, Operational Ontology for Oncology (O3): A Professional Society-Based, Multistakeholder, Consensus-Driven Informatics Standard Supporting Clinical and Research Use of Real-World Data From Patients Treated for Cancer. Int J Radiat Oncol Biol Phys. 2023 Nov 1;117(3):533-550. doi: 10.1016/j.ijrobp.2023.05.033. Epub 2023 May 26. PMID: 37244628; PMCID: PMC10741247.\r\n\r\nThe home web site is at o3standard.net. The site is used as the main mechanism for gathering public comments and accessing future, current and prior versions of the ontology in json format.		Katherine Mayo, PhD	2025-10-16T00:00:00.000+00:00	https://data.bioontology.org/users/kamayo;https://data.bioontology.org/users/csmayo157
NAMO	New Approach Methodology Ontology	The New Approach Methodology Ontology and Schema (NAMO) is a comprehensive data framework designed to standardize and integrate information about alternative methods to animal testing in biomedical research. Built on LinkML, NAMO provides a common vocabulary and data structure for describing diverse model systems, from cellular cultures and organ-on-chip devices to computational models and digital twins.		Chris Mungall	2025-08-20T00:00:00.000+00:00	https://data.bioontology.org/users/cjmungall
ONTONEPHRO	Nephrology Ontology in order to index MOOC			Jean Charlet	2025-09-02T00:00:00.000+00:00	https://data.bioontology.org/users/Jean.Charlet
ROADMAP	Radiology Ontology of AI Models, Datasets and Projects	ROADMAP provides a controlled terminology for the metadata that describe AI models and datasets. It builds on "model cards" and "datasheets for datasets" with imaging-specific descriptors.		Charles Kahn	2025-10-22T00:00:00.000+00:00	https://data.bioontology.org/users/cekahn
SL_DIS	Sleep Disorders 			Ghada Jaouani	2025-08-25T00:00:00.000+00:00	https://data.bioontology.org/users/Ghada+Jaouani
OCS	A Foundational Ontology for Computational Sociology	The history of computational sociology extends over the last 4.5 decades; its roots can perhaps be found in general systems theory and structural functionalism. Ontologies have been created in a wide range of subject areas and their number and application areas are dramatically growing. However, it can be considered quite well-founded to assume that no ontology has been created in the general sociological subject area so far. \r\n\r\nThe OCS (Ontology for Computational Sociology) mentioned in the title makes a modest attempt at this, hoping that true experts in the subject area will end the topic itself (creating and further developing sociological ontologies) interesting. Therefore, let us quote modestly the esteemed Basel mathematician Johann Bernoulli, Opera Omnia, 67, Tom. I.: "Problema novum ad cuius solutionem sociologi invitantur." Keywords Computational sociology; ontology; Java-based application. , The ontology contains 701 classes (BFO-2020: 36, domain: 665) describing essential concepts of sociology	https://www.edithlaszny.eu/	Dr. Edit Hlaszny	2025-10-14T18:11:29.000-07:00	https://data.bioontology.org/users/edithlaszny
JFO	Japanese Food Ontology			Chihiro Higuchi	2025-09-19T00:00:00.000+00:00	https://data.bioontology.org/users/higuchi-nibiohn
SCO-U	Sustainability Core Ontology - Segment U	SCO is a middle-level ontology, representing the major theoretical challenges to sustainability:\r\n1) The polysemy of the term sustainability.\r\n2) The relationship between sustainability and sustainable development.\r\n3) The complexity underlying sustainability.\r\nSCO aims to play a pivotal role in harmonizing and integrating top-level and domain ontologies regarding sustainability., SCO V1.1.0 aligns with two Top-Level Ontologies (TLOs), Basic Formal Ontology (BFO) and Unified Foundational Ontology (UFO). SCO V1.1.0 is comprised of two segments: SCO-B (B for BFO) and SCO-U (U for UFO). SCO-B aligns the SCO vocabulary with BFO (as SCO V1.0.0). SCO-U aligns the SCO vocabulary with gUFO (UFO implementation in the Web Ontology Language (OWL)). This file provides SCO-U segment.\r\n\r\nReferences – TLOs:  \r\nhttps://github.com/BFO-ontology/BFO-2020 \r\nhttps://ontouml.readthedocs.io/en/latest/intro/ufo.html \r\nhttps://nemo-ufes.github.io/gufo/, representing the major theoretical challenges to sustainability:\n1) The polysemy of the term sustainability.\n2) The relationship between sustainability and sustainable development.\n3) The complexity underlying sustainability.\nSCO aims to play a pivotal role in harmonizing and integrating top-level and domain ontologies regarding sustainability., Basic Formal Ontology (BFO) and Unified Foundational Ontology (UFO). SCO V1.1.0 is comprised of two segments: SCO-B (B for BFO) and SCO-U (U for UFO). SCO-B aligns the SCO vocabulary with BFO (as SCO V1.0.0). SCO-U aligns the SCO vocabulary with gUFO (UFO implementation in the Web Ontology Language (OWL)). This file provides SCO-U segment.\n\nReferences – TLOs:  \nhttps://github.com/BFO-ontology/BFO-2020 \nhttps://ontouml.readthedocs.io/en/latest/intro/ufo.html \nhttps://nemo-ufes.github.io/gufo/	https://www.w3id.org/sco/repo	Giorgio A. Ubbiali	2025-10-17T00:00:00.000+00:00	https://data.bioontology.org/users/GioUbbi
GENEVIEVE	Charlotte					https://data.bioontology.org/users/AL-Halafi;https://data.bioontology.org/users/Charlotte
GDCO	Data Collection Ontology	The Data Collection Ontology (DCO) is an ontology designed for data collection providing classes and relations on top of the Basic Formal Ontology (BFO) to facilitate data collection processes, subjects, and data anaylsis through the use of classifiers.\r\n\r\nDCO is based on the notion of reasoning to validate incoming data through their definitions based on classifiers.		Joel Cummings	2017-08-09T00:00:00.000+00:00	https://data.bioontology.org/users/joelcummings
FOAF	Friend of a Friend Vocabulary	Friend of a Friend Vocabulary		Rafael Gonçalves	2019-01-31T00:00:00.000+00:00	https://data.bioontology.org/users/graybeal;https://data.bioontology.org/users/rsgoncalves
OLATDV	Medaka Developmental Stages	Life cycle stages for Medaka. OlatDv is based on the original medaka stage ontology MFO by Thorsten Henrich. Currently it includes only pre-adult stages.	https://github.com/obophenotype/developmental-stage-ontologies/wiki/OlatDv	Chris Mungall	2024-04-03T18:11:07.000+00:00	https://data.bioontology.org/users/vendetti
TM-OTHER-FACTORS	Traditional Medicine Other Factors Value Set	The value set for the Other Factors property of the International Classification of Traditional Medicine (ICTM).	https://sites.google.com/site/whoictm/home	Tania Tudorache	2011-01-31T00:00:00.000-08:00	https://data.bioontology.org/users/tudorachet
RDAO	Rare Diseases Awareness Ontology	The Rare Diseases Awareness Ontology was developed using the Basic Formal Ontology (BFO) framework to support education and awareness processes about rare diseases. It is a semantic data structure that organizes and categorizes specific information about these processes, facilitating access and understanding of the data. This ontology includes key concepts from this domain. Furthermore, it incorporates information to train health professionals, family members, and patients, promoting awareness and more comprehensive education.\r\nThrough data modeling and relationships between these concepts, the ontology allows the creation of interactive and personalized educational resources, in addition to facilitating interoperability between health information systems. With accessible language and visual tools, the system supports disseminating knowledge about rare diseases.\r\nThis study is supported by the São Paulo Research Foundation (FAPESP) as part of the Public Policy Research Program (grant number 2023/10203-8, managed by Domingos Alves). Diego Yamada is also supported by FAPESP (grant number 2024/06751-2).		Yamada, Diego	2024-10-31T00:00:00.000+00:00	https://data.bioontology.org/users/diegoyamada
HFO	Heart Failure Ontology	Heart failure ontology is an attempt to define heart-failure-relevant information including the causes and risk factors, signs and symptoms, diagnostic tests and results, and treatment. 		Liqin Wang	2015-12-08T00:00:00.000+00:00	https://data.bioontology.org/users/liqinwang
GFVO	Genomic Feature and Variation Ontology	The Genomic Feature and Variation Ontology (GFVO) is modeled to represent genomic data using the Resource Description Format (RDF) or Linked Data using JSON (JSON-LD). It is captures the contents of data files that adhere to the Generic Feature Format Version 3 (GFF3, http://www.sequenceontology.org/resources/gff3.html), the General Transfer Format (GTF, http://mblab.wustl.edu/GTF22.html), the Genome Variation Format Version 1 (GVF, http://www.sequenceontology.org/resources/gvf.html), and the Variant Call Format (VCF, http://vcftools.sourceforge.net/specs.html), as well as the FASTA format (http://en.wikipedia.org/wiki/FASTA_format). The creation of the ontology was inspired by previous work of Robert Hoehndorf on RDF2OWL (http://code.google.com/p/rdf2owl).\r\n\r\nNOTE: GFVO in BioPortal is a simplified version without ontology imports and having class/property equivalences removed. The full ontology is available at: http://www.biointerchange.org/gfvo	https://www.codamono.com/biointerchange/	Joachim Baran	2015-07-14T00:00:00.000+00:00	https://data.bioontology.org/users/joachimbaran
G4-DSIP	Group 4-Data Science in Practice	Group 4 Data Science in Practice		Jasper van Mosseveld	2024-01-09T00:00:00.000+00:00	https://data.bioontology.org/users/JaspervM
FISHO	Fish Ontology	This Fish Ontology is an ontology created as how the author views the fish structure following the book "The Diversity of Fishes: Biology, Evolution and Ecology" as the main reference, which covers one part of view on ichthyology, with an emphasis on diversity and adaptation. This ontology is created with the mindset of categorizing fish automatically based on the attributes and terms mined from the fish specimen.\r\n\r\nMost of the basic organization from this ontology follows Nelson's research due to its synthetic and broad approach, while recognizing that Nelson's conclusions are one of many alternative interpretations of the literature, which is mostly agreed by our main references, and many fish and fisheries researchers.\r\n\r\nMost of the classification used in this ontology is in no means completed and just following the recent classification provided by the books\r\n\r\nFor now our work focused more on two group of fish which is early jawless fish, and advanced jawed fishes. The classification from both of this group are structured following the reference.		Mohd Najib	2017-08-28T00:00:00.000+00:00	https://data.bioontology.org/users/23.mohdnajib
SIMON	Simple Measurement Ontology	The SImple Measurement ONtology (SIMON) is a small vocabulary (3 top level classes: PunnedClass, Measurement, and Unit) to represent measurements and units. It uses the pattern to represent N-ary relations and a recursive structure to make the representation of various measurements and units (e.g., "5 kilograms", "4 miles per hour", "5 meters per second per second"  straight forward and obvious. It utilizes the Semantic Web Rule Language (SWRL) to automatically order measurements of the same type (e.g., Speed) regardles of units. E.g., that 5 kilometers per hour is greater than 5 meters per hour. It does this by transforming all measures of a specific type (e.g., distance, mass, speed, acceleration) to canonical units. The canonical units can be modified by changing a few rules. I also include on the github page some SPARQL transformations that generate the rdfs:label for each measurement instance so the developer doesn't have to take the effort and potential error prone risk of doing this manually.  The version included here is the version after the SWRL rules have run and with the inferences exported and also after the SPARQL transforms have generated all the rdfs:label values. Although there are other vocabularies that address this problem they are either much more complex (addressing many additional issues besides units and measures) and/or do not automatically order measures of different units. 	https://github.com/mdebellis/SIMON-A-Simple-Measurement-Vocabulary	Michael DeBellis	2021-05-07T00:00:00.000+00:00	https://data.bioontology.org/users/mdebellis
ADW	Animal Natural History and Life History Ontology	An ontology for animal life history and natural history characteristics suitable for populations and higher taxonomic entities.	http://www.animaldiversity.org	Animal Diversity Web technical staff	2010-08-31T00:00:00.000-07:00	https://data.bioontology.org/users/adw_geeks%40umich.edu
INJURYTYPES	Injury Types	This class is associated with the different injury types.		Vinutha Venkatesh	2022-12-07T00:00:00.000+00:00	https://data.bioontology.org/users/VinuthaVenkatesh
CST	Cancer Staging Terms	This ontology consists of cancer staging terms that specify higher-level terms that are useful in classifying cancer, specifically breast cancer, according to the AJCC 7th and 8th editions.		Oshani Seneviratne	2021-03-08T00:00:00.000+00:00	https://data.bioontology.org/users/oshani
CSTD	Clinical smell and taste disorders	This is an knowledge domain about smell and taste disoders. The aim of this ontology domain is the facilitate high throughput and deep-phenotyping assessment in clinical smell and taste research.		Julien Wen Hsieh	2019-06-07T00:00:00.000+00:00	https://data.bioontology.org/users/Jhsieh01
COLAO	Coleoptera Anatomy Ontology	The Coleoptera Anatomy Ontology contains terms used for describing the anatomy and phenotype of beetles in biodiversity research. It has been built using the Ontology Develoment Kit with the Ontology for the Anatomy of the Insect SkeletoMuscular system (AISM) as a backbone. The project is open for collaboration.	https://github.com/insect-morphology/colao	Jennifer C. Girón	2024-06-28T18:03:12.000+00:00	https://data.bioontology.org/users/jcgiron
GALLONT	Plant Gall Ontology	Ontology of plant gall phenotypes. Plant galls are novel plant structures, generated by plants in response to biotic stressors. This ontology is used to annotate gall phenotypes (e.g., their colors, textures, sizes, locations on the plant) in a semantic way, in order to facilitate discoveries about the genetic and physiologic mechanisms responsible for such phenotypes. The ontology can also be used as a controlled vocabulary for natural language descriptions of plant galls.	https://adeans.github.io/gallont/	Andy Deans	2024-04-19T00:00:00.000+00:00	https://data.bioontology.org/users/vendetti
VIMM	In Vitro Methodologies Ontology for MAATrica metric	MAATrica is a novel metric for assessing the coherence of methodologies in research papers within the fields of medicinal and nutraceutical chemistry. MAATrica employs user-controlled and customizable ontologies (in silico, in vitro and in vivo), enabling personalized analysis of research papers in the fields of medicinal and nutraceutical chemistry. Here we present the in vitro ontology we developed for the scope.		Giulia Panzarella	2024-04-21T00:00:00.000+00:00	https://data.bioontology.org/users/MAATrica
ONTOPBM	Ontology for Process-Based Modeling of Dynamical Systems (OntoPBM)	OntoPBM is an ontology of core entities for process-based modeling of dynamical systems. 		Ilin Tolovski	2019-04-10T18:16:47.000-07:00	https://data.bioontology.org/users/ilin.tolovski
MEDDRA	Medical Dictionary for Regulatory Activities Terminology (MedDRA)	MedDRA is an international medical terminology with an emphasis on use for data entry, retrieval, analysis, and display. It applies to all phases of drug development, excluding animal toxicology, and to the health effects and malfunction of devices. An appendix includes concept descriptions which describe how a medical concept is interpreted, used, and classified within the MedDRA terminology. It is not intended as a medical definition. The concept descriptions are intended to aid the consistent and accurate use of MedDRA in coding, retrieval, and analysis.	https://www.meddra.org/	MedDRA MSSO	2024-11-04T00:00:00.000+00:00	https://data.bioontology.org/users/admin
OGSF	Ontology for Genetic Susceptibility Factor	Ontology for Genetic Susceptibility Factor (OGSF) is an application ontology to model/represent the notion of genetic susceptibility to a specific disease or an adverse event or a pathological biological process. It is developed using BFO2.0's framwork. The ontology is under the domain of genetic epidemiology.	https://code.google.com/p/ogsf/	Asiyah Yu Lin	2019-03-15T18:14:43.000-07:00	https://data.bioontology.org/users/linikujp
VODANADISEASES	VODANADiseases	Vodana disease terms based on WHO's ICD-11 standards intended for coding health information for FAIR implementation countries in Africa		Aliya Aktau	2021-10-04T00:00:00.000+00:00	https://data.bioontology.org/users/vodana
CNO	Computational Neuroscience Ontology	CNO is a controlled vocabulary of terms used in Computational Neurosciences to describe models of the nervous system. \r\nThis first release of CNO is an alpha version and should be further aligned with other ontologies accessible on Bioportal and should be made compliant with the OBO foundry recommendations. \r\nThis work is licensed under the Creative Commons Attribution 3.0 Unported License. To view a copy of this license, visit http://creativecommons.org/licenses/by/3.0/ or send a letter to Creative Commons, 444 Castro Street, Suite 900, Mountain View, California, 94041, USA.\r\nIf you have any comments, questions or suggestions, please contact Yann Le Franc at ylefranc(at)gmail.com.		Yann Le Franc	2015-11-16T18:21:21.000-08:00	https://data.bioontology.org/users/ylefranc
SLSO	Space Life Sciences Ontology	The Space Life Sciences Ontology is an application ontology and is intended to support the operation of NASA's Life Sciences Data Archive (located at https://nlsp.nasa.gov) and other systems that contain space life science research data. Many kinds of scientific research in space involve specialized equipment, experimental procedures, specimens and specimen collection apparatus, supporting operational structures, and references to specific space environments and their characteristics. Often such research is extremely costly compared with planetary/terrestrial investigations, and the community supporting space life sciences is accustomed to the use of various specialized concepts and terminologies when dealing with this kind of research and data. However, the underlying conceptual models (and especially the specific labeled relationships in these models) have never been made explicit. The SLSO attempts to provide definition and organization of these models for the space research community.\r\nThe SLSO was developed ab inicio using the Ontology Development Kit and imports an extends many concepts from the Basic Formal Ontology (BFO), the Ontology of Biomedical Investigations (OBI), the Environmental Ontology (ENVO), and other OBO Foundry ontologies. Projects at NASA such as the Open Science Data Repository (https://osdr.nasa.gov/) are already using many OBO ontologies, including the Radiation Biology Ontology (https://github.com/Radiobiology-Informatics-Consortium/RBO) and OBI, to index space biology investigation data. With the development of the SLSO, this practice can be extended to include all life science research in space or addressing space effects. Furthermore, the SLSO has a component that imports concepts from the Science Data Discovery Ontology, which was developed to support NASA's Science Discovery Engine (https://sciencediscoveryengine.nasa.gov). These links in the imported SDDO to concepts underlying a broad spectrum of space research (astrophysics, heliophysics, etc.) can ultimately be used to provide key capabilities for discovering and analyzing space life science data and how they relate to other kinds of scientific data regarding space environments., The Space Life Sciences Ontology is an application ontology and is intended to support the operation of NASA's Life Sciences Data Archive and other systems that contain space life science research data.	https://github.com/nasa/LSDAO/tree/master/src/ontology	Dan Berrios	2025-09-16T18:13:57.000-07:00	https://data.bioontology.org/users/danberrios
COSTART	Coding Symbols for a Thesaurus of Adverse Reaction Terms	Coding Symbols for Thesaurus of Adverse Reaction Terms (COSTART). 5th ed. Rockville (MD). COSTART is used for coding, filing, and retrieving post-marketing adverse drug and biologic experience reports. COSTART is organized in body system and pathophysiology hierarchies, as well as a separate fetal/neonatal category of less than 20 terms.\r\n\r\nCOSTART has been superseded by the Medical Dictionary for Regulatory Activities (MedDRA) Terminology. For more information about MedDRA in the Metathesaurus, see the MedDRA source synopsis.\r\n\r\nCOSTART was last updated in the Metathesaurus in 1999.	http://www.nlm.nih.gov/research/umls/sourcereleasedocs/current/CST/	U.S. Food and Drug Administration Center for Drug Evaluation and Research	2013-05-08T00:00:00.000+00:00	https://data.bioontology.org/users/admin
ISO19115MI	ISO 19115 Metadata Information	ISO 19115 Metadata Information section		Kim Durante	2018-04-12T18:05:24.000-07:00	https://data.bioontology.org/users/kdurante
BIM	Biomedical Image Ontology	Biomedical images published within the scientific literature play a central role in reporting and facilitating life science discoveries. Existing ontologies and vocabularies describing biomedical images, particularly sequence images, do not provide sufficient semantic representation for image annotations generated automatically and/or semi-automatically. We present an open ontology for the annotation of biomedical images (BIM) scripted in OWL/RDF. The BIM ontology provides semantic vocabularies to describe the manually curated image annotations as well as annotations generated by online bioinformatics services using content extracted from images by the Semantic Enrichment of Biomedical Images (SEBI) system. The BIM ontology is represented in three parts; (i) image vocabularies - which holds vocabularies for the annotation of an image and/or region of interests (ROI) inside an image, as well as vocabularies to represent the pre and post processing states of an image, (ii) text entities - covers annotations from the text that are associated with an image (e.g. image captions) and provides semantic representation for NLP algorithm outputs, (iii) a provenance model  - that contributes towards the maintenance of annotation versioning. To illustrate the BIM ontology’s utility, we provide three annotation cases generated by BIM in conjunction with the SEBI image annotation engine.	https://sites.google.com/site/bimontology/	Mate Levente Nagy	2014-09-26T00:00:00.000+00:00	https://data.bioontology.org/users/ahmadchan
MCBCC	Breast Tissue Cell Lines Ontology	Contains a comprehensive list of cell lines derived from breast tissue, both normal and pathological. The ontology in built in OWL with cross relation to classes- genetic variation, pathological condition, genes, chemicals and drugs. The relations built enable semantic query across different classes	http://www.molecularconnections.com	Dr. Arathi Raghunath	2010-07-30T00:00:00.000-07:00	https://data.bioontology.org/users/usha
HMIS033B	HMIS 033	Ontology for Uganda HMIS 033b Health Unit wekkly Epidemiological Surveillance report		Nurullah Cirak	2021-08-16T00:00:00.000+00:00	https://data.bioontology.org/users/ncirak
RDA-ISSUANCE	RDA Mode of Issuance	RDA vocabulary for mode of issuance of a resource (single unit, multipart monograph, etc.)	https://www.rdaregistry.info/termList/ModeIssue/	Nancy Lorimer	2025-10-03T18:11:40.000-07:00	https://data.bioontology.org/users/nlorimer
TYPON	Microbial Typing Ontology	TyPon provides a comprehensive description of the existing microbial typing methods for the identification of bacterial Isolates and their classification. Such a description constitutes an universal format for the exchange of information on the microbial typing field, providing a vehicle for the integration of the numerous disparate online databases. In its current version, TyPon describes most used microbial typing methods but it is, and always will be, a work in progress given the constant advances in the microbial typing field.	http://www.phyloviz.net/typon/	PHYLOViZ Team	2014-09-29T14:45:25.000-07:00	https://data.bioontology.org/users/aplf;https://data.bioontology.org/users/cvaz
TEST-M4M20-PAV	test-m4m20-subjects-pav	Test		Nikola Vasiljevic	2022-06-08T00:00:00.000+00:00	https://data.bioontology.org/users/niva
NEUDIGS	Neuroscience Domain Insight Graph	Neuroscience Domain Insight Graphs provide a framework for expressing linked open data about neuronal populations expressed as statements about (A) distributions of subcellular components, (B) measurable physiological changes under various experimental conditions. The goal of this representation is to provide a computable language for reasoning over experimental neuroscientific findings.   	http://dig.isi.edu	Gully Burns	2017-02-23T00:00:00.000+00:00	https://data.bioontology.org/users/GullyAPCBurns
NCRO	Non-coding RNA Ontology	The NCRO is a reference ontology in the non-coding RNA (ncRNA) field, aiming to provide a common set of terms and relations that will facilitate the curation, analysis, exchange, sharing, and management of ncRNA structural, functional, and sequence data.		Jingshan Huang	2016-02-01T18:05:44.000-08:00	https://data.bioontology.org/users/huang-omit
OPDE	OPD-Ethiopia	This is an OPD Registry Form in Ethiopia.		Getu Tadele Taye	2021-06-02T00:00:00.000+00:00	https://data.bioontology.org/users/Getu
OPDT	opd_test	opd test for group 2		Cheng	2021-12-23T00:00:00.000+00:00	https://data.bioontology.org/users/Xinyue
