metpo_id	metpo_label	xref_iris	xref_labels	mapping_types	distances	ontologies
METPO:1000455	pH optimum low	['http://purl.obolibrary.org/obo/MICRO_0001545', 'http://purl.obolibrary.org/obo/MICRO_0001549', '<https://purl.dsmz.de/schema/OptimumPH>']	['pH optimum quality', 'acidophilic pH optimum', 'Optimum pH']	['skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.4294, 0.5691, 0.5764]	['MICRO', 'MICRO', 'D3O']
METPO:1000456	pH optimum mid1	['http://purl.obolibrary.org/obo/MICRO_0001545']	['pH optimum quality']	['skos:broadMatch']	[0.5566]	['MICRO']
METPO:1000457	pH optimum mid2	['http://purl.obolibrary.org/obo/MICRO_0001545']	['pH optimum quality']	['skos:broadMatch']	[0.5288]	['MICRO']
METPO:1000458	pH optimum high	['http://purl.obolibrary.org/obo/MICRO_0001545', '<https://purl.dsmz.de/schema/OptimumPH>', 'http://purl.obolibrary.org/obo/MICRO_0001549']	['pH optimum quality', 'Optimum pH', 'acidophilic pH optimum']	['skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.3081, 0.505, 0.5512]	['MICRO', 'D3O', 'MICRO']
METPO:1000463	pH range mid3	['http://purl.obolibrary.org/obo/MCO_0000720']	['pH 3.5']	['skos:broadMatch']	[0.5873]	['MCO']
METPO:1000525	microbe	['<http://purl.org/zonmw/generic/10024>', 'http://purl.obolibrary.org/obo/PCO_0000049', 'https://purl.obolibrary.org/obo/PCO_0000042', '<https://purl.dsmz.de/schema/MISO_4_32>', '<http://doi.org/10.1601/Microorganism>', 'http://purl.obolibrary.org/obo/GO_0042579', 'http://purl.obolibrary.org/obo/GO_0042579', 'http://purl.obolibrary.org/obo/OHMI_0000460', 'http://purl.obolibrary.org/obo/NCBITaxon_33882', '<http://purl.org/zonmw/id-amr/10012>']	['microorganism', 'microbe', 'obsolete microbe', 'Microbial', 'Microorganism', 'microbody', 'microbody', 'microbe', 'Microbacterium', 'microbiome']	['skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.3829, 0.4209, 0.4974, 0.5281, 0.5301, 0.5337, 0.5337, 0.5631, 0.5724, 0.5816]	['UNKNOWN', 'PCO', 'PCO', 'D3O', 'DOI', 'GO', 'GO', 'OHMI', 'UNKNOWN', 'UNKNOWN']
METPO:1000526	chemical entity	['https://w3id.org/biolink/vocab/ChemicalEntity', 'http://purl.obolibrary.org/obo/CHEBI_24431', '<http://purl.obolibrary.org/obo/CHEBI_24431>', '<http://doi.org/10.1601/media/ChemicalEntity>', 'http://purl.obolibrary.org/obo/OBA_0100004', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431', '<http://purl.obolibrary.org/obo/CHEBI_24431>', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431', 'http://purl.obolibrary.org/obo/CHEBI_24431']	['chemical entity', 'chemical entity', 'chemical entity', 'Chemical entity', 'chemical entity attribute', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity', 'chemical entity']	['skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch']	[0.0, 0.0, 0.0, 0.2651, 0.2705, 0.3204, 0.3204, 0.3204, 0.3204, 0.3204, 0.3205, 0.3275, 0.3275, 0.3275, 0.3275, 0.3275, 0.3275, 0.3275, 0.3275, 0.3275]	['BIOLINK', 'CHEBI', 'CHEBI', 'DOI', 'OBA', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI', 'CHEBI']
METPO:1000533	temperature phenotype with numerical limits	['<http://doi.org/10.1601/TemperaturePhenotype>']	['Temperature phenotype']	['skos:broadMatch']	[0.5705]	['DOI']
METPO:1000601	oxygen preference	['<http://doi.org/10.1601/OxygenPhenotype>']	['Oxygen phenotype']	['skos:broadMatch']	[0.5481]	['DOI']
METPO:1000602	aerobic	['http://purl.obolibrary.org/obo/MICRO_0000494', '<http://doi.org/10.1601/Aerobic>', '<https://mdatahub.org/data/meo/MEO_0000405>', 'http://purl.obolibrary.org/obo/MICRO_0000495', 'http://purl.obolibrary.org/obo/GO_0009060', 'http://purl.obolibrary.org/obo/GO_0009060', 'http://purl.obolibrary.org/obo/GO_0009060', '<http://purl.jp/bio/10/mpo#MPO_04002>', '<http://doi.org/10.1601/Aerobe>', 'http://purl.obolibrary.org/obo/MICRO_0000516', '<https://mdatahub.org/data/meo/MEO_0001093>', 'http://purl.obolibrary.org/obo/ECOCORE_00000173', 'http://purl.obolibrary.org/obo/MICRO_0001514', 'http://purl.obolibrary.org/obo/PATO_0001455', 'http://purl.obolibrary.org/obo/PATO_0001455', 'http://purl.obolibrary.org/obo/PATO_0001455', 'http://purl.obolibrary.org/obo/PATO_0001455', '<https://mdatahub.org/data/meo/MEO_0000070>', '<https://mdatahub.org/data/meo/MEO_0001814>', 'http://purl.obolibrary.org/obo/ENVO_00002126']	['aerobic', 'Aerobic', 'aerobic environment', 'anaerobic', 'aerobic respiration', 'aerobic respiration', 'aerobic respiration', 'Aerobe', 'Aerobe', 'obligately aerobic', 'aerobic tank', 'aerobe', 'aerobe', 'aerobic', 'aerobic', 'aerobic', 'aerobic', 'aerobic', 'aerobic bioreactor', 'aerobic bioreactor']	['skos:exactMatch', 'skos:closeMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.1411, 0.426, 0.4325, 0.4564, 0.4564, 0.4564, 0.4827, 0.4827, 0.5198, 0.5515, 0.5543, 0.5677, 0.5886, 0.5886, 0.5886, 0.5886, 0.5902, 0.5925, 0.5925]	['MICRO', 'DOI', 'MEO', 'MICRO', 'GO', 'GO', 'GO', 'UNKNOWN', 'DOI', 'MICRO', 'MEO', 'ECOCORE', 'MICRO', 'PATO', 'PATO', 'PATO', 'PATO', 'MEO', 'MEO', 'ENVO']
METPO:1000603	anaerobic	['http://purl.obolibrary.org/obo/MICRO_0000495', '<https://mdatahub.org/data/meo/MEO_0000404>', 'http://purl.obolibrary.org/obo/GO_0009061', 'http://purl.obolibrary.org/obo/GO_0009061', 'http://purl.obolibrary.org/obo/GO_0009061', '<http://purl.jp/bio/10/mpo#MPO_04003>', '<http://doi.org/10.1601/Anaerobe>', 'http://purl.obolibrary.org/obo/APO_0000307', 'http://purl.obolibrary.org/obo/MICRO_0000494', 'http://purl.obolibrary.org/obo/APO_0000210', '<http://doi.org/10.1601/Microaerobic>', '<http://doi.org/10.1601/AnaerobicRespiration>', 'http://purl.obolibrary.org/obo/MICRO_0001528', 'http://purl.obolibrary.org/obo/MICRO_0001528', 'http://purl.obolibrary.org/obo/MICRO_0000504', '<https://mdatahub.org/data/meo/MEO_0001804>', '<http://doi.org/10.1601/Aerobic>', 'http://purl.obolibrary.org/obo/OMIT_0002104', '<https://mdatahub.org/data/meo/MEO_0000120>', 'http://purl.obolibrary.org/obo/ENVO_00002124']	['anaerobic', 'anaerobic environment', 'anaerobic respiration', 'anaerobic respiration', 'anaerobic respiration', 'Anaerobe', 'Anaerobe', 'anaerobic growth', 'aerobic', 'anaerobic metabolism', 'Microaerobic', 'Anaerobic respiration', 'anaerobiosis', 'anaerobiosis', 'obligately anaerobic', 'anaerobic sediment', 'Aerobic', 'Anaerobiosis', 'anaerobic bioreactor', 'anaerobic bioreactor']	['skos:exactMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.3481, 0.3677, 0.3677, 0.3677, 0.3877, 0.3877, 0.4049, 0.4325, 0.4381, 0.4629, 0.4737, 0.4743, 0.4743, 0.4803, 0.5009, 0.5133, 0.5203, 0.5292, 0.5292]	['MICRO', 'MEO', 'GO', 'GO', 'GO', 'UNKNOWN', 'DOI', 'APO', 'MICRO', 'APO', 'DOI', 'DOI', 'MICRO', 'MICRO', 'MICRO', 'MEO', 'DOI', 'OMIT', 'MEO', 'ENVO']
METPO:1000604	microaerophilic	['http://purl.obolibrary.org/obo/MICRO_0000515', '<http://doi.org/10.1601/Microaerophilic>', '<http://purl.jp/bio/10/mpo#MPO_04009>', 'http://purl.obolibrary.org/obo/MICRO_0001515', '<http://doi.org/10.1601/Microaerobic>', 'http://purl.obolibrary.org/obo/ECOCORE_00000180', '<http://purl.jp/bio/10/mpo#MPO_04023>', 'http://purl.obolibrary.org/obo/MICRO_0001533', 'http://purl.obolibrary.org/obo/MICRO_0001513', '<http://doi.org/10.1601/StrictAerobe>', '<http://purl.obolibrary.org/obo/OMP_0000171>', '<http://purl.jp/bio/10/mpo#MPO_04002>', '<http://doi.org/10.1601/Aerobe>']	['microaerophilic', 'Microaerophilic', 'Microaerophile', 'microaerobe', 'Microaerobic', 'microaerophile', 'Microanaerobe', 'microaerobiosis', '(an)aerophile', 'Strict aerobe', 'microaerophile', 'Aerobe', 'Aerobe']	['skos:exactMatch', 'skos:closeMatch', 'skos:closeMatch', 'skos:closeMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.0867, 0.2067, 0.2287, 0.3418, 0.404, 0.4212, 0.4612, 0.5155, 0.5639, 0.5732, 0.5944, 0.5945]	['MICRO', 'DOI', 'UNKNOWN', 'MICRO', 'DOI', 'ECOCORE', 'UNKNOWN', 'MICRO', 'MICRO', 'DOI', 'OMP', 'UNKNOWN', 'DOI']
METPO:1000605	facultatively anaerobic	['http://purl.obolibrary.org/obo/MICRO_0000503', 'http://purl.obolibrary.org/obo/MICRO_0001520', '<http://doi.org/10.1601/FacultativeAnaerobe>', '<http://purl.jp/bio/10/mpo#MPO_04007>', 'http://purl.obolibrary.org/obo/MICRO_0001527', 'http://purl.obolibrary.org/obo/MICRO_0000504', '<http://purl.jp/bio/10/mpo#MPO_04005>', 'http://purl.obolibrary.org/obo/ECOCORE_00000177', '<http://purl.jp/bio/10/mpo#MPO_04006>', 'http://purl.obolibrary.org/obo/MICRO_0000495', 'http://purl.obolibrary.org/obo/OMP_0000087', '<http://purl.obolibrary.org/obo/OMP_0000087>', 'http://purl.obolibrary.org/obo/MICRO_0000516']	['facultatively anaerobic', 'facultative anaerobe', 'Facultative anaerobe', 'Facultative anaerobe', 'facultative anaerobiosis', 'obligately anaerobic', 'Facultative aerobe', 'facultative anaerobe', 'Obligate anaerobe', 'anaerobic', 'facultative anaerobe', 'facultative anaerobe', 'obligately aerobic']	['skos:closeMatch', 'skos:closeMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.1709, 0.2139, 0.2824, 0.2825, 0.3767, 0.3919, 0.4516, 0.5476, 0.5729, 0.5745, 0.5936, 0.5937, 0.5981]	['MICRO', 'MICRO', 'DOI', 'UNKNOWN', 'MICRO', 'MICRO', 'UNKNOWN', 'ECOCORE', 'UNKNOWN', 'MICRO', 'OMP', 'OMP', 'MICRO']
METPO:1000606	obligately aerobic	['http://purl.obolibrary.org/obo/MICRO_0000516', 'http://purl.obolibrary.org/obo/MICRO_0000504', '<http://purl.jp/bio/10/mpo#MPO_04004>', 'http://purl.obolibrary.org/obo/MICRO_0001532', '<http://purl.jp/bio/10/mpo#MPO_04006>', 'http://purl.obolibrary.org/obo/MICRO_0001566', 'http://purl.obolibrary.org/obo/MICRO_0001530', 'http://purl.obolibrary.org/obo/MICRO_0000494', 'http://purl.obolibrary.org/obo/ECOCORE_00000179', 'http://purl.obolibrary.org/obo/MICRO_0001516', 'http://purl.obolibrary.org/obo/MICRO_0001287', 'http://purl.obolibrary.org/obo/ECOCORE_00000178', 'http://purl.obolibrary.org/obo/MICRO_0001320', '<http://purl.obolibrary.org/obo/OMP_0000185>', 'http://purl.obolibrary.org/obo/OMP_0000185']	['obligately aerobic', 'obligately anaerobic', 'Obligate aerobe', 'obligate aerobiosis', 'Obligate anaerobe', 'obligately acidophilic', 'obligate anaerobiosis', 'aerobic', 'obligate aerobe', 'obligate aerobe', 'obligately thermophilic', 'obligate anaerobe', 'obligately mesophilic', 'obligate aerobe', 'obligate aerobe']	['skos:exactMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.2659, 0.4052, 0.4084, 0.468, 0.5045, 0.5175, 0.5201, 0.5404, 0.5635, 0.5662, 0.5742, 0.5779, 0.5971, 0.5973]	['MICRO', 'MICRO', 'UNKNOWN', 'MICRO', 'UNKNOWN', 'MICRO', 'MICRO', 'MICRO', 'ECOCORE', 'MICRO', 'MICRO', 'ECOCORE', 'MICRO', 'OMP', 'OMP']
METPO:1000607	obligately anaerobic	['http://purl.obolibrary.org/obo/MICRO_0000504', 'http://purl.obolibrary.org/obo/MICRO_0000516', '<http://purl.jp/bio/10/mpo#MPO_04006>', 'http://purl.obolibrary.org/obo/MICRO_0001530', 'http://purl.obolibrary.org/obo/ECOCORE_00000178', 'http://purl.obolibrary.org/obo/MICRO_0001532', '<http://purl.jp/bio/10/mpo#MPO_04004>', 'http://purl.obolibrary.org/obo/MICRO_0001520', 'http://purl.obolibrary.org/obo/MICRO_0000495', 'http://purl.obolibrary.org/obo/MICRO_0000503', '<http://doi.org/10.1601/FacultativeAnaerobe>', '<http://purl.jp/bio/10/mpo#MPO_04007>', '<http://doi.org/10.1601/StrictAnaerobe>', 'http://purl.obolibrary.org/obo/MICRO_0001519', 'http://purl.obolibrary.org/obo/MICRO_0001527', 'http://purl.obolibrary.org/obo/MICRO_0001566', '<http://purl.obolibrary.org/obo/OMP_0000184>', 'http://purl.obolibrary.org/obo/OMP_0000184', 'http://purl.obolibrary.org/obo/ECOCORE_00000179', 'http://purl.obolibrary.org/obo/MICRO_0001516']	['obligately anaerobic', 'obligately aerobic', 'Obligate anaerobe', 'obligate anaerobiosis', 'obligate anaerobe', 'obligate aerobiosis', 'Obligate aerobe', 'facultative anaerobe', 'anaerobic', 'facultatively anaerobic', 'Facultative anaerobe', 'Facultative anaerobe', 'Strict anaerobe', 'obligate anaerobe', 'facultative anaerobiosis', 'obligately acidophilic', 'obligate anaerobe', 'obligate anaerobe', 'obligate aerobe', 'obligate aerobe']	['skos:exactMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.2659, 0.2814, 0.3176, 0.3939, 0.4328, 0.4361, 0.4672, 0.4805, 0.4966, 0.5008, 0.5009, 0.5246, 0.5339, 0.5448, 0.5533, 0.5546, 0.5547, 0.5629, 0.5713]	['MICRO', 'MICRO', 'UNKNOWN', 'MICRO', 'ECOCORE', 'MICRO', 'UNKNOWN', 'MICRO', 'MICRO', 'MICRO', 'DOI', 'UNKNOWN', 'DOI', 'MICRO', 'MICRO', 'MICRO', 'OMP', 'OMP', 'ECOCORE', 'MICRO']
