ontologyId	id	title	description	homepage	version	numberOfTerms	numberOfProperties	numberOfIndividuals	status
dron	dron	The Drug Ontology	An ontology to support comparative effectiveness researchers studying claims data.	https://github.com/ufbmi/dron	2025-07-19	762655	274	27	LOADED
duo	duo	Data Use Ontology	DUO is an ontology which represent data use conditions.	https://github.com/EBISPOT/DUO		308	134	20	LOADED
ecao	ecao	Echinoderm Anatomy and Development Ontology	None	https://github.com/echinoderm-ontology/ecao_ontology		7309	454	67	LOADED
eco	eco	Evidence & Conclusion Ontology (ECO)	The Evidence & Conclusion Ontology (ECO) describes types of scientific evidence within the biological research domain that arise from laboratory experiments, computational methods, literature curation, or other means.	https://www.evidenceontology.org		3340	91	18	LOADED
ecocore	ecocore	An ontology of core ecological entities	Ecocore is a community ontology for the concise and controlled description of ecological traits of organisms.	https://github.com/EcologicalSemantics/ecocore	2022-03-09	5586	483	17	LOADED
ecto	ecto	Environment Exposure Ontology	ECTO describes exposures to experimental treatments of plants and model organisms (e.g. exposures to modification of diet, lighting levels, temperature); exposures of humans or any other organisms to stressors through a variety of routes, for purposes of public health, environmental monitoring etc, stimuli, natural and experimental, any kind of environmental condition or change in condition that can be experienced by an organism or population of organisms on earth. The scope is very general and can include for example plant treatment regimens, as well as human clinical exposures (although these may better be handled by a more specialized ontology).	https://github.com/EnvironmentOntology/environmental-exposure-ontology	2023-02-14	11864	480	60	LOADED
emapa	emapa	Mouse Developmental Anatomy Ontology	An ontology for mouse anatomy covering embryonic development and postnatal stages.	http://www.informatics.jax.org/expression.shtml		8788	26	0	LOADED
envo	envo	The Environment Ontology	ENVO is an ontology which represents knowledge about environments,environmental processes, ecosystems, habitats, and related entities	http://environmentontology.org/	2025-08-19	7021	314	44	LOADED
epio	epio	Epilepsy Ontology (EPIO)	The Epilepsy Ontology (EPIO) is an assembly of structured knowledge on various aspects of epilepsy, developed according to basic formal ontology (BFO) and Open Biological and Biomedical Ontology (OBO) Foundry principles. Entities and definitions are collected from the latest International League against Epilepsy (ILAE) classification, as well as from domain-specific ontologies such as Epilepsy Ontology (EPILONT), Epilepsy Syndrome Seizure Ontology (ESSO), Epilepsy Semiology(EPISEM) and Epilepsy and Seizure Ontology (EPSO) and scientific literature.\n\nThis ontology is intended to be used  for data management and for text mining purposes. The current release of the ontology is publicly available and is a community based effort to assemble various facets of the complex disease Epilepsy.	https://github.com/SCAI-BIO/EpilepsyOntology	2021-05-28	1916	133	1	LOADED
exo	exo	Exposure ontology (ExO)	ExO is intended to bridge the gap between exposure science and diverse environmental health disciplines including toxicology, epidemiology, disease surveillance, and epigenetics.	https://github.com/CTDbase/exposure-ontology	2025-08-29	168	27	0	LOADED
fao	fao	Fungal gross anatomy	A structured controlled vocabulary for the anatomy of fungi.	https://github.com/obophenotype/fungal-anatomy-ontology/		122	36	0	LOADED
fbbt	fbbt	Drosophila gross anatomy	An ontology representing the gross anatomy of Drosophila melanogaster.	http://purl.obolibrary.org/obo/fbbt	2025-10-16	29712	255	0	LOADED
fbcv	fbcv	FlyBase Controlled Vocabulary	A structured controlled vocabulary used for various aspects of annotation by FlyBase.	http://purl.obolibrary.org/obo/fbcv	2025-10-17	2334	116	0	LOADED
fbdv	fbdv	Drosophila development	A structured controlled vocabulary of the development of Drosophila melanogaster.	http://purl.obolibrary.org/obo/fbdv	2025-10-16	250	72	0	LOADED
flopo	flopo	Flora Phenotype Ontology	Traits and phenotypes of flowering plants occurring in digitized Floras	https://github.com/flora-phenotype-ontology/flopoontology		34856	563	9	LOADED
fobi	fobi	Food-Biomarker Ontology	FOBI (Food-Biomarker Ontology) is an ontology to represent food intake data and associate it with metabolomic data	https://github.com/pcastellanoescuder/FoodBiomarkerOntology		1799	29	0	LOADED
foodon	foodon	Food Ontology	A broadly scoped ontology representing entities which bear a “food role”. It encompasses materials in natural ecosystems and agriculture that are consumed by humans and domesticated animals. This includes any generic (unbranded) raw or processed food material found in processing plants, markets, stores or food distribution points. FoodOn also imports nutritional component and dietary pattern terms from other OBO Foundry ontologies to support interoperability in diet and nutrition research	https://foodon.org/	2025-08-01	39576	255	435	LOADED
fovt	fovt	FuTRES Ontology of Vertebrate Traits	These are the terms that are improted for FOVT to describe vertebrate traits.	https://github.com/futres/fovt	2023-05-31	11321	578	27	LOADED
fypo	fypo	Fission Yeast Phenotype Ontology (FYPO)	A formal ontology of phenotypes observed in fission yeast.	https://github.com/pombase/fypo	2025-09-27	10458	58	18	LOADED
gallont	gallont	Plant Gall Ontology	Ontology of plant gall phenotypes. Plant galls are novel plant structures, generated by plants in response to biotic stressors. This ontology is used to annotate gall phenotypes (e.g., their colors, textures, sizes, locations on the plant) in a semantic way, in order to facilitate discoveries about the genetic and physiologic mechanisms responsible for such phenotypes. The ontology can also be used as a controlled vocabulary for natural language descriptions of plant galls.	https://adeans.github.io/gallont/	2024-04-19	394	259	13	LOADED
gecko	gecko	Genomics Cohorts Knowledge Ontology	An ontology to represent genomics cohort attributes.	https://github.com/IHCC-cohorts/GECKO		154	17	0	LOADED
genepio	genepio	Genomic Epidemiology Ontology	The Genomic Epidemiology Ontology (GenEpiO) covers vocabulary necessary to identify, document and research foodborne pathogens and associated outbreaks.	http://genepio.org/	2024-12-18	8727	168	958	LOADED
geno	geno	GENO ontology	GENO is an OWL model of genotypes, their more fundamental sequence components, and links to related biological and experimental entities.  At present many parts of the model are exploratory and set to undergo refactoring.  In addition, many classes and properties have GENO URIs but are place holders for classes that will be imported from an external ontology (e.g. SO, ChEBI, OBI, etc).  Furthermore, ongoing work will implement a model of genotype-to-phenotype associations. This will support description of asserted and inferred relationships between a genotypes, phenotypes, and environments, and the evidence/provenance behind these associations. \n\nDocumentation is under development as well, and for now a slidedeck is available at http://www.slideshare.net/mhb120/brush-icbo-2013	https://github.com/monarch-initiative/GENO-ontology/	2025-07-25	589	344	325	LOADED
geo	geo	Geographical Entity Ontology	An ontology of geographical entities	https://github.com/ufbmi/geographical-entity-ontology/wiki	production version 2016-03-26	108	112	4	LOADED
gno	gno	Glycan Naming Ontology	An ontology for glycans based on GlyTouCan, but organized by subsumption.	https://gnome.glyomics.org/	V2.5.0	197510	17	5	LOADED
go	go	Gene Ontology	The Gene Ontology (GO) provides a framework and set of concepts for describing the functions of gene products from all organisms.	http://geneontology.org/	2025-10-10	84388	476	48	LOADED
hancestro	hancestro	Human Ancestry Ontology	Human ancestry ontology for the NHGRI GWAS Catalog	https://ebispot.github.io/hancestro/	2025-10-14	1310	123	19	LOADED
hao	hao	Hymenoptera Anatomy Ontology	A structured controlled vocabulary of the anatomy of the Hymenoptera (bees, wasps, and ants)	http://hymao.org	2023-06-01	2597	21	2764	LOADED
hom	hom	Homology Ontology	This ontology represents concepts related to homology, as well as other concepts used to describe similarity and non-homology.	https://github.com/BgeeDB/homology-ontology		66	18	0	LOADED
hsapdv	hsapdv	Human Developmental Stages	Life cycle stages for Human	https://github.com/obophenotype/developmental-stage-ontologies/wiki/HsapDv	2025-01-23	260	42	0	LOADED
hso	hso	Health Surveillance Ontology	The health Surveillance Ontology (HSO) focuses on "surveillance system level data", that is, data outputs from surveillance activities, such as number of samples collected, cases observed, etc. It aims to support One-Health surveillance, covering animal health, public health and food safety surveillance.	https://w3id.org/hso		448	303	192	LOADED
htn	htn	Hypertension Ontology For Clinical Data	An ontology for representing clinical data about hypertension, intended to support classification of patients according to various diagnostic guidelines	https://github.com/aellenhicks/htn_owl		603	424	0	LOADED
iao	iao	Information Artifact Ontology (IAO)	The Information Artifact Ontology (IAO) is an ontology of information entities, originally driven by work by the OBI digital entity and realizable information entity branch.	https://github.com/information-artifact-ontology/IAO/	2022-11-07	263	127	20	LOADED
iceo	iceo	ICEO: Ontology of Integrative and Conjugative Elements	A biological ontology to standardize and integrate Integrative and Conjugative Element (ICE) information and to support computer-assisted reasoning.	https://github.com/ontoice/ICEO	2.1	30914	133	6	LOADED
ico	ico	Informed Consent Ontology (ICO)	The Informed Consent Ontology (ICO) is an ontology for the informed consent and informed consent process in the medical field.	https://github.com/ICO-ontology/ICO	2025-03-15	1196	174	22	LOADED
ido	ido	Infectious Disease Ontology	A set of interoperable ontologies that will together provide coverage of the infectious disease domain. IDO core is the upper-level ontology that hosts terms of general relevance across the domain, while extension ontologies host terms to specific to a particular part of the domain.	http://www.bioontology.org/wiki/index.php/Infectious_Disease_Ontology	2017-11-03	518	104	20	LOADED
ino	ino	INO: Interaction Network Ontology	he Interaction Network Ontology (INO) is an ontology in the domain of interactions and interaction networks. INO represents general and species-neutral types of interactions and interaction networks, and their related elements and relations. INO is a community-driven ontology, aligns with BFO, and is developed by following the OBO Foundry principles.	https://github.com/INO-ontology/ino	1.1.13	328	124	0	LOADED
labo	labo	clinical LABoratory Ontology	LABO is an ontology of informational entities formalizing clinical laboratory tests prescriptions and reporting documents.	https://github.com/OpenLHS/LABO	2021-06-08	169	78	0	LOADED
lepao	lepao	Lepidoptera Anatomy Ontology	The Lepidoptera Anatomy Ontology contains terms used for describing the anatomy and phenotype of moths and butterflies in biodiversity research.	https://github.com/insect-morphology/lepao	2022-12-29	822	84	0	LOADED
ma	ma	Mouse adult gross anatomy	A structured controlled vocabulary of the adult anatomy of the mouse (Mus).	https://github.com/obophenotype/mouse-anatomy-ontology		3257	15	0	LOADED
maxo	maxo	Medical Action Ontology	An ontology to represent medically relevant actions, procedures, therapies, interventions, and recommendations.	https://github.com/monarch-initiative/MAxO	2025-04-24	7060	252	0	LOADED
mco	mco	Microbial Conditions Ontology	Microbial Conditions Ontology is an ontology...	https://github.com/microbial-conditions-ontology/microbial-conditions-ontology		3383	108	0	LOADED
mcro	mcro	Model Card Report Ontology	An ontology representing the structure of model card reports - reports that describe basic characteristics of machine learning models for the public and consumers.	https://github.com/UTHealth-Ontology/MCRO	2023-03-07	966	338	24	LOADED
mf	mf	Mental Functioning Ontology	The Mental Functioning Ontology is an overarching ontology for all aspects of mental functioning.	https://github.com/jannahastings/mental-functioning-ontology	2025-07-08	400	90	19	LOADED
mfoem	mfoem	Emotion Ontology	An ontology of affective phenomena such as emotions, moods, appraisals and subjective feelings.	https://github.com/jannahastings/emotion-ontology	2025-07-31	624	99	19	LOADED
mfomd	mfomd	Mental Disease Ontology	The Mental Disease Ontology is developed to facilitate representation for all aspects of mental disease. It is an extension of the Ontology for General Medical Science (OGMS) and Mental Functioning Ontology (MF).	https://github.com/jannahastings/mental-functioning-ontology	2020-04-26	1172	378	73	LOADED
mi	mi	Molecular Interactions Controlled Vocabulary	A structured controlled vocabulary for the annotation of experiments concerned with protein-protein interactions.	https://github.com/HUPO-PSI/psi-mi-CV		1649	45	0	LOADED
miapa	miapa	Minimum Information for A Phylogenetic Analysis (MIAPA) Ontology	The MIAPA ontology is intended to be an application ontology for the purpose of semantic annotation of phylogenetic data according to the requirements and recommendations of the Minimum Information for A Phylogenetic Analysis (MIAPA) metadata reporting standard. The ontology leverages (imports) primarily from the CDAO (Comparative Data Analysis Ontology), PROV (W3C Provenance Ontology), and SWO (Software Ontology, which includes the EDAM ontologies) ontologies. It adds some assertions of its own, as well as some classes and individuals that may eventually get pushed down into one of the respective source ontologies.\n\nThis ontology is maintained at http://github.com/miapa/miapa, and requests for changes or additions should be filed at the issue tracker there. The discussion list is at miapa-discuss@googlegroups.com. Further resources about MIAPA can be found at the project's main page at http://evoio.org/wiki/MIAPA.	http://www.evoio.org/wiki/MIAPA		238	234	38	LOADED
mmo	mmo	Measurement method ontology	A representation of the variety of methods used to make clinical and phenotype measurements. 	https://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=MMO:0000000		866	26	0	LOADED
mmusdv	mmusdv	Mouse Developmental Stages	Life cycle stages for Mus Musculus	https://github.com/obophenotype/developmental-stage-ontologies/wiki/MmusDv	2025-01-23	178	39	0	LOADED
mod	mod	Protein modification	PSI-MOD is an ontology consisting of terms that describe protein chemical modifications	http://www.psidev.info/MOD		2098	47	0	LOADED
mondo	mondo	Mondo Disease Ontology	A semi-automatically constructed ontology that merges in multiple disease resources to yield a coherent merged ontology.	https://monarch-initiative.github.io/mondo	2025-10-07	56754	484	18	LOADED
mop	mop	MOP	MOP is the molecular process ontology. It contains the molecular processes that underlie the name reaction ontology RXNO, for example cyclization, methylation and demethylation.	https://github.com/rsc-ontologies/rxno		3686	38	0	LOADED
mp	mp	The Mammalian Phenotype Ontology	The Mammalian Phenotype Ontology is being developed by Cynthia L. Smith, Susan M. Bello, Anna V. Anagnostopoulos, Carroll W. Goldsmith and Janan T. Eppig, as part of the Mouse Genome Database (MGD) Project, Mouse Genome Informatics (MGI), The Jackson Laboratory, Bar Harbor, ME. This file contains pre-coordinated phenotype terms, definitions and synonyms that can be used to describe mammalian phenotypes. The ontology is represented as a directed acyclic graph (DAG). It organizes phenotype terms into major biological system headers such as nervous system and respiratory system.  This ontology is currently under development. Weekly updates are available at the Mouse Genome Informatics (MGI) ftp site (ftp://ftp.informatics.jax.org/pub/reports/index.html#pheno) as well as the OBO Foundry site (http://obofoundry.org/). Japanese labels of MP were created by the MP Japanese Translation Project (https://github.com/dbcls/MP_Japanese). Questions, comments and suggestions are welcome, and should be directed to pheno@jax.org, Susan.Bello@jax.org or to GitHub tracker (https://github.com/mgijax/mammalian-phenotype-ontology/issues) MGD is funded by NIH/NHGRI grant HG000330.	https://www.informatics.jax.org/vocab/mp_ontology/	2025-09-30	34748	614	106	LOADED
mpath	mpath	Mouse pathology ontology	A structured controlled vocabulary of mutant and transgenic mouse pathology phenotypes	http://www.pathbase.net		891	22	0	LOADED
mpio	mpio	Minimum PDDI Information Ontology	An ontology of minimum information regarding potential drug-drug interaction information.	https://github.com/MPIO-Developers/MPIO	2023-10-17	51	67	18	LOADED
mro	mro	MHC Restriction Ontology	The MHC Restriction Ontology is an application ontology capturing how Major Histocompatibility Complex (MHC) restriction is defined in experiments, spanning exact protein complexes, individual protein chains, serotypes, haplotypes and mutant molecules, as well as evidence for MHC restrictions.	https://github.com/IEDB/MRO	2025-09-25	51423	41	0	LOADED
ms	ms	Mass spectrometry ontology	A structured controlled vocabulary for the annotation of experiments concerned with proteomics mass spectrometry.	http://www.psidev.info/groups/controlled-vocabularies		3808	39	0	LOADED
nbo	nbo	Neuro Behavior Ontology	An ontology of human and animal behaviours and behavioural phenotypes	https://github.com/obo-behavior/behavior-ontology/	2023-07-04	4546	326	0	LOADED
ncbitaxon	ncbitaxon	NCBI organismal classification	An ontology representation of the NCBI organismal taxonomy	https://github.com/obophenotype/ncbitaxon	2025-09-11	2693994	30	0	LOADED
ncit	ncit	NCI Thesaurus OBO Edition	NCI Thesaurus (NCIt)is a reference terminology that includes broad coverage of the cancer domain, including cancer related diseases, findings and abnormalities. The NCIt OBO Edition aims to increase integration of the NCIt with OBO Library ontologies. NCIt OBO Edition releases should be considered experimental.	https://github.com/ncit-obo-org/ncit-obo-edition	25.06e	203668	258	0	LOADED
ncro	ncro	Non-Coding RNA Ontology	An ontology for non-coding RNA, both of biological origin, and engineered.	http://omnisearch.soc.southalabama.edu/w/index.php/Ontology		3078	66	18	LOADED
ngbo	ngbo	 Next generation biobanking ontology(NGBO).	 Next Generation Biobanking Ontology (NGBO) is an open application ontology representing contextual data about omics digital assets in biobank. The ontology focuses on capturing the information about three main activities: wet bench analysis used to generate omics data, bioinformatics analysis used to analyze and interpret data, and data management.	https://github.com/Dalalghamdi/NGBO	2024-08-27	1515	252	0	LOADED
nomen	nomen	NOMEN - A nomenclatural ontology for biological names	NOMEN is a nomenclatural ontology for biological names (not concepts).  It encodes the goverened rules of nomenclature.	https://github.com/SpeciesFileGroup/nomen		264	124	0	LOADED
oae	oae	OAE: Ontology of Adverse Events	The Ontology of Adverse Eventsy (OAE) is a biomedical ontology in the domain of adverse events. OAE aims to standardize adverse event annotation, integrate various adverse event data, and support computer-assisted reasoning.  OAE is a community-based ontology. Its development follows the OBO Foundry principles. Vaccine adverse events have been used as an initial testing use case. OAE also studies adverse events associated with the administration of drug and nutritional products, the operation of surgeries, and the usage of medical devices, etc.	https://github.com/OAE-ontology/OAE/	1.2.47	10589	236	4	LOADED
oarcs	oarcs	Ontology of Arthropod Circulatory Systems	OArCS is an ontology describing the Arthropod ciruclatory system.	https://github.com/aszool/oarcs	2019-04-18	308	19	323	LOADED
oba	oba	Ontology of Biological Attributes (OBA)	A collection of biological attributes (traits) covering all kingdoms of life. Interoperable with VT (vertebrate trait ontology) and TO (plant trait ontology). Extends PATO.	https://github.com/obophenotype/bio-attribute-ontology	2025-08-20	82714	402	19	LOADED
obcs	obcs	OBCS: Ontology of Biological and Clinical Statistics	OBCS stands for the Ontology of Biological and Clinical Statistics. OBCS is an ontology in the domain of biological and clinical statistics. It is aligned with the Basic Formal Ontology (BFO) and the Ontology for Biomedical Investigations (OBI). OBCS imports all possible biostatistics terms in OBI and includes many additional biostatistics terms, some of which were proposed and discussed in the OBI face-to-face workshop in Ann Arbor in 2012.  	https://github.com/obcs/obcs	2023-12-08	1210	171	24	LOADED
obi	obi	Ontology for Biomedical Investigations	An ontology for representing biomedical investigations, including study designs, the collection and preparation of the targets of investigation, assays, instrumentation and reagents used, as well as the data generated and the types of analysis performed on the data to reach conclusions, and their documentation.	http://obi-ontology.org	2025-07-28	5001	187	303	LOADED
obib	obib	Ontology for BIoBanking (OBIB)	The Ontology for Biobanking (OBIB) is an ontology for the annotation and modeling of the activities, contents, and administration of a biobank. Biobanks are facilities that store specimens, such as bodily fluids and tissues, typically along with specimen annotation and clinical data. OBIB is based on a subset of the Ontology for Biomedical Investigation (OBI), has the Basic Formal Ontology (BFO) as its upper ontology, and is developed following OBO Foundry principles. The first version of OBIB resulted from the merging of two existing biobank-related ontologies, OMIABIS and biobank ontology.	https://github.com/biobanking/biobanking	2023-04-05	1803	172	226	LOADED
occo	occo	Occupation Ontology (OccO)	This Occupaton Ontology (OccO) is an ontology in the domain of human occupaitons. Current OccO version is developed based on the US Bureau of Labor Statistics Standard Occupation Classification (SOC) and the related O*Net System. The OccO development follows the principles of the Open Biological and Biomedical (OBO) Foundry.	https://github.com/Occupation-Ontology/OccO	1.0.66	1801	129	20	LOADED
