ontology	high_quality_matches	avg_similarity	total_matches
FYPO	26	0.4968460273609279	65
hp	26	0.5077910499070579	56
CL	26	0.5748055506354555	40
JERM	26	0.5788277069186177	41
PLOSTHES	25	0.5737634079625815	44
ncro	25	0.6359032398739609	27
NBO	25	0.6951045234415809	25
bco	25	0.6105374018867793	25
chebi	24	0.37706452894106596	103
UBERON	24	0.6265145909611997	28
PHARE	24	0.6683358713746057	25
uniprotrdfs	24	0.5089549025125716	38
stato	24	0.612880135061103	26
PMA	23	0.6592999971039487	25
mondo	23	0.583204785785028	45
SEPON	23	0.6740066602263852	26
BCI-O	23	0.7192140816058269	23
GO-EXT	23	0.6451985738726419	29
WC	23	0.6899185927489749	23
apollo_sv	22	0.6526330737622154	24
gsso	22	0.497680752698772	52
bto	22	0.460423903081817	83
NPO	22	0.6358354564609936	26
schemaorg_https	21	0.6717248986343649	21
PSO	21	0.6477723332114111	23
AHSO	21	0.6717248986343649	21
schemaorg_http	21	0.6717248986343649	21
AFO	21	0.6490672250800315	23
DERMO	21	0.5650214901641956	32
FOODON	21	0.5639265144781732	35
XPO	21	0.6902907420742325	24
ICNP	21	0.6124833738646415	27
PLANP	21	0.6483155831543532	26
apo	21	0.636667050848316	27
DRPSNPTO	21	0.6731472387426296	21
KISAO	21	0.5322063604645381	30
ONTOPBM	21	0.6279393847694233	25
INFECTION_TRANS	20	0.679120667375607	20
mi	20	0.5838144117813115	24
BERVO	20	0.441355306049509	90
FMA	20	0.6622020030979097	20
CCO	20	0.44581275945249627	111
BIODIVTHES	19	0.62163199263418	22
OCS	19	0.6977754075559601	19
gaz	19	0.6429890712589128	25
MIXS	18	0.6014364584334232	22
sio	18	0.4585006309392793	49
COMO	18	0.5274402530864369	39
FTC	18	0.6401739021151939	23
ddpheno	18	0.4911735827090931	40
IDOMAL	18	0.7514446950752007	20
UPA	18	0.7773900159330376	19
SCO	18	0.5469845667119233	37
txpo	17	0.524839386918848	34
AGRO	17	0.57242921545696	24
DERMLEX	17	0.5833192045768747	24
agro	17	0.7644877009188614	17
KTAO	17	0.6833174592356045	20
edam	17	0.6228587486141444	18
ONS	16	0.6284976733510693	24
EFO	16	0.47747759660305855	57
ENM	16	0.6169624867666731	26
labo	16	0.634676601491617	16
RETO	16	0.4535138721036691	78
RADLEX	16	0.6505513504942823	18
GEXO	16	0.4535138721036691	78
wbphenotype	16	0.5787968678480826	23
REXO	16	0.4535138721036691	78
ECTO	15	0.6359100271978324	20
SALMON	15	0.6774976356073115	15
FOVT	15	0.6632454840065332	18
COGITO	15	0.6060681965846706	20
HOIP	15	0.6237038292174811	22
BTO-EMMO	15	0.537231359755995	28
BTO-BFO	15	0.7394864612511671	15
AISM	15	0.7863045388209358	16
phipo	15	0.5721170323202971	27
DCM	15	0.5294809311154826	25
ecao	15	0.5775746763164987	31
BBO	14	0.557408376611977	19
zfa	14	0.5384961786369684	23
RBO	14	0.7446378721542691	16
TXPO	14	0.596940927084504	21
REX	14	0.7578634084211949	14
GRO	14	0.7382028173588275	15
pr	14	0.3405373253009455	202
APOLLO-SV	14	0.6116716916992408	16
PTO	14	0.5655479011789836	18
REPRODUCE-ME	14	0.48726668533025863	28
xpo	13	0.5786719455876829	25
HHEARP	13	0.5851093546508179	22
ONTOAD	13	0.660569523412925	16
NCRO	13	0.6840818145439994	14
SLSO	13	0.6164314685298058	19
ITO	13	0.548906655678956	21
aism	13	0.757029752409247	17
CLO	13	0.6905459716173425	14
upa	13	0.5944704951782463	24
EDAM	13	0.6289307909885287	13
ICPC2P	13	0.6061542296706841	13
COVIDCRFRAPID	13	0.6829239388062918	13
BTO	13	0.5093603532735296	25
fovt	13	0.7104292940440826	17
hcao	12	0.6947661361471716	16
NMOBR	12	0.6816172790420283	13
PORO	12	0.6708529195035743	14
IDODEN	12	0.7543517480252174	14
CTO-NDD	12	0.7104373043960602	12
OBOE-SBC	12	0.7216318024655584	12
BT-ONTOLOGY	12	0.674358076563959	12
obib	12	0.7279267509914381	12
ECAO	12	0.6873409213340985	14
DRANPTO	12	0.6755943901777236	12
BDO	12	0.5891855970968297	16
SSN	12	0.7104373043960602	12
GSSO	11	0.6039983657050348	17
PCL	11	0.7150727184279143	12
SEP	11	0.7346169772256729	11
LANDFORM	11	0.5076528324439272	23
mpath	11	0.5209639858641731	21
dpo	11	0.8298961319650975	11
aro	11	0.4823815435134115	28
ECSO	11	0.4141777009694097	39
zeco	11	0.34696187779906296	64
maxo	11	0.6110470530765596	19
ons	11	0.6292715306976767	19
COMET	10	0.7183986391491463	10
rbo	10	0.7740450974146627	13
VEO	10	0.567931647477102	11
planp	10	0.5516363811056254	16
poro	10	0.5855961411994974	15
hao	10	0.49149938196014115	21
SIO	10	0.4927697219555304	31
bao	10	0.5126408844004482	34
GOLDTERMS	10	0.593607210004904	16
MAXO	10	0.63177678528678	12
STATO	10	0.613537529327003	10
symp	10	0.6708426722196612	10
ISPO	10	0.5750242780475339	10
MEPO	10	0.7422081629586701	10
xao	9	0.5207184226104896	14
CHEBI	9	0.47227403487914044	17
ordo	9	0.4431660485518258	26
CEPH	9	0.5665556271685304	10
genepio	9	0.5580295416864169	27
PSDO	9	0.6261528103633367	9
INBIO	9	0.5419555834029518	16
NMOSP	9	0.7231313131313131	9
DOID	9	0.536324163902311	17
HPIO	9	0.7046753246753247	10
CMPO	9	0.7500151498699593	10
OC_E	9	0.7135646255096334	9
clo	9	0.573486142330363	19
RB	9	0.7437541943314058	10
BAO	9	0.771983994266603	13
CHMO	9	0.5648218997414161	13
BIOLINK	9	0.7918715038165117	9
APO	9	0.7331223799864774	10
ATOL	9	0.6186387164328341	12
emapa	9	0.5054357522012028	20
OBOE	9	0.7135646255096334	9
GEOSPECIES	9	0.7135646255096334	9
IFAR	9	0.5534087911305804	13
NLN	9	0.7135646255096334	9
ma	9	0.49932386408931473	20
rex	9	0.8053916787664194	9
GMO	8	0.5516113826945702	10
MA	8	0.6128630520951699	8
OBI_BCGO	8	0.5684059459652492	16
GAMUTS	8	0.5634033561290566	12
EMAPA	8	0.6281427723748901	8
proco	8	0.6615482556659027	11
OHPI	8	0.7824287846572885	9
OCD	8	0.7764868233618234	8
ADW	8	0.7443250377073907	8
LSFO	8	0.5533319532343605	8
PHIPO	8	0.7951047444768495	10
xco	8	0.4518534490301564	22
bmont	8	0.8224527901777692	8
dron	8	0.6968142344546838	11
COGAT	8	0.5607416666286225	16
EPO	8	0.6127748682693946	10
PREMEDONTO	8	0.7443609022556391	8
EDEM-CONNECTONTO	8	0.6952380952380952	8
BIFO	8	0.4173248320307144	26
eco	7	0.6441580932330457	8
pcl	7	0.6845243394156438	11
SDO	7	0.6704260651629073	7
PROCO	7	0.598308010072716	11
ONTONEPHRO	7	0.3257388519884489	42
OPB	7	0.42745414268974763	27
vt	7	0.4384838393002964	22
LABO	7	0.6263955342902712	8
OPMI	7	0.8929710109383431	7
EUPATH	7	0.7202066880429453	9
rexo	7	0.45394963141041045	53
oae	7	0.523714227670085	15
ARO	7	0.48743514508651253	20
uo	7	0.3327556742889536	33
NIO	7	0.6886557484383572	7
MIO	7	0.5829337046013167	11
ecto	7	0.6233758493766542	14
DPO	7	0.6906771149367498	7
CIDO	7	0.5821154820871856	15
idomal	7	0.8158730158730159	7
NGBO	7	0.6379539517955019	7
HERO	7	0.6001113895850738	7
TAO	7	0.61657057322692	9
ZFA	6	0.5678864003747904	8
OBIB	6	0.8796484454379191	6
gexo	6	0.4486934180284428	52
nmrcv	6	0.3271578526828059	39
mf	6	0.7019824311490979	6
GENEPIO	6	0.509568908215967	15
MIXSCV	6	0.7203703703703704	6
OAE	6	0.6142165898617511	10
PEAO	6	0.4972712392082832	11
MIDO	6	0.6657017543859649	6
ohmi	6	0.4724543267559088	17
OBI	6	0.6758767640066633	6
geno	6	1.0	6
PNADO	6	0.44664864678514915	21
LTER-CV	6	0.7555477363359138	7
SAO	6	0.5802472448913935	11
msio	6	0.7290649782909845	6
MI	6	0.6988304093567251	6
GALLONT	6	0.6238448087091434	7
DDPHENO	6	0.6953629032258064	6
ELTER_CL	6	0.45990799705969987	13
OBI_IEE	5	0.657205962961842	5
REGN_BRO	5	0.5115596214983666	19
BRO	5	0.493722245410774	23
FRMO	5	0.5013109348878008	9
reto	5	0.443231078631496	51
OHMI	5	0.7403228587439113	6
DDANAT	5	0.5603190185457875	6
MFOEM	5	0.6423789173789174	5
MAT	5	0.5381210950207366	9
CHIRO	5	0.8163788382684884	5
ddanat	5	0.5133128569829337	8
ADO	5	0.5354037267080746	7
ONE	5	0.657205962961842	5
EGO	5	0.657205962961842	5
MEDLINEPLUS	5	0.7295238095238096	5
DINTO	5	0.559951365506921	9
BIOMO	5	0.5863931066119358	11
DRON	5	0.8397306397306398	5
MFOMD	5	0.6423789173789174	5
MS	5	0.4970252994814947	10
ADMO	5	0.6385964912280702	5
mop	5	0.8701509365339153	5
clao	5	0.4849594759846476	10
MCO	5	0.5563583394113635	10
MF	5	0.6423789173789174	5
INBANCIDO	5	0.7581302664893996	5
OCMR	5	0.7099060783271309	5
BIRNLEX	5	0.714618454661558	6
PR	5	0.3090181070179129	118
POEM	5	0.5863931066119358	11
slso	5	0.9095238095238095	6
ado	5	0.9047619047619048	6
ohd	5	0.8138528138528139	5
MOP	5	0.8701509365339153	5
TOP-MENELAS	5	0.5166096275170685	8
NDDF	5	0.5245985854564968	10
CTENO	5	0.9411764705882353	5
GENAI	4	0.5703044375644996	4
one	4	0.6984633569739953	4
PDO_CAS	4	0.5682093821510298	5
cpont	4	0.89	4
slm	4	0.5615813741969865	6
ngbo	4	0.6984633569739953	4
ONSTR	4	0.7996632996632996	4
plana	4	0.5026213795210756	7
TMO	4	0.5123656409406215	11
SL_DIS	4	0.7261904761904763	4
cco	4	0.4347453676098909	50
GFVO	4	1.0	4
OCRE	4	0.6137218045112782	4
gallont	4	0.9351851851851851	4
VO	4	0.5169195683471569	9
BIPOM	4	0.7333333333333334	5
DEB	4	0.5907363727043361	5
MP	4	0.4807664444834973	20
DDSS	4	0.7075580365054049	4
PECO	4	0.5930236919820253	6
MIFE	4	0.44781746031746034	12
SLEEP	4	0.7261904761904763	4
SWO	4	0.6415494980912734	7
MATERIALSMINE	4	0.7559523809523809	4
peco	4	0.4262931948456765	24
SBO	4	0.3636265056341783	26
fao	4	0.4571724853272231	10
teddy	4	0.5689301215617005	6
ONTODM-CORE	4	0.6732456140350878	4
PLANA	4	0.7269503546099291	5
ONTOPARON_SOCIAL	4	0.6959109730848861	4
ONTODT	4	0.5482456140350878	4
RCTONT	4	0.5482456140350878	4
cteno	4	1.0	4
NMR	4	0.3526752512116394	22
TGMA	4	0.5676822427946866	6
ONTOTOXNUC	4	0.5165443252399774	7
mco	4	0.34151910200245605	227
NONRCTO	4	0.5482456140350878	4
ICD10CM	4	0.31353982309540973	17
dideo	4	0.9230769230769231	4
NAMO	4	0.4277840741559782	16
cido	3	0.4949476303231244	11
iceo	3	1.0	3
po	3	0.5659691412797002	7
SPTO	3	0.4070100911866373	12
BPT	3	0.9487179487179488	3
COLAO	3	0.7757437070938215	3
TEDDY	3	0.5637972269551217	5
hgnc	3	0.42375933663859355	25
ogg	3	0.42375933663859355	25
ACGT-MO	3	0.6672771672771672	6
ICD9CM	3	0.4615499191297539	11
RPO	3	0.4737345391877259	7
COPPER	3	0.7126755218216319	5
HENEGEO	3	0.42375933663859355	25
suicideo	3	0.564327485380117	3
OGG-MM	3	0.4170611141715373	27
BTO-PROVO	3	0.8174603174603176	3
bspo	3	1.0	3
NEOMARK3	3	0.8495220474868949	3
OMCO	3	0.5067244985849637	6
PHFUMIADO	3	0.6142857142857142	3
HAO	3	0.44972210541624147	13
CHR	3	1.0	3
vo	3	0.5069444444444444	8
biolink	3	1.0	3
HGNC-NR	3	0.42375933663859355	25
CLAO	3	0.49736283427685846	7
VDOT	3	0.888888888888889	3
SSBD	3	0.6680426556587546	3
SYMP	3	0.5341789992952783	3
HHEAR	3	0.7447006755182857	3
HAAURAADO	3	0.6142857142857142	3
CRENO	3	0.8405797101449276	3
HGNC	3	0.42375933663859355	25
OGG	3	0.42375933663859355	25
pw	3	0.4452780863195838	9
CIINTEADO	3	0.6142857142857142	3
CISAVIADO	3	0.6142857142857142	3
exo	3	0.560950584926025	7
htn	3	1.0	3
bcgo	3	0.7914402173913043	4
ino	3	0.7282828282828283	4
COVID-19	3	0.8823529411764706	3
STMSO	3	0.6866666666666666	3
gold	3	0.6327809248566612	7
hba	3	0.5069774391946814	6
FAO	3	0.44901251204158577	9
LAND-SURFACE	3	0.524040283336622	6
GDCO	3	0.49580719187416905	15
HINO	3	0.5372521419828641	12
XAO	3	0.5495199245199245	4
covoc	3	0.8666666666666667	3
HAROREADO	3	0.6142857142857142	3
WB-PHENOTYPE	3	0.4353887319028153	15
VANDF	3	0.3169806166717496	52
COID	2	0.7770007770007771	3
CARO	2	0.7962962962962963	2
EXMO	2	0.6811594202898551	2
ICD10	2	0.4669281778275895	3
ogsf	2	0.7903225806451613	2
HENECON	2	0.5417860126506743	7
BCO	2	0.7460881934566145	2
ICO	2	0.7460881934566145	2
EPIE	2	0.6126373626373627	2
colao	2	0.6702898550724637	4
NDDO	2	0.7857142857142857	2
LIFO	2	1.0	2
MFO	2	0.6733333333333333	3
MHCRO	2	0.5019886363636363	4
NIDM-RESULTS	2	0.5714285714285714	2
DOVES	2	0.4596438465530739	11
INCENTIVE	2	0.6309523809523809	2
NIGO	2	0.6875420875420876	3
INCENTIVE-VARS	2	0.6309523809523809	2
HTN	2	0.8478260869565217	2
HFO	2	0.5773809523809523	2
PE-O	2	0.6475155279503105	2
CHRO	2	0.638148667601683	2
clyh	2	0.5706349206349206	3
FISHO	2	0.7007672634271099	2
BRCT	2	0.4937739463601532	3
BMS-LM	2	1.0	2
PCO	2	1.0	2
GECKO	2	1.0	2
IDO-COVID-19	2	1.0	2
OLAM	2	1.0	2
BCTEO	2	0.6491228070175439	2
GENO	2	1.0	2
tgma	2	0.6865203761755485	2
LEPAO	2	0.8478260869565217	2
bfo	2	1.0	2
ODNAE	2	1.0	2
PBO	2	0.5485858197919011	6
ALTPROTON	2	0.3810116976083363	14
CHEMINF	2	1.0	2
OGDI	2	1.0	2
PLANTSO	2	1.0	2
DTO	2	0.8478260869565217	2
om	2	0.6854219948849105	2
kisao	2	0.6003584229390682	2
lepao	2	1.0	2
OCE	2	0.7962962962962963	2
cheminf	2	1.0	2
mmo	2	0.4112808401713838	4
EXO	2	1.0	2
SOPHARM	2	1.0	2
ACVD_ONTOLOGY	2	0.5271290389473708	4
MSO	2	0.45693600841226	5
SCDO	2	0.6874911909795631	4
ONVOC	2	0.47752958961323855	8
bcio	2	1.0	2
O3	2	0.5607843137254902	2
cdno	2	0.7927927927927928	3
chiro	2	0.5825624421831638	4
duo	2	1.0	2
PDQ	2	0.6180475700538643	3
ohpi	2	1.0	2
vbo	2	0.7619047619047619	2
EPIO	2	0.6515151515151515	3
OGSF	2	1.0	2
geo	2	1.0	2
gecko	2	0.7666666666666666	2
addicto	2	1.0	2
NIFSUBCELL	2	0.618096357226792	2
OBOREL	2	0.8478260869565217	2
VBO	2	0.7619047619047619	2
PHASES	2	1.0	2
BCIO	2	1.0	2
cvdo	2	1.0	2
cob	2	1.0	2
ODFA	2	0.7727272727272727	2
ico	2	1.0	2
ONTOLURGENCES	2	0.31722319861094467	23
FB-SP	2	0.6636155606407322	2
FB-CV	2	0.7257799671592775	2
epio	2	1.0	2
BCGO	2	0.40830857514630564	8
ONTRISCAL	2	0.40830857514630564	8
mfmo	2	1.0	2
hso	2	1.0	2
MPATH	2	0.4624294919024233	10
pco	2	0.78	2
ro	2	1.0	2
pso	2	1.0	2
mfomd	2	1.0	2
ontoneo	2	0.645550527903469	3
omrse	2	1.0	2
OHD	2	0.7727272727272727	2
ORDO	2	0.5350987810004203	2
MONDO	2	0.4316263666346723	11
hancestro	2	1.0	2
BFO	2	1.0	2
ONL-MR-DA	1	0.725	2
occo	1	0.5217391304347826	1
eupath	1	0.45855164502955137	7
rxno	1	0.6576576576576577	3
RS	1	0.37980769230769235	10
OBS	1	0.7619047619047619	1
PGXO	1	1.0	1
UHC-METADATA	1	0.7619047619047619	1
ONTOPARON	1	0.7619047619047619	1
HIO	1	1.0	1
OGMS	1	1.0	1
HANCESTRO	1	1.0	1
ICDO	1	1.0	1
COGPO	1	1.0	1
GFF-M4M	1	0.7619047619047619	1
caro	1	1.0	1
ovae	1	1.0	1
pdro	1	1.0	1
I-ADOPT	1	0.7619047619047619	1
RVO	1	0.7619047619047619	1
DATAHUB	1	0.7619047619047619	1
CTX	1	0.46353278153366606	7
VT	1	0.4511738261738262	4
PANDA	1	0.6521739130434783	1
MIRO	1	0.8333333333333334	1
PW	1	0.6596059113300492	2
NEOMARK4	1	0.6666666666666667	1
BAO-GPCR	1	1.0	1
DISDRIV	1	0.5925925925925926	1
I2SV	1	0.6896551724137931	1
rs	1	0.37980769230769235	10
cao	1	1.0	1
TIMEBANK	1	0.5	1
GFO-BIO	1	0.5	1
IDQA	1	0.5	1
CMO	1	0.4310482465572603	12
GMM	1	1.0	1
HSPO	1	0.5012201012201012	4
mba	1	0.5062340153452686	3
CSSO	1	1.0	1
GENE-CDS	1	1.0	1
sbo	1	1.0	1
psdo	1	1.0	1
MATR	1	0.5217391304347826	1
emi	1	1.0	1
cio	1	0.5806451612903225	1
mpio	1	1.0	1
mro	1	1.0	1
iao	1	1.0	1
mfoem	1	1.0	1
oostt	1	0.4604651162790698	5
ido	1	1.0	1
fbbt	1	0.40934972364415534	15
NEMO	1	1.0	1
PO	1	0.4939182194616977	4
ZEA	1	0.6956521739130435	1
PAE	1	0.6956521739130435	1
GRO-CPGA	1	0.6956521739130435	1
IDO	1	1.0	1
GCBO	1	1.0	1
FB-DV	1	1.0	1
VIDO	1	1.0	1
COB	1	1.0	1
BKO	1	1.0	1
OMRSE	1	1.0	1
PPO	1	1.0	1
FLU	1	0.7407407407407407	1
KOIO	1	1.0	1
FIX	1	0.6451612903225806	1
PATHLEX	1	0.42367368083332874	23
mcro	1	1.0	1
OPTION-ONTOLOGY	1	1.0	1
fbdv	1	1.0	1
idocovid19	1	1.0	1
ppo	1	1.0	1
wbbt	1	1.0	1
wbls	1	1.0	1
srao	1	0.75	1
CPRO	1	1.0	1
swo	1	1.0	1
NDFRT	1	0.5279136233724993	3
DIKB	1	1.0	1
MODSCI	1	1.0	1
CN	1	0.5333333333333333	1
GML	1	0.5333333333333333	1
PIERO	1	0.5333333333333333	1
GEOSPARQL	1	0.631578947368421	1
DIAB	1	1.0	1
TAON	1	0.6451612903225806	1
ROO	1	0.444161552857205	3
VODANA-GENERAL	1	0.6818181818181819	1
VIVO-ISF	1	1.0	1
PICO	1	1.0	1
ORNASEQ	1	1.0	1
OOSTT	1	0.5503875968992248	3
TYPON	1	1.0	1
VIO	1	1.0	1
MFMO	1	0.6956521739130435	1
VSO	1	0.6956521739130435	1
MACROALGAETRAITS	1	0.6956521739130435	1
CLYH	1	0.5333333333333333	1
EPSO	1	0.6896551724137931	1
BT	1	1.0	1
PREO	1	1.0	1
RNAO	1	0.6666666666666667	1
ADAR	1	1.0	1
NGSONTO	1	1.0	1
SCO-U	1	1.0	1
RAO	1	0.510230179028133	2
PACO	1	0.4629102167182662	3
ONTONEO	1	0.7058823529411764	1
ONTOPSYCHIA	1	0.72	1
DILON	1	0.72	1
DCCDFV	1	0.72	1
FGNHNS	1	0.625	1
JFO	1	0.625	1
UO	1	0.303748090145149	16
SDOHO	1	0.5714285714285714	1
UNITSONT	1	0.5714285714285714	1
MCR_TX	1	0.5714285714285714	1
PVONTO	1	1.0	1
ESO_C	1	1.0	1
NEUMORE	1	1.0	1
RXNO	1	1.0	1
FIDEO	1	1.0	1
BIPON	1	1.0	1
DIDEO	1	1.0	1
OVAE	1	0.5740740740740741	2
MCO4MCRE	1	0.5714285714285714	1
CNO	1	0.7619047619047619	1
IMGT-ONTOLOGY	1	0.7619047619047619	1
ZONMW-CONTENT	1	0.7619047619047619	1
ZONMW-GENERIC	1	0.7619047619047619	1
CPT	1	0.31885455311060845	17
HRA	1	0.49579831932773105	2
ICECI	1	0.47203065134099614	3
disdriv	1	0.631578947368421	1
ADHER_INTCARE_EN	1	0.6896551724137931	1
ONTOMA	1	1.0	1
PEO	1	1.0	1
phi	1	1.0	1
ogms	1	1.0	1
ROADMAP	1	0.5	1
ALLERGIDOC	1	0.5454545454545454	1
NATPRO	1	0.4427690866644355	8
OGCO	1	0.6666666666666667	1
