ontologyId,title,count,description
gsso,"GSSO - the Gender, Sex, and Sexual Orientation ontology",16488,"GSSO is the Gender, Sex, and Sex Orientation ontology, including terms related to gender identity and expression, sexual and romantic identity and orientation, and sexual and reproductive behavior."
ordo,Orphanet Rare Disease Ontology,15612,"The Orphanet Rare Disease ontology (ORDO) is jointly developed by Orphanet and the EBI to provide a structured vocabulary for rare diseases capturing relationships between diseases, genes and other re"
vo,Vaccine Ontology,15337,"The Vaccine Ontology (VO) is a community-based biomedical ontology in the domain of vaccine and vaccination. VO aims to standardize vaccine types and annotations, integrate various vaccine data, and s"
chiro,CHEBI Integrated Role Ontology,13329,CHEBI provides a distinct role hierarchy. Chemicals in the structural hierarchy are connected via a 'has role' relation. CHIRO provides links from these roles to useful other classes in other ontologi
ecto,Environment Exposure Ontology,12404,"ECTO describes exposures to experimental treatments of plants and model organisms (e.g. exposures to modification of diet, lighting levels, temperature); exposures of humans or any other organisms to "
ohpi,OHPI: Ontology of Host-Pathogen Interactions,12098,"OHPI is a biomedical ontology in the area of host-pathogen interactions. OHPI is developed by following the OBO Foundry Principles (e.g., openness and collaboration)."
fovt,FuTRES Ontology of Vertebrate Traits,11926,These are the terms that are improted for FOVT to describe vertebrate traits.
oae,OAE: Ontology of Adverse Events,10827,"The Ontology of Adverse Eventsy (OAE) is a biomedical ontology in the domain of adverse events. OAE aims to standardize adverse event annotation, integrate various adverse event data, and support comp"
hra,Human Reference Atlas (HRA),10377,"The Human Reference Atlas (HRA) is a comprehensive, high-resolution, three-dimensional atlas of all the cells in the healthy human body. The Human Reference Atlas provides standard terminologies and d"
genepio,Genomic Epidemiology Ontology,9853,"The Genomic Epidemiology Ontology (GenEpiO) covers vocabulary necessary to identify, document and research foodborne pathogens and associated outbreaks."
rbo,Radiation Biology Ontology,9797,RBO is an ontology for the effects of radiation on biota in terrestrial and space environments.
txpo,TOXic Process Ontology (TXPO),9554,Elucidating the mechanism of toxicity is crucial in drug safety evaluations. TOXic Process Ontology (TXPO) systematizes a wide variety of terms involving toxicity courses and processes. The first vers
cpont,Critical Path Ontology,9245,An application ontology for integrating data from the Critical Path Institute's Rare Disease Cures Accelerator Data and Analytica Platform (RDCA-DAP).
aism,Ontology for the Anatomy of the Insect SkeletoMuscular system,9176,"The ontology for the Anatomy of the Insect SkeletoMuscular system (AISM) contains terms used to describe the cuticle - as a single anatomical structure - and the skeletal muscle system, to be used in "
pato,PATO - the Phenotype And Trait Ontology,9061,"An ontology of phenotypic qualities (properties, attributes or characteristics)."
emapa,Mouse Developmental Anatomy Ontology,8814,An ontology for mouse anatomy covering embryonic development and postnatal stages.
aro,Antibiotic Resistance Ontology,8551,Antibiotic resistance genes and mutations
bao,BioAssay Ontology,8157,The BioAssay Ontology (BAO) describes biological screening assays and their results including high-throughput screening (HTS) data for the purpose of categorizing assays and data analysis. BAO is an e
ecao,Echinoderm Anatomy and Development Ontology,7993,None
wbbt,C. elegans Gross Anatomy Ontology,7770,Ontology about the gross anatomy of the C. elegans
envo,The Environment Ontology,7365,"ENVO is an ontology which represents knowledge about environments,environmental processes, ecosystems, habitats, and related entities"
maxo,Medical Action Ontology,7312,"An ontology to represent medically relevant actions, procedures, therapies, interventions, and recommendations."
dhba,Developing Human Brain Atlas Ontology,7096,An application ontology built by combining ontologised versions of the Allen Institute Developing Human Brain Atlas (DHBA) Structure Graph mapped to Uberon.
wbphenotype,C elegans Phenotype Ontology,6852,Ontology about C. elegans and other nematode phenotypes
fbsp,Fly taxonomy,6620,The taxonomy of the family <i>Drosophilidae</i> (largely after Baechli) and of other taxa referred to in FlyBase.
bto,The BRENDA Tissue Ontology (BTO),6606,"A structured controlled vocabulary for the source of an enzyme comprising tissues, cell lines, cell types and cell cultures."
ecocore,An ontology of core ecological entities,6086,Ecocore is a community ontology for the concise and controlled description of ecological traits of organisms.
lifestylefactors,Lifestyle Factors Ontology,5623,"In this ontology, we defined nine distinct categories that encompass various aspects of lifestyle factors (LSFs), creating a unified Lifestyle Factors Ontology (LSFO) across these categories. Within t"
to,Plant Trait Ontology,5537,A controlled vocabulary to describe phenotypic traits in plants.
obi,Ontology for Biomedical Investigations,5479,"An ontology for representing biomedical investigations, including study designs, the collection and preparation of the targets of investigation, assays, instrumentation and reagents used, as well as t"
rs,Rat Strain Ontology,5428,Ontology of rat strains
hba,Human Brain Atlas Ontology,5426,An application ontology built by combining ontologised versions of the Allen Institute Human Brain Atlas (HBA) Structure Graph mapped to Uberon.
eupath,VEuPathDB Ontology,5406,"The VEuPathDB ontology is an application ontology developed to encode our understanding of what data is about in the public resources developed and maintained by the Eukaryotic Pathogen, Host and Vect"
hao,Hymenoptera Anatomy Ontology,5382,"A structured controlled vocabulary of the anatomy of the Hymenoptera (bees, wasps, and ants)"
agro,Agronomy Ontology,5007,"AgrO is an ontlogy for representing agronomic practices, techniques, variables and related entities"
dicom,Unknown,5007,
ons,Ontology for Nutritional Studies,4929,An ontology for description of concepts in the nutritional studies domain.
nbo,Neuro Behavior Ontology,4872,An ontology of human and animal behaviours and behavioural phenotypes
upa,Unipathway,4817,A manually curated resource for the representation and annotation of metabolic pathways
miro,Mosquito insecticide resistance,4575,Application ontology for entities related to insecticide resistance in mosquitos
dmba,Developing Mouse Brain Atlas Ontology,4518,An application ontology built by combining ontologised versions of the Allen Institute Developing Mouse Brain Atlas (DMBA) StructureGraph mapped to Uberon.
phipo,Pathogen Host Interactions Phenotype Ontology,4327,Ontology of species-neutral phenotypes observed in pathogen-host interactions.
one,Ontology for Nutritional Epidemiology,4323,An ontology to standardize research output of nutritional epidemiologic studies.
pso,Plant Stress Ontology,4179,The Plant Stress Ontology describes biotic and abiotic stresses that a plant may encounter.
cmo,Clinical measurement ontology,4101,Morphological and physiological measurement records generated from clinical and model organism research and health programs.
vt,The Vertebrate Trait Ontology,3962,"The Vertebrate Trait Ontology is a controlled vocabulary for the description of traits (measurable or observable characteristics) pertaining to the morphology, physiology, or development of vertebrate"
planp,Planarian Phenotype Ontology (PLANP),3903,Planarian Phenotype Ontology is an ontology of phenotypes observed in the planarian Schmidtea mediterranea.
afo,Allotrope Merged Ontology Suite,3893,Allotrope Merged Ontology Suite
idomal,Malaria Ontology,3799,An application ontology to cover all aspects of malaria as well as the intervention attempts to control it.
slso,Space Life Sciences Ontology,3741,The Space Life Sciences Ontology is an application ontology and is intended to support the operation of NASA's Life Sciences Data Archive and other systems that contain space life science research dat
mop,MOP,3724,"MOP is the molecular process ontology. It contains the molecular processes that underlie the name reaction ontology RXNO, for example cyclization, methylation and demethylation."
ms,Mass spectrometry ontology,3683,A structured controlled vocabulary for the annotation of experiments concerned with proteomics mass spectrometry.
edam,EDAM - The ontology of data analysis and management,3586,"EDAM is a domain ontology of data analysis and data management in bio- and other sciences, and science-based applications. It comprises concepts related to analysis, modelling, optimisation, and data "
fideo,Unknown,3562,
mco,Microbial Conditions Ontology,3491,Microbial Conditions Ontology is an ontology...
opmi,OPMI: Ontology of Precision Medicine and Investigation,3471,OPMI is a biomedical ontology in the area of precision medicine and its related investigations. It is community-driven and developed by following the OBO Foundry ontology development principles.
eco,Evidence & Conclusion Ontology (ECO),3449,"The Evidence & Conclusion Ontology (ECO) describes types of scientific evidence within the biological research domain that arise from laboratory experiments, computational methods, literature curation"
tao,Teleost Anatomy Ontology,3421,"Multispecies fish anatomy ontology. Originally seeded from ZFA, but intended to cover terms relevant to other taxa"
mba,Mouse Brain Atlas Ontology,3377,An application ontology built by combining ontologised versions of the Allen Institute Mouse Brain Atlas (MBA) StructureGraph mapped to Uberon.
zfa,Zebrafish Anatomy Ontology (ZFA),3329,ZFA description.
peco,Plant Experimental Conditions Ontology,3280,"A structured, controlled vocabulary which describes the treatments, growing conditions, and/or study types used in plant biology experiments."
ma,Mouse adult gross anatomy,3272,A structured controlled vocabulary of the adult anatomy of the mouse (Mus).
ohd,Oral Health and Disease Ontology,3203,The Oral Health and Disease Ontology is used for representing the diagnosis and treatment of dental maladies.
chmo,Chemical Methods Ontology,3164,"CHMO, the chemical methods ontology, describes methods used to"
ncro,Non-Coding RNA Ontology,3162,"An ontology for non-coding RNA, both of biological origin, and engineered."
so,Sequence types and features ontology,2828,"A structured controlled vocabulary for sequence annotation, for the exchange of annotation data and for the description of sequence objects in databases."
pw,Pathway ontology,2769,A controlled vocabulary for annotating gene products to pathways.
ehdaa2,"Human developmental anatomy, abstract",2761,A structured controlled vocabulary of stage-specific anatomical structures of the developing human.
swo,Software ontology,2657,"The Software Ontology (SWO) is a resource for describing software tools, their types, tasks, versions, provenance and associated data. It contains detailed information on licensing and formats as well"
bcio,The Behaviour Change Intervention Ontology,2618,The Behaviour Change Intervention Ontology is an ontology for all aspects of human behaviour change interventions and their evaluation.
bcgo,Beta Cell Genomics Ontology,2485,An application ontology built for beta cell genomics studies.
fbcv,FlyBase Controlled Vocabulary,2451,A structured controlled vocabulary used for various aspects of annotation by FlyBase.
omp,Ontology of Microbial Phenotypes,2440,An ontology of phenotypes covering microbes
schemaorg_http,,2439,
schemaorg_https,,2439,
cdno,Compositional Dietary Nutrition Ontology,2397,The CDNO provides structured terminologies to describe nutritional attributes of material entities that contribute to human diet. These terms are intended primarily to be associated with datasets that
po,Plant Ontology,2216,"The Plant Ontology is a structured vocabulary and database resource that links plant anatomy, morphology and growth and development to plant genomics data."
scdo,Sickle Cell Disease Ontology,2216,An ontology for the standardization of terminology and integration of knowledge about Sickle Cell Disease.
obib,Ontology for BIoBanking (OBIB),2201,"The Ontology for Biobanking (OBIB) is an ontology for the annotation and modeling of the activities, contents, and administration of a biobank. Biobanks are facilities that store specimens, such as bo"
ontoneo,Obstetric and Neonatal Ontology,2159,"The Obstetric and Neonatal Ontology is a structured controlled vocabulary to provide a representation of the data from electronic health records (EHRs) involved in the care of the pregnant woman, and "
ado,Alzheimer's Disease Ontology (ADO),2151,"Alzheimer's Disease Ontology is a knowledge-based ontology that encompasses varieties of concepts related to Alzheimer'S Disease, foundamentally structured by upper level Basic Formal Ontology(BFO). T"
mod,Protein modification,2145,PSI-MOD is an ontology consisting of terms that describe protein chemical modifications
apollo_sv,Apollo Structured Vocabulary,2138,An OWL2 ontology of phenomena in infectious disease epidemiology and population biology for use in epidemic simulation.
epio,Epilepsy Ontology (EPIO),2050,"The Epilepsy Ontology (EPIO) is an assembly of structured knowledge on various aspects of epilepsy, developed according to basic formal ontology (BFO) and Open Biological and Biomedical Ontology (OBO)"
occo,Occupation Ontology (OccO),1936,This Occupaton Ontology (OccO) is an ontology in the domain of human occupaitons. Current OccO version is developed based on the US Bureau of Labor Statistics Standard Occupation Classification (SOC) 
tgma,Mosquito gross anatomy ontology,1889,A structured controlled vocabulary of the anatomy of mosquitoes.
xao,Xenopus Anatomy Ontology,1873,XAO represents the anatomy and development of the African frogs Xenopus laevis and tropicalis.
sio,Semanticscience Integrated Ontology,1822,"The Semanticscience Integrated Ontology (SIO) provides a simple, integrated ontology of types and relations for rich description of objects, processes and their attributes."
ovae,OVAE: Ontology of Vaccine Adverse Events,1821,OVAE is a biomedical ontology in the area of vaccine adverse events. OVAE is an extension of the community-based Ontology of Adverse Events (OAE). 
ngbo, Next generation biobanking ontology(NGBO).,1767, Next Generation Biobanking Ontology (NGBO) is an open application ontology representing contextual data about omics digital assets in biobank. The ontology focuses on capturing the information about 
mi,Molecular Interactions Controlled Vocabulary,1689,A structured controlled vocabulary for the annotation of experiments concerned with protein-protein interactions.
ceph,Cephalopod Ontology,1685,An anatomical and developmental ontology for cephalopods
dpo,Drosophila Phenotype Ontology,1656,An ontology of commonly encountered and/or high level Drosophila phenotypes.
xco,Experimental condition ontology,1649,Conditions under which physiological and morphological measurements are made both in the clinic and in studies involving humans or model organisms.
clao,Collembola Anatomy Ontology,1558,CLAO is an ontology of anatomical terms employed in morphological descriptions for the Class Collembola (Arthropoda: Hexapoda).
unimod,Unimod protein modification database for mass spectrometry,1534,"Unimod is a community supported, comprehensive database of protein modifications for mass spectrometry applications. That is, accurate and verifiable values, derived from elemental compositions, for t"
msio,Metabolomics Standards Initiative Ontology (MSIO),1460,an application ontology for supporting description and annotation of mass-spectrometry and nmr-spectroscopy based metabolomics experiments and fluxomics studies.
hancestro,Human Ancestry Ontology,1425,Human ancestry ontology for the NHGRI GWAS Catalog
psdo,Performance Summary Display Ontology,1419,Performance Summary Display Ontology (PSDO) is an application ontology about motivating information in performance summaries and the visual and textual entities that are used to communicate about perf
obcs,OBCS: Ontology of Biological and Clinical Statistics,1405,OBCS stands for the Ontology of Biological and Clinical Statistics. OBCS is an ontology in the domain of biological and clinical statistics. It is aligned with the Basic Formal Ontology (BFO) and the 
ddpheno,Dicty Phenotype Ontology (DDPHENO),1397,A structured controlled vocabulary of phenotypes of the slime-mould Dictyostelium discoideum.
ico,Informed Consent Ontology (ICO),1392,The Informed Consent Ontology (ICO) is an ontology for the informed consent and informed consent process in the medical field.
omrse,Ontology for Modeling and Representation of Social Entities,1391,"The Ontology for Modeling and Representation of Social Entities (OMRSE) is an OBO Foundry ontology that represents the various entities that arise from human social interactions, such as social acts, "
addicto,Addiction Ontology,1386,The Addiction Ontology (AddictO) is an ontology being developed all aspects of addiction research.
fobi,Food-Biomarker Ontology,1359,FOBI (Food-Biomarker Ontology) is an ontology to represent food intake data and associate it with metabolomic data
ohmi,OHMI: Ontology of Host-Microbiome Interactions,1244,OHMI is a biomedical ontology that represents the entities and relations in the domain of host-microbiome interactions.
mcro,Model Card Report Ontology,1241,An ontology representing the structure of model card reports - reports that describe basic characteristics of machine learning models for the public and consumers.
covoc,CoVoc Coronavirus Vocabulary,1215,"The COVID-19 Vocabulary (COVoc) is an ontology containing terms related to the research of the COVID-19 pandemic. This includes host organisms, pathogenicity, gene and gene products, barrier gestures,"
plana,Planarian Anatomy Ontology (PLANA),1184,"PLANA, the PLANarian Anatomy Ontology, encompasses the anatomy of developmental stages and adult biotypes of Schmidtea mediterranea."
fix,Physico-chemical methods and properties,1178,An ontology of physico-chemical methods and properties.
mfmo,Mammalian Feeding Muscle Ontology,1178,"The Mammalian Feeding Muscle Ontology is an antomy ontology for the muscles of the head and neck that participate in feeding, swallowing, and other oral-pharyngeal behaviors."
emi,The Earth Metabolome Initiative (EMI) ontology,1172,The Earth Metabolome Initiative (EMI) ontology is designed to capture and structure the metabolic content of all currently known species on our planet.
xlmod,HUPO-PSI cross-linking and derivatization reagents controlled vocabulary,1149,A structured controlled vocabulary for cross-linking reagents used with proteomics mass spectrometry.
cmpo,Cellular Microscopy Phenotype Ontology,1134,"CMPO is a species neutral ontology for describing general phenotypic observations relating to the whole cell, cellular components, cellular processes and cell populations."
stato,STATO: the statistical methods ontology,1120,"STATO is the statistical methods ontology. It contains concepts and properties related to statistical methods, probability distributions and other concepts related to statistical analysis, including r"
proco,PROCO: PROcess Chemistry Ontology,1087,PROCO (PROcess Chemistry Ontology) is a formal ontology that aims to standardly represent entities and relations among entities in the domain of process chemistry.
cheminf,chemical information ontology (cheminf) - information entities about chemical entities,1073,Includes terms for the descriptors commonly used in cheminformatics software applications and the algorithms which generate them.
rxno,RXNO,1068,RXNO is the name reaction ontology. It contains more than 500 classes representing organic reactions such as the Diels–Alder cyclization.
oostt,Ontology of Organizational Structures of Trauma centers and Trauma Systems,1051,The Ontology of Organizational Structures of Trauma centers and Trauma systems (OOSTT) is a representation of the components of trauma centers and trauma systems coded in Web Ontology Language (OWL2).
symp,Symptom Ontology,1042,The Symptom Ontology has been developed as a standardized ontology for symptoms of human diseases.
mfomd,Mental Disease Ontology,1038,The Mental Disease Ontology is developed to facilitate representation for all aspects of mental disease. It is an extension of the Ontology for General Medical Science (OGMS) and Mental Functioning On
htn,Hypertension Ontology For Clinical Data,1018,"An ontology for representing clinical data about hypertension, intended to support classification of patients according to various diagnostic guidelines"
caro,Common Anatomy Reference Ontology,999,"The Common Anatomy Reference Ontology (CARO) is being developed to facilitate interoperability between existing anatomy ontologies for different species, and will provide a template for building new a"
wbls,C. elegans Development Ontology,992,Ontology about the development and life stages of the C. elegans
poro,Porifera (sponge) ontology,981,An ontology describing the anatomical structures and characteristics of Porifera (sponges)
biolink,,974,
ppo,Plant Phenology Ontology,964,"An ontology for describing the phenology of individual plants and populations of plants, and for integrating plant phenological data across sources and scales."
cteno,Ctenophore Ontology,960,An anatomical and developmental ontology for ctenophores (Comb Jellies)
colao,Coleoptera Anatomy Ontology,952,The Coleoptera Anatomy Ontology contains terms used for describing the anatomy and phenotype of beetles in biodiversity research.
hso,Health Surveillance Ontology,943,"The health Surveillance Ontology (HSO) focuses on ""surveillance system level data"", that is, data outputs from surveillance activities, such as number of samples collected, cases observed, etc. It aim"
ro,Relation Ontology,914,Relationship types shared across multiple ontologies
mpath,Mouse pathology ontology,913,A structured controlled vocabulary of mutant and transgenic mouse pathology phenotypes
lepao,Lepidoptera Anatomy Ontology,906,The Lepidoptera Anatomy Ontology contains terms used for describing the anatomy and phenotype of moths and butterflies in biodiversity research.
mmo,Measurement method ontology,891,A representation of the variety of methods used to make clinical and phenotype measurements. 
om,Ontology of units of Measure (OM),889,"The Ontology of units of Measure (OM) 2.0 models concepts and relations important to scientific research. It has a strong focus on units, quantities, measures, and dimensions."
dideo,Drug-drug Interaction and Drug-drug Interaction Evidence Ontology,875,The Potential Drug-drug Interaction and Potential Drug-drug Interaction Evidence Ontology
spd,Spider Ontology,852,"An ontology for spider comparative biology including anatomical parts (e.g. leg, claw), behavior (e.g. courtship, combing) and products (i.g. silk, web, borrow)."
uo,Units of measurement ontology,851,Metrical units for use in conjunction with PATO
cvdo,Cardiovascular Disease Ontology,847,An ontology to describe entities related to cardiovascular diseases
nmrcv,nuclear magnetic resonance CV,831,This artefact is an MSI-approved controlled vocabulary primarily developed under COSMOS EU and PhenoMeNal EU governance. The nmrCV is supporting the nmrML XML format with standardized terms. nmrML is 
fbbi,Biological Imaging Methods Ontology,787,"A structured controlled vocabulary of sample preparation, visualization and imaging methods used in biomedical research."
bco,Biological Collections Ontology,786,"An ontology to support the interoperability of biodiversity data, including data on museum collections, environmental/metagenomic samples, and ecological surveys."
mfoem,Emotion Ontology,740,"An ontology of affective phenomena such as emotions, moods, appraisals and subjective feelings."
ontoavida,OntoAvida: ontology for Avida digital evolution platform.,732,The Ontology for Avida (OntoAvida) project aims to develop an integrated vocabulary for the description of the most widely used computational approach for performing experimental evolution using digit
reproduceme,REPRODUCE-ME Ontology,712,The REPRODUCE-ME ontology is an extension of the PROV-O and the P-Plan ontology to describe a complete path of a scientific experiment. It expresses the REPRODUCE-ME Data Model using the OWL2 Web Onto
opl,Ontology for Parasite Lifecycle,701,"The Ontology for Parasite Lifecycle (OPL) models the life cycle stage details of various parasites, including Trypanosoma sp., Leishmania major, and Plasmodium sp., etc. In addition to life cycle stag"
sbo,Systems Biology Ontology,696,"Terms commonly used in Systems Biology, and in particular in computational modeling."
aero,Unknown,677,
gallont,Plant Gall Ontology,666,"Ontology of plant gall phenotypes. Plant galls are novel plant structures, generated by plants in response to biotic stressors. This ontology is used to annotate gall phenotypes (e.g., their colors, t"
geno,GENO ontology,653,"GENO is an OWL model of genotypes, their more fundamental sequence components, and links to related biological and experimental entities.  At present many parts of the model are exploratory and set to"
oarcs,Ontology of Arthropod Circulatory Systems,650,OArCS is an ontology describing the Arthropod ciruclatory system.
apo,Ascomycete Phenotype Ontology (APO),646,A structured controlled vocabulary for the phenotypes of Ascomycete fungi.
tads,Tick Anatomy Ontology,645,"The anatomy of the Tick, <i>Families: Ixodidae, Argassidae</i>"
t4fs,terms4FAIRskills,643,A terminology for the skills necessary to make data FAIR and to keep it FAIR.
ido,Infectious Disease Ontology,642,"A set of interoperable ontologies that will together provide coverage of the infectious disease domain. IDO core is the upper-level ontology that hosts terms of general relevance across the domain, wh"
ogsf,Ontology of Genetic Susceptibility Factor,641,"An application ontology to represent genetic susceptibility to a specific disease, adverse event, or a pathological process."
idocovid19,The COVID-19 Infectious Disease Ontology,618,The COVID-19 Infectious Disease Ontology (IDO-COVID-19) is an extension of the Infectious Disease Ontology (IDO) and the Virus Infectious Disease Ontology (VIDO). IDO-COVID-19 follows OBO Foundry guid
rex,Physico-chemical process,569,"An ontology of physico-chemical processes, i.e. physico-chemical changes occurring in course of time."
uniprotrdfs,,569,
afpo,African Population Ontology,554,"AfPO is an ontology that can be used in the study of diverse populations across Africa. It brings together publicly available demographic, anthropological and genetic data relating to African people i"
omiabis,Ontologized MIABIS,551,An ontological version of MIABIS (Minimum Information About BIobank data Sharing)
sibo,Social Insect Behavior Ontology,546,Social Behavior in insects
kisao,Kinetic Simulation Algorithm Ontology,544,"A classification of algorithms for simulating biology, their parameters, and their outputs"
evorao,,526,
mf,Mental Functioning Ontology,509,The Mental Functioning Ontology is an overarching ontology for all aspects of mental functioning.
srao,FAIRsharing Subject Ontology (SRAO),493,"The FAIRsharing Subject Ontology (SRAO) is an application ontology for the categorization of research disciplines across all research domains, from the humanities to the natural sciences. It utilizes "
cao,Chemical Analysis Metadata Platform (ChAMP) Ontology version 0.2,490,The Chemical Analysis Ontology (CAO) is an ontology developed as part of the Chemical Analaysis Metadata Project (ChAMP) as a resource to semantically annotate standards developed using the ChAMP plat
miapa,Minimum Information for A Phylogenetic Analysis (MIAPA) Ontology,486,The MIAPA ontology is intended to be an application ontology for the purpose of semantic annotation of phylogenetic data according to the requirements and recommendations of the Minimum Information fo
duo,Data Use Ontology,458,DUO is an ontology which represent data use conditions.
sepio,Ontology for Scientific Evidence and Provenance Information,456,An ontology for representing the provenance of scientific claims and the evidence that supports them.
ino,INO: Interaction Network Ontology,452,"he Interaction Network Ontology (INO) is an ontology in the domain of interactions and interaction networks. INO represents general and species-neutral types of interactions and interaction networks, "
pco,Population and Community Ontology,435,"The Population and Community Ontology (PCO) describes material entities, qualities, and processes related to collections of interacting organisms such as populations and communities. It is taxon neutr"
bspo,Biological Spatial Ontology,423,"An ontology for respresenting spatial concepts, anatomical axes, gradients, regions, planes, sides and surfaces. These concepts can be used at multiple biological scales and in a diversity of taxa, in"
