term_id	value_type	lang	note	modified	user
393	PS	en	<p>noun</p>	2014-01-29 16:32:06	2
393	DE	en	<p>agar which has been allowed to set in a diagonally oriented test tube, giving the agar a diagonal slanting surface when the tube is positioned upright.</p>	2014-01-29 16:32:17	2
393	PR	en	<p>/ˈɑgɑr,sl&aelig;nt/</p>	2014-01-29 16:32:30	2
393	ET	en	<p>Malay, from agaragar &amp; Middle English, from slenten</p>	2014-01-29 16:32:48	2
394	ET	en	<p>Malay, from agaragar &amp; Middle English, from slenten</p>	2014-01-29 16:33:38	2
394	DE	en	<p>agar which has been allowed to set in a diagonally oriented test tube, giving the agar a diagonal slanting surface when the tube is positioned upright.</p>	2014-01-29 16:34:17	2
394	PR	en	<p>/ˈɑgɑr,sloʊp/</p>	2014-01-29 16:34:31	2
394	PS	en	<p>noun</p>	2014-01-29 16:34:42	2
392	ET	en	<p>Malay, from agaragar</p>	2014-01-29 16:36:10	2
392	PR	en	<p>/ˈɑgɑr/</p>	2014-01-29 16:36:23	2
392	PS	en	<p>noun</p>	2014-01-29 16:36:35	2
392	DE	en	<p>plural of agar. See agar.</p>	2014-01-29 16:36:54	2
115	DE	en	<p>a cluster, sum, or mass of collected objects.</p>	2014-01-29 16:37:24	2
115	ET	en	<p>Latin, from aggregātus</p>	2014-01-29 16:37:39	2
115	PR	en	<p>/ˈ&aelig;grɪgɪt/</p>	2014-01-29 16:37:53	2
115	PS	en	<ul>\n<li>adjective</li>\n<li>noun</li>\n<li>verb</li>\n</ul>	2014-01-29 16:38:48	2
471	DE	en	<p>an organism which grows optimally under alkaline conditions (typically within the pH range of 8 to 11). Alkalophiles may grow poorly or not at all at a pH below 7</p>	2014-01-29 16:39:29	2
471	PS	en	<p>noun</p>	2014-01-29 16:39:41	2
471	ET	en	<p>Middle English, from alkaly &amp; Latin, from philus</p>	2014-01-29 16:40:01	2
469	DE	en	<p>an organism which grows optimally under alkaline conditions (typically within the pH range of 8 to 11). Alkalophiles may grow poorly or not at all at a pH below 7.</p>	2014-01-29 16:40:27	2
469	ET	en	<p>Middle English, from alkaly &amp; Latin, from philus</p>	2014-01-29 16:40:41	2
469	PS	en	<p>noun</p>	2014-01-29 16:40:57	2
470	DE	en	<p>an organism which grows optimally under alkaline conditions (typically within the pH range of 8 to 11). Alkalophiles may grow poorly or not at all at a pH below 7.</p>	2014-01-29 16:41:33	2
470	ET	en	<p>Middle English, from alkaly &amp; Latin, from philus</p>	2014-01-29 16:41:46	2
470	PS	en	<p>noun</p>	2014-01-29 16:41:59	2
160	DE	en	<p>One or more flagella arranged at each pole of the cell. This term can overlap with "lophotrichous" because both terms can be applied to a cell which has multiple flagella situated at both poles of the cell.</p>	2015-10-19 13:42:12	3
160	PR	en	<p>/&aelig;mˈfɪtrɪkɪt/</p>	2014-01-29 16:42:44	2
160	ET	en	<p>Greek, from thrix</p>	2014-01-29 16:42:59	2
543	DE	en	<p>metabolic reactions by which simple molecules (precursors) are built up to form more complex cellular components or products. These reactions usually require an input of energy.</p>	2014-01-29 16:43:27	2
543	PR	en	<p>/əˈn&aelig;bəˌlɪzəm/</p>	2014-01-29 16:43:51	2
543	PS	en	<p>noun</p>	2014-01-29 16:44:02	2
543	ET	en	<p>Greek, from an&aacute; &amp; bolḗ &amp; ismos</p>	2014-01-29 16:44:15	2
357	DE	en	<p>an organism which has the ability to grow in the absence of oxygen. Organisms which, in nature, normally grow or can only grow in anaerobic habitats.</p>	2014-01-29 16:44:47	2
357	PR	en	<p>/ˈ&aelig;nəˌroʊb/</p>	2014-01-29 16:45:13	2
357	PS	en	<p>noun</p>	2014-01-29 16:45:29	2
357	ET	en	<p>Greek, from āer &amp; mīkro &amp; b&iacute;os</p>	2014-01-29 16:45:40	2
358	DE	en	<p>an organism which has the ability to grow in the absence of oxygen. Organisms which, in nature, normally grow or can only grow in anaerobic habitats.</p>	2014-01-29 16:49:12	2
358	PR	en	<p>/ˈ&aelig;nəˌroʊb/</p>	2014-01-29 16:49:24	2
358	PS	en	<p>noun</p>	2014-01-29 16:49:33	2
358	ET	en	<p>Greek, from āer &amp; mīkro &amp; b&iacute;os</p>	2014-01-29 16:49:45	2
356	PS	en	<p>adjective</p>	2014-01-29 16:50:09	2
356	DE	en	<p>pertaining to an environment where oxygen is absent. Or, pertaining to an organism which has the ability to grow in the absence of oxygen.</p>	2014-01-29 16:50:21	2
356	PR	en	<p>/ˌ&aelig;nəˈroʊbɪk/</p>	2014-01-29 16:50:42	2
356	ET	en	<p>Greek, from āer &amp; mīkro &amp; b&iacute;os</p>	2014-01-29 16:50:55	2
360	DE	en	<p>adverb of anaerobic.</p>	2014-01-29 16:51:25	2
360	PS	en	<p>adverb</p>	2014-01-29 16:51:38	2
360	ET	en	<p>Greek, from āer &amp; mīkro &amp; b&iacute;os</p>	2014-01-29 16:51:51	2
476	DE	en	<p>a deficiency or lack of oxygen.</p>	2014-01-29 16:52:19	2
476	ET	en	<p>Greek, from a &amp; French, from oxyg&egrave;ne</p>	2014-01-29 16:52:39	2
476	PS	en	<p>noun</p>	2014-01-29 16:52:48	2
476	PR	en	<p>/&aelig;nˈɒksiə/</p>	2014-01-29 16:53:00	2
475	DE	en	<p>pertaining to a lack of oxygen.adjective form of anoxia.</p>	2014-02-03 21:03:46	2
475	PS	en	<p>adjective</p>	2014-01-29 16:54:08	2
475	PR	en	<p>/a-ˈn&auml;k-sik/</p>	2014-01-29 16:54:21	2
475	ET	en	<p>Greek, from a &amp; French, from oxyg&egrave;ne</p>	2014-01-29 16:54:33	2
477	DE	en	<p>non oxygen producing.</p>	2014-01-29 16:55:01	2
477	PS	en	<p>adjective</p>	2014-01-29 16:55:17	2
477	ET	en	<p>Greek, from a &amp; French, from oxyg&egrave;ne &amp; New Latin, from genus</p>	2014-01-29 16:55:39	2
249	DE	en	<p>a vegetative resting cell in a resting stage, not a true spore.</p>	2014-01-29 16:56:39	2
249	PS	en	<p>noun</p>	2014-01-29 16:56:51	2
249	PR	en	<p>\\ˈ&auml;r-thrə-ˌspȯr\\</p>	2014-01-29 16:57:04	2
249	ET	en	<p>Greek, from &aacute;rthron &amp; Neo-Latin, from spora</p>	2014-01-29 16:57:21	2
250	DE	en	<p>a vegetative resting cell in a resting stage, not a true spore.</p>	2014-01-29 16:57:56	2
250	PS	en	<p>noun</p>	2014-01-29 16:58:08	2
250	PR	en	<p>\\ˈ&auml;r-thrə-ˌspȯr\\</p>	2014-01-29 16:58:22	2
250	ET	en	<p>Greek, from &aacute;rthron &amp; Neo-Latin, from spora</p>	2014-01-29 16:58:37	2
522	DE	en	<p>precautionary measures taken in order to prevent the contamination of cultures and media. Also used to prevent infection of plants and animals.</p>	2014-01-29 16:59:13	2
522	PS	en	<p>noun</p>	2014-01-29 16:59:27	2
522	PR	en	<p>/əˈsɛptɪk'tɛkˈnik/</p>	2014-01-29 16:59:38	2
522	ET	en	<p>Latin, from sēpticus &amp; French, from&nbsp; technical</p>	2014-01-29 16:59:52	2
285	DE	en	<p>incapable of forming spores.</p>	2014-01-29 17:06:30	2
285	PS	en	<p>adjective</p>	2014-01-29 17:06:41	2
285	PR	en	<p>/eɪspəˈrɒdʒənəs/</p>	2014-01-29 17:06:52	2
285	ET	en	<p>New Latin spora &amp;&nbsp; genus</p>	2014-01-29 17:07:08	2
284	DE	en	<p>incapable of forming spores.</p>	2014-01-29 17:07:39	2
284	PS	en	<p>adjective</p>	2014-01-29 17:07:49	2
284	PR	en	<p>/eɪspəˈrɒdʒənəs/</p>	2014-01-29 17:08:00	2
284	ET	en	<p>New Latin spora &amp;&nbsp; genus</p>	2014-01-29 17:08:16	2
537	DE	en	<p>A unit of pressure equal to normal pressure of air at sea level. Equal to; 101.3 kilopascals , 760 mm Hg , or 14.7 psi.</p>	2014-01-29 17:10:09	2
537	PS	en	<p>noun</p>	2014-01-29 17:10:26	2
581	DE	en	<p>A physical entity consisting of a sequence of amino-acids; a protein monomer; a single polypeptide chain.</p>	2014-01-29 17:10:36	1
537	PR	en	<p>/ˈ&aelig;tməsˌfɪər/</p>	2014-01-29 17:10:37	2
537	ET	en	<p>Neo-Latin, from atmosphaera</p>	2014-01-29 17:10:52	2
155	DE	en	<p>having no flagellum, lacking flagella.</p>	2014-01-29 17:11:21	2
155	PS	en	<p>adjective</p>	2014-01-29 17:11:33	2
155	PR	en	<p>/ˈa-trə-kəs/</p>	2014-01-29 17:11:46	2
155	ET	en	<p>Greek, from thrix</p>	2014-01-29 17:12:01	2
400	DE	en	<p>an organism whose carbon requirements are fulfilled completely or mostly by carbon dioxide (CO2).</p>	2014-01-29 17:12:29	2
400	PS	en	<p>noun</p>	2014-01-29 17:12:39	2
400	PR	en	<p>/ˈɔtəˌtrɒf/</p>	2014-01-29 17:12:51	2
400	ET	en	<p>Greek,from aut&oacute;s &amp; trophik&oacute;s</p>	2014-01-29 17:13:04	2
401	DE	en	<p>an organism whose carbon requirements are fulfilled completely or mostly by carbon dioxide (CO2).</p>	2014-01-29 17:16:33	2
401	PR	en	<p>/ˈɔtəˌtrɒf/</p>	2014-01-29 17:16:02	2
401	PS	en	<p>noun</p>	2014-01-29 17:16:11	2
401	ET	en	<p>Greek,from aut&oacute;s &amp; trophik&oacute;s</p>	2014-01-29 17:16:25	2
399	DE	en	<p>pertaining to cells of a single species. For example a axenic culture would be a pure, uncontaminated culture of a single species or strain.</p>	2014-01-29 17:17:01	2
399	PS	en	<p>adjective</p>	2014-01-29 17:17:13	2
399	PR	en	<p>/eɪˈzɛnɪk/</p>	2014-01-29 17:17:25	2
399	ET	en	<p>Greek, from a-&nbsp; xenik&oacute;s</p>	2014-01-29 17:17:44	2
501	DE	en	<p>synonymous to pure culture. A culture in which all the organisms are of the same species or strain.</p>	2014-01-29 17:18:38	2
501	PS	en	<p>noun</p>	2014-01-29 17:18:56	2
501	PR	en	<p>/eɪˈzɛnɪkˈkʌltʃər/</p>	2014-01-29 17:19:08	2
501	ET	en	<p>Greek, from a-&nbsp; xenik&oacute;s &amp; Latin, from cultūra</p>	2014-01-29 17:19:24	2
6	DE	en	<p>plural of bacillus, rod shaped cells whose length are roughly two or more times greater than their width</p>	2014-01-29 17:19:51	2
6	PS	en	<p>noun</p>	2014-01-29 17:20:03	2
6	PR	en	<p>/bəˈsɪləs/</p>	2014-01-29 17:20:18	2
6	ET	en	<p>New Latin, from Latin baculum</p>	2014-01-29 17:20:28	2
5	DE	en	<p>An elongated rod shaped cell, which is more elongated than a coccobacillus cell and less elongated than a filamentous cell (see coccobacillus and filamentous). A bacillus can also have rounded, squared (B. anthracis) or tapered ends&nbsp; (see fusiform). Many bacillus shaped cells resemble a cylinder whose length/width ratio is greater than two. However, not all bacilli (p.) are limited to this description; bacilli can differ considerably in their length to width ratio and end shape. Curved rod shapes are often classified under the term "vibrio" which represents its own distinct shape&nbsp; (see vibrio). short rounded or swollen rod shaped cells can be classified as coccobacilli (see coccobacillus). Not to be confused with Bacillus (representing the taxon).</p>	2015-10-16 16:07:47	3
5	PS	en	<p>noun</p>	2014-01-29 17:21:04	2
5	PR	en	<p>/bəˈsɪləs/</p>	2014-01-29 17:21:14	2
5	ET	en	<p>New Latin, from Latin baculum</p>	2014-01-29 17:21:31	2
7	DE	en	<p>a bacterium of the genus Bacillus, a genus of Gram positive bacteriaa bacterium of the genus Bacillus, a genus of Gram positive bacteria</p>	2014-01-29 17:27:25	2
7	PS	en	<p>proper noun</p>	2014-01-29 17:27:38	2
7	PR	en	<p>/bəˈsɪləs/</p>	2014-01-29 17:27:50	2
7	ET	en	<p>New Latin, from Latin baculum</p>	2014-01-29 17:28:11	2
492	DE	en	<p>A term used broadly to refer to either; an organism which is, or taxonomic domain that contains, organisms which are both prokaryotic and unicellular. All prokaryotes which are not a member of the domain Achaea.</p>	2014-01-29 17:28:35	2
492	PS	en	<p>noun</p>	2014-01-29 17:28:45	2
492	PR	en	<p>/b&aelig;kˈtɪəriə/</p>	2014-01-29 17:29:01	2
492	ET	en	<p>Greek, from baktḗrion</p>	2014-01-29 17:29:13	2
494	DE	en	<p>an obsolete genus of bacteria.</p>	2014-01-29 17:29:56	2
494	PS	en	<p>proper noun</p>	2014-01-29 17:30:09	2
494	PR	en	<p>/b&aelig;kˈtɪəriəm/</p>	2014-01-29 17:30:19	2
494	ET	en	<p>Greek, from baktḗrion</p>	2014-01-29 17:30:33	2
493	DE	en	<p>Singular of bacteria. A term used broadly to refer to either; an organism which is, or taxonomic domain that contains organisms which are, both prokaryotic and unicellular. All prokaryotes which are not a member of the domain Achaea.</p>	2014-01-29 17:45:19	2
493	PS	en	<p>noun</p>	2014-01-29 17:31:47	2
493	PR	en	<p>/b&aelig;kˈtɪəriəm/</p>	2014-01-29 17:31:57	2
493	ET	en	<p>Greek, from baktḗrion</p>	2014-01-29 17:32:10	2
462	DE	en	<p>an organism which can grow at elevated pressures (often up to 400-600 atm) but which grow optimally at atmospheric pressure (1 atm).</p>	2014-01-29 17:49:14	2
462	ET	en	<p>Greek, from b&aacute;ros &amp; Latin, from dūrāre</p>	2014-01-29 17:49:28	2
462	PS	en	<p>adjective</p>	2014-01-29 17:49:42	2
459	ET	en	<p>Greek, from b&aacute;ros &amp;&nbsp; Latin, from philus</p>	2014-01-29 17:50:11	2
459	DE	en	<p>an organism which grows optimally at elevated hydrostatic pressure. At regular atmospheric pressure of 101.325 kPa, some barophiles may continue to grow or die.</p>	2014-02-03 21:10:56	2
459	PS	en	<p>noun</p>	2014-01-29 17:50:45	2
460	DE	en	<p>an organism which grows optimally at elevated hydrostatic pressure. At regular atmospheric pressure of 101.325 kPa, some barophiles may continue to grow or die.</p>	2014-02-03 21:10:42	2
460	ET	en	<p>Greek, from b&aacute;ros &amp;&nbsp; Latin, from philus</p>	2014-01-29 17:57:58	2
460	PS	en	<p>noun</p>	2014-01-29 17:58:16	2
461	DE	en	<p>pertaining to optimal growth at elevated hydrostatic pressure. See barophile.</p>	2014-01-29 18:03:20	2
461	PS	en	<p>adjective</p>	2014-01-29 18:03:32	2
461	PR	en	<p>/ˌb&aelig;rəˈfɪlɪk/</p>	2014-01-29 18:03:43	2
461	ET	en	<p>Greek, from b&aacute;ros &amp;&nbsp; Latin, from philus</p>	2014-01-29 18:04:01	2
463	DE	en	<p>an organism which cannot grow or survive long under relatively low pressure (near 200 atm or above).</p>	2014-01-29 18:04:28	2
463	ET	en	<p>Greek, from b&aacute;ros &amp;&nbsp; Medieval Latin, from sēnsitīvus</p>	2014-01-29 18:04:40	2
463	PS	en	<p>adjective</p>	2014-01-29 18:04:52	2
464	DE	en	<p>an organism which can grow at elevated pressures (often up to 400-600 atm) but which grow optimally at atmospheric pressure (1 atm).</p>	2014-01-29 18:05:34	2
464	PS	en	<p>adjective</p>	2014-01-29 18:05:47	2
464	PR	en	<p>/ˌb&aelig;rəˈtɑlərənt/</p>	2014-01-29 18:05:58	2
464	ET	en	<p>Greek, from b&aacute;ros &amp; Latin, from tolerant</p>	2014-01-29 18:06:13	2
396	DE	en	<p>the name of the species whose specific epithet is included in a new combination.</p>	2014-01-29 18:07:03	2
324	DE	en	<p>pertaining to spore growth. Growth from the tip to the base or point of attachment. In a chain of spores this would mean the first formed spores would be furthest from the base while spores formed later will be near to the base.</p>	2014-01-29 18:07:30	2
324	PS	en	<p>adjective</p>	2014-01-29 18:09:24	2
324	PR	en	<p>/beɪˈsɪpɪtl/</p>	2014-01-29 18:09:46	2
324	ET	en	<p>Greek, from b&aacute;sis &amp; petus</p>	2014-01-29 18:10:28	2
395	DE	en	<p>the name of the species whose specific epithet is included in a new combination.</p>	2014-01-29 18:11:08	2
510	DE	en	<p>a culture prepared by inoculating a given amount of liquid medium with cells and subsequent incubation. The cells in this culture are therefore exposed to an ever changing environment due to a continuous consumption of nutrients and a continuous accrual of waste.</p>	2014-01-29 18:33:02	2
510	PS	en	<p>noun</p>	2014-01-29 18:33:16	2
510	PR	en	<p>/b&aelig;tʃˈkʌltʃər/</p>	2014-01-29 18:33:32	2
510	ET	en	<p>late Middle English, from bache &amp; Latin, from cultūra</p>	2014-01-29 18:33:44	2
271	DE	en	<p>to hold up or support. To produce by natural growth.</p>	2014-01-29 18:34:18	2
271	PS	en	<p>verb</p>	2014-01-29 18:34:34	2
271	PR	en	<p>/bɛər/</p>	2014-01-29 18:34:48	2
271	ET	en	<p>Middle English, from beren</p>	2014-01-29 18:34:59	2
398	DE	en	<p>Forks or branching. Two objects which have been split from one. Forks or branching. Two objects which have been split from one.</p>	2014-09-19 19:19:21	3
398	PS	en	<p>noun</p>	2014-01-29 18:36:57	2
398	PR	en	<p>/ˈbaɪfərˌkeɪt/</p>	2014-01-29 18:37:20	2
398	ET	en	<p>Medieval Latin, from bifurcātus</p>	2014-01-29 18:37:33	2
136	PS	en	<p>adjective</p>	2014-01-29 18:40:09	2
136	DE	en	<p>pertaining to distribution about the cell, located at or positioned at both ends or poles of the cell. (for a rod shaped bacterium bipolar would refer to both short rounded ends.)</p>	2014-01-29 18:40:25	2
136	ET	en	<p>Medieval Latin, from bis &amp; polāris</p>	2014-01-29 18:40:39	2
136	PR	en	<p>/baɪˈpoʊlər/</p>	2014-01-29 18:40:51	2
291	DE	en	<p>pertaining to or occurring as two spores.</p>	2014-01-29 18:43:03	2
291	ET	en	<p>Latin, from duis &amp; Greek, from sporos</p>	2014-01-29 18:43:19	2
291	PS	en	<p>adjective</p>	2014-01-29 18:43:30	2
291	PR	en	<p>/bɪs/</p>	2014-01-29 18:43:42	2
327	PS	en	<p>noun</p>	2014-01-29 18:46:05	2
327	PR	en	<p>/ˈbl&aelig;stəˌspɔr/</p>	2014-01-29 18:46:36	2
327	ET	en	<p>Neo-Latin, from spora &amp;&nbsp; Greek, from blast&oacute;s.</p>	2014-01-29 18:46:48	2
326	PS	en	<p>noun</p>	2014-01-29 19:11:21	2
326	PR	en	<p>/ˈbl&aelig;stəˌspɔr/</p>	2014-01-29 19:12:39	2
326	ET	en	<p>Neo-Latin, from spora &amp;&nbsp; Greek, from blast&oacute;s.</p>	2014-01-29 19:12:53	2
270	DE	en	<p>past participial of to bear, to hold up or support. To produce by natural growth.</p>	2014-01-29 19:13:26	2
270	PS	en	<p>verb</p>	2014-01-29 19:13:38	2
270	PR	en	<p>/bɔrn/</p>	2014-01-29 19:13:48	2
270	ET	en	<p>Middle English, from beren</p>	2014-01-29 19:14:06	2
487	DE	en	<p>an offshoot or limb arising from a main axis of growth.</p>	2014-01-29 19:18:11	2
487	PS	en	<p>noun</p>	2014-01-29 19:18:25	2
487	PR	en	<p>/br&aelig;ntʃ/</p>	2014-01-29 19:18:34	2
487	ET	en	<p>Anglo-French, from branche</p>	2014-01-29 19:18:45	2
489	DE	en	<p>adjective of branch. Possessing offshoots or limbs arising from a main axis of growth.</p>	2014-01-29 19:19:08	2
489	ET	en	<p>Anglo-French, from branche</p>	2014-01-29 19:19:35	2
489	PR	en	<p>/br&aelig;ntʃ/</p>	2014-01-29 19:19:45	2
489	PS	en	<p>adjective</p>	2014-01-29 19:19:58	2
488	DE	en	<p>offshoots or limbs arising from a main axis of growth.</p>	2014-02-03 17:47:47	2
488	PS	en	<p>noun</p>	2014-01-29 19:20:56	2
488	PR	en	<p>/br&aelig;ntʃ/</p>	2014-01-29 19:21:08	2
488	ET	en	<p>Anglo-French, from branches</p>	2014-01-29 19:21:21	2
490	DE	en	<p>verb of branch. Arising from a main axis of growth.</p>	2014-01-29 19:21:46	2
490	ET	en	<p>Anglo-French, from branche</p>	2014-01-29 19:21:57	2
490	PS	en	<p>verb</p>	2014-01-29 19:22:06	2
490	PR	en	<p>/br&aelig;ntʃ/</p>	2014-01-29 19:22:18	2
478	DE	en	<p>any variety of liquid microbial media.</p>	2014-01-29 19:22:37	2
478	PS	en	<p>noun</p>	2014-01-29 19:22:47	2
478	PR	en	<p>/brɔ&theta;/</p>	2014-01-29 19:23:02	2
478	ET	en	<p>Old Norse, from broth</p>	2014-01-29 19:23:12	2
514	DE	en	<p>a culture prepared in nutrient broth.</p>	2014-01-29 19:23:40	2
514	ET	en	<p>Old Norse, from broth &amp; Latin, from cultūra</p>	2014-01-29 19:23:58	2
514	PS	en	<p>noun</p>	2014-01-29 19:24:13	2
