metpo_id	metpo_label	parent_classes	current_definition	has_current_definition	matched_definition	matched_source	matched_quality	def_similarity	extracted_genus	genus_status	matched_parent	suggested_tweak	needs_tweak
METPO:1000472	NaCl range high	NaCl range	A salinity range allowing microbial growth at sodium chloride concentrations above 8%, characteristic of extreme halophiles. Values with minimum value of 8 % NaCl.	yes	MIC is a range of two MIC values (e.g., given 10 clinical isolates with a resistance determinant, there are 5 that have an MIC of 25ug/mL and 5 that have an MIC of 100ug/mL agaisnt tobramycin).	aro	good	0.219		no_genus		Rewrite as: A NaCl range that mic is a range of two mic values (e.g., given 10 clinical isolates with a resistance determinant, there are 5 that have an mic of 25ug/ml and 5 that have an mic of 100ug/ml agaisnt tobramycin).	yes
METPO:1000473	pH delta very low	pH delta	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a narrow range less than 1 pH unit. Values with maximum value of 1 pH.	yes	An IPSS-M risk category for myelodysplastic syndrome in which the incidence of acute myeloid leukemia is very low.	ncit	good	0.224	IPSS-M risk category for myelodysplastic syndrome in	genus_missing_parent		Replace genus 'IPSS-M risk category for myelodysplastic syndrome in' with 'pH delta': A pH delta which the incidence of acute myeloid leukemia is very low.	yes
METPO:1000476	pH delta mid2	pH delta	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 3 and 4 pH units. Values ranging from 3 to 4 pH.	yes	Any process that increases the internal pH of an organism, part of an organism or a cell, measured by the concentration of the hydrogen ion.	go	good	0.301		no_genus		Rewrite as: A pH delta that any process that increases the internal ph of an organism, part of an organism or a cell, measured by the concentration of the hydrogen ion.	yes
METPO:1000480	NaCl delta mid1	NaCl delta	A growth tolerance metric measuring the span of sodium chloride concentrations that support an organism's growth, with a range between 1% and 3%. Values ranging from 1 to 3 C.	yes	A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.	envo	excellent	0.273	tract of alluvium formed at the mouth of a river	genus_missing_parent		Replace genus 'tract of alluvium formed at the mouth of a river' with 'NaCl delta' to match METPO hierarchy	yes
METPO:1000481	NaCl delta mid2	NaCl delta	A growth tolerance metric measuring the span of sodium chloride concentrations that support an organism's growth, with a range between 3% and 8%. Values ranging from 3 to 8 C.	yes	A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.	envo	excellent	0.273	tract of alluvium formed at the mouth of a river	genus_missing_parent		Replace genus 'tract of alluvium formed at the mouth of a river' with 'NaCl delta' to match METPO hierarchy	yes
METPO:1000486	temperature delta mid2	temperature delta	A growth tolerance metric measuring the span of temperatures that support an organism's growth, with a range between 20°C and 30°C. Values ranging from 20 to 30 C.	yes	A variability quality inhering in a bearer by virtue of the bearer's having or exhibiting variation of temperature.	pato	excellent	0.245		no_genus		Rewrite as: A temperature delta that a variability quality inhering in a bearer by virtue of the bearer's having or exhibiting variation of temperature.	yes
METPO:1000525	microbe	material entity	An organism or virus or viron that is too small to be viewed by the unaided eye.	yes	A broad class encompassing microscopic organisms that can be single-celled or multicellular. Microorganisms include bacteria, archaea, fungi, and protists. They play a crucial role in ecosystems, health, and biotechnology.	d3o	excellent	0.278	broad class encompassing microscopic organisms	genus_missing_parent		Replace genus 'broad class encompassing microscopic organisms' with 'material entity': A material entity that can be single-celled or multicellular. Microorganisms include bacteria, archaea, fungi, and protists. They play a crucial role in ecosystems, health, and biotechnology.	yes
METPO:1000526	chemical entity	material entity	A physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	yes	chemical entity; A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	chebi	excellent	0.855		no_genus		Rewrite as: A material entity that chemical entity; a chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	yes
METPO:1000531	pH phenotype with numerical limits	phenotype		no	A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.	omp	excellent	0.000	population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect	genus_matches_parent	phenotype		no
METPO:1000532	salinity phenotype with numerical limits	phenotype		no	The highest concentration of salt in an environment that an organism can tolerate without experiencing significant physiological stress or mortality.	d3o	excellent	0.000		no_genus		Rewrite as: A phenotype that the highest concentration of salt in an environment that an organism can tolerate without experiencing significant physiological stress or mortality.	yes
METPO:1000536	optimum phenotype with numerical limits	phenotype		no	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	D3O	excellent	0.000		no_genus		Rewrite as: A phenotype that the temperature range at which an organism exhibits the most efficient growth and biological activity. this is typically the mid-range temperature between the maximum and minimum limits for growth.	yes
METPO:1000601	oxygen preference	phenotype		no	The ability of an organism to survive and grow in the presence or absence of oxygen, ranging from obligate aerobes to obligate anaerobes, as well as facultative anaerobes.	d3o	excellent	0.000		no_genus		Rewrite as: A phenotype that the ability of an organism to survive and grow in the presence or absence of oxygen, ranging from obligate aerobes to obligate anaerobes, as well as facultative anaerobes.	yes
METPO:1000602	aerobic	oxygen preference	A microbial oxygen preference phenotype in which growth occurs in the presence of molecular oxygen (O₂), typically using O₂ as the terminal electron acceptor.	yes	A quality inhering in a bearer by virtue of the bearer's dependence on oxygen.	pato	excellent	0.102		no_genus		Rewrite as: A oxygen preference that a quality inhering in a bearer by virtue of the bearer's dependence on oxygen.	yes
METPO:1000604	microaerophilic	oxygen preference	A microbial oxygen preference phenotype that requires molecular oxygen (O₂) at concentrations lower than atmospheric.	yes	"An oxygen growth range phenotype where growth and reproduction requires oxygen but at levels below that found in air (approx. 21%).

A microbial phenotype that describes a microorganism that requires O2 for growth, but doesn't grow in the presence of atmospheric levels of O2. Optimal growth of a microaerophile occurs in environments with xx% - xx% O2."	omp	excellent	0.264	oxygen growth range phenotype where growth and reproduction requires oxygen but at levels below	genus_matches_parent	oxygen preference		no
METPO:1000605	facultatively anaerobic	oxygen preference	A microbial oxygen preference phenotype in which growth can occur with or without molecular oxygen (O₂).	yes	A quality inhering in a bearer by virtue of the bearer's independence on oxygen.	pato	excellent	0.130		no_genus		Rewrite as: A oxygen preference that a quality inhering in a bearer by virtue of the bearer's independence on oxygen.	yes
METPO:1000606	obligately aerobic	oxygen preference	A microbial oxygen preference phenotype that requires molecular oxygen (O₂) for growth.	yes	an anaerobe that cannot grow in the presence of oxygen	ecocore	good	0.369		no_genus		Rewrite as: A oxygen preference that an anaerobe that cannot grow in the presence of oxygen	yes
METPO:1000607	obligately anaerobic	oxygen preference	A microbial oxygen preference phenotype in which molecular oxygen (O₂) inhibits or prevents growth.	yes	an anaerobe that cannot grow in the presence of oxygen	ecocore	good	0.170		no_genus		Rewrite as: A oxygen preference that an anaerobe that cannot grow in the presence of oxygen	yes
METPO:1000608	facultatively aerobic	oxygen preference	A microbial oxygen preference phenotype in which growth can occur without oxygen but is capable of aerobic growth.	yes	facultative aerobe; A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	omp	excellent	0.356		no_genus		Rewrite as: A oxygen preference that facultative aerobe; a microbial phenotype that describes a microorganism that does not require oxygen gas (o2) for growth but will utilize o2 in metabolic reactions when it is present.	yes
METPO:1000609	aerotolerant	oxygen preference	A microbial oxygen preference phenotype that does not use O₂ for growth but tolerates its presence.	yes	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth and doesn't utilize O2 even when it is present.	omp	excellent	0.540	microbial phenotype	genus_missing_parent		Replace genus 'microbial phenotype' with 'oxygen preference': A oxygen preference that describes a microorganism that does not require oxygen gas (O2) for growth and doesn't utilize O2 even when it is present.	yes
METPO:1000610	microaerotolerant	oxygen preference	A microbial oxygen preference phenotype that tolerates low levels of molecular oxygen (O₂) without requiring it.	yes	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth and doesn't utilize O2 even when it is present.	omp	excellent	0.391	microbial phenotype	genus_missing_parent		Replace genus 'microbial phenotype' with 'oxygen preference': A oxygen preference that describes a microorganism that does not require oxygen gas (O2) for growth and doesn't utilize O2 even when it is present.	yes
METPO:1000611	strictly anaerobic	obligately anaerobic	A microbial oxygen preference phenotype reported as “strictly anaerobic” in Madin; modeled distinctly and placed under obligately anaerobic.	yes	A quality inhering in a bearer by virtue of the bearer's independence on oxygen.	pato	excellent	0.109		no_genus		Rewrite as: A obligately anaerobic that a quality inhering in a bearer by virtue of the bearer's independence on oxygen.	yes
METPO:1000612	facultative oxygen preference	oxygen preference	A microbial oxygen preference phenotype reported generically as “facultative” (no direction specified); kept as its own class to avoid collapsing specific subclasses.	yes	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	omp	excellent	0.285	microbial phenotype	genus_missing_parent		Replace genus 'microbial phenotype' with 'oxygen preference': A oxygen preference that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	yes
METPO:1000614	psychrophilic	temperature preference	A temperature preference phenotype in which growth is favored at low temperatures, typically near or below ~15 °C.	yes	A population growth phenotype where growth of a microbial population can occur at 0 C and optimal growth occurs at temperatures of 15 C or lower.	omp	excellent	0.456	population growth phenotype	genus_missing_parent		Replace genus 'population growth phenotype' with 'temperature preference' to match METPO hierarchy	yes
METPO:1000615	mesophilic	temperature preference	A temperature preference phenotype in which growth is favored at intermediate temperatures, typically ~20–45 °C.	yes	A sulfur spring through which water at a temperature optimal for the growth of mesophillic microorganism (approximately 20 to 45 degrees Celsius) flows.	envo	excellent	0.333	sulfur spring through	genus_missing_parent		Replace genus 'sulfur spring through' with 'temperature preference': A temperature preference which water at a temperature optimal for the growth of mesophillic microorganism (approximately 20 to 45 degrees Celsius) flows.	yes
METPO:1000616	thermophilic	temperature preference	A temperature preference phenotype in which growth is favored at elevated temperatures, typically ≥45 °C.	yes	Thermophile; A microbial organism that thrives at relatively high temperatures, between 45 and 122 C (113 and 252 F).	mpo	adequate	0.351		no_genus		Rewrite as: A temperature preference that thermophile; a microbial organism that thrives at relatively high temperatures, between 45 and 122 c (113 and 252 f).	yes
METPO:1000617	hyperthermophilic	temperature preference	A temperature preference phenotype in which growth is favored at very high temperatures, typically ≥80 °C.	yes	A population growth phenotype where optimal growth of a microbial population occurs between 85 C and 113 C.	omp	excellent	0.385	population growth phenotype	genus_missing_parent		Replace genus 'population growth phenotype' with 'temperature preference' to match METPO hierarchy	yes
METPO:1000618	psychrotolerant	temperature preference	A temperature tolerance phenotype in which growth can occur at low temperatures without an obligate low-temperature preference.	yes	Psychrotrophic microbes are cold-tolerant bacteria or archaea that can grow or even thrive in a cold environment although their optimal growth temperatures are between above 15 C and below 20 C. Their maximal growth temperatures are below 20 C.	mpo	good	0.399		no_genus		Rewrite as: A temperature preference that psychrotrophic microbes are cold-tolerant bacteria or archaea that can grow or even thrive in a cold environment although their optimal growth temperatures are between above 15 c and below 20 c. their maximal growth temperatures are below 20 c.	yes
METPO:1000619	thermotolerant	temperature preference	A temperature tolerance phenotype in which growth can occur at elevated temperatures without an obligate high-temperature preference.	yes	The ability to survive a period of exposure to extremely high temperature (heat shock).	apo	good	0.218		no_genus		Rewrite as: A temperature preference that the ability to survive a period of exposure to extremely high temperature (heat shock).	yes
METPO:1000621	haloalkaliphilic	halophily preference		no	Basophile; Alkalophile; Alkaliphile; Alkalinophile	mpo	adequate	0.000		no_genus		Rewrite as: A halophily preference that basophile; alkalophile; alkaliphile; alkalinophile	yes
METPO:1000622	halotolerant	halophily preference		no	an anaerobe that can tolerate low levels of oxygen	ecocore	good	0.000		no_genus		Rewrite as: A halophily preference that an anaerobe that can tolerate low levels of oxygen	yes
METPO:1000624	non halophilic	halophily preference		no	A solute and water activity phenotype where growth and proliferation requires high levels of sodium chloride, usually above or about 0.2 M.	omp	excellent	0.000	solute and water activity phenotype	genus_missing_parent		Replace genus 'solute and water activity phenotype' with 'halophily preference' to match METPO hierarchy	yes
METPO:1000630	biological process		The execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.	yes	biological process; physiological process; Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end.; Note that, in addition to forming the root of the biological process ontology, this term is recommended for use for the annotation of gene products whose biological process is unknown. Note that when this term is used for annotation, it indicates that no information was available about the biological process of the gene product annotated as of the date the annotation was made; the evidence code ND, no data, is used to indicate this.	omp	excellent	0.015		no_genus			no
METPO:1000631	trophic type	phenotype	The quality of how an organism obtains its carbon and energy.	yes	A symbiotrophic process during which a living entity acquires food and energy from another living entity via a close association. The entity providing the food and energy is harmed by this process.	ecocore	excellent	0.178	symbiotrophic process during	genus_missing_parent		Replace genus 'symbiotrophic process during' with 'phenotype': A phenotype which a living entity acquires food and energy from another living entity via a close association. The entity providing the food and energy is harmed by this process.	yes
METPO:1000632	autotrophic	trophic type		no	A function which inheres in a living entity by virtue of that entity being able to harvest energy and create biomass from non-living materials.	ecocore	excellent	0.000	function which inheres in a living entity by virtue of	genus_missing_parent		Replace genus 'function which inheres in a living entity by virtue of' with 'trophic type': A trophic type that entity being able to harvest energy and create biomass from non-living materials.	yes
METPO:1000634	chemoautolithotrophic	trophic type		no	A chemoautotroph which is capable of using a biogenic organic compound as an electron donor.	ecocore	good	0.000	chemoautotroph	genus_missing_parent		Replace genus 'chemoautotroph' with 'trophic type': A trophic type which is capable of using a biogenic organic compound as an electron donor.	yes
METPO:1000635	chemoautotrophic	trophic type		no	A chemoautotroph which is capable of using a biogenic organic compound as an electron donor.	ecocore	good	0.000	chemoautotroph	genus_missing_parent		Replace genus 'chemoautotroph' with 'trophic type': A trophic type which is capable of using a biogenic organic compound as an electron donor.	yes
METPO:1000636	chemoheterotrophic	trophic type		no	A chemoheterotroph which is capable of using an abiogenic organic compound as an electron donor.	ecocore	good	0.000	chemoheterotroph	genus_missing_parent		Replace genus 'chemoheterotroph' with 'trophic type': A trophic type which is capable of using an abiogenic organic compound as an electron donor.	yes
METPO:1000637	chemolithoautotrophic	trophic type		no	A chemoautotroph which is capable of using an abiogenic organic compound as an electron donor.	ecocore	good	0.000	chemoautotroph	genus_missing_parent		Replace genus 'chemoautotroph' with 'trophic type': A trophic type which is capable of using an abiogenic organic compound as an electron donor.	yes
METPO:1000638	chemolithoheterotrophic	trophic type		no	A chemoheterotroph which is capable of using an abiogenic organic compound as an electron donor.	ecocore	good	0.000	chemoheterotroph	genus_missing_parent		Replace genus 'chemoheterotroph' with 'trophic type': A trophic type which is capable of using an abiogenic organic compound as an electron donor.	yes
METPO:1000639	chemolithotrophic	trophic type		no	A chemotrophic phenotype where energy is obtained from the oxidation of inorganic chemicals.	omp	excellent	0.000	chemotrophic phenotype	genus_matches_parent	trophic type		no
METPO:1000640	chemoorganoheterotrophic	trophic type		no	A chemoheterotroph which is capable of using a biogenic organic compound as an electron donor.	ecocore	good	0.000	chemoheterotroph	genus_missing_parent		Replace genus 'chemoheterotroph' with 'trophic type': A trophic type which is capable of using a biogenic organic compound as an electron donor.	yes
METPO:1000644	heterotrophic	trophic type		no	A function which inheres in a living entity by virtue of that entity being able to feed on living or once-living (dead) material.	ecocore	excellent	0.000	function which inheres in a living entity by virtue of	genus_missing_parent		Replace genus 'function which inheres in a living entity by virtue of' with 'trophic type': A trophic type that entity being able to feed on living or once-living (dead) material.	yes
METPO:1000646	hydrogenotrophic	trophic type		no	The rate of methane production through hydrogenotrophic methanogenesis, where methanogens use hydrogen and carbon dioxide as substrates. This pathway represents one of the two main routes of biological methane formation in anaerobic environments, and is particularly important in freshwater wetlands and rice paddies where hydrogen availability can limit methanogenic activity.	BERVO	good	0.000		no_genus		Rewrite as: A trophic type that the rate of methane production through hydrogenotrophic methanogenesis, where methanogens use hydrogen and carbon dioxide as substrates. this pathway represents one of the two main routes of biological methane formation in anaerobic environments, and is particularly important in freshwater wetlands and rice paddies where hydrogen availability can limit methanogenic activity.	yes
METPO:1000649	lithotrophic	trophic type		no	The processes by which organisms use simple inorganic substances such as gaseous or dissolved carbon dioxide and inorganic nitrogen as nutrient sources. Contrasts with heterotrophic processes which make use of organic materials as the nutrient supply source. Autotrophs can be either chemoautotrophs (or chemolithotrophs), largely ARCHAEA and BACTERIA, which also use simple inorganic substances for their metabolic energy reguirements; or photoautotrophs (or photolithotrophs), such as PLANTS and CYANOBACTERIA, which derive their energy from light. Depending on environmental conditions some organisms can switch between different nutritional modes (autotrophy; HETEROTROPHY; chemotrophy; or PHOTOTROPHY) to utilize different sources to meet their nutrient and energy requirements.	mesh	good	0.000		no_genus		Rewrite as: A trophic type that the processes by which organisms use simple inorganic substances such as gaseous or dissolved carbon dioxide and inorganic nitrogen as nutrient sources. contrasts with heterotrophic processes which make use of organic materials as the nutrient supply source. autotrophs can be either chemoautotrophs (or chemolithotrophs), largely archaea and bacteria, which also use simple inorganic substances for their metabolic energy reguirements; or photoautotrophs (or photolithotrophs), such as plants and cyanobacteria, which derive their energy from light. depending on environmental conditions some organisms can switch between different nutritional modes (autotrophy; heterotrophy; chemotrophy; or phototrophy) to utilize different sources to meet their nutrient and energy requirements.	yes
METPO:1000652	mixotrophic	trophic type		no	A metabolic phenotype where an organism can switch between using different sources of energy instead of having a single trophic mode. For example, an organism may switch between phototrophic and chemoorganotrophic growth.	omp	excellent	0.000	metabolic phenotype	genus_matches_parent	trophic type		no
METPO:1000654	oligotrophic	nutrient adaptation		no	A lake which has nutrient-poor water.	envo	good	0.000	lake	genus_missing_parent		Replace genus 'lake' with 'nutrient adaptation': A nutrient adaptation which has nutrient-poor water.	yes
METPO:1000655	organotrophic	trophic type		no	A trophic process during which a living entity acquires reducing equivalents from organic chemicals for use in biosynthesis or energy conservation via aerobic or anaerobic respiration.	ecocore	excellent	0.000	trophic process during	genus_matches_parent	trophic type		no
METPO:1000659	photoorganoheterotrophic	trophic type		no	A photoheterotroph which is capable of using a biogenic organic compound as an electron donor.	ecocore	good	0.000	photoheterotroph	genus_missing_parent		Replace genus 'photoheterotroph' with 'trophic type': A trophic type which is capable of using a biogenic organic compound as an electron donor.	yes
METPO:1000663	chemoorganotrophic	trophic type		no	organotroph; A chemotrophic phenotype where energy is derived from the oxidation of organic molecules.	omp	good	0.000		no_genus		Rewrite as: A trophic type that organotroph; a chemotrophic phenotype where energy is derived from the oxidation of organic molecules.	yes
METPO:1000666	cell shape	phenotype		no	The physical shape of a microorganism's cell, such as rod-shaped (bacillus), spherical (coccus), or spiral-shaped (spirillum). Cell shape is an important taxonomic characteristic.	d3o	excellent	0.000		no_genus		Rewrite as: A phenotype that the physical shape of a microorganism's cell, such as rod-shaped (bacillus), spherical (coccus), or spiral-shaped (spirillum). cell shape is an important taxonomic characteristic.	yes
METPO:1000667	bacillus shaped	cell shape		no	bacillus; A cylindrical cell phenotype where an organism has rod-shaped cells.	omp	good	0.000		no_genus		Rewrite as: A cell shape that bacillus; a cylindrical cell phenotype where an organism has rod-shaped cells.	yes
METPO:1000668	coccus shaped	cell shape		no	A cell shape phenotype where a cell is intermediate in shape between a coccus (sphere) and a bacillus (rod).	omp	excellent	0.000	cell shape phenotype	genus_matches_parent	cell shape		no
METPO:1000669	crescent shaped	cell shape		no	crescentic; bow-shaped; lunate; A shape quality inhering in a circular disk by virtue of the bearer's having a segment of another circle removed from its edge, so that what remains is a shape enclosed by two circular arcs of different diameters which intersect at two points (usually in such a manner that the enclosed shape does not include the center of the original circle).	pato	excellent	0.000		no_genus		Rewrite as: A cell shape that crescentic; bow-shaped; lunate; a shape quality inhering in a circular disk by virtue of the bearer's having a segment of another circle removed from its edge, so that what remains is a shape enclosed by two circular arcs of different diameters which intersect at two points (usually in such a manner that the enclosed shape does not include the center of the original circle).	yes
METPO:1000671	diplococcus shaped	cell shape		no	A cell arrangement phenotype where an organism forms pairs of coccus cells, which arise from a division event in one plane.	omp	excellent	0.000	cell arrangement phenotype where an organism forms pairs of coccus cells,	genus_matches_parent	cell shape		no
METPO:1000672	dumbbell shaped	cell shape		no	A convex 3-D shape quality inhering in a bearer by virtue of the bearer's exhibiting a by virtue of the bearer's exhibiting a consistently sized and approximately round cross-section along its length, which is many times larger than its diameter.	pato	excellent	0.000	convex 3-D shape quality inhering in a bearer by virtue of the bearer's exhibiting a by virtue of the bearer's exhibiting a consistently sized and approximately round cross-section along its length,	genus_matches_parent	cell shape		no
METPO:1000673	ellipsoidal	cell shape		no	ellipse-shaped; ellipsoid; elliptical; oval; ovoid; A spheroid quality inhering in a bearer by virtue of the bearer's being oval with two axes of symmetry, as produced by a conical section.	go	excellent	0.000		no_genus		Rewrite as: A cell shape that ellipse-shaped; ellipsoid; elliptical; oval; ovoid; a spheroid quality inhering in a bearer by virtue of the bearer's being oval with two axes of symmetry, as produced by a conical section.	yes
METPO:1000675	flask shaped	cell shape		no	Flask; flask; A container with a base wider than the narrow neck traditionally used for holding liquids.	mco	adequate	0.000		no_genus		Rewrite as: A cell shape that flask; flask; a container with a base wider than the narrow neck traditionally used for holding liquids.	yes
METPO:1000676	helical shaped	cell shape		no	spiral; helical; helicoid; helicoidal; helix-shaped; A shape quality inhering in a bearer by virtue of the bearer's being curled or wound (especially in concentric rings or spirals).	pato	excellent	0.000		no_genus		Rewrite as: A cell shape that spiral; helical; helicoid; helicoidal; helix-shaped; a shape quality inhering in a bearer by virtue of the bearer's being curled or wound (especially in concentric rings or spirals).	yes
METPO:1000677	ovoid shaped	cell shape		no	A spheroid quality inhering in a bearer by virtue of the bearer's exhibiting a shape not quite ovoid. approximately ovoid.	pato	excellent	0.000		no_genus		Rewrite as: A cell shape that a spheroid quality inhering in a bearer by virtue of the bearer's exhibiting a shape not quite ovoid. approximately ovoid.	yes
METPO:1000678	oval shaped	cell shape		no	An angular shape quality inhering in a bearer by virtue of the bearer's having a single angle in its length giving the bearer the form of the letter V.	pato	excellent	0.000		no_genus		Rewrite as: A cell shape that an angular shape quality inhering in a bearer by virtue of the bearer's having a single angle in its length giving the bearer the form of the letter v.	yes
