metpo_id	metpo_label	metpo_definition	definition_source_iri	source_label	source_definition	source_synonyms	source_api
METPO:1000526	chemical entity	A material entity that is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	http://purl.obolibrary.org/obo/CHEBI_24431	chemical entity	A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	chemical entity	OLS
METPO:1000531	pH phenotype with numerical limits	A phenotype characterized by specific pH values or ranges that define growth or activity limits.					NO_SOURCE
METPO:1000532	salinity phenotype with numerical limits	A phenotype characterized by specific salt concentration values or ranges that define growth or activity limits.					NO_SOURCE
METPO:1000533	temperature phenotype with numerical limits	A phenotype characterized by specific temperature values or ranges that define growth or activity limits.					NO_SOURCE
METPO:1000534	delta phenotype with numerical limits	A phenotype characterized by the difference between maximum and minimum values of a growth parameter.					NO_SOURCE
METPO:1000535	growth range phenotype with numerical limits	A phenotype characterized by the span of values within which an organism can maintain growth.					NO_SOURCE
METPO:1000536	optimum phenotype with numerical limits	A phenotype characterized by the value at which an organism exhibits maximum growth rate or activity.					NO_SOURCE
METPO:1000601	oxygen preference	A phenotype that is relating to an organism's oxygen requirements or tolerance for growth.	http://purl.obolibrary.org/obo/OMP_0005250	aerobic population growth phenotype	A population growth range phenotype related to the ability of a microbial population to grow in the presence of oxygen gas (O2) at the level found in air (approximately 21%).		OLS
METPO:1000601	oxygen preference	A phenotype that is relating to an organism's oxygen requirements or tolerance for growth.	http://purl.obolibrary.org/obo/UPHENO_0049673	response to oxygen levels phenotype	Changed response to oxygen levels.		OLS
METPO:1000601	oxygen preference	A phenotype that is relating to an organism's oxygen requirements or tolerance for growth.	https://purl.dsmz.de/schema/OxygenTolerance	Oxygen Tolerance	The ability of an organism to survive and grow in the presence or absence of oxygen, ranging from obligate aerobes to obligate anaerobes, as well as facultative anaerobes.		BioPortal-D3O
METPO:1000602	aerobic	An oxygen preference in which growth occurs in the presence of molecular oxygen (O₂), typically using O₂ as the terminal electron acceptor.	http://purl.obolibrary.org/obo/ECOCORE_00000173	aerobe	an organism that can survive and grow in an oxygenated environment	aerobic organism	OLS
METPO:1000602	aerobic	An oxygen preference in which growth occurs in the presence of molecular oxygen (O₂), typically using O₂ as the terminal electron acceptor.	http://purl.obolibrary.org/obo/ECOCORE_00000179	obligate aerobe	an aerobe that requires oxygen to grow		OLS
METPO:1000602	aerobic	An oxygen preference in which growth occurs in the presence of molecular oxygen (O₂), typically using O₂ as the terminal electron acceptor.	http://purl.obolibrary.org/obo/OMP_0000185	obligate aerobe	A microbial phenotype that describes a microorganism that requires the presence of oxygen gas (O2) for growth.	strict aerobe	OLS
METPO:1000602	aerobic	An oxygen preference in which growth occurs in the presence of molecular oxygen (O₂), typically using O₂ as the terminal electron acceptor.	http://purl.obolibrary.org/obo/OMP_0005250	aerobic population growth phenotype	A population growth range phenotype related to the ability of a microbial population to grow in the presence of oxygen gas (O2) at the level found in air (approximately 21%).		OLS
METPO:1000602	aerobic	An oxygen preference in which growth occurs in the presence of molecular oxygen (O₂), typically using O₂ as the terminal electron acceptor.	http://purl.obolibrary.org/obo/OMP_0005253	presence of aerobic population growth	A population growth range phenotype where a microbial population is able to grow in the presence of atmospheric levels of oxygen gas (approximately 21% O2).		OLS
METPO:1000603	anaerobic	An oxygen preference in which growth occurs in the absence of molecular oxygen (O₂).	http://purl.obolibrary.org/obo/MICRO_0000495	anaerobic	A prokaryotic metabolic quality where the organism grows in the absence of oxygen.		OLS
METPO:1000604	microaerophilic	An oxygen preference that requires molecular oxygen (O₂) at concentrations lower than atmospheric.	http://purl.obolibrary.org/obo/ECOCORE_00000180	microaerophile	an aerobe that can grow at oxygen levels lower than what is present in the atmosphere	microaerophilic organism	OLS
METPO:1000604	microaerophilic	An oxygen preference that requires molecular oxygen (O₂) at concentrations lower than atmospheric.	http://purl.obolibrary.org/obo/MICRO_0000515	microaerophilic	A prokaryotic metabolic quality where the organism grows in the presence of oxygen, where the oxygen concentration is less than atmospheric levels.		OLS
METPO:1000604	microaerophilic	An oxygen preference that requires molecular oxygen (O₂) at concentrations lower than atmospheric.	http://purl.obolibrary.org/obo/OMP_0005254	microaerophilic population growth phenotype	A population growth range phenotype relating to the ability of a microbial population to grow when O2 levels are within the range xx-xx% O2, but does not grow at higher levels of O2 or in the absence of O2.		OLS
METPO:1000605	facultatively anaerobic	An oxygen preference in which growth can occur with or without molecular oxygen (O₂).	http://purl.obolibrary.org/obo/ECOCORE_00000178	obligate anaerobe	an anaerobe that cannot grow in the presence of oxygen		OLS
METPO:1000605	facultatively anaerobic	An oxygen preference in which growth can occur with or without molecular oxygen (O₂).	http://purl.obolibrary.org/obo/MICRO_0000503	facultatively anaerobic	A prokaryotic metabolic quality where the organism grows in the presence of oxygen or in the absence of oxygen.	facultative anaerobe	OLS
METPO:1000605	facultatively anaerobic	An oxygen preference in which growth can occur with or without molecular oxygen (O₂).	http://purl.obolibrary.org/obo/MICRO_0001520	facultative anaerobe	A prokaryote which is capable of growth in the presence of oxygen or in the absence of oxygen.		OLS
METPO:1000605	facultatively anaerobic	An oxygen preference in which growth can occur with or without molecular oxygen (O₂).	http://purl.obolibrary.org/obo/OMP_0000087	facultative anaerobe	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	facultative aerobe	OLS
METPO:1000606	obligately aerobic	An oxygen preference that requires molecular oxygen (O₂) for growth.	http://purl.obolibrary.org/obo/MICRO_0000516	obligately aerobic	A prokaryotic metabolic quality where the organism grows in the presence of oxygen.  Is incapable of anaerobic growth (growth in the absence of oxygen).		OLS
METPO:1000607	obligately anaerobic	An oxygen preference in which molecular oxygen (O₂) inhibits or prevents growth.	http://purl.obolibrary.org/obo/MICRO_0000504	obligately anaerobic	A prokaryotic metabolic quality where the organism grows in the absence of oxygen.  Cannot grow or live in the presence of oxygen.		OLS
METPO:1000608	facultatively aerobic	An oxygen preference in which growth can occur without oxygen but is capable of aerobic growth.	http://purl.obolibrary.org/obo/ECOCORE_00000177	facultative anaerobe	an anaerobe that makes ATP by aerobic respiration if oxygen is present, but is capable of switching to fermentation if oxygen is absent.	facultative anaerobic organism	OLS
METPO:1000608	facultatively aerobic	An oxygen preference in which growth can occur without oxygen but is capable of aerobic growth.	http://purl.obolibrary.org/obo/ECOCORE_00000178	obligate anaerobe	an anaerobe that cannot grow in the presence of oxygen		OLS
METPO:1000608	facultatively aerobic	An oxygen preference in which growth can occur without oxygen but is capable of aerobic growth.	http://purl.obolibrary.org/obo/ECOCORE_00000179	obligate aerobe	an aerobe that requires oxygen to grow		OLS
METPO:1000608	facultatively aerobic	An oxygen preference in which growth can occur without oxygen but is capable of aerobic growth.	http://purl.obolibrary.org/obo/MICRO_0000503	facultatively anaerobic	A prokaryotic metabolic quality where the organism grows in the presence of oxygen or in the absence of oxygen.	facultative anaerobe	OLS
METPO:1000608	facultatively aerobic	An oxygen preference in which growth can occur without oxygen but is capable of aerobic growth.	http://purl.obolibrary.org/obo/OMP_0000087	facultative anaerobe	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	facultative aerobe	OLS
METPO:1000609	aerotolerant	An oxygen preference that does not use O₂ for growth but tolerates its presence.	http://purl.obolibrary.org/obo/MICRO_0000502	aerotolerant	A prokaryotic metabolic quality where the organism grows in the absence of oxygen.  Can grow or live in the presence of oxygen.		OLS
METPO:1000610	microaerotolerant	An oxygen preference that tolerates low levels of molecular oxygen (O₂) without requiring it.	http://purl.obolibrary.org/obo/ECOCORE_00000180	microaerophile	an aerobe that can grow at oxygen levels lower than what is present in the atmosphere	microaerophilic organism	OLS
METPO:1000610	microaerotolerant	An oxygen preference that tolerates low levels of molecular oxygen (O₂) without requiring it.	http://purl.obolibrary.org/obo/ECOCORE_00000181	aerotolerant anaerobe	an anaerobe that can tolerate low levels of oxygen		OLS
METPO:1000610	microaerotolerant	An oxygen preference that tolerates low levels of molecular oxygen (O₂) without requiring it.	http://purl.obolibrary.org/obo/OMP_0000087	facultative anaerobe	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	facultative aerobe	OLS
METPO:1000610	microaerotolerant	An oxygen preference that tolerates low levels of molecular oxygen (O₂) without requiring it.	http://purl.obolibrary.org/obo/OMP_0000105	aerotolerant anaerobe	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth and doesn't utilize O2 even when it is present.		OLS
METPO:1000611	strictly anaerobic	An obligately anaerobic where a microorganism does not grow in the presence of oxygen gas (O2).	http://purl.obolibrary.org/obo/OMP_0000184	obligate anaerobe	A microbial phenotype that describes a microorganism that does not grow in the presence of oxygen gas (O2).	strict anaerobe	OLS
METPO:1000612	facultative oxygen preference	An oxygen preference that describes a microorganism that can grow with or without molecular oxygen.	http://purl.obolibrary.org/obo/OMP_0000087	facultative anaerobe	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	facultative aerobe	OLS
METPO:1000612	facultative oxygen preference	An oxygen preference that describes a microorganism that can grow with or without molecular oxygen.	http://purl.obolibrary.org/obo/OMP_0000185	obligate aerobe	A microbial phenotype that describes a microorganism that requires the presence of oxygen gas (O2) for growth.	strict aerobe	OLS
METPO:1000613	temperature preference	A phenotype that describes characteristic growth with respect to environmental temperature.	http://purl.obolibrary.org/obo/OMP_0005002	temperature effects on population growth phenotype	A population growth range phenotype related to how growth of a microbial population is affected by the temperature of the environment.	temperature requirement for growth	OLS
METPO:1000613	temperature preference	A phenotype that describes characteristic growth with respect to environmental temperature.	http://purl.obolibrary.org/obo/UPHENO_0049885	response to temperature stimulus phenotype	Changed response to temperature stimulus.		OLS
METPO:1000614	psychrophilic	A temperature preference in which growth is favored at low temperatures, typically near or below ~15 °C.	http://purl.obolibrary.org/obo/MICRO_0001306	psychrophilic	Temperature optimum quality, where growth rates at depressed temperatures (<20˚C) are higher than growth rates at ambient temperatures. 		OLS
METPO:1000615	mesophilic	A temperature preference in which growth is favored at intermediate temperatures, typically ~20–45 °C.	http://purl.obolibrary.org/obo/MICRO_0000111	mesophilic	Temperature optimum quality, where growth rates at moderate temperatures (20-40˚C) are higher than growth rates at other temperatures. 		OLS
METPO:1000616	thermophilic	A temperature preference in which growth is favored at elevated temperatures, typically ≥45 °C.	http://purl.obolibrary.org/obo/MICRO_0000118	thermophilic	Temperature optimum quality, where growth rates at elevated temperatures (40-85˚C) are higher than growth rates at ambient temperatures. 		OLS
METPO:1000616	thermophilic	A temperature preference in which growth is favored at elevated temperatures, typically ≥45 °C.	http://purl.obolibrary.org/obo/OMP_0005003	hyperthermophile	A population growth phenotype where optimal growth of a microbial population occurs between 85 C and 113 C.		OLS
METPO:1000616	thermophilic	A temperature preference in which growth is favored at elevated temperatures, typically ≥45 °C.	http://purl.obolibrary.org/obo/OMP_0005004	thermophile	A population growth phenotype where growth of a microbial population can occur at 55 C or higher and optimal growth occurs between 55 C and 65 C.		OLS
METPO:1000617	hyperthermophilic	A temperature preference in which growth is favored at very high temperatures, typically ≥80 °C.	http://purl.obolibrary.org/obo/MICRO_0001538	hyperthermophile	Prokaryote specialized with respect to temperature, which grows optimally at elevated temperatures (>85˚C).		OLS
METPO:1000618	psychrotolerant	A temperature preference in which growth can occur at low temperatures without an obligate low-temperature preference.	http://purl.obolibrary.org/obo/MICRO_0001310	psychrotolerant	Temperature optimum quality, growth rates at moderate temperatures (20-40˚C) are higher than growth rates at other temperatures, but will tolerate lower temperatures.		OLS
METPO:1000618	psychrotolerant	A temperature preference in which growth can occur at low temperatures without an obligate low-temperature preference.	http://purl.obolibrary.org/obo/OMP_0005006	psychrotroph	A population growth phenotype where growth of a microbial population can occur between 0 to 7 degrees C with optimum growth at 20 to 30 degrees C. The maximum temperature for population growth is around 35 degrees C.		OLS
METPO:1000618	psychrotolerant	A temperature preference in which growth can occur at low temperatures without an obligate low-temperature preference.	http://purl.obolibrary.org/obo/OMP_0005007	psychrophile	A population growth phenotype where growth of a microbial population can occur at 0 C and optimal growth occurs at temperatures of 15 C or lower.		OLS
METPO:1000619	thermotolerant	A temperature preference in which growth can occur at elevated temperatures without an obligate high-temperature preference.	http://purl.obolibrary.org/obo/MICRO_0001286	thermotolerant	Temperature optimum quality, growth rates at moderate temperatures (20-40˚C) are higher than growth rates at other temperatures, but will tolerate higher temperatures.		OLS
METPO:1000620	halophilic	A halophily preference in which an organism requires high concentrations of salt for growth and survival.	http://purl.obolibrary.org/obo/ENVO_00002024	obsolete haline habitat	A habitat characterized by a concentration of salt at least 2M. Inhabited by halophilic organisms.		OLS
METPO:1000620	halophilic	A halophily preference in which an organism requires high concentrations of salt for growth and survival.	http://purl.obolibrary.org/obo/GO_0170002	halotropism	A sodium-specific negative tropism that is crucial for surviving and thriving under high salinity.	root halotropism	OLS
METPO:1000620	halophilic	A halophily preference in which an organism requires high concentrations of salt for growth and survival.	http://purl.obolibrary.org/obo/MICRO_0001314	halophilic	Salinity optimum quality, where growth rates at elevated salt concentrations are higher than growth rates at lower salt concentrations. 		OLS
METPO:1000620	halophilic	A halophily preference in which an organism requires high concentrations of salt for growth and survival.	http://purl.obolibrary.org/obo/MICRO_0001315	obligately halophilic	Halophilic, where growth occurs only at elevated salt concentrations.		OLS
METPO:1000620	halophilic	A halophily preference in which an organism requires high concentrations of salt for growth and survival.	http://purl.obolibrary.org/obo/OMP_0005016	halophilic growth	A solute and water activity phenotype where growth and proliferation requires high levels of sodium chloride, usually above or about 0.2 M.		OLS
METPO:1000621	haloalkaliphilic	A halophily preference in which an organism requires both high salt concentrations and alkaline pH for optimal growth.	http://purl.obolibrary.org/obo/MICRO_0001314	halophilic	Salinity optimum quality, where growth rates at elevated salt concentrations are higher than growth rates at lower salt concentrations. 		OLS
METPO:1000621	haloalkaliphilic	A halophily preference in which an organism requires both high salt concentrations and alkaline pH for optimal growth.	http://purl.obolibrary.org/obo/MICRO_0001392	hyperalkaliphile	Prokaryote specialized with respect to pH, which grows optimally at extremely alkaline pH values (pH >10).		OLS
METPO:1000621	haloalkaliphilic	A halophily preference in which an organism requires both high salt concentrations and alkaline pH for optimal growth.	http://purl.obolibrary.org/obo/MICRO_0001554	hyperalkaliphilic	pH optimum quality, where growth rates at highly alkaline pH values (pH >10) are higher than growth rates at other temperatures. 		OLS
METPO:1000621	haloalkaliphilic	A halophily preference in which an organism requires both high salt concentrations and alkaline pH for optimal growth.	http://purl.obolibrary.org/obo/OMP_0005011	alkaliphile	A population growth phenotype that applies to microorganisms whose optimal growth occurs between pH 8.0 to 11.5.		OLS
METPO:1000622	halotolerant	A halophily preference in which an organism can tolerate high salt concentrations but does not require them for growth.	http://purl.obolibrary.org/obo/MICRO_0001316	halotolerant	Salinity optimum quality, where some growth occurs at elevated salinity, but growth is fastest at lower salinity.		OLS
METPO:1000623	moderately halophilic	A halophily preference where growth and proliferation requires high levels of sodium chloride, usually above or about 0.2 M.	http://purl.obolibrary.org/obo/ENVO_00002024	obsolete haline habitat	A habitat characterized by a concentration of salt at least 2M. Inhabited by halophilic organisms.		OLS
METPO:1000623	moderately halophilic	A halophily preference where growth and proliferation requires high levels of sodium chloride, usually above or about 0.2 M.	http://purl.obolibrary.org/obo/OMP_0005016	halophilic growth	A solute and water activity phenotype where growth and proliferation requires high levels of sodium chloride, usually above or about 0.2 M.		OLS
METPO:1000624	non halophilic	A halophily preference in which an organism does not require or prefer elevated salt concentrations for growth.					NO_SOURCE
METPO:1000625	slightly halophilic	A halophily preference in which an organism requires low to moderate salt concentrations (0.3 to 0.8 M NaCl) for optimal growth.	http://purl.obolibrary.org/obo/ENVO_00002024	obsolete haline habitat	A habitat characterized by a concentration of salt at least 2M. Inhabited by halophilic organisms.		OLS
METPO:1000625	slightly halophilic	A halophily preference in which an organism requires low to moderate salt concentrations (0.3 to 0.8 M NaCl) for optimal growth.	http://purl.obolibrary.org/obo/OMP_0005016	halophilic growth	A solute and water activity phenotype where growth and proliferation requires high levels of sodium chloride, usually above or about 0.2 M.		OLS
METPO:1000626	stenohaline	A halophily preference in which an organism can only tolerate a narrow range of salinity concentrations and cannot survive significant changes in environmental salt levels.	http://purl.obolibrary.org/obo/ENVO_00002024	obsolete haline habitat	A habitat characterized by a concentration of salt at least 2M. Inhabited by halophilic organisms.		OLS
METPO:1000626	stenohaline	A halophily preference in which an organism can only tolerate a narrow range of salinity concentrations and cannot survive significant changes in environmental salt levels.	https://purl.dsmz.de/schema/SaltTolerance	Salt Tolerance	The ability of an organism to tolerate and thrive in environments with varying concentrations of salt, ranging from non-halophiles to extreme halophiles.		BioPortal-D3O
METPO:1000627	euryhaline	A halophily preference in which an organism can tolerate a wide range of salinity conditions.					NO_SOURCE
METPO:1000628	extremely halophilic	A halophily preference in which an organism requires very high salt concentrations (typically 15-30% NaCl or higher) for optimal growth and cannot grow at salt concentrations below approximately 12%.	http://purl.obolibrary.org/obo/ENVO_00002024	obsolete haline habitat	A habitat characterized by a concentration of salt at least 2M. Inhabited by halophilic organisms.		OLS
METPO:1000628	extremely halophilic	A halophily preference in which an organism requires very high salt concentrations (typically 15-30% NaCl or higher) for optimal growth and cannot grow at salt concentrations below approximately 12%.	http://purl.obolibrary.org/obo/MICRO_0001314	halophilic	Salinity optimum quality, where growth rates at elevated salt concentrations are higher than growth rates at lower salt concentrations. 		OLS
METPO:1000628	extremely halophilic	A halophily preference in which an organism requires very high salt concentrations (typically 15-30% NaCl or higher) for optimal growth and cannot grow at salt concentrations below approximately 12%.	http://purl.obolibrary.org/obo/OMP_0005016	halophilic growth	A solute and water activity phenotype where growth and proliferation requires high levels of sodium chloride, usually above or about 0.2 M.		OLS
METPO:1000629	halophily preference	A phenotype that is relating to an organism's salt concentration requirements or tolerance for growth.	http://purl.obolibrary.org/obo/OMP_0005016	halophilic growth	A solute and water activity phenotype where growth and proliferation requires high levels of sodium chloride, usually above or about 0.2 M.		OLS
METPO:1000629	halophily preference	A phenotype that is relating to an organism's salt concentration requirements or tolerance for growth.	https://purl.dsmz.de/schema/SaltTolerance	Salt Tolerance	The ability of an organism to tolerate and thrive in environments with varying concentrations of salt, ranging from non-halophiles to extreme halophiles.		BioPortal-D3O
METPO:1000630	biological process	A execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.					NO_SOURCE
METPO:1000631	trophic type	A phenotype that is describing how an organism obtains carbon and energy for growth and metabolism.	http://purl.obolibrary.org/obo/PATO_0000001	quality	A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities		OLS
METPO:1000632	autotrophic	A trophic type in which an organism produces organic compounds from inorganic carbon sources (primarily carbon dioxide or bicarbonate) using energy from light (photoautotrophy) or from the oxidation of inorganic compounds (chemoautotrophy).	http://purl.obolibrary.org/obo/ECOCORE_00000009	autotrophy	A trophic process during which a living entity acquires energy and generates biomass from non-living entities.		OLS
METPO:1000632	autotrophic	A trophic type in which an organism produces organic compounds from inorganic carbon sources (primarily carbon dioxide or bicarbonate) using energy from light (photoautotrophy) or from the oxidation of inorganic compounds (chemoautotrophy).	http://purl.obolibrary.org/obo/MICRO_0001456	autotrophic	A prokaryotic metabolic quality where carbon dioxide is the source of carbon.		OLS
METPO:1000633	carboxydotrophic	A trophic type in which an organism derives energy from the oxidation of carbon monoxide.					NO_SOURCE
METPO:1000634	chemoautolithotrophic	A trophic type in which an organism uses chemical oxidation of inorganic compounds as the energy source and carbon dioxide as the primary carbon source for biosynthesis.	http://purl.obolibrary.org/obo/ECOCORE_00000123	chemoorganoautotroph	A chemoautotroph which is capable of using a biogenic organic compound as an electron donor.		OLS
METPO:1000634	chemoautolithotrophic	A trophic type in which an organism uses chemical oxidation of inorganic compounds as the energy source and carbon dioxide as the primary carbon source for biosynthesis.	http://purl.obolibrary.org/obo/ECOCORE_00000124	chemolithoautotroph	A chemoautotroph which is capable of using an abiogenic organic compound as an electron donor.		OLS
METPO:1000634	chemoautolithotrophic	A trophic type in which an organism uses chemical oxidation of inorganic compounds as the energy source and carbon dioxide as the primary carbon source for biosynthesis.	http://purl.obolibrary.org/obo/ECOCORE_00000129	chemoautotroph	An autotroph which is capable of obtaining energy from the bonds in a chemical compound.		OLS
METPO:1000634	chemoautolithotrophic	A trophic type in which an organism uses chemical oxidation of inorganic compounds as the energy source and carbon dioxide as the primary carbon source for biosynthesis.	http://purl.obolibrary.org/obo/OMP_0007110	chemolithotrophic	A chemotrophic phenotype where energy is obtained from the oxidation of inorganic chemicals.		OLS
METPO:1000634	chemoautolithotrophic	A trophic type in which an organism uses chemical oxidation of inorganic compounds as the energy source and carbon dioxide as the primary carbon source for biosynthesis.	http://purl.obolibrary.org/obo/OMP_0007111	chemoorganotrophic	A chemotrophic phenotype where energy is derived from the oxidation of organic molecules.	organotroph	OLS
METPO:1000635	chemoautotrophic	A trophic type in which an organism obtains energy from oxidation of inorganic compounds and carbon from carbon dioxide.	http://purl.obolibrary.org/obo/ECOCORE_00000123	chemoorganoautotroph	A chemoautotroph which is capable of using a biogenic organic compound as an electron donor.		OLS
METPO:1000635	chemoautotrophic	A trophic type in which an organism obtains energy from oxidation of inorganic compounds and carbon from carbon dioxide.	http://purl.obolibrary.org/obo/ECOCORE_00000129	chemoautotroph	An autotroph which is capable of obtaining energy from the bonds in a chemical compound.		OLS
METPO:1000635	chemoautotrophic	A trophic type in which an organism obtains energy from oxidation of inorganic compounds and carbon from carbon dioxide.	http://purl.obolibrary.org/obo/MICRO_0001480	chemoorganoautotrophic	A prokaryotic metabolic quality where the oxidation and reduction of chemical compounds is the energy source, the electron donor is an organic compound, and the carbon source is carbon dioxide.		OLS
METPO:1000635	chemoautotrophic	A trophic type in which an organism obtains energy from oxidation of inorganic compounds and carbon from carbon dioxide.	http://purl.obolibrary.org/obo/OMP_0007110	chemolithotrophic	A chemotrophic phenotype where energy is obtained from the oxidation of inorganic chemicals.		OLS
METPO:1000635	chemoautotrophic	A trophic type in which an organism obtains energy from oxidation of inorganic compounds and carbon from carbon dioxide.	http://purl.obolibrary.org/obo/OMP_0007111	chemoorganotrophic	A chemotrophic phenotype where energy is derived from the oxidation of organic molecules.	organotroph	OLS
