metpo_id	metpo_label	source	definition	definition_length	source_iri	source_ontology	source_label	match_type	confidence	quality_label	quality_score	total_score
METPO:1000476	pH delta mid2	api_search	Any process that increases the internal pH of an organism, part of an organism or a cell, measured by the concentration of the hydrogen ion.	140	http://purl.obolibrary.org/obo/GO_0045852	go	pH elevation	closeMatch	0.56	good	7	8.120000000000001
METPO:1000480	NaCl delta mid1	api_search	A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.	184	http://purl.obolibrary.org/obo/ENVO_00000101	envo	delta	closeMatch	0.5	excellent	9	10.0
METPO:1000481	NaCl delta mid2	api_search	A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.	184	http://purl.obolibrary.org/obo/ENVO_00000101	envo	delta	closeMatch	0.5	excellent	9	10.0
METPO:1000486	temperature delta mid2	api_search	A variability quality inhering in a bearer by virtue of the bearer's having or exhibiting variation of temperature.	115	http://purl.obolibrary.org/obo/PATO_0001314	pato	variant temperature	closeMatch	0.5365853658536586	excellent	9	10.073170731707318
METPO:1000525	microbe	sssom	A broad class encompassing microscopic organisms that can be single-celled or multicellular. Microorganisms include bacteria, archaea, fungi, and protists. They play a crucial role in ecosystems, health, and biotechnology.	222	<https://purl.dsmz.de/schema/Microorganism>	d3o	Microorganism	broadMatch	0.245304	excellent	9	9.490608
METPO:1000526	chemical entity	sssom	chemical entity; A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	150	http://purl.obolibrary.org/obo/CHEBI_24431	chebi	chemical entity	relatedMatch	0.672498	excellent	10	11.344996
METPO:1000531	pH phenotype with numerical limits	sssom	A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.	378	http://purl.obolibrary.org/obo/OMP_0005008	omp	pH effects on population growth phenotype	broadMatch	0.223336	excellent	10	10.446672
METPO:1000532	salinity phenotype with numerical limits	sssom	The highest concentration of salt in an environment that an organism can tolerate without experiencing significant physiological stress or mortality.	149	<https://purl.dsmz.de/schema/MaximumSalinity>	d3o	Maximum Salinity	broadMatch	0.200091	excellent	8	8.400182
METPO:1000536	optimum phenotype with numerical limits	api_search	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	https://purl.dsmz.de/schema/OptimumTemperature	D3O	Optimum Temperature	closeMatch	0.5172413793103448	excellent	9	10.03448275862069
METPO:1000601	oxygen preference	sssom	The ability of an organism to survive and grow in the presence or absence of oxygen, ranging from obligate aerobes to obligate anaerobes, as well as facultative anaerobes.	171	<https://purl.dsmz.de/schema/OxygenTolerance>	d3o	Oxygen Tolerance	broadMatch	0.200411	excellent	9	9.400822
METPO:1000602	aerobic	sssom	A quality inhering in a bearer by virtue of the bearer's dependence on oxygen.	78	http://purl.obolibrary.org/obo/PATO_0001455	pato	aerobic	broadMatch	0.411402	excellent	8	8.822804
METPO:1000604	microaerophilic	api_search	"An oxygen growth range phenotype where growth and reproduction requires oxygen but at levels below that found in air (approx. 21%).

A microbial phenotype that describes a microorganism that requires O2 for growth, but doesn't grow in the presence of atmospheric levels of O2. Optimal growth of a microaerophile occurs in environments with xx% - xx% O2."	353	http://purl.obolibrary.org/obo/OMP_0000171	omp	microaerophile	closeMatch	0.896551724137931	excellent	10	11.793103448275861
METPO:1000605	facultatively anaerobic	api_search	A quality inhering in a bearer by virtue of the bearer's independence on oxygen.	80	http://purl.obolibrary.org/obo/PATO_0001456	pato	anaerobic	closeMatch	0.5625	excellent	8	9.125
METPO:1000606	obligately aerobic	sssom	an anaerobe that cannot grow in the presence of oxygen	54	http://purl.obolibrary.org/obo/ECOCORE_00000178	ecocore	obligate anaerobe	broadMatch	0.425812	good	7	7.851624
METPO:1000607	obligately anaerobic	sssom	an anaerobe that cannot grow in the presence of oxygen	54	http://purl.obolibrary.org/obo/ECOCORE_00000178	ecocore	obligate anaerobe	broadMatch	0.606081	good	7	8.212162
METPO:1000608	facultatively aerobic	sssom	facultative aerobe; A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	184	<http://purl.obolibrary.org/obo/OMP_0000087>	omp	facultative anaerobe	broadMatch	0.366093	excellent	8	8.732186
METPO:1000609	aerotolerant	sssom	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth and doesn't utilize O2 even when it is present.	149	http://purl.obolibrary.org/obo/OMP_0000105	omp	aerotolerant anaerobe	broadMatch	0.385553	excellent	9	9.771106
METPO:1000610	microaerotolerant	sssom	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth and doesn't utilize O2 even when it is present.	149	http://purl.obolibrary.org/obo/OMP_0000105	omp	aerotolerant anaerobe	broadMatch	0.39842	excellent	9	9.79684
METPO:1000611	strictly anaerobic	api_search	A quality inhering in a bearer by virtue of the bearer's independence on oxygen.	80	http://purl.obolibrary.org/obo/PATO_0001456	pato	anaerobic	closeMatch	0.6666666666666667	excellent	8	9.333333333333334
METPO:1000612	facultative oxygen preference	api_search	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.	164	http://purl.obolibrary.org/obo/OMP_0000087	omp	facultative anaerobe	closeMatch	0.653061224489796	excellent	10	11.306122448979592
METPO:1000614	psychrophilic	sssom	A population growth phenotype where growth of a microbial population can occur at 0 C and optimal growth occurs at temperatures of 15 C or lower.	145	<http://purl.obolibrary.org/obo/OMP_0005007>	omp	psychrophile	broadMatch	0.576853	excellent	9	10.153706
METPO:1000615	mesophilic	api_search	A sulfur spring through which water at a temperature optimal for the growth of mesophillic microorganism (approximately 20 to 45 degrees Celsius) flows.	152	http://purl.obolibrary.org/obo/ENVO_00002128	envo	mesophilic sulfur spring	closeMatch	0.5882352941176471	excellent	9	10.176470588235293
METPO:1000616	thermophilic	sssom	Thermophile; A microbial organism that thrives at relatively high temperatures, between 45 and 122 C (113 and 252 F).	117	<http://purl.jp/bio/10/mpo#MPO_03001>	mpo	Thermophilic	broadMatch	0.497216	adequate	4	4.994432
METPO:1000617	hyperthermophilic	sssom	A population growth phenotype where optimal growth of a microbial population occurs between 85 C and 113 C.	107	<http://purl.obolibrary.org/obo/OMP_0005003>	omp	hyperthermophile	broadMatch	0.481567	excellent	9	9.963134
METPO:1000618	psychrotolerant	sssom	Psychrotrophic microbes are cold-tolerant bacteria or archaea that can grow or even thrive in a cold environment although their optimal growth temperatures are between above 15 C and below 20 C. Their maximal growth temperatures are below 20 C.	244	<http://purl.jp/bio/10/mpo#MPO_03019>	mpo	Psychrotrophile	broadMatch	0.294486	good	5	5.588972
METPO:1000619	thermotolerant	sssom	The ability to survive a period of exposure to extremely high temperature (heat shock).	87	http://purl.obolibrary.org/obo/APO_0000093	apo	thermotolerance	broadMatch	0.459573	good	6	6.919146
METPO:1000621	haloalkaliphilic	sssom	Basophile; Alkalophile; Alkaliphile; Alkalinophile	50	<http://purl.jp/bio/10/mpo#MPO_03011>	mpo	Alkaliphilic	broadMatch	0.317808	adequate	3	3.6356159999999997
METPO:1000622	halotolerant	sssom	an anaerobe that can tolerate low levels of oxygen	50	http://purl.obolibrary.org/obo/ECOCORE_00000181	ecocore	aerotolerant anaerobe	broadMatch	0.219232	good	7	7.438464
METPO:1000624	non halophilic	api_search	A solute and water activity phenotype where growth and proliferation requires high levels of sodium chloride, usually above or about 0.2 M.	139	http://purl.obolibrary.org/obo/OMP_0005016	omp	halophilic growth	closeMatch	0.6451612903225806	excellent	9	10.290322580645162
METPO:1000630	biological process	sssom	biological process; physiological process; Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end.; Note that, in addition to forming the root of the biological process ontology, this term is recommended for use for the annotation of gene products whose biological process is unknown. Note that when this term is used for annotation, it indicates that no information was available about the biological process of the gene product annotated as of the date the annotation was made; the evidence code ND, no data, is used to indicate this.	681	http://purl.obolibrary.org/obo/GO_0008150	omp	biological_process	broadMatch	0.516014	excellent	10	11.032028
METPO:1000631	trophic type	sssom	A symbiotrophic process during which a living entity acquires food and energy from another living entity via a close association. The entity providing the food and energy is harmed by this process.	197	http://purl.obolibrary.org/obo/ECOCORE_00000147	ecocore	trophic parasitism	broadMatch	0.211449	excellent	9	9.422898
METPO:1000632	autotrophic	sssom	A function which inheres in a living entity by virtue of that entity being able to harvest energy and create biomass from non-living materials.	143	http://purl.obolibrary.org/obo/ECOCORE_00000006	ecocore	autotrophic function	broadMatch	0.334521	excellent	8	8.669042
METPO:1000634	chemoautolithotrophic	sssom	A chemoautotroph which is capable of using a biogenic organic compound as an electron donor.	92	http://purl.obolibrary.org/obo/ECOCORE_00000123	ecocore	chemoorganoautotroph	broadMatch	0.50141	good	7	8.00282
METPO:1000635	chemoautotrophic	sssom	A chemoautotroph which is capable of using a biogenic organic compound as an electron donor.	92	http://purl.obolibrary.org/obo/ECOCORE_00000123	ecocore	chemoorganoautotroph	broadMatch	0.555897	good	7	8.111794
METPO:1000636	chemoheterotrophic	sssom	A chemoheterotroph which is capable of using an abiogenic organic compound as an electron donor.	96	http://purl.obolibrary.org/obo/ECOCORE_00000128	ecocore	chemolithoheterotroph	broadMatch	0.480394	good	7	7.960788
METPO:1000637	chemolithoautotrophic	sssom	A chemoautotroph which is capable of using an abiogenic organic compound as an electron donor.	94	http://purl.obolibrary.org/obo/ECOCORE_00000124	ecocore	chemolithoautotroph	broadMatch	0.595565	good	7	8.19113
METPO:1000638	chemolithoheterotrophic	sssom	A chemoheterotroph which is capable of using an abiogenic organic compound as an electron donor.	96	http://purl.obolibrary.org/obo/ECOCORE_00000128	ecocore	chemolithoheterotroph	broadMatch	0.556067	good	7	8.112134
METPO:1000639	chemolithotrophic	sssom	A chemotrophic phenotype where energy is obtained from the oxidation of inorganic chemicals.	92	http://purl.obolibrary.org/obo/OMP_0007110	omp	chemolithotrophic	broadMatch	0.466618	excellent	8	8.933236
METPO:1000640	chemoorganoheterotrophic	sssom	A chemoheterotroph which is capable of using a biogenic organic compound as an electron donor.	94	http://purl.obolibrary.org/obo/ECOCORE_00000127	ecocore	chemoorganoheterotroph	broadMatch	0.58284	good	7	8.16568
METPO:1000644	heterotrophic	sssom	A function which inheres in a living entity by virtue of that entity being able to feed on living or once-living (dead) material.	129	http://purl.obolibrary.org/obo/ECOCORE_00000005	ecocore	heterotrophic function	broadMatch	0.367424	excellent	8	8.734848
METPO:1000646	hydrogenotrophic	api_search	The rate of methane production through hydrogenotrophic methanogenesis, where methanogens use hydrogen and carbon dioxide as substrates. This pathway represents one of the two main routes of biological methane formation in anaerobic environments, and is particularly important in freshwater wetlands and rice paddies where hydrogen availability can limit methanogenic activity.	377	https://w3id.org/bervo/BERVO_0000961	BERVO	Hydrogenotrophic methane production rate	closeMatch	0.5714285714285714	good	6	7.142857142857142
METPO:1000649	lithotrophic	api_search	The processes by which organisms use simple inorganic substances such as gaseous or dissolved carbon dioxide and inorganic nitrogen as nutrient sources. Contrasts with heterotrophic processes which make use of organic materials as the nutrient supply source. Autotrophs can be either chemoautotrophs (or chemolithotrophs), largely ARCHAEA and BACTERIA, which also use simple inorganic substances for their metabolic energy reguirements; or photoautotrophs (or photolithotrophs), such as PLANTS and CYANOBACTERIA, which derive their energy from light. Depending on environmental conditions some organisms can switch between different nutritional modes (autotrophy; HETEROTROPHY; chemotrophy; or PHOTOTROPHY) to utilize different sources to meet their nutrient and energy requirements.	783	http://id.nlm.nih.gov/mesh/D052818	mesh	Autotrophic Processes	closeMatch	0.5454545454545454	good	7	8.09090909090909
METPO:1000652	mixotrophic	api_search	A metabolic phenotype where an organism can switch between using different sources of energy instead of having a single trophic mode. For example, an organism may switch between phototrophic and chemoorganotrophic growth.	221	http://purl.obolibrary.org/obo/OMP_0007851	omp	mixotrophic energy metabolism	closeMatch	0.55	excellent	10	11.1
METPO:1000654	oligotrophic	sssom	A lake which has nutrient-poor water.	37	http://purl.obolibrary.org/obo/ENVO_01000774	envo	oligotrophic lake	broadMatch	0.513284	good	6	7.026568
METPO:1000655	organotrophic	sssom	A trophic process during which a living entity acquires reducing equivalents from organic chemicals for use in biosynthesis or energy conservation via aerobic or anaerobic respiration.	184	http://purl.obolibrary.org/obo/ECOCORE_00000162	ecocore	organotrophy	broadMatch	0.392718	excellent	9	9.785436
METPO:1000659	photoorganoheterotrophic	sssom	A photoheterotroph which is capable of using a biogenic organic compound as an electron donor.	94	http://purl.obolibrary.org/obo/ECOCORE_00000125	ecocore	photoorganoheterotroph	broadMatch	0.575627	good	7	8.151254
METPO:1000663	chemoorganotrophic	sssom	organotroph; A chemotrophic phenotype where energy is derived from the oxidation of organic molecules.	102	http://purl.obolibrary.org/obo/OMP_0007111	omp	chemoorganotrophic	broadMatch	0.527498	good	7	8.054996
METPO:1000666	cell shape	sssom	The physical shape of a microorganism's cell, such as rod-shaped (bacillus), spherical (coccus), or spiral-shaped (spirillum). Cell shape is an important taxonomic characteristic.	179	<https://purl.dsmz.de/schema/CellShape>	d3o	Cell Shape	broadMatch	0.318258	excellent	9	9.636516
METPO:1000667	bacillus shaped	sssom	bacillus; A cylindrical cell phenotype where an organism has rod-shaped cells.	78	http://purl.obolibrary.org/obo/OMP_0000076	omp	rod-shaped cells	broadMatch	0.291559	good	6	6.583118
METPO:1000668	coccus shaped	sssom	A cell shape phenotype where a cell is intermediate in shape between a coccus (sphere) and a bacillus (rod).	108	http://purl.obolibrary.org/obo/OMP_0000123	omp	coccobacillus cell shape	broadMatch	0.280967	excellent	9	9.561934
METPO:1000669	crescent shaped	sssom	crescentic; bow-shaped; lunate; A shape quality inhering in a circular disk by virtue of the bearer's having a segment of another circle removed from its edge, so that what remains is a shape enclosed by two circular arcs of different diameters which intersect at two points (usually in such a manner that the enclosed shape does not include the center of the original circle).	377	http://purl.obolibrary.org/obo/PATO_0001870	pato	crescent-shaped	broadMatch	0.376388	excellent	10	10.752776
METPO:1000671	diplococcus shaped	sssom	A cell arrangement phenotype where an organism forms pairs of coccus cells, which arise from a division event in one plane.	123	<http://purl.obolibrary.org/obo/OMP_0000117>	omp	diplococcus	broadMatch	0.392774	excellent	9	9.785548
METPO:1000672	dumbbell shaped	api_search	A convex 3-D shape quality inhering in a bearer by virtue of the bearer's exhibiting a by virtue of the bearer's exhibiting a consistently sized and approximately round cross-section along its length, which is many times larger than its diameter.	246	http://purl.obolibrary.org/obo/PATO_0002309	pato	fiber shaped	closeMatch	0.6666666666666667	excellent	10	11.333333333333334
METPO:1000673	ellipsoidal	sssom	ellipse-shaped; ellipsoid; elliptical; oval; ovoid; A spheroid quality inhering in a bearer by virtue of the bearer's being oval with two axes of symmetry, as produced by a conical section.	189	http://purl.obolibrary.org/obo/PATO_0000947	go	elliptic	broadMatch	0.296385	excellent	8	8.59277
METPO:1000675	flask shaped	sssom	Flask; flask; A container with a base wider than the narrow neck traditionally used for holding liquids.	104	http://purl.obolibrary.org/obo/NCIT_C96144	mco	flask	broadMatch	0.464021	adequate	3	3.928042
METPO:1000676	helical shaped	sssom	spiral; helical; helicoid; helicoidal; helix-shaped; A shape quality inhering in a bearer by virtue of the bearer's being curled or wound (especially in concentric rings or spirals).	182	http://purl.obolibrary.org/obo/PATO_0000404	pato	coiled	broadMatch	0.361199	excellent	8	8.722398
METPO:1000677	ovoid shaped	sssom	A spheroid quality inhering in a bearer by virtue of the bearer's exhibiting a shape not quite ovoid. approximately ovoid.	122	http://purl.obolibrary.org/obo/PATO_0002537	pato	subovoid	broadMatch	0.277007	excellent	9	9.554014
METPO:1000678	oval shaped	api_search	An angular shape quality inhering in a bearer by virtue of the bearer's having a single angle in its length giving the bearer the form of the letter V.	151	http://purl.obolibrary.org/obo/PATO_0002224	pato	V-shaped	closeMatch	0.736842105263158	excellent	10	11.473684210526315
METPO:1000679	pleomorphic shaped	sssom	A shape quality inhering in a cell by virtue of the bearer's ability to take on two or more different shapes during its life cycle.	131	http://purl.obolibrary.org/obo/PATO_0001356	pato	pleomorphic	broadMatch	0.628677	excellent	9	10.257354
METPO:1000680	ring shaped	sssom	A shape quality inhering in a bearer by virtue of the bearer's having a shape like a ring (a circular shape enclosing a space).	127	http://purl.obolibrary.org/obo/PATO_0002539	micro	ring shaped	broadMatch	0.436284	excellent	8	8.872568
METPO:1000681	rod shaped	sssom	rod-like; rod-shaped; tubulate	30	http://purl.obolibrary.org/obo/PATO_0001873	upheno	cylindrical	broadMatch	0.204055	adequate	4	4.40811
METPO:1000683	sphere shaped	sssom	globular; rotund; A spheroid quality inhering in a bearer by virtue of the bearer's resembling a ball (a sphere whose equatorial diameter is equal to the polar diameter).	170	http://purl.obolibrary.org/obo/PATO_0001499	omp	spherical	broadMatch	0.215747	excellent	8	8.431494
METPO:1000684	spiral shaped	sssom	A spiral cell shape phenotype where a cell forms a rigid spiral.	64	http://purl.obolibrary.org/obo/OMP_0000124	omp	spirillum	broadMatch	0.349115	excellent	8	8.69823
METPO:1000685	star shaped	api_search	A shape quality inhering in a bearer by virtue of the bearer's being arranged like rays or radii; radiating from a common center.	129	http://purl.obolibrary.org/obo/PATO_0002065	pato	star shaped	exactMatch	1.0	excellent	9	11.0
METPO:1000686	vibrio shaped	sssom	A spiral cell shape phenotype where a rod-shaped cell is curved to form a comma-like shape or incomplete spiral.	112	<http://purl.obolibrary.org/obo/OMP_0000077>	omp	vibrio	broadMatch	0.474851	excellent	9	9.949702
METPO:1000688	coccobacillus shaped	sssom	A cell shape phenotype where a cell is intermediate in shape between a coccus (sphere) and a bacillus (rod).	108	<http://purl.obolibrary.org/obo/OMP_0000123>	omp	coccobacillus cell shape	broadMatch	0.522547	excellent	9	10.045094
METPO:1000689	disc shaped	sssom	disc-shaped; disk-shaped; A shape quality inhering in a bearer by virtue of the bearer's being cylindrical, in which the height is less than the diameter.	154	http://purl.obolibrary.org/obo/PATO_0001874	pato	discoid	broadMatch	0.249251	excellent	8	8.498502
METPO:1000690	fusiform shaped	sssom	Having a spindle-like shape that is wide in the middle and tapers at both ends.	79	http://purl.obolibrary.org/obo/PATO_0002400	pato	fusiform	broadMatch	0.643251	good	6	7.2865020000000005
METPO:1000691	irregular shaped	sssom	A shape quality inhering on a bearer by virtue of a bearer's shape lacking in pattern or uniformity; for example, it may have sides of different lengths, different curvatures, or unequal angles.	194	http://purl.obolibrary.org/obo/PATO_0005020	pato	irregularly shaped	broadMatch	0.470952	excellent	10	10.941904
METPO:1000693	spirochete shaped	sssom	A spiral cell shape phenotype where a cell forms a flexible spiral.	67	<http://purl.obolibrary.org/obo/OMP_0000125>	omp	spirochete	broadMatch	0.53469	excellent	8	9.06938
METPO:1000694	square shaped	sssom	square face shape; square faces; square facial shape	52	http://purl.obolibrary.org/obo/MP_0030073	upheno	square face	broadMatch	0.207746	good	5	5.415492
METPO:1000695	tailed shaped	api_search	A convex 3-D shape quality inhering in a bearer by virtue of the bearer's exhibiting a by virtue of the bearer's exhibiting a consistently sized and approximately round cross-section along its length, which is many times larger than its diameter.	246	http://purl.obolibrary.org/obo/PATO_0002309	pato	fiber shaped	closeMatch	0.72	excellent	10	11.44
METPO:1000696	triangular shaped	api_search	A shape quality inhering in a bearer by virtue of the bearer's being shaped like a lance-head, considerably longer than wide, tapering towards the tip from below the middle together forming three angles; attached at the broad end.	230	http://purl.obolibrary.org/obo/PATO_0002338	pato	lanceolate-triangular	closeMatch	0.5263157894736843	excellent	10	11.052631578947368
METPO:1000697	gram stain	sssom	A cell staining phenotype where microorganisms are grouped based on their ability to retain crystal violet stain when decolorized with an organic solvent such as ethanol.	170	<http://purl.obolibrary.org/obo/OMP_0000191>	omp	gram stain phenotype	broadMatch	0.374132	excellent	10	10.748264
METPO:1000698	gram positive	sssom	Bacteria that retain the crystal violet stain used in Gram staining. Gram-positive bacteria have a thick peptidoglycan layer in their cell walls.	145	<https://purl.dsmz.de/schema/GramPositiveBacteria>	d3o	Gram Positive Bacteria	broadMatch	0.285601	good	6	6.5712019999999995
METPO:1000699	gram negative	sssom	A gram stain phenotype where a cell or cells do not retain crystal violet stain when decolorized with an organic solvent such as ethanol.	137	http://purl.obolibrary.org/obo/OMP_0000189	omp	gram negative	broadMatch	0.225061	excellent	9	9.450122
METPO:1000701	motility	api_search	The spontaneous peristaltic movements of the stomach that aid in digestion, moving food through the stomach and out through the pyloric sphincter into the duodenum.	164	http://purl.obolibrary.org/obo/GO_0035482	go	gastric motility	closeMatch	0.6666666666666667	excellent	10	11.333333333333334
METPO:1000702	motile	sssom	A sperm cell that is cabaple of motion (motility).	50	http://purl.obolibrary.org/obo/CL_0011013	go	motile sperm cell	broadMatch	0.466956	excellent	8	8.933912
METPO:1000703	non motile	sssom	A sperm cell that is not cabaple of motion (motility).	54	http://purl.obolibrary.org/obo/CL_0011014	go	non-motile sperm cell	broadMatch	0.323698	excellent	8	8.647396
METPO:1000704	flagellated	sssom	A motile sperm cell that contains a slender threadlike microscopic appendage that enables motion.	97	http://purl.obolibrary.org/obo/CL_0011016	go	flagellated sperm cell	broadMatch	0.427634	excellent	8	8.855268
METPO:1000706	gliding	sssom	cell gliding motility; Cell motility that results in the smooth movement of a cell along a solid surface.	105	http://purl.obolibrary.org/obo/GO_0071976	go	cell gliding	broadMatch	0.24334	good	7	7.48668
METPO:1000721	extreme hyperthermophilic	sssom	A habitat characterized by an average temperature of at least 80deg C. Inhabited by hyperthermophilic organisms.	112	http://purl.obolibrary.org/obo/ENVO_00002027	envo	obsolete extreme high temperature habitat	broadMatch	0.499491	excellent	8	8.998982
METPO:1000731	nutrient adaptation	sssom	A nutrient utilization phenotype concerning the uptake of one or more nutrients from the environment.	101	<http://purl.obolibrary.org/obo/OMP_0007007>	omp	nutrient import phenotype	broadMatch	0.206207	excellent	9	9.412414
METPO:1000800	respiration	sssom	breathing organ; respiratory organ; gas exchange organ	54	http://purl.obolibrary.org/obo/UBERON_0000171	upheno	respiration organ	broadMatch	0.256261	good	5	5.512522
METPO:1000801	Aerobic respiration	sssom	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.	161	http://purl.obolibrary.org/obo/GO_0009060	go	aerobic respiration	broadMatch	0.379216	excellent	10	10.758431999999999
METPO:1000802	Anaerobic respiration	api_search	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which uses compounds other than oxygen (e.g. nitrate, sulfate) as the terminal electron acceptor.	202	http://purl.obolibrary.org/obo/GO_0009061	go	anaerobic respiration	exactMatch	1.0	excellent	10	12.0
METPO:1000803	Oxidative phosphorylation	api_search	The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis.	242	http://purl.obolibrary.org/obo/GO_0006119	go	oxidative phosphorylation	exactMatch	1.0	excellent	10	12.0
METPO:1000805	Electron transfer	sssom	A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors.	156	http://purl.obolibrary.org/obo/GO_0022900	go	electron transport chain	broadMatch	0.212806	excellent	10	10.425612
METPO:1000844	Methanogenesis	sssom	methane biosynthesis from methanol; methane biosynthetic process from methanol; The formation of methane, a colorless, odorless, flammable gas with the formula CH4, from other components, including methanol.	207	http://purl.obolibrary.org/obo/GO_0019387	micro	methanogenesis, from methanol	broadMatch	0.386095	good	7	7.77219
