metpo_id	metpo_label	metpo_definition	source_iri	source_label	source_definition	label_similarity	issues	source_api
METPO:1000605	facultatively anaerobic	An oxygen preference in which growth can occur with or without molecular oxygen (O₂).	http://purl.obolibrary.org/obo/OMP_0000087	facultative anaerobe	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growt...	0.88	LABEL_NOT_IN_DEF	OLS
METPO:1000607	obligately anaerobic	An oxygen preference in which molecular oxygen (O₂) inhibits or prevents growth.	http://purl.obolibrary.org/obo/MICRO_0000504	obligately anaerobic	A prokaryotic metabolic quality where the organism grows in the absence of oxygen.  Cannot grow or l...	1.00	OPPOSITE_MEANING:aerobic_vs_anaerobic	OLS
METPO:1000608	facultatively aerobic	An oxygen preference in which growth can occur without oxygen but is capable of aerobic growth.	http://purl.obolibrary.org/obo/ECOCORE_00000177	facultative anaerobe	an anaerobe that makes ATP by aerobic respiration if oxygen is present, but is capable of switching ...	0.83	LABEL_NOT_IN_DEF	OLS
METPO:1000608	facultatively aerobic	An oxygen preference in which growth can occur without oxygen but is capable of aerobic growth.	http://purl.obolibrary.org/obo/ECOCORE_00000178	obligate anaerobe	an anaerobe that cannot grow in the presence of oxygen	0.53	LABEL_NOT_IN_DEF|OPPOSITE_MEANING:facultative_vs_obligate	OLS
METPO:1000608	facultatively aerobic	An oxygen preference in which growth can occur without oxygen but is capable of aerobic growth.	http://purl.obolibrary.org/obo/ECOCORE_00000179	obligate aerobe	an aerobe that requires oxygen to grow	0.56	LABEL_NOT_IN_DEF|OPPOSITE_MEANING:facultative_vs_obligate	OLS
METPO:1000608	facultatively aerobic	An oxygen preference in which growth can occur without oxygen but is capable of aerobic growth.	http://purl.obolibrary.org/obo/MICRO_0000503	facultatively anaerobic	A prokaryotic metabolic quality where the organism grows in the presence of oxygen or in the absence...	0.95	LABEL_NOT_IN_DEF|OPPOSITE_MEANING:aerobic_vs_anaerobic	OLS
METPO:1000608	facultatively aerobic	An oxygen preference in which growth can occur without oxygen but is capable of aerobic growth.	http://purl.obolibrary.org/obo/OMP_0000087	facultative anaerobe	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growt...	0.83	LABEL_NOT_IN_DEF	OLS
METPO:1000610	microaerotolerant	An oxygen preference that tolerates low levels of molecular oxygen (O₂) without requiring it.	http://purl.obolibrary.org/obo/ECOCORE_00000180	microaerophile	an aerobe that can grow at oxygen levels lower than what is present in the atmosphere	0.71	LABEL_NOT_IN_DEF	OLS
METPO:1000610	microaerotolerant	An oxygen preference that tolerates low levels of molecular oxygen (O₂) without requiring it.	http://purl.obolibrary.org/obo/ECOCORE_00000181	aerotolerant anaerobe	an anaerobe that can tolerate low levels of oxygen	0.63	LABEL_NOT_IN_DEF	OLS
METPO:1000610	microaerotolerant	An oxygen preference that tolerates low levels of molecular oxygen (O₂) without requiring it.	http://purl.obolibrary.org/obo/OMP_0000087	facultative anaerobe	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growt...	0.32	LABEL_NOT_IN_DEF	OLS
METPO:1000610	microaerotolerant	An oxygen preference that tolerates low levels of molecular oxygen (O₂) without requiring it.	http://purl.obolibrary.org/obo/OMP_0000105	aerotolerant anaerobe	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growt...	0.63	LABEL_NOT_IN_DEF	OLS
METPO:1000611	strictly anaerobic	An obligately anaerobic where a microorganism does not grow in the presence of oxygen gas (O2).	http://purl.obolibrary.org/obo/OMP_0000184	obligate anaerobe	A microbial phenotype that describes a microorganism that does not grow in the presence of oxygen ga...	0.51	LABEL_NOT_IN_DEF	OLS
METPO:1000612	facultative oxygen preference	An oxygen preference that describes a microorganism that can grow with or without molecular oxygen.	http://purl.obolibrary.org/obo/OMP_0000087	facultative anaerobe	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growt...	0.65	LABEL_NOT_IN_DEF	OLS
METPO:1000612	facultative oxygen preference	An oxygen preference that describes a microorganism that can grow with or without molecular oxygen.	http://purl.obolibrary.org/obo/OMP_0000185	obligate aerobe	A microbial phenotype that describes a microorganism that requires the presence of oxygen gas (O2) f...	0.36	LABEL_NOT_IN_DEF|OPPOSITE_MEANING:facultative_vs_obligate	OLS
METPO:1000613	temperature preference	A phenotype that describes characteristic growth with respect to environmental temperature.	http://purl.obolibrary.org/obo/OMP_0005002	temperature effects on population growth phenotype	A population growth range phenotype related to how growth of a microbial population is affected by t...	0.53	LABEL_NOT_IN_DEF|SOURCE_TOO_BROAD	OLS
METPO:1000613	temperature preference	A phenotype that describes characteristic growth with respect to environmental temperature.	http://purl.obolibrary.org/obo/UPHENO_0049885	response to temperature stimulus phenotype	Changed response to temperature stimulus.	0.50	LABEL_NOT_IN_DEF|SOURCE_TOO_BROAD	OLS
METPO:1000616	thermophilic	A temperature preference in which growth is favored at elevated temperatures, typically ≥45 °C.	http://purl.obolibrary.org/obo/OMP_0005003	hyperthermophile	A population growth phenotype where optimal growth of a microbial population occurs between 85 C and...	0.71	LABEL_NOT_IN_DEF	OLS
METPO:1000616	thermophilic	A temperature preference in which growth is favored at elevated temperatures, typically ≥45 °C.	http://purl.obolibrary.org/obo/OMP_0005004	thermophile	A population growth phenotype where growth of a microbial population can occur at 55 C or higher and...	0.87	LABEL_NOT_IN_DEF	OLS
METPO:1000617	hyperthermophilic	A temperature preference in which growth is favored at very high temperatures, typically ≥80 °C.	http://purl.obolibrary.org/obo/MICRO_0001538	hyperthermophile	Prokaryote specialized with respect to temperature, which grows optimally at elevated temperatures (...	0.91	LABEL_NOT_IN_DEF	OLS
METPO:1000618	psychrotolerant	A temperature preference in which growth can occur at low temperatures without an obligate low-tempe...	http://purl.obolibrary.org/obo/OMP_0005006	psychrotroph	A population growth phenotype where growth of a microbial population can occur between 0 to 7 degree...	0.67	LABEL_NOT_IN_DEF	OLS
METPO:1000618	psychrotolerant	A temperature preference in which growth can occur at low temperatures without an obligate low-tempe...	http://purl.obolibrary.org/obo/OMP_0005007	psychrophile	A population growth phenotype where growth of a microbial population can occur at 0 C and optimal gr...	0.67	LABEL_NOT_IN_DEF	OLS
METPO:1000620	halophilic	A halophily preference in which an organism requires high concentrations of salt for growth and surv...	http://purl.obolibrary.org/obo/ENVO_00002024	obsolete haline habitat	A habitat characterized by a concentration of salt at least 2M. Inhabited by halophilic organisms.	0.30	LABEL_NOT_IN_DEF	OLS
METPO:1000620	halophilic	A halophily preference in which an organism requires high concentrations of salt for growth and surv...	http://purl.obolibrary.org/obo/GO_0170002	halotropism	A sodium-specific negative tropism that is crucial for surviving and thriving under high salinity.	0.57	LABEL_NOT_IN_DEF	OLS
METPO:1000621	haloalkaliphilic	A halophily preference in which an organism requires both high salt concentrations and alkaline pH f...	http://purl.obolibrary.org/obo/MICRO_0001314	halophilic	Salinity optimum quality, where growth rates at elevated salt concentrations are higher than growth ...	0.77	LABEL_NOT_IN_DEF	OLS
METPO:1000621	haloalkaliphilic	A halophily preference in which an organism requires both high salt concentrations and alkaline pH f...	http://purl.obolibrary.org/obo/MICRO_0001392	hyperalkaliphile	Prokaryote specialized with respect to pH, which grows optimally at extremely alkaline pH values (pH...	0.69	LABEL_NOT_IN_DEF	OLS
METPO:1000621	haloalkaliphilic	A halophily preference in which an organism requires both high salt concentrations and alkaline pH f...	http://purl.obolibrary.org/obo/MICRO_0001554	hyperalkaliphilic	pH optimum quality, where growth rates at highly alkaline pH values (pH >10) are higher than growth ...	0.79	LABEL_NOT_IN_DEF	OLS
METPO:1000621	haloalkaliphilic	A halophily preference in which an organism requires both high salt concentrations and alkaline pH f...	http://purl.obolibrary.org/obo/OMP_0005011	alkaliphile	A population growth phenotype that applies to microorganisms whose optimal growth occurs between pH ...	0.74	LABEL_NOT_IN_DEF	OLS
METPO:1000623	moderately halophilic	A halophily preference where growth and proliferation requires high levels of sodium chloride, usual...	http://purl.obolibrary.org/obo/ENVO_00002024	obsolete haline habitat	A habitat characterized by a concentration of salt at least 2M. Inhabited by halophilic organisms.	0.45	LABEL_NOT_IN_DEF	OLS
METPO:1000623	moderately halophilic	A halophily preference where growth and proliferation requires high levels of sodium chloride, usual...	http://purl.obolibrary.org/obo/OMP_0005016	halophilic growth	A solute and water activity phenotype where growth and proliferation requires high levels of sodium ...	0.53	LABEL_NOT_IN_DEF	OLS
METPO:1000625	slightly halophilic	A halophily preference in which an organism requires low to moderate salt concentrations (0.3 to 0.8...	http://purl.obolibrary.org/obo/ENVO_00002024	obsolete haline habitat	A habitat characterized by a concentration of salt at least 2M. Inhabited by halophilic organisms.	0.43	LABEL_NOT_IN_DEF	OLS
METPO:1000625	slightly halophilic	A halophily preference in which an organism requires low to moderate salt concentrations (0.3 to 0.8...	http://purl.obolibrary.org/obo/OMP_0005016	halophilic growth	A solute and water activity phenotype where growth and proliferation requires high levels of sodium ...	0.56	LABEL_NOT_IN_DEF	OLS
METPO:1000626	stenohaline	A halophily preference in which an organism can only tolerate a narrow range of salinity concentrati...	http://purl.obolibrary.org/obo/ENVO_00002024	obsolete haline habitat	A habitat characterized by a concentration of salt at least 2M. Inhabited by halophilic organisms.	0.53	LABEL_NOT_IN_DEF	OLS
METPO:1000626	stenohaline	A halophily preference in which an organism can only tolerate a narrow range of salinity concentrati...	https://purl.dsmz.de/schema/SaltTolerance	Salt Tolerance	The ability of an organism to tolerate and thrive in environments with varying concentrations of sal...	0.40	LABEL_NOT_IN_DEF	BioPortal-D3O
METPO:1000628	extremely halophilic	A halophily preference in which an organism requires very high salt concentrations (typically 15-30%...	http://purl.obolibrary.org/obo/ENVO_00002024	obsolete haline habitat	A habitat characterized by a concentration of salt at least 2M. Inhabited by halophilic organisms.	0.42	LABEL_NOT_IN_DEF	OLS
METPO:1000628	extremely halophilic	A halophily preference in which an organism requires very high salt concentrations (typically 15-30%...	http://purl.obolibrary.org/obo/MICRO_0001314	halophilic	Salinity optimum quality, where growth rates at elevated salt concentrations are higher than growth ...	0.67	LABEL_NOT_IN_DEF	OLS
METPO:1000628	extremely halophilic	A halophily preference in which an organism requires very high salt concentrations (typically 15-30%...	http://purl.obolibrary.org/obo/OMP_0005016	halophilic growth	A solute and water activity phenotype where growth and proliferation requires high levels of sodium ...	0.54	LABEL_NOT_IN_DEF	OLS
METPO:1000629	halophily preference	A phenotype that is relating to an organism's salt concentration requirements or tolerance for growt...	http://purl.obolibrary.org/obo/OMP_0005016	halophilic growth	A solute and water activity phenotype where growth and proliferation requires high levels of sodium ...	0.54	LABEL_NOT_IN_DEF	OLS
METPO:1000629	halophily preference	A phenotype that is relating to an organism's salt concentration requirements or tolerance for growt...	https://purl.dsmz.de/schema/SaltTolerance	Salt Tolerance	The ability of an organism to tolerate and thrive in environments with varying concentrations of sal...	0.53	LABEL_NOT_IN_DEF	BioPortal-D3O
METPO:1000631	trophic type	A phenotype that is describing how an organism obtains carbon and energy for growth and metabolism.	http://purl.obolibrary.org/obo/PATO_0000001	quality	A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities	0.32	LABEL_NOT_IN_DEF|SOURCE_TOO_BROAD	OLS
METPO:1000634	chemoautolithotrophic	A trophic type in which an organism uses chemical oxidation of inorganic compounds as the energy sou...	http://purl.obolibrary.org/obo/ECOCORE_00000123	chemoorganoautotroph	A chemoautotroph which is capable of using a biogenic organic compound as an electron donor.	0.68	LABEL_NOT_IN_DEF	OLS
METPO:1000634	chemoautolithotrophic	A trophic type in which an organism uses chemical oxidation of inorganic compounds as the energy sou...	http://purl.obolibrary.org/obo/ECOCORE_00000124	chemolithoautotroph	A chemoautotroph which is capable of using an abiogenic organic compound as an electron donor.	0.75	LABEL_NOT_IN_DEF	OLS
METPO:1000634	chemoautolithotrophic	A trophic type in which an organism uses chemical oxidation of inorganic compounds as the energy sou...	http://purl.obolibrary.org/obo/ECOCORE_00000129	chemoautotroph	An autotroph which is capable of obtaining energy from the bonds in a chemical compound.	0.80	LABEL_NOT_IN_DEF	OLS
METPO:1000634	chemoautolithotrophic	A trophic type in which an organism uses chemical oxidation of inorganic compounds as the energy sou...	http://purl.obolibrary.org/obo/OMP_0007110	chemolithotrophic	A chemotrophic phenotype where energy is obtained from the oxidation of inorganic chemicals.	0.89	LABEL_NOT_IN_DEF	OLS
METPO:1000634	chemoautolithotrophic	A trophic type in which an organism uses chemical oxidation of inorganic compounds as the energy sou...	http://purl.obolibrary.org/obo/OMP_0007111	chemoorganotrophic	A chemotrophic phenotype where energy is derived from the oxidation of organic molecules.	0.72	LABEL_NOT_IN_DEF	OLS
METPO:1000635	chemoautotrophic	A trophic type in which an organism obtains energy from oxidation of inorganic compounds and carbon ...	http://purl.obolibrary.org/obo/ECOCORE_00000123	chemoorganoautotroph	A chemoautotroph which is capable of using a biogenic organic compound as an electron donor.	0.78	LABEL_NOT_IN_DEF	OLS
METPO:1000635	chemoautotrophic	A trophic type in which an organism obtains energy from oxidation of inorganic compounds and carbon ...	http://purl.obolibrary.org/obo/ECOCORE_00000129	chemoautotroph	An autotroph which is capable of obtaining energy from the bonds in a chemical compound.	0.93	LABEL_NOT_IN_DEF	OLS
METPO:1000635	chemoautotrophic	A trophic type in which an organism obtains energy from oxidation of inorganic compounds and carbon ...	http://purl.obolibrary.org/obo/MICRO_0001480	chemoorganoautotrophic	A prokaryotic metabolic quality where the oxidation and reduction of chemical compounds is the energ...	0.84	LABEL_NOT_IN_DEF	OLS
METPO:1000635	chemoautotrophic	A trophic type in which an organism obtains energy from oxidation of inorganic compounds and carbon ...	http://purl.obolibrary.org/obo/OMP_0007110	chemolithotrophic	A chemotrophic phenotype where energy is obtained from the oxidation of inorganic chemicals.	0.85	LABEL_NOT_IN_DEF	OLS
METPO:1000635	chemoautotrophic	A trophic type in which an organism obtains energy from oxidation of inorganic compounds and carbon ...	http://purl.obolibrary.org/obo/OMP_0007111	chemoorganotrophic	A chemotrophic phenotype where energy is derived from the oxidation of organic molecules.	0.82	LABEL_NOT_IN_DEF	OLS
METPO:1000636	chemoheterotrophic	A trophic type in which an organism obtains both energy and carbon from organic compounds.	http://purl.obolibrary.org/obo/ECOCORE_00000012	mixotroph	An organism which is capable of heterotrophic and autotrophic trophic processes.	0.52	LABEL_NOT_IN_DEF	OLS
METPO:1000636	chemoheterotrophic	A trophic type in which an organism obtains both energy and carbon from organic compounds.	http://purl.obolibrary.org/obo/ECOCORE_00000127	chemoorganoheterotroph	A chemoheterotroph which is capable of using a biogenic organic compound as an electron donor.	0.80	LABEL_NOT_IN_DEF	OLS
METPO:1000636	chemoheterotrophic	A trophic type in which an organism obtains both energy and carbon from organic compounds.	http://purl.obolibrary.org/obo/ECOCORE_00000132	chemoheterotroph	A heterotroph which is capable of obtaining energy from the bonds in a chemical compound.	0.94	LABEL_NOT_IN_DEF	OLS
METPO:1000636	chemoheterotrophic	A trophic type in which an organism obtains both energy and carbon from organic compounds.	http://purl.obolibrary.org/obo/OMP_0007110	chemolithotrophic	A chemotrophic phenotype where energy is obtained from the oxidation of inorganic chemicals.	0.80	LABEL_NOT_IN_DEF	OLS
METPO:1000636	chemoheterotrophic	A trophic type in which an organism obtains both energy and carbon from organic compounds.	http://purl.obolibrary.org/obo/OMP_0007111	chemoorganotrophic	A chemotrophic phenotype where energy is derived from the oxidation of organic molecules.	0.78	LABEL_NOT_IN_DEF	OLS
METPO:1000637	chemolithoautotrophic	A trophic type in which an organism obtains energy from oxidation of inorganic compounds (lithotroph...	http://purl.obolibrary.org/obo/MICRO_0000511	chemolithoautotrophy	A prokaryotic respiratory metabolic process where the oxidation and reduction of chemical compounds ...	0.93	LABEL_NOT_IN_DEF	OLS
METPO:1000638	chemolithoheterotrophic	A trophic type characterized by the use of inorganic chemical compounds as electron donors for energ...	http://purl.obolibrary.org/obo/MICRO_0000512	chemolithoheterotrophy	A prokaryotic respiratory metabolic process where the oxidation and reduction of chemical compounds ...	0.93	LABEL_NOT_IN_DEF	OLS
METPO:1000639	chemolithotrophic	A trophic type characterized by the use of inorganic chemical compounds as electron donors and carbo...	http://purl.obolibrary.org/obo/MICRO_0001499	chemolithotroph	A prokaryote capable of carrying out the role of chemolithotrophy, where the oxidation and reduction...	0.94	LABEL_NOT_IN_DEF	OLS
METPO:1000640	chemoorganoheterotrophic	A trophic type in which an organism obtains both energy and carbon from organic compounds through ox...	http://purl.obolibrary.org/obo/ECOCORE_00000127	chemoorganoheterotroph	A chemoheterotroph which is capable of using a biogenic organic compound as an electron donor.	0.96	LABEL_NOT_IN_DEF	OLS
METPO:1000640	chemoorganoheterotrophic	A trophic type in which an organism obtains both energy and carbon from organic compounds through ox...	http://purl.obolibrary.org/obo/MICRO_0000514	chemoorganoheterotrophy	A prokaryotic respiratory metabolic process where the oxidation and reduction of chemical compounds ...	0.94	LABEL_NOT_IN_DEF	OLS
METPO:1000640	chemoorganoheterotrophic	A trophic type in which an organism obtains both energy and carbon from organic compounds through ox...	http://purl.obolibrary.org/obo/MICRO_0001479	chemoorganotrophic	A prokaryotic metabolic quality where the oxidation and reduction of chemical compounds is the energ...	0.86	LABEL_NOT_IN_DEF	OLS
METPO:1000640	chemoorganoheterotrophic	A trophic type in which an organism obtains both energy and carbon from organic compounds through ox...	http://purl.obolibrary.org/obo/OMP_0007111	chemoorganotrophic	A chemotrophic phenotype where energy is derived from the oxidation of organic molecules.	0.86	LABEL_NOT_IN_DEF	OLS
METPO:1000647	lithoautotrophic	A trophic type in which an organism obtains energy from inorganic electron donors and carbon from ca...	http://purl.obolibrary.org/obo/ECOCORE_00000009	autotrophy	A trophic process during which a living entity acquires energy and generates biomass from non-living...	0.69	LABEL_NOT_IN_DEF	OLS
METPO:1000647	lithoautotrophic	A trophic type in which an organism obtains energy from inorganic electron donors and carbon from ca...	http://purl.obolibrary.org/obo/ECOCORE_00000014	lithotrophy	A trophic process during which a living entity acquires reducing equivalents from inorganic chemical...	0.74	LABEL_NOT_IN_DEF	OLS
METPO:1000647	lithoautotrophic	A trophic type in which an organism obtains energy from inorganic electron donors and carbon from ca...	http://purl.obolibrary.org/obo/ECOCORE_00000122	photolithoautotroph	A photoautotroph which is capable of using an abiogenic organic compound as an electron donor.	0.80	LABEL_NOT_IN_DEF	OLS
METPO:1000648	lithoheterotrophic	A trophic type in which an organism obtains energy from the oxidation of inorganic compounds while u...	http://purl.obolibrary.org/obo/ECOCORE_00000014	lithotrophy	A trophic process during which a living entity acquires reducing equivalents from inorganic chemical...	0.69	LABEL_NOT_IN_DEF	OLS
METPO:1000648	lithoheterotrophic	A trophic type in which an organism obtains energy from the oxidation of inorganic compounds while u...	http://purl.obolibrary.org/obo/ECOCORE_00000162	organotrophy	A trophic process during which a living entity acquires reducing equivalents from organic chemicals ...	0.53	LABEL_NOT_IN_DEF	OLS
METPO:1000648	lithoheterotrophic	A trophic type in which an organism obtains energy from the oxidation of inorganic compounds while u...	http://purl.obolibrary.org/obo/MICRO_0001459	lithotrophic	A prokaryotic metabolic quality where the oxidation and reduction of inorganic chemical compounds is...	0.80	LABEL_NOT_IN_DEF	OLS
METPO:1000648	lithoheterotrophic	A trophic type in which an organism obtains energy from the oxidation of inorganic compounds while u...	http://purl.obolibrary.org/obo/OMP_0007110	chemolithotrophic	A chemotrophic phenotype where energy is obtained from the oxidation of inorganic chemicals.	0.69	LABEL_NOT_IN_DEF	OLS
METPO:1000655	organotrophic	A trophic type in which an organism obtains energy from the oxidation of organic compounds.	http://purl.obolibrary.org/obo/ECOCORE_00000162	organotrophy	A trophic process during which a living entity acquires reducing equivalents from organic chemicals ...	0.88	LABEL_NOT_IN_DEF	OLS
METPO:1000656	photoautotrophic	A trophic type characterized by the use of light as the energy source and carbon dioxide as the prim...	http://purl.obolibrary.org/obo/ECOCORE_00000017	phototrophy	A trophic process during which a living entity generates food from abiotic sources or through consum...	0.74	LABEL_NOT_IN_DEF	OLS
METPO:1000656	photoautotrophic	A trophic type characterized by the use of light as the energy source and carbon dioxide as the prim...	http://purl.obolibrary.org/obo/ECOCORE_00000121	photoorganoautotroph	A photoautotroph which is capable of using a biogenic organic compound as an electron donor.	0.78	LABEL_NOT_IN_DEF	OLS
METPO:1000656	photoautotrophic	A trophic type characterized by the use of light as the energy source and carbon dioxide as the prim...	http://purl.obolibrary.org/obo/MICRO_0001457	phototrophic	A prokaryotic metabolic quality where light is the energy source, and the electron donor is an inorg...	0.86	LABEL_NOT_IN_DEF	OLS
METPO:1000656	photoautotrophic	A trophic type characterized by the use of light as the energy source and carbon dioxide as the prim...	http://purl.obolibrary.org/obo/MICRO_0001483	photolithoautotrophic	A prokaryotic metabolic quality where light is the energy source, the electron donor is an inorganic...	0.86	LABEL_NOT_IN_DEF	OLS
METPO:1000656	photoautotrophic	A trophic type characterized by the use of light as the energy source and carbon dioxide as the prim...	http://purl.obolibrary.org/obo/OMP_0006008	photosynthesis phenotype	A phototrophic phenotype where light is used as an energy source to fix carbon to create chemical en...	0.45	LABEL_NOT_IN_DEF|SOURCE_TOO_BROAD	OLS
METPO:1000657	photoheterotrophic	A trophic type in which an organism uses light as the energy source and organic compounds as the pri...	http://purl.obolibrary.org/obo/ECOCORE_00000131	photoheterotroph	A heterotroph which is capable of transforming light into chemical energy.	0.94	LABEL_NOT_IN_DEF	OLS
METPO:1000659	photoorganoheterotrophic	A trophic type in which an organism obtains energy from light and carbon from organic compounds.	http://purl.obolibrary.org/obo/MICRO_0000510	photoorganoheterotrophy	A prokaryotic respiratory metabolic process where light is the energy source, the electron donor is ...	0.94	LABEL_NOT_IN_DEF	OLS
METPO:1000660	phototrophic	A trophic type characterized by the use of light as the primary energy source for metabolic processe...	http://purl.obolibrary.org/obo/OMP_0007064	phototrophic phenotype	An energy metabolism phenotype where light is used as the energy source.	0.71	SOURCE_TOO_BROAD	OLS
METPO:1000664	organoheterotrophic	A trophic type characterized by the use of organic compounds as both electron donors and primary car...	http://purl.obolibrary.org/obo/ECOCORE_00000121	photoorganoautotroph	A photoautotroph which is capable of using a biogenic organic compound as an electron donor.	0.67	LABEL_NOT_IN_DEF	OLS
METPO:1000664	organoheterotrophic	A trophic type characterized by the use of organic compounds as both electron donors and primary car...	http://purl.obolibrary.org/obo/ECOCORE_00000125	photoorganoheterotroph	A photoheterotroph which is capable of using a biogenic organic compound as an electron donor.	0.83	LABEL_NOT_IN_DEF	OLS
METPO:1000664	organoheterotrophic	A trophic type characterized by the use of organic compounds as both electron donors and primary car...	http://purl.obolibrary.org/obo/ECOCORE_00000126	photolithoheterotroph	A photoheterotroph which is capable of using an abiogenic organic compound as an electron donor.	0.65	LABEL_NOT_IN_DEF	OLS
