metpo_id	metpo_label	parent_classes	current_definition	proposed_definition	source_terms_consulted	rationale
METPO:1000335	NaCl delta	salinity phenotype with numerical limits|delta phenotype with numerical limits	A measure of the breadth of sodium chloride concentrations that a microorganism can tolerate, calculated as the difference between the maximum and minimum viable salinity values.	A salinity phenotype that represents the breadth of sodium chloride concentrations a microorganism can tolerate, quantified as the difference between maximum and minimum viable values.	None	Rewritten to genus-differentia using "salinity phenotype" as genus.
METPO:1000429	GC low	GC content	A genomic feature characterized by a guanine-cytosine content percentage below 42.65% in an organism's DNA. Values with maximum value of 42.65 % GC.	A GC content below 42.65% of total nucleotides.	None	Simplified to be concise, uses "GC content" as genus.
METPO:1000430	GC mid1	GC content	A genomic feature characterized by a guanine-cytosine content percentage between 42.65% and 57% in an organism's DNA. Values ranging from 42.65 to 57 % GC.	A GC content between 42.65% and 57% of total nucleotides.	None	Simplified to be concise, uses "GC content" as genus.
METPO:1000431	GC mid2	GC content	A genomic feature characterized by a guanine-cytosine content percentage between 57% and 66.3% in an organism's DNA. Values ranging from 57 to 66.3 % GC.	A GC content between 57% and 66.3% of total nucleotides.	None	Simplified to be concise, uses "GC content" as genus.
METPO:1000432	GC high	GC content	A genomic feature characterized by a guanine-cytosine content percentage above 66.3% in an organism's DNA. Values with minimum value of 66.3 % GC.	A GC content above 66.3% of total nucleotides.	None	Simplified to be concise, uses "GC content" as genus.
METPO:1000441	temperature optimum very low	temperature optimum	A temperature optimum manifested as maximum microbial growth at temperatures below 10°C, typical of psychrophilic organisms. Values with maximum value of 10 C.	A temperature optimum below 10°C.	D3O:OptimumTemperature	Simplified using "temperature optimum" as genus. Remove organism characterization as that belongs in preference class.
METPO:1000442	temperature optimum low	temperature optimum	A temperature optimum manifested as maximum microbial growth at temperatures between 10°C and 22°C, common in psychrophilic or psychrotolerant organisms. Values ranging from 10 to 22 C.	A temperature optimum between 10°C and 22°C.	D3O:OptimumTemperature	Simplified using "temperature optimum" as genus.
METPO:1000443	temperature optimum mid1	temperature optimum	A temperature optimum manifested as maximum microbial growth at temperatures between 22°C and 27°C, characteristic of mesophilic organisms. Values ranging from 22 to 27 C.	A temperature optimum between 22°C and 27°C.	D3O:OptimumTemperature	Simplified using "temperature optimum" as genus.
METPO:1000444	temperature optimum mid2	temperature optimum	A temperature optimum manifested as maximum microbial growth at temperatures between 27°C and 30°C, characteristic of mesophilic organisms. Values ranging from 27 to 30 C.	A temperature optimum between 27°C and 30°C.	D3O:OptimumTemperature	Simplified using "temperature optimum" as genus.
METPO:1000445	temperature optimum mid3	temperature optimum	A temperature optimum manifested as maximum microbial growth at temperatures between 30°C and 34°C, characteristic of mesophilic organisms. Values ranging from 30 to 34 C.	A temperature optimum between 30°C and 34°C.	D3O:OptimumTemperature	Simplified using "temperature optimum" as genus.
METPO:1000446	temperature optimum mid4	temperature optimum	A temperature optimum manifested as maximum microbial growth at temperatures between 34°C and 40°C, characteristic of mesophilic organisms. Values ranging from 34 to 40 C.	A temperature optimum between 34°C and 40°C.	D3O:OptimumTemperature	Simplified using "temperature optimum" as genus.
METPO:1000447	temperature optimum high	temperature optimum	A temperature optimum manifested as maximum microbial growth at temperatures above 40°C, typical of thermophilic organisms. Values with minimum value of 40 C.	A temperature optimum above 40°C.	D3O:OptimumTemperature	Simplified using "temperature optimum" as genus.
METPO:1000448	temperature range very low	temperature range	A temperature range allowing microbial growth at temperatures below 10°C, characteristic of psychrophilic organisms. Values with maximum value of 10 C.	A temperature range with values below 10°C.	None	Simplified using "temperature range" as genus.
METPO:1000449	temperature range low	temperature range	A temperature range allowing microbial growth at temperatures between 10°C and 22°C, characteristic of psychrophilic or psychrotolerant organisms. Values ranging from 10 to 22 C.	A temperature range with values between 10°C and 22°C.	None	Simplified using "temperature range" as genus.
METPO:1000450	temperature range mid1	temperature range	A temperature range allowing microbial growth at temperatures between 22°C and 27°C, characteristic of mesophilic organisms. Values ranging from 22 to 27 C.	A temperature range with values between 22°C and 27°C.	None	Simplified using "temperature range" as genus.
METPO:1000451	temperature range mid2	temperature range	A temperature range allowing microbial growth at temperatures between 27°C and 30°C, characteristic of mesophilic organisms. Values ranging from 27 to 30 C.	A temperature range with values between 27°C and 30°C.	None	Simplified using "temperature range" as genus.
METPO:1000452	temperature range mid3	temperature range	A temperature range allowing microbial growth at temperatures between 30°C and 34°C, characteristic of mesophilic organisms. Values ranging from 30 to 34 C.	A temperature range with values between 30°C and 34°C.	None	Simplified using "temperature range" as genus.
METPO:1000453	temperature range mid4	temperature range	A temperature range allowing microbial growth at temperatures between 34°C and 40°C, characteristic of mesophilic organisms. Values ranging from 34 to 40 C.	A temperature range with values between 34°C and 40°C.	None	Simplified using "temperature range" as genus.
METPO:1000454	temperature range high	temperature range	A temperature range allowing microbial growth at temperatures above 40°C, characteristic of thermophilic organisms. Values with minimum value of 40 C.	A temperature range with values above 40°C.	None	Simplified using "temperature range" as genus.
METPO:1000455	pH optimum low	pH optimum	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 0 and 6, characteristic of acidophilic organisms. Values ranging from 0 to 6 pH.	A pH optimum between pH 0 and 6.	None	Simplified using "pH optimum" as genus.
METPO:1000456	pH optimum mid1	pH optimum	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 6 and 7, characteristic of neutrophilic or alkali-tolerant organisms. Values ranging from 6 to 7 pH.	A pH optimum between pH 6 and 7.	None	Simplified using "pH optimum" as genus.
METPO:1000457	pH optimum mid2	pH optimum	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 7 and 8, characteristic of neutrophilic, alkaliphilic, or alkali-tolerant organisms. Values ranging from 7 to 8 pH.	A pH optimum between pH 7 and 8.	None	Simplified using "pH optimum" as genus.
METPO:1000458	pH optimum high	pH optimum	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 8 and 14, characteristic of alkaliphilic or extremely alkaliphilic organisms. Values ranging from 8 to 14 pH.	A pH optimum between pH 8 and 14.	None	Simplified using "pH optimum" as genus.
METPO:1000459	pH range very low	pH range	A pH range allowing microbial growth at hydrogen ion concentrations between pH 0 and 4, characteristic of extremely acidophilic organisms. Values ranging from 0 to 4 pH.	A pH range with values between pH 0 and 4.	None	Simplified using "pH range" as genus.
METPO:1000460	pH range low	pH range	A pH range allowing microbial growth at hydrogen ion concentrations between pH 4 and 6, characteristic of acidophilic organisms. Values ranging from 4 to 6 pH.	A pH range with values between pH 4 and 6.	None	Simplified using "pH range" as genus.
METPO:1000461	pH range mid1	pH range	A pH range allowing microbial growth at hydrogen ion concentrations between pH 6 and 7, characteristic of neutrophilic organisms. Values ranging from 6 to 7 pH.	A pH range with values between pH 6 and 7.	None	Simplified using "pH range" as genus.
METPO:1000462	pH range mid2	pH range	A pH range allowing microbial growth at hydrogen ion concentrations between pH 7 and 8, characteristic of neutrophilic or alkaliphilic organisms. Values ranging from 7 to 8 pH.	A pH range with values between pH 7 and 8.	None	Simplified using "pH range" as genus.
METPO:1000463	pH range mid3	pH range	A pH range allowing microbial growth at hydrogen ion concentrations between pH 8 and 10, characteristic of alkaliphilic organisms. Values ranging from 8 to 10 pH.	A pH range with values between pH 8 and 10.	None	Simplified using "pH range" as genus.
METPO:1000464	pH range high	pH range	A pH range allowing microbial growth at hydrogen ion concentrations between pH 10 and 14, characteristic of extremely alkaliphilic organisms. Values ranging from 10 to 14 pH.	A pH range with values between pH 10 and 14.	None	Simplified using "pH range" as genus.
METPO:1000465	NaCl optimum low	NaCl optimum	A salinity optimum manifested as maximum microbial growth at sodium chloride concentrations below 1%, characteristic of non-halophilic or halotolerant organisms. Values with maximum value of 1 % NaCl.	A NaCl optimum below 1% concentration.	None	Simplified using "NaCl optimum" as genus.
METPO:1000466	NaCl optimum mid1	NaCl optimum	A salinity optimum manifested as maximum microbial growth at sodium chloride concentrations between 1% and 3%, characteristic of slight halophiles or halotolerant organisms. Values ranging from 1 to 3 % NaCl.	A NaCl optimum between 1% and 3% concentration.	None	Simplified using "NaCl optimum" as genus.
METPO:1000467	NaCl optimum mid2	NaCl optimum	A salinity optimum manifested as maximum microbial growth at sodium chloride concentrations between 3% and 8%, characteristic of moderate halophiles or halotolerant organisms. Values ranging from 3 to 8 % NaCl.	A NaCl optimum between 3% and 8% concentration.	D3O:OptimumSalinity	Simplified using "NaCl optimum" as genus.
METPO:1000468	NaCl optimum high	NaCl optimum	A salinity optimum manifested as maximum microbial growth at sodium chloride concentrations above 8%, characteristic of extreme halophiles. Values with minimum value of 8 % NaCl.	A NaCl optimum above 8% concentration.	D3O:OptimumSalinity	Simplified using "NaCl optimum" as genus.
METPO:1000469	NaCl range low	NaCl range	A salinity range allowing microbial growth at sodium chloride concentrations below 1%, characteristic of non-halophilic organisms. Values with maximum value of 1 % NaCl.	A NaCl range with values below 1% concentration.	None	Simplified using "NaCl range" as genus.
METPO:1000470	NaCl range mid1	NaCl range	A salinity range allowing microbial growth at sodium chloride concentrations between 1% and 3%, characteristic of slight halophiles. Values ranging from 1 to 3 % NaCl.	A NaCl range with values between 1% and 3% concentration.	None	Simplified using "NaCl range" as genus.
METPO:1000471	NaCl range mid2	NaCl range	A salinity range allowing microbial growth at sodium chloride concentrations between 3% and 8%, characteristic of moderate halophiles. Values ranging from 3 to 8 % NaCl.	A NaCl range with values between 3% and 8% concentration.	None	Simplified using "NaCl range" as genus.
METPO:1000472	NaCl range high	NaCl range	A salinity range allowing microbial growth at sodium chloride concentrations above 8%, characteristic of extreme halophiles. Values with minimum value of 8 % NaCl.	A NaCl range with values above 8% concentration.	None	Simplified using "NaCl range" as genus.
METPO:1000473	pH delta very low	pH delta	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a narrow range less than 1 pH unit. Values with maximum value of 1 pH.	A pH delta of less than 1 pH unit.	None	Simplified using "pH delta" as genus.
METPO:1000474	pH delta low	pH delta	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 1 and 2 pH units. Values ranging from 1 to 2 pH.	A pH delta between 1 and 2 pH units.	None	Simplified using "pH delta" as genus.
METPO:1000475	pH delta mid1	pH delta	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 2 and 3 pH units. Values ranging from 2 to 3 pH.	A pH delta between 2 and 3 pH units.	None	Simplified using "pH delta" as genus.
METPO:1000476	pH delta mid2	pH delta	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 3 and 4 pH units. Values ranging from 3 to 4 pH.	A pH delta between 3 and 4 pH units.	None	Simplified using "pH delta" as genus.
METPO:1000477	pH delta mid3	pH delta	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 4 and 5 pH units. Values ranging from 4 to 5 pH.	A pH delta between 4 and 5 pH units.	None	Simplified using "pH delta" as genus.
METPO:1000478	pH delta high	pH delta	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a wide range between 5 and 9 pH units. Values ranging from 5 to 9 pH.	A pH delta between 5 and 9 pH units.	None	Simplified using "pH delta" as genus.
METPO:1000479	NaCl delta low	NaCl delta	A growth tolerance metric measuring the span of sodium chloride concentrations that support an organism's growth, with a narrow range less than 1%. Values with maximum value of 1 C.	A NaCl delta of less than 1% concentration.	None	Simplified using "NaCl delta" as genus.
METPO:1000480	NaCl delta mid1	NaCl delta	A growth tolerance metric measuring the span of sodium chloride concentrations that support an organism's growth, with a range between 1% and 3%. Values ranging from 1 to 3 C.	A NaCl delta between 1% and 3% concentration.	None	Simplified using "NaCl delta" as genus.
METPO:1000481	NaCl delta mid2	NaCl delta	A growth tolerance metric measuring the span of sodium chloride concentrations that support an organism's growth, with a range between 3% and 8%. Values ranging from 3 to 8 C.	A NaCl delta between 3% and 8% concentration.	None	Simplified using "NaCl delta" as genus.
METPO:1000482	NaCl delta high	NaCl delta	A growth tolerance metric measuring the span of sodium chloride concentrations that support an organism's growth, with a wide range greater than 8%. Values with maximum value of 8 C.	A NaCl delta greater than 8% concentration.	None	Simplified using "NaCl delta" as genus.
METPO:1000483	temperature delta very low	temperature delta	A growth tolerance metric measuring the span of temperatures that support an organism's growth, with a narrow range between 1°C and 5°C. Values ranging from 1 to 5 C.	A temperature delta between 1°C and 5°C.	None	Simplified using "temperature delta" as genus.
METPO:1000484	temperature delta low	temperature delta	A growth tolerance metric measuring the span of temperatures that support an organism's growth, with a range between 5°C and 10°C. Values ranging from 5 to 10 C.	A temperature delta between 5°C and 10°C.	None	Simplified using "temperature delta" as genus.
METPO:1000485	temperature delta mid1	temperature delta	A growth tolerance metric measuring the span of temperatures that support an organism's growth, with a range between 10°C and 20°C. Values ranging from 10 to 20 C.	A temperature delta between 10°C and 20°C.	None	Simplified using "temperature delta" as genus.
METPO:1000486	temperature delta mid2	temperature delta	A growth tolerance metric measuring the span of temperatures that support an organism's growth, with a range between 20°C and 30°C. Values ranging from 20 to 30 C.	A temperature delta between 20°C and 30°C.	PATO:0001314 (variant temperature)	Simplified using "temperature delta" as genus.
METPO:1000487	temperature delta high	temperature delta	A growth tolerance metric measuring the span of temperatures that support an organism's growth, with a wide range greater than 30°C. Values with minimum value of 30 C.	A temperature delta greater than 30°C.	None	Simplified using "temperature delta" as genus.
METPO:1000525	microbe	material entity	An organism or virus or viron that is too small to be viewed by the unaided eye.	A material entity that is a microscopic organism including bacteria, archaea, fungi, protists, and viruses.	OHMI:0000460, D3O:Microorganism	Current is good, minor rewrite to use "material entity" as genus and be more inclusive.
METPO:1000526	chemical entity	material entity	A physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	A material entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	CHEBI:24431	Changed "physical entity" to "material entity" to match METPO hierarchy.
METPO:1000531	pH phenotype with numerical limits	phenotype		A phenotype that relates to the rate and extent of microbial growth as affected by hydrogen ion concentration of the environment.	OMP:0005008 (pH effects on population growth phenotype)	New definition using "phenotype" as genus, focusing on pH-related growth characteristics.
METPO:1000532	salinity phenotype with numerical limits	phenotype		A phenotype that relates to the rate and extent of microbial growth as affected by salt concentration of the environment.	D3O:MaximumSalinity	New definition using "phenotype" as genus, focusing on salinity-related growth characteristics.
METPO:1000533	temperature phenotype with numerical limits	phenotype		A phenotype that relates to the rate and extent of microbial growth as affected by the thermal properties of the environment.	None	New definition using "phenotype" as genus, focusing on temperature-related growth characteristics.
METPO:1000534	delta phenotype with numerical limits	phenotype		A phenotype that quantifies the breadth of environmental conditions a microorganism can tolerate.	None	New definition using "phenotype" as genus, focusing on tolerance breadth.
METPO:1000535	growth range phenotype with numerical limits	phenotype		A phenotype that encompasses the span of environmental conditions within which a microorganism can sustain growth.	None	New definition using "phenotype" as genus, focusing on growth-permissive range.
METPO:1000536	optimum phenotype with numerical limits	phenotype		A phenotype that represents the environmental conditions at which a microorganism exhibits maximum growth rate.	D3O:OptimumTemperature	New definition using "phenotype" as genus, focusing on optimal growth conditions.
METPO:1000601	oxygen preference	phenotype		A phenotype that relates to an organism's ability to grow in the presence or absence of molecular oxygen.	D3O:OxygenTolerance	New definition using "phenotype" as genus.
METPO:1000602	aerobic	oxygen preference	A microbial oxygen preference phenotype in which growth occurs in the presence of molecular oxygen (O₂), typically using O₂ as the terminal electron acceptor.	An oxygen preference where growth occurs in the presence of molecular oxygen.	PATO:0001455 (aerobic), ECOCORE terms	Current is good, simplified to be more concise using "oxygen preference" as genus.
METPO:1000603	anaerobic	oxygen preference	A microbial oxygen preference phenotype in which growth occurs in the absence of molecular oxygen (O₂).	An oxygen preference where growth occurs in the absence of molecular oxygen.	PATO:0001456 (anaerobic)	Current is good, simplified using "oxygen preference" as genus.
METPO:1000604	microaerophilic	oxygen preference	A microbial oxygen preference phenotype that requires molecular oxygen (O₂) at concentrations lower than atmospheric.	An oxygen preference where growth requires molecular oxygen at concentrations lower than atmospheric levels.	OMP:0000171 (microaerophile)	Current is good, rewritten using "oxygen preference" as genus.
METPO:1000605	facultatively anaerobic	oxygen preference	A microbial oxygen preference phenotype in which growth can occur with or without molecular oxygen (O₂).	An oxygen preference where growth can occur with or without molecular oxygen.	PATO:0001456, OMP:0000087	Current is good, simplified using "oxygen preference" as genus.
METPO:1000606	obligately aerobic	oxygen preference	A microbial oxygen preference phenotype that requires molecular oxygen (O₂) for growth.	An oxygen preference where molecular oxygen is required for growth.	ECOCORE:00000178 (obligate anaerobe - mismatched)	New definition using "oxygen preference" as genus.
METPO:1000607	obligately anaerobic	oxygen preference	A microbial oxygen preference phenotype in which molecular oxygen (O₂) inhibits or prevents growth.	An oxygen preference where molecular oxygen inhibits or prevents growth.	ECOCORE:00000178 (obligate anaerobe)	Current is good, simplified using "oxygen preference" as genus.
METPO:1000608	facultatively aerobic	oxygen preference	A microbial oxygen preference phenotype in which growth can occur without oxygen but is capable of aerobic growth.	An oxygen preference where growth occurs without oxygen but aerobic growth is possible.	OMP:0000087 (facultative anaerobe)	Rewritten using "oxygen preference" as genus.
METPO:1000609	aerotolerant	oxygen preference	A microbial oxygen preference phenotype that does not use O₂ for growth but tolerates its presence.	An oxygen preference where oxygen is not used for growth but its presence is tolerated.	OMP:0000105 (aerotolerant anaerobe)	Current is good, rewritten using "oxygen preference" as genus.
METPO:1000610	microaerotolerant	oxygen preference	A microbial oxygen preference phenotype that tolerates low levels of molecular oxygen (O₂) without requiring it.	An oxygen preference where low levels of molecular oxygen are tolerated without being required for growth.	OMP:0000105	Current is good, rewritten using "oxygen preference" as genus.
METPO:1000611	strictly anaerobic	obligately anaerobic	A microbial oxygen preference phenotype reported as "strictly anaerobic" in Madin; modeled distinctly and placed under obligately anaerobic.	An obligately anaerobic phenotype characterized by complete intolerance to molecular oxygen.	PATO:0001456	Uses "obligately anaerobic" as genus, differentiating by complete intolerance.
METPO:1000612	facultative oxygen preference	oxygen preference	A microbial oxygen preference phenotype reported generically as "facultative" (no direction specified); kept as its own class to avoid collapsing specific subclasses.	An oxygen preference where growth occurs both in the presence and absence of molecular oxygen without specification of preference direction.	OMP:0000087	Uses "oxygen preference" as genus, characterizes ambiguous facultative state.
METPO:1000613	temperature preference	phenotype	A microbial phenotype describing characteristic growth with respect to environmental temperature (e.g., preference classes such as psychrophilic, mesophilic, thermophilic, hyperthermophilic).	A phenotype that characterizes an organism's preferred temperature range for optimal growth.	None	Current is good, rewritten to genus-differentia using "phenotype" as genus.
METPO:1000614	psychrophilic	temperature preference	A temperature preference phenotype in which growth is favored at low temperatures, typically near or below ~15 °C.	A temperature preference where growth is favored at low temperatures, typically at or below 15°C.	OMP:0005007 (psychrophile)	Current is good, rewritten using "temperature preference" as genus.
METPO:1000615	mesophilic	temperature preference	A temperature preference phenotype in which growth is favored at intermediate temperatures, typically ~20–45 °C.	A temperature preference where growth is favored at intermediate temperatures, typically 20-45°C.	ENVO:00002128 (mesophilic sulfur spring)	Current is good, rewritten using "temperature preference" as genus.
METPO:1000616	thermophilic	temperature preference	A temperature preference phenotype in which growth is favored at elevated temperatures, typically ≥45 °C.	A temperature preference where growth is favored at elevated temperatures, typically 45°C or higher.	MPO:03001 (Thermophilic)	Current is good, rewritten using "temperature preference" as genus.
METPO:1000617	hyperthermophilic	temperature preference	A temperature preference phenotype in which growth is favored at very high temperatures, typically ≥80 °C.	A temperature preference where growth is favored at very high temperatures, typically 80°C or higher.	OMP:0005003 (hyperthermophile)	Current is good, rewritten using "temperature preference" as genus.
METPO:1000618	psychrotolerant	temperature preference	A temperature tolerance phenotype in which growth can occur at low temperatures without an obligate low-temperature preference.	A temperature preference where growth can occur at low temperatures without requiring them for optimal growth.	MPO:03019 (Psychrotrophile)	Current is good, rewritten using "temperature preference" as genus.
METPO:1000619	thermotolerant	temperature preference	A temperature tolerance phenotype in which growth can occur at elevated temperatures without an obligate high-temperature preference.	A temperature preference where growth can occur at elevated temperatures without requiring them for optimal growth.	APO:0000093 (thermotolerance)	Current is good, rewritten using "temperature preference" as genus.
METPO:1000620	halophilic	halophily preference		A halophily preference where growth is favored at elevated salt concentrations.	None	New definition using "halophily preference" as genus.
METPO:1000621	haloalkaliphilic	halophily preference		A halophily preference where growth requires both elevated salt concentration and alkaline pH.	MPO:03011 (Alkaliphilic)	New definition using "halophily preference" as genus, combining salt and pH requirements.
METPO:1000622	halotolerant	halophily preference		A halophily preference where growth can occur at elevated salt concentrations without requiring them.	ECOCORE:00000181 (mismatched to aerotolerant)	New definition using "halophily preference" as genus.
METPO:1000623	moderately halophilic	halophily preference		A halophily preference where growth is favored at moderate salt concentrations, typically 3-15% NaCl.	None	New definition using "halophily preference" as genus.
METPO:1000624	non halophilic	halophily preference		A halophily preference where growth occurs at low salt concentrations and is inhibited by elevated salinity.	OMP:0005016 (halophilic growth - opposite meaning)	New definition using "halophily preference" as genus.
METPO:1000625	slightly halophilic	halophily preference		A halophily preference where growth is favored at slightly elevated salt concentrations, typically 1-3% NaCl.	None	New definition using "halophily preference" as genus.
METPO:1000626	stenohaline	halophily preference		A halophily preference where growth occurs only within a narrow range of salt concentrations.	None	New definition using "halophily preference" as genus.
METPO:1000627	euryhaline	halophily preference		A halophily preference where growth can occur across a broad range of salt concentrations.	None	New definition using "halophily preference" as genus.
METPO:1000628	extremely halophilic	halophily preference		A halophily preference where growth requires very high salt concentrations, typically above 15% NaCl.	None	New definition using "halophily preference" as genus.
METPO:1000629	halophily preference	phenotype		A phenotype that characterizes an organism's preferred salinity range for growth.	None	New definition using "phenotype" as genus.
METPO:1000630	biological process		The execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.	A process that involves the activities of living organisms or their parts, occurring at the molecular, cellular, tissue, organ, or whole-organism level.	GO:0008150	Current GO definition is complex. Simplified while maintaining genus-differentia structure.
METPO:1000631	trophic type	phenotype	The quality of how an organism obtains its carbon and energy.	A phenotype that characterizes how an organism acquires carbon and energy for growth and metabolism.	ECOCORE:00000147 (trophic parasitism)	Rewritten using "phenotype" as genus, clarifying what trophic type characterizes.
METPO:1000632	autotrophic	trophic type		A trophic type where an organism synthesizes organic compounds from inorganic carbon sources.	ECOCORE:00000006 (autotrophic function)	New definition using "trophic type" as genus.
METPO:1000633	carboxydotrophic	trophic type		A trophic type where an organism derives energy from the oxidation of carbon monoxide.	None	New definition using "trophic type" as genus.
METPO:1000634	chemoautolithotrophic	trophic type		A trophic type where an organism derives energy from inorganic chemical oxidation and carbon from inorganic sources.	ECOCORE:00000123	New definition using "trophic type" as genus.
METPO:1000635	chemoautotrophic	trophic type		A trophic type where an organism derives energy from chemical oxidation and carbon from inorganic sources.	ECOCORE:00000123	New definition using "trophic type" as genus.
METPO:1000636	chemoheterotrophic	trophic type		A trophic type where an organism derives both energy and carbon from organic compounds.	ECOCORE:00000128	New definition using "trophic type" as genus.
METPO:1000637	chemolithoautotrophic	trophic type		A trophic type where an organism derives energy from inorganic chemical oxidation and carbon from carbon dioxide or other inorganic carbon sources.	ECOCORE:00000124	New definition using "trophic type" as genus.
METPO:1000638	chemolithoheterotrophic	trophic type		A trophic type where an organism derives energy from inorganic chemical oxidation and carbon from organic sources.	ECOCORE:00000128	New definition using "trophic type" as genus.
METPO:1000639	chemolithotrophic	trophic type		A trophic type where an organism derives energy from the oxidation of inorganic compounds.	OMP:0007110 (chemolithotrophic)	New definition using "trophic type" as genus.
METPO:1000640	chemoorganoheterotrophic	trophic type		A trophic type where an organism derives energy from organic chemical oxidation and carbon from organic sources.	ECOCORE:00000127	New definition using "trophic type" as genus.
METPO:1000641	chemotrophic	trophic type		A trophic type where an organism derives energy from chemical oxidation reactions.	None	New definition using "trophic type" as genus.
METPO:1000642	copiotrophic	nutrient adaptation		A nutrient adaptation where an organism thrives in environments with high nutrient availability.	None	New definition using "nutrient adaptation" as genus.
METPO:1000644	heterotrophic	trophic type		A trophic type where an organism obtains carbon from organic sources.	ECOCORE:00000005 (heterotrophic function)	New definition using "trophic type" as genus.
