?entity	?entityType	?synonymPred	?synValue	?lang	?synType	?xref	?src	?prov
<https://w3id.org/metpo/1000458>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkali Tolerant"	""				
<https://w3id.org/metpo/1000458>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkaliphile"	""				
<https://w3id.org/metpo/1000458>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Extreme Alkaliphile"	""				
<https://w3id.org/metpo/1000459>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Acid Tolerant"	""				
<https://w3id.org/metpo/1000459>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Acidophile"	""				
<https://w3id.org/metpo/1000459>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Extreme Acidophile"	""				
<https://w3id.org/metpo/1000459>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Facultative acidophile"	""				
<https://w3id.org/metpo/1000459>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Obligative acidophile"	""				
<https://w3id.org/metpo/1000460>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Acid Tolerant"	""				
<https://w3id.org/metpo/1000460>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Acidophile"	""				
<https://w3id.org/metpo/1000460>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Facultative acidophile"	""				
<https://w3id.org/metpo/1000460>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Obligative acidophile"	""				
<https://w3id.org/metpo/1000461>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkali Tolerant"	""				
<https://w3id.org/metpo/1000461>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Facultative acidophile"	""				
<https://w3id.org/metpo/1000461>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Neutrophile"	""				
<https://w3id.org/metpo/1000462>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkali Tolerant"	""				
<https://w3id.org/metpo/1000462>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkaliphile"	""				
<https://w3id.org/metpo/1000462>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Facultative acidophile"	""				
<https://w3id.org/metpo/1000462>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Neutrophile"	""				
<https://w3id.org/metpo/1000463>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkali Tolerant"	""				
<https://w3id.org/metpo/1000463>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkaliphile"	""				
<https://w3id.org/metpo/1000463>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Extreme Alkaliphile"	""				
<https://w3id.org/metpo/1000463>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Facultative acidophile"	""				
<https://w3id.org/metpo/1000464>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkali Tolerant"	""				
<https://w3id.org/metpo/1000464>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkaliphile"	""				
<https://w3id.org/metpo/1000464>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Extreme Alkaliphile"	""				
<https://w3id.org/metpo/1000465>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Halotolerant"	""				
<https://w3id.org/metpo/1000465>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Non-halophile"	""				
<https://w3id.org/metpo/1000466>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Halotolerant"	""				
<https://w3id.org/metpo/1000466>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Slight halophile"	""				
<https://w3id.org/metpo/1000467>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Halotolerant"	""				
<https://w3id.org/metpo/1000467>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Moderate halophile"	""				
<https://w3id.org/metpo/1000468>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Extreme halophile"	""				
<https://w3id.org/metpo/1000469>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Halotolerant"	""				
<https://w3id.org/metpo/1000469>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Non-halophile"	""				
<https://w3id.org/metpo/1000470>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Halotolerant"	""				
<https://w3id.org/metpo/1000470>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Slight halophile"	""				
<https://w3id.org/metpo/1000471>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Halotolerant"	""				
<https://w3id.org/metpo/1000471>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Moderate halophile"	""				
<https://w3id.org/metpo/1000472>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Extreme halophile"	""				
<https://w3id.org/metpo/1003001>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neutralophile"	""				
<https://w3id.org/metpo/1003001>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neutralophilic"	""				
<https://w3id.org/metpo/1003001>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neutrophile"	""				
<https://w3id.org/metpo/1003002>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"alkaliphile"	""				
<https://w3id.org/metpo/1003002>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"alkaliphilic"	""				
<https://w3id.org/metpo/1003002>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"alkalophile"	""				
<https://w3id.org/metpo/1003002>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"alkalophilic"	""				
<https://w3id.org/metpo/1003003>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"acidophil"	""				
<https://w3id.org/metpo/1003003>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"acidophile"	""				
<https://w3id.org/metpo/1003004>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"obligate alkaliphile"	""				
<https://w3id.org/metpo/1003004>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"obligate alkaphilic"	""				
<https://w3id.org/metpo/1003004>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"obligately alkaliphilic"	""				
<https://w3id.org/metpo/1003005>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"facultative alkaliphile"	""				
<https://w3id.org/metpo/1003005>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"facultative alkaphilic"	""				
<https://w3id.org/metpo/1003005>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"facultatively alkaliphilic"	""				
<https://w3id.org/metpo/1003006>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"obligate acidophile"	""				
<https://w3id.org/metpo/1003006>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"obligately acidophilic"	""				
<https://w3id.org/metpo/1003007>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"facultative acidophile"	""				
<https://w3id.org/metpo/1003007>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"facultatively acidophilic"	""				
<https://w3id.org/metpo/1003008>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"aciduric"	""				
<https://w3id.org/metpo/1003009>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"alkalitolerant"	""				
<https://w3id.org/metpo/1000429>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	" GC_42.65_57.0"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000430>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"GC_>66.3"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000431>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"GC_57.0_66.3"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000432>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"GC_<=42.65"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000441>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TO_<=10"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000442>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TO_10_to_22"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000443>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TO_22_to_27"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000444>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TO_27_to_30"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000445>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TO_30_to_34"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000446>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TO_34_to_40"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000447>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TO_>40"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000448>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TR_<=10"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000449>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TR_10_to_22"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000450>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TR_22_to_27"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000451>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TR_27_to_30"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000452>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TR_30_to_34"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000453>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TR_34_to_40"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000454>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"TR_>40"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000455>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHO_0_to_6"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000456>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHO_6_to_7"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000457>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHO_7_to_8"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000458>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHO_8_to_14"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000459>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHR_0_to_4"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000460>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHR_4_to_6"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000461>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHR_6_to_7"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000462>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHR_7_to_8"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000463>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHR_8_to_10"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000464>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"10_to_14"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000465>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"NaO_<=1"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000466>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"NaO_1_to_3"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000467>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"NaO_3_to_8"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000468>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"NaO_>8"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000469>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"NaR_<=1"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000470>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"NaR_1_to_3"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000471>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"NaR_3_to_8"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000472>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"NaR_>8"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000473>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHd_<=1"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000474>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHd_1_2"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000475>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHd_2_3"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000476>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHd_3_4"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000477>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHd_4_5"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000478>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"pHd_5_9"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000479>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Nad_<=1"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000480>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Nad_1_3"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000481>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Nad_3_8"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000482>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Nad_>8"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000483>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Td_1_5"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000484>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Td_5_10"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000485>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Td_10_20"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000486>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Td_20_30"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000487>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Td_>30"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000601>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"General.keywords"	""			<https://bacdive.dsmz.de/>	
<https://w3id.org/metpo/1000601>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Physiology and metabolism.oxygen tolerance.oxygen tolerance"	""			<https://bacdive.dsmz.de/>	
<https://w3id.org/metpo/1000601>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"metabolism"	""			<https://github.com/jmadin/bacteria_archaea_traits>	
<https://w3id.org/metpo/1000602>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Ox_aerobic"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000602>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"aerobe"	""			<https://bacdive.dsmz.de/>	
<https://w3id.org/metpo/1000602>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"aerobic"	""			<https://github.com/jmadin/bacteria_archaea_traits>	
<https://w3id.org/metpo/1000603>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Ox_anaerobic"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000603>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"anaerobe"	""			<https://bacdive.dsmz.de/>	
<https://w3id.org/metpo/1000603>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"anaerobic"	""			<https://github.com/jmadin/bacteria_archaea_traits>	
<https://w3id.org/metpo/1000604>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Ox_microerophile"	""			<https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv>	
<https://w3id.org/metpo/1000604>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"microaerophile"	""			<https://bacdive.dsmz.de/>	
<https://w3id.org/metpo/1000604>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"microaerophilic"	""			<https://github.com/jmadin/bacteria_archaea_traits>	
<https://w3id.org/metpo/1000605>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"facultative"	""			<https://github.com/jmadin/bacteria_archaea_traits>	
<https://w3id.org/metpo/1000605>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"facultative anaerobe"	""			<https://bacdive.dsmz.de/>	
<https://w3id.org/metpo/1000606>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"obligate aerobe"	""			<https://bacdive.dsmz.de/>	
<https://w3id.org/metpo/1000606>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"obligate aerobic"	""			<https://github.com/jmadin/bacteria_archaea_traits>	
<https://w3id.org/metpo/1000607>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"obligate anaerobe"	""			<https://bacdive.dsmz.de/>	
<https://w3id.org/metpo/1000607>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"obligate anaerobic"	""			<https://github.com/jmadin/bacteria_archaea_traits>	
