# curie_map:
#   METPO: http://purl.obolibrary.org/obo/METPO_
#   metatraits: https://metatraits.embl.de/traits#
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: metatraits-metpo-2026-02-03
# mapping_date: 2026-02-03
# mapping_tool: metpo/scripts/create_metatraits_mappings.py
# mapping_provider: https://github.com/berkeleybop/metpo
# license: https://creativecommons.org/publicdomain/zero/1.0/
# comment: Mappings between MetaTraits trait cards and METPO terms (from OWL ontology)
#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
metatraits:aerobic-catabolization-acetate	aerobic catabolization: acetate	skos:relatedMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-acetate	aerobic catabolization: acetate	skos:relatedMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-alpha-d-glucose	aerobic catabolization: alpha-D-glucose	skos:relatedMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-alpha-d-glucose	aerobic catabolization: alpha-D-glucose	skos:relatedMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-cellobiose	aerobic catabolization: cellobiose	skos:relatedMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-cellobiose	aerobic catabolization: cellobiose	skos:relatedMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-cis-aconitate	aerobic catabolization: cis-aconitate	skos:relatedMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-cis-aconitate	aerobic catabolization: cis-aconitate	skos:relatedMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-d-fructose	aerobic catabolization: D-fructose	skos:relatedMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-d-fructose	aerobic catabolization: D-fructose	skos:relatedMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-d-galactose	aerobic catabolization: D-galactose	skos:relatedMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-d-galactose	aerobic catabolization: D-galactose	skos:relatedMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-dihydrogen	aerobic catabolization: dihydrogen	skos:relatedMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-dihydrogen	aerobic catabolization: dihydrogen	skos:relatedMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-quinic-acid	aerobic catabolization: (-)-quinic acid	skos:relatedMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-quinic-acid	aerobic catabolization: (-)-quinic acid	skos:relatedMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-growth	aerobic growth	skos:closeMatch	METPO:2000022	does not use for aerobic growth	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:aerobic-growth	aerobic growth	skos:closeMatch	METPO:2000043	uses for aerobic growth	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:aerobic-growth-anoxygenic-phototrophy	aerobic growth: anoxygenic phototrophy	skos:relatedMatch	METPO:1000657	photoheterotrophic	semapv:MappingChaining	0.85	Both reference ECOCORE:00000131
metatraits:aerobic-growth-chemoheterotrophy	aerobic growth: chemoheterotrophy	skos:relatedMatch	METPO:1000636	chemoheterotrophic	semapv:MappingChaining	0.85	Both reference ECOCORE:00000132
metatraits:aerotolerant	aerotolerant	skos:exactMatch	METPO:1000609	aerotolerant	semapv:LexicalMatching	1.0	Exact normalized label match
metatraits:anaerobic-catabolization	anaerobic catabolization	skos:closeMatch	METPO:2000023	does not use for anaerobic catabolization	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:anaerobic-catabolization	anaerobic catabolization	skos:closeMatch	METPO:2000048	uses for anaerobic catabolization	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:anaerobic-catabolization	anaerobic catabolization	skos:relatedMatch	METPO:1000802	Anaerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009061
metatraits:anaerobic-catabolization-acetate	anaerobic catabolization: acetate	skos:relatedMatch	METPO:1000802	Anaerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009061
metatraits:anaerobic-catabolization-cellobiose	anaerobic catabolization: cellobiose	skos:relatedMatch	METPO:1000802	Anaerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009061
metatraits:anaerobic-catabolization-d-arabinose	anaerobic catabolization: D-arabinose	skos:relatedMatch	METPO:1000802	Anaerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009061
metatraits:anaerobic-catabolization-d-fructose	anaerobic catabolization: D-fructose	skos:relatedMatch	METPO:1000802	Anaerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009061
metatraits:anaerobic-growth	anaerobic growth	skos:closeMatch	METPO:2000024	does not use for anaerobic growth	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:anaerobic-growth	anaerobic growth	skos:closeMatch	METPO:2000049	uses for anaerobic growth	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:anaerobic-growth-in-the-dark	anaerobic growth in the dark	skos:closeMatch	METPO:2000025	does not use for anaerobic growth in the dark	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:anaerobic-growth-in-the-dark	anaerobic growth in the dark	skos:closeMatch	METPO:2000050	uses for anaerobic growth in the dark	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:anaerobic-growth-with-light	anaerobic growth with light	skos:closeMatch	METPO:2000026	does not use for anaerobic growth with light	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:anaerobic-growth-with-light	anaerobic growth with light	skos:closeMatch	METPO:2000051	uses for anaerobic growth with light	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:assimilation	assimilation	skos:closeMatch	METPO:2000002	assimilates	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:assimilation	assimilation	skos:closeMatch	METPO:2000027	does not assimilate	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:biosafety-level	biosafety level	skos:exactMatch	METPO:1001101	biosafety level	semapv:LexicalMatching	1.0	Exact normalized label match
metatraits:biosafety-level	biosafety level	skos:closeMatch	METPO:1001102	biosafety level 1	semapv:LexicalMatching	0.938	Fuzzy string similarity: 93.75%
metatraits:biosafety-level	biosafety level	skos:closeMatch	METPO:1001103	biosafety level 2	semapv:LexicalMatching	0.938	Fuzzy string similarity: 93.75%
metatraits:biosafety-level	biosafety level	skos:closeMatch	METPO:1001104	biosafety level 3	semapv:LexicalMatching	0.938	Fuzzy string similarity: 93.75%
metatraits:builds-acid-from	builds acid from	skos:exactMatch	METPO:2000003	builds acid from	semapv:LexicalMatching	1.0	Exact normalized label match
metatraits:builds-acid-from	builds acid from	skos:closeMatch	METPO:2000028	does not build acid from	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:builds-base-from	builds base from	skos:exactMatch	METPO:2000004	builds base from	semapv:LexicalMatching	1.0	Exact normalized label match
metatraits:builds-base-from	builds base from	skos:closeMatch	METPO:2000029	does not build base from	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:builds-base-from	builds base from	skos:closeMatch	METPO:2000005	builds gas from	semapv:LexicalMatching	0.903	Fuzzy string similarity: 90.32258064516128%
metatraits:builds-base-from	builds base from	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-base-from-2-dehydro-d-gluconate	builds base from: 2-dehydro-D-gluconate	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-base-from-5-dehydro-d-gluconate	builds base from: 5-dehydro-D-gluconate	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-base-from-acetamide	builds base from: acetamide	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-base-from-acetate	builds base from: acetate	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-base-from-adipate	builds base from: adipate	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-base-from-allantoin	builds base from: allantoin	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-base-from-betaine	builds base from: betaine	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-base-from-citrate	builds base from: citrate	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-base-from-d-glucose	builds base from: D-glucose	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-base-from-s-lactate	builds base from: (S)-lactate	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from	builds gas from	skos:exactMatch	METPO:2000005	builds gas from	semapv:LexicalMatching	1.0	Exact normalized label match
metatraits:builds-gas-from	builds gas from	skos:closeMatch	METPO:2000030	does not build gas from	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:builds-gas-from	builds gas from	skos:closeMatch	METPO:2000004	builds base from	semapv:LexicalMatching	0.903	Fuzzy string similarity: 90.32258064516128%
metatraits:builds-gas-from	builds gas from	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-amygdalin	builds gas from: amygdalin	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-arabinose	builds gas from: arabinose	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-arbutin	builds gas from: arbutin	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-cellobiose	builds gas from: cellobiose	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-d-fructose	builds gas from: (-)-D-fructose	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-d-galactose	builds gas from: D-galactose	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-d-glucose	builds gas from: (+)-D-glucose	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-d-mannose	builds gas from: D-mannose	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-d-ribose	builds gas from: D-ribose	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-fructose	builds gas from: fructose	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-galactose	builds gas from: galactose	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-glucose	builds gas from: glucose	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-nitrate	builds gas from: nitrate	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-nitrite	builds gas from: nitrite	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:builds-gas-from-sodium-thiosulfate	builds gas from: sodium thiosulfate	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.85	Both reference GO:0008152
metatraits:carbon-source	carbon source	skos:closeMatch	METPO:2000006	uses as carbon source	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:carbon-source	carbon source	skos:closeMatch	METPO:2000031	does not use as carbon source	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:cell-length	cell length	skos:exactMatch	METPO:1000881	cell length	semapv:LexicalMatching	1.0	Exact normalized label match
metatraits:cell-length-maximum	cell length maximum	skos:closeMatch	METPO:1000885	cell length medium	semapv:LexicalMatching	0.865	Fuzzy string similarity: 86.48648648648648%
metatraits:cell-length-minimum	cell length minimum	skos:closeMatch	METPO:1000885	cell length medium	semapv:LexicalMatching	0.865	Fuzzy string similarity: 86.48648648648648%
metatraits:cell-shape	cell shape	skos:exactMatch	METPO:1000666	cell shape	semapv:LexicalMatching	1.0	Exact normalized label match
metatraits:cell-width	cell width	skos:exactMatch	METPO:1000882	cell width	semapv:LexicalMatching	1.0	Exact normalized label match
metatraits:cell-width-maximum	cell width maximum	skos:closeMatch	METPO:1000889	cell width medium	semapv:LexicalMatching	0.857	Fuzzy string similarity: 85.71428571428572%
metatraits:cell-width-minimum	cell width minimum	skos:closeMatch	METPO:1000889	cell width medium	semapv:LexicalMatching	0.857	Fuzzy string similarity: 85.71428571428572%
metatraits:degradation	degradation	skos:closeMatch	METPO:2000007	degrades	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:degradation	degradation	skos:closeMatch	METPO:2000033	does not degrade	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:electron-acceptor	electron acceptor	skos:closeMatch	METPO:2000008	uses as electron acceptor	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:electron-acceptor	electron acceptor	skos:closeMatch	METPO:2000034	does not use as electron acceptor	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:electron-donor	electron donor	skos:closeMatch	METPO:2000009	uses as electron donor	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:electron-donor	electron donor	skos:closeMatch	METPO:2000035	does not use as electron donor	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:energy-source	energy source	skos:closeMatch	METPO:2000010	uses as energy source	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:energy-source	energy source	skos:closeMatch	METPO:2000036	does not use as energy source	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:facultative-anaerobe	facultative anaerobe	skos:closeMatch	METPO:1000605	facultatively anaerobic	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:facultative-anaerobe	facultative anaerobe	skos:relatedMatch	METPO:1000608	facultatively aerobic	semapv:MappingChaining	0.85	Both reference OMP:0000087
metatraits:facultative-anaerobe	facultative anaerobe	skos:relatedMatch	METPO:1000610	microaerotolerant	semapv:MappingChaining	0.85	Both reference OMP:0000087
metatraits:facultative-anaerobe	facultative anaerobe	skos:relatedMatch	METPO:1000612	facultative oxygen preference	semapv:MappingChaining	0.85	Both reference OMP:0000087
metatraits:fermentation	fermentation	skos:exactMatch	METPO:1002005	Fermentation	semapv:LexicalMatching	1.0	Exact normalized label match
metatraits:fermentation	fermentation	skos:closeMatch	METPO:2000011	ferments	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:fermentation	fermentation	skos:closeMatch	METPO:2000037	does not ferment	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:fermentation-1-2-propandiol	fermentation: 1,2-propandiol	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-2-d-lactose	fermentation: (2)-D-lactose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-2-dehydro-d-gluconate	fermentation: 2-dehydro-D-gluconate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-2-oxogluconate	fermentation: 2-oxogluconate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-2-oxoglutarate	fermentation: 2-oxoglutarate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-3-o-methyl-alpha-d-glucopyranoside	fermentation: 3-O-methyl alpha-D-glucopyranoside	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-4-nitrophenyl-beta-d-galactopyranoside	fermentation: 4-nitrophenyl beta-D-galactopyranoside	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-5-dehydro-d-gluconate	fermentation: 5-dehydro-D-gluconate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-acetate	fermentation: acetate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-adipate	fermentation: adipate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-agarose	fermentation: agarose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-alginate	fermentation: alginate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-amygdalin	fermentation: amygdalin	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-arabinitol	fermentation: arabinitol	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-arabinogalactan	fermentation: arabinogalactan	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-arabinose	fermentation: arabinose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-arbutin	fermentation: arbutin	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-arginine	fermentation: arginine	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-aspartate	fermentation: aspartate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-beef-extract	fermentation: beef extract	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-beta-d-glucose	fermentation: beta-d-glucose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-betaine	fermentation: betaine	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-butanol	fermentation: butanol	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-carbon-monoxide	fermentation: carbon monoxide	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-carboxymethylcellulose	fermentation: carboxymethylcellulose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-casamino-acids	fermentation: casamino acids	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-casein-hydrolysate	fermentation: casein hydrolysate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-cellobiose	fermentation: cellobiose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-cellotetraose	fermentation: cellotetraose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-cellotriose	fermentation: cellotriose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-cellulose	fermentation: cellulose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-chitin	fermentation: chitin	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-choline	fermentation: choline	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-citrate	fermentation: citrate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-crotonate	fermentation: crotonate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-cysteine	fermentation: cysteine	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-arabinose	fermentation: D-arabinose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-arabitol	fermentation: D-arabitol	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-fructose	fermentation: D-fructose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-fucose	fermentation: D-fucose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-galactose	fermentation: D-galactose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-galacturonic-acid	fermentation: D-galacturonic acid	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-glucose	fermentation: D-glucose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-lyxose	fermentation: D-lyxose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-mannitol	fermentation: D-mannitol	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-mannose	fermentation: D-mannose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-rhamnose	fermentation: D-rhamnose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-ribose	fermentation: D-ribose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-sorbitol	fermentation: D-sorbitol	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-d-xylose	fermentation: D-xylose	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-decanoate	fermentation: decanoate	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-dextrin	fermentation: dextrin	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-dihydrogen	fermentation: dihydrogen	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-erythritol	fermentation: erythritol	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-esculin	fermentation: esculin	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
metatraits:fermentation-ethanol	fermentation: ethanol	skos:relatedMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	Both reference GO:0006113
