card_id	trait_name	mapping_kind	base_category	substrate_label	predicate_positive_id	predicate_positive_label	predicate_negative_id	predicate_negative_label	substrate_chebi_ids	process_curies	matched_process_metpo	status	trait_format	curie_count	usable_external_curies
facultative-anaerobe	facultative anaerobe	base								OMP:0000087	METPO:1000605|facultatively anaerobic; METPO:1000608|facultatively aerobic; METPO:1000610|microaerotolerant; METPO:1000612|facultative oxygen preference	resolved	uncomposed_boolean	1	
obligate-aerobic	obligate aerobic	base								OMP:0000185	METPO:1000606|obligately aerobic	resolved	uncomposed_boolean	1	
obligate-anaerobic	obligate anaerobic	base								OMP:0000184	METPO:1000611|strictly anaerobic	resolved	uncomposed_boolean	1	
oxygen-preference	oxygen preference	base								MICRO:0000491	METPO:1000601|oxygen preference; METPO:1000601|oxygen preference	resolved	uncomposed_factor	1	
capnophilic	capnophilic	base								SNOMED:413748004	METPO:1005021|capnophilic	resolved	uncomposed_boolean	1	
ph-growth	pH growth	base								OMP:0005008	METPO:1003000|pH growth preference	resolved	uncomposed_numeric	1	
ph-maximum	pH maximum	base								OMP:0005008	METPO:1003000|pH growth preference	resolved	uncomposed_numeric	1	
ph-minimum	pH minimum	base								OMP:0005008	METPO:1003000|pH growth preference	resolved	uncomposed_numeric	1	
ph-preference	pH preference	base								OMP:0005008	METPO:1003000|pH growth preference	resolved	uncomposed_factor	1	
presence-of-hemolysis	presence of hemolysis	base								OMP:0005117	METPO:1005025|hemolysis	resolved	uncomposed_factor	1	
presence-of-motility	presence of motility	base								OMP:0000005	METPO:1000702|motile	resolved	uncomposed_boolean	1	
psychrophilic	psychrophilic	base								MICRO:0001306	METPO:1000614|psychrophilic; METPO:1000720|facultative psychrophilic	resolved	uncomposed_boolean	1	
salinity-growth	salinity growth	base								OMP:0005013	METPO:2000707|has growth salinity value	resolved	uncomposed_numeric	1	
salinity-maximum	salinity maximum	base								OMP:0005013	METPO:2000709|has maximum salinity value	resolved	uncomposed_numeric	1	
salinity-minimum	salinity minimum	base								OMP:0005013	METPO:2000708|has minimum salinity value	resolved	uncomposed_numeric	1	
salinity-preference	salinity preference	base								OMP:0005013	METPO:1000629|halophily preference	resolved	uncomposed_factor	1	
sporulation	sporulation	base								GO:0043934	METPO:1000870|sporulation	resolved	uncomposed_boolean	1	GO
temperature-growth	temperature growth	base								OMP:0005002	METPO:1000613|temperature preference	resolved	uncomposed_numeric	1	
temperature-maximum	temperature maximum	base								OMP:0005002	METPO:1000613|temperature preference	resolved	uncomposed_numeric	1	
temperature-minimum	temperature minimum	base								OMP:0005002	METPO:1000613|temperature preference	resolved	uncomposed_numeric	1	
temperature-preference	temperature preference	base								OMP:0005002	METPO:1000613|temperature preference	resolved	uncomposed_factor	1	
thermophilic	thermophilic	base								MICRO:0000118	METPO:1000616|thermophilic	resolved	uncomposed_boolean	1	
voges-proskauer-test	voges-proskauer test	base								SNOMED:66592006	METPO:1005016|Voges-Proskauer test	resolved	uncomposed_boolean	1	
aerobic-catabolization	aerobic catabolization	base								GO:0009060	METPO:1000800|respiration; METPO:1000801|Aerobic respiration	resolved	uncomposed_boolean	1	GO
aerobic-growth	aerobic growth	base								GO:0040007; PATO:0001455		missing_process_term	uncomposed_boolean	2	GO
anaerobic-catabolization	anaerobic catabolization	base								GO:0009061	METPO:1000802|Anaerobic respiration	resolved	uncomposed_boolean	1	GO
anaerobic-growth-in-the-dark	anaerobic growth in the dark	base								FBcv:0007038; GO:0040007; PATO:0001456		missing_process_term	uncomposed_boolean	3	GO
anaerobic-growth-with-light	anaerobic growth with light	base								FBcv:0007038; GO:0040007; PATO:0001456		missing_process_term	uncomposed_boolean	3	GO
anaerobic-growth	anaerobic growth	base								GO:0040007; PATO:0001456		missing_process_term	uncomposed_boolean	2	GO
assimilation	assimilation	base								GO:0009058		missing_process_term	uncomposed_boolean	1	GO
builds-acid-from	builds acid from	base								GO:0016053		missing_process_term	uncomposed_boolean	1	GO
builds-base-from	builds base from	base								GO:0008152		missing_process_term	uncomposed_boolean	1	GO
builds-gas-from	builds gas from	base								GO:0008152		missing_process_term	uncomposed_boolean	1	GO
carbon-source	carbon source	base								GO:0015976		missing_process_term	uncomposed_boolean	1	GO
degradation	degradation	base								GO:0009056		missing_process_term	uncomposed_boolean	1	GO
electron-acceptor	electron acceptor	base										missing_process_term	uncomposed_boolean	1	CHEBI
electron-donor	electron donor	base										missing_process_term	uncomposed_boolean	1	CHEBI
energy-source	energy source	base								GO:0015980		missing_process_term	uncomposed_boolean	1	GO
fermentation	fermentation	base								GO:0006113	METPO:1002005|Fermentation	resolved	uncomposed_boolean	1	GO
growth	growth	base								GO:0040007		missing_process_term	uncomposed_boolean	1	GO
hydrolysis	hydrolysis	base								GO:0016787		missing_process_term	uncomposed_boolean	1	GO
nitrogen-source	nitrogen source	base								GO:0019740		missing_process_term	uncomposed_boolean	1	GO
oxidation	oxidation	base								GO:0055114		missing_process_term	uncomposed_boolean	1	GO
produces	produces	base								GO:0009058		missing_process_term	uncomposed_boolean	1	GO
reduction	reduction	base								GO:0055114		missing_process_term	uncomposed_boolean	1	GO
required-for-growth	required for growth	base								SNOMED:405662005		missing_process_term	uncomposed_boolean	2	CHEBI
respiration	respiration	base								GO:0045333	METPO:1000800|respiration	resolved	uncomposed_boolean	1	GO
sulfur-source	sulfur source	base								GO:0006791		missing_process_term	uncomposed_boolean	1	GO
utilizes	utilizes	base								GO:0008152		missing_process_term	uncomposed_boolean	1	GO
aerobic-catabolization-quinic-acid	aerobic catabolization: (-)-quinic acid	composed	aerobic catabolization	(-)-quinic acid	METPO:2000032	uses for aerobic catabolization	METPO:2000021	does not use for aerobic catabolization	CHEBI:17521	GO:0009060	METPO:1000800|respiration; METPO:1000801|Aerobic respiration	resolved	composed_boolean	2	CHEBI; GO
aerobic-catabolization-2-oxoglutarate	aerobic catabolization: 2-oxoglutarate	composed	aerobic catabolization	2-oxoglutarate	METPO:2000032	uses for aerobic catabolization	METPO:2000021	does not use for aerobic catabolization	CHEBI:30916	GO:0009060	METPO:1000800|respiration; METPO:1000801|Aerobic respiration	resolved	composed_boolean	2	CHEBI; GO
aerobic-catabolization-4-hydroxybutyrate	aerobic catabolization: 4-hydroxybutyrate	composed	aerobic catabolization	4-hydroxybutyrate	METPO:2000032	uses for aerobic catabolization	METPO:2000021	does not use for aerobic catabolization	CHEBI:16724	GO:0009060	METPO:1000800|respiration; METPO:1000801|Aerobic respiration	resolved	composed_boolean	2	CHEBI; GO
aerobic-catabolization-acetate	aerobic catabolization: acetate	composed	aerobic catabolization	acetate	METPO:2000032	uses for aerobic catabolization	METPO:2000021	does not use for aerobic catabolization	CHEBI:30089	GO:0009060	METPO:1000800|respiration; METPO:1000801|Aerobic respiration	resolved	composed_boolean	2	CHEBI; GO
aerobic-catabolization-alpha-d-glucose	aerobic catabolization: alpha-D-glucose	composed	aerobic catabolization	alpha-D-glucose	METPO:2000032	uses for aerobic catabolization	METPO:2000021	does not use for aerobic catabolization	CHEBI:17925	GO:0009060	METPO:1000800|respiration; METPO:1000801|Aerobic respiration	resolved	composed_boolean	2	CHEBI; GO
aerobic-catabolization-cellobiose	aerobic catabolization: cellobiose	composed	aerobic catabolization	cellobiose	METPO:2000032	uses for aerobic catabolization	METPO:2000021	does not use for aerobic catabolization	CHEBI:17057	GO:0009060	METPO:1000800|respiration; METPO:1000801|Aerobic respiration	resolved	composed_boolean	2	CHEBI; GO
aerobic-catabolization-cis-aconitate	aerobic catabolization: cis-aconitate	composed	aerobic catabolization	cis-aconitate	METPO:2000032	uses for aerobic catabolization	METPO:2000021	does not use for aerobic catabolization	CHEBI:16383	GO:0009060	METPO:1000800|respiration; METPO:1000801|Aerobic respiration	resolved	composed_boolean	2	CHEBI; GO
aerobic-catabolization-d-fructose	aerobic catabolization: D-fructose	composed	aerobic catabolization	D-fructose	METPO:2000032	uses for aerobic catabolization	METPO:2000021	does not use for aerobic catabolization	CHEBI:15824	GO:0009060	METPO:1000800|respiration; METPO:1000801|Aerobic respiration	resolved	composed_boolean	2	CHEBI; GO
aerobic-catabolization-d-galactose	aerobic catabolization: D-galactose	composed	aerobic catabolization	D-galactose	METPO:2000032	uses for aerobic catabolization	METPO:2000021	does not use for aerobic catabolization	CHEBI:12936	GO:0009060	METPO:1000800|respiration; METPO:1000801|Aerobic respiration	resolved	composed_boolean	2	CHEBI; GO
aerobic-catabolization-dihydrogen	aerobic catabolization: dihydrogen	composed	aerobic catabolization	dihydrogen	METPO:2000032	uses for aerobic catabolization	METPO:2000021	does not use for aerobic catabolization	CHEBI:18276	GO:0009060	METPO:1000800|respiration; METPO:1000801|Aerobic respiration	resolved	composed_boolean	2	CHEBI; GO
aerobic-growth-chemoheterotrophy	aerobic growth: chemoheterotrophy	composed	aerobic growth	chemoheterotrophy	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth		ECOCORE:00000132; GO:0040007; PATO:0001455	METPO:1000636|chemoheterotrophic	resolved_nonchebi_with_notes	composed_boolean	3	GO
aerobic-growth-anoxygenic-phototrophy	aerobic growth: anoxygenic phototrophy	composed	aerobic growth	anoxygenic phototrophy	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth		ECOCORE:00000131; GO:0040007; PATO:0001455	METPO:1000657|photoheterotrophic	resolved_nonchebi_with_notes	composed_boolean	3	GO
aerobic-growth-l-ornithine	aerobic growth: (+)-L-ornithine	composed	aerobic growth	(+)-L-ornithine	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:15729	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-acetate	aerobic growth: acetate	composed	aerobic growth	acetate	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:30089	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-acetic-acid	aerobic growth: acetic acid	composed	aerobic growth	acetic acid	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:16411	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-adipate	aerobic growth: adipate	composed	aerobic growth	adipate	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:17128	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-alginate	aerobic growth: alginate	composed	aerobic growth	alginate	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:58187	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-alpha-d-glucose	aerobic growth: alpha-D-glucose	composed	aerobic growth	alpha-D-glucose	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:17925	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-arabinose	aerobic growth: arabinose	composed	aerobic growth	arabinose	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:22599	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-aspartate	aerobic growth: aspartate	composed	aerobic growth	aspartate	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:35391	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-butyrate	aerobic growth: butyrate	composed	aerobic growth	butyrate	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:17968	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-casamino-acids	aerobic growth: casamino acids	composed	aerobic growth	casamino acids	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth		GO:0040007; PATO:0001455		missing_chebi; missing_process_term	composed_boolean	2	GO
aerobic-growth-casein-hydrolysate	aerobic growth: casein hydrolysate	composed	aerobic growth	casein hydrolysate	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth		GO:0040007; PATO:0001455		missing_chebi; missing_process_term	composed_boolean	2	GO
aerobic-growth-cellobiose	aerobic growth: cellobiose	composed	aerobic growth	cellobiose	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:17057	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-citrate	aerobic growth: citrate	composed	aerobic growth	citrate	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:16947	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-d-fructose	aerobic growth: D-fructose	composed	aerobic growth	D-fructose	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:15824	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-d-galactose	aerobic growth: D-galactose	composed	aerobic growth	D-galactose	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:12936	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-d-glucose	aerobic growth: D-glucose	composed	aerobic growth	D-glucose	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:17634	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-d-mannitol	aerobic growth: D-mannitol	composed	aerobic growth	D-mannitol	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:16899	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
aerobic-growth-d-mannose	aerobic growth: D-mannose	composed	aerobic growth	D-mannose	METPO:2000043	uses for aerobic growth	METPO:2000022	does not use for aerobic growth	CHEBI:16024	GO:0040007; PATO:0001455		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-catabolization-acetate	anaerobic catabolization: acetate	composed	anaerobic catabolization	acetate	METPO:2000048	uses for anaerobic catabolization	METPO:2000023	does not use for anaerobic catabolization	CHEBI:30089	GO:0009061	METPO:1000802|Anaerobic respiration	resolved	composed_boolean	2	CHEBI; GO
anaerobic-catabolization-cellobiose	anaerobic catabolization: cellobiose	composed	anaerobic catabolization	cellobiose	METPO:2000048	uses for anaerobic catabolization	METPO:2000023	does not use for anaerobic catabolization	CHEBI:17057	GO:0009061	METPO:1000802|Anaerobic respiration	resolved	composed_boolean	2	CHEBI; GO
anaerobic-catabolization-d-arabinose	anaerobic catabolization: D-arabinose	composed	anaerobic catabolization	D-arabinose	METPO:2000048	uses for anaerobic catabolization	METPO:2000023	does not use for anaerobic catabolization	CHEBI:17108	GO:0009061	METPO:1000802|Anaerobic respiration	resolved	composed_boolean	2	CHEBI; GO
anaerobic-catabolization-d-fructose	anaerobic catabolization: D-fructose	composed	anaerobic catabolization	D-fructose	METPO:2000048	uses for anaerobic catabolization	METPO:2000023	does not use for anaerobic catabolization	CHEBI:15824	GO:0009061	METPO:1000802|Anaerobic respiration	resolved	composed_boolean	2	CHEBI; GO
anaerobic-growth-in-the-dark-acetate	anaerobic growth in the dark: acetate	composed	anaerobic growth in the dark	acetate	METPO:2000050	uses for anaerobic growth in the dark	METPO:2000025	does not use for anaerobic growth in the dark	CHEBI:30089	FBcv:0007038; GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	4	CHEBI; GO
anaerobic-growth-in-the-dark-aspartate	anaerobic growth in the dark: aspartate	composed	anaerobic growth in the dark	aspartate	METPO:2000050	uses for anaerobic growth in the dark	METPO:2000025	does not use for anaerobic growth in the dark	CHEBI:35391	FBcv:0007038; GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	4	CHEBI; GO
anaerobic-growth-in-the-dark-butyrate	anaerobic growth in the dark: butyrate	composed	anaerobic growth in the dark	butyrate	METPO:2000050	uses for anaerobic growth in the dark	METPO:2000025	does not use for anaerobic growth in the dark	CHEBI:17968	FBcv:0007038; GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	4	CHEBI; GO
anaerobic-growth-with-light-acetate	anaerobic growth with light: acetate	composed	anaerobic growth with light	acetate	METPO:2000051	uses for anaerobic growth with light	METPO:2000026	does not use for anaerobic growth with light	CHEBI:30089	FBcv:0007038; GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	4	CHEBI; GO
anaerobic-growth-with-light-aspartate	anaerobic growth with light: aspartate	composed	anaerobic growth with light	aspartate	METPO:2000051	uses for anaerobic growth with light	METPO:2000026	does not use for anaerobic growth with light	CHEBI:35391	FBcv:0007038; GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	4	CHEBI; GO
anaerobic-growth-with-light-bromosuccinate	anaerobic growth with light: bromosuccinate	composed	anaerobic growth with light	bromosuccinate	METPO:2000051	uses for anaerobic growth with light	METPO:2000026	does not use for anaerobic growth with light	CHEBI:73706	FBcv:0007038; GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	4	CHEBI; GO
anaerobic-growth-with-light-butyrate	anaerobic growth with light: butyrate	composed	anaerobic growth with light	butyrate	METPO:2000051	uses for anaerobic growth with light	METPO:2000026	does not use for anaerobic growth with light	CHEBI:17968	FBcv:0007038; GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	4	CHEBI; GO
anaerobic-growth-with-light-casamino-acids	anaerobic growth with light: casamino acids	composed	anaerobic growth with light	casamino acids	METPO:2000051	uses for anaerobic growth with light	METPO:2000026	does not use for anaerobic growth with light		FBcv:0007038; GO:0040007; PATO:0001456		missing_chebi; missing_process_term	composed_boolean	3	GO
anaerobic-growth-with-light-casein-hydrolysate	anaerobic growth with light: casein hydrolysate	composed	anaerobic growth with light	casein hydrolysate	METPO:2000051	uses for anaerobic growth with light	METPO:2000026	does not use for anaerobic growth with light		FBcv:0007038; GO:0040007; PATO:0001456		missing_chebi; missing_process_term	composed_boolean	3	GO
anaerobic-growth-with-light-citrate	anaerobic growth with light: citrate	composed	anaerobic growth with light	citrate	METPO:2000051	uses for anaerobic growth with light	METPO:2000026	does not use for anaerobic growth with light	CHEBI:16947	FBcv:0007038; GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	4	CHEBI; GO
anaerobic-growth-with-light-ethanol	anaerobic growth with light: ethanol	composed	anaerobic growth with light	ethanol	METPO:2000051	uses for anaerobic growth with light	METPO:2000026	does not use for anaerobic growth with light	CHEBI:16236	FBcv:0007038; GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	4	CHEBI; GO
anaerobic-growth-1-2-butandiol	anaerobic growth: 1,2-butandiol	composed	anaerobic growth	1,2-butandiol	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:52682	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-acetate	anaerobic growth: acetate	composed	anaerobic growth	acetate	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:30089	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-acetone	anaerobic growth: acetone	composed	anaerobic growth	acetone	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:15347	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-alanine	anaerobic growth: alanine	composed	anaerobic growth	alanine	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:16449	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-alpha-d-glucose	anaerobic growth: alpha-D-glucose	composed	anaerobic growth	alpha-D-glucose	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:17925	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-arabinose	anaerobic growth: arabinose	composed	anaerobic growth	arabinose	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:22599	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-arginine	anaerobic growth: arginine	composed	anaerobic growth	arginine	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:29016	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-asparagine	anaerobic growth: asparagine	composed	anaerobic growth	asparagine	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:22653	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-betaine	anaerobic growth: betaine	composed	anaerobic growth	betaine	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:17750	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-butanol	anaerobic growth: butanol	composed	anaerobic growth	butanol	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:28885	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-butyrate	anaerobic growth: butyrate	composed	anaerobic growth	butyrate	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:17968	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-carbon-dioxide	anaerobic growth: carbon dioxide	composed	anaerobic growth	carbon dioxide	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:16526	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-casamino-acids	anaerobic growth: casamino acids	composed	anaerobic growth	casamino acids	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth		GO:0040007; PATO:0001456		missing_chebi; missing_process_term	composed_boolean	2	GO
anaerobic-growth-cellobiose	anaerobic growth: cellobiose	composed	anaerobic growth	cellobiose	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:17057	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-chitin	anaerobic growth: chitin	composed	anaerobic growth	chitin	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:17029	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-citrate	anaerobic growth: citrate	composed	anaerobic growth	citrate	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:16947	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-d-alanine	anaerobic growth: D-alanine	composed	anaerobic growth	D-alanine	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:15570	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-d-alloisoleucine-zwitterion	anaerobic growth: D-alloisoleucine zwitterion	composed	anaerobic growth	D-alloisoleucine zwitterion	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:85306	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-d-arabinose	anaerobic growth: D-arabinose	composed	anaerobic growth	D-arabinose	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:17108	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-d-glucose	anaerobic growth: D-glucose	composed	anaerobic growth	D-glucose	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:17634	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-dextran	anaerobic growth: dextran	composed	anaerobic growth	dextran	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:52071	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
anaerobic-growth-dimethyl-sulfoxide	anaerobic growth: dimethyl sulfoxide	composed	anaerobic growth	dimethyl sulfoxide	METPO:2000049	uses for anaerobic growth	METPO:2000024	does not use for anaerobic growth	CHEBI:28262	GO:0040007; PATO:0001456		resolved_with_notes	composed_boolean	3	CHEBI; GO
