external_curie	prefix	ontology_name	native_label	has_metpo_mapping	metpo_id	metpo_label	kgx_role	example_cards	llm_metpo_id	llm_metpo_label	llm_match_type	llm_notes
EC2.3.2.2	EC	Enzyme Commission	gamma-glutamyltransferase	no			object	enzyme activity: gamma-glutamyltransferase (EC2.3.2.2)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.1.3.1	EC	Enzyme Commission	alkaline phosphatase	no			object	enzyme activity: alkaline phosphatase (EC3.1.3.1)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.1.3.2	EC	Enzyme Commission	acid phosphatase	no			object	enzyme activity: acid phosphatase (EC3.1.3.2); enzyme activity: Acid phosphatase (EC3.1.3.2)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.1.6.1	EC	Enzyme Commission	arylsulfatase	no			object	enzyme activity: arylsulfatase (EC3.1.6.1)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.1	EC	Enzyme Commission	alpha-Amylase	no			object	enzyme activity: alpha-Amylase (EC3.2.1.1)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.139	EC	Enzyme Commission	alpha-glucuronidase	no			object	enzyme activity: alpha-glucuronidase (EC3.2.1.139)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.14	EC	Enzyme Commission	chitinase	no			object	enzyme activity: chitinase (EC3.2.1.14)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.16	EC	Enzyme Commission	alginase	no			object	enzyme activity: alginase (EC3.2.1.16)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.17	EC	Enzyme Commission	lysozyme	no			object	enzyme activity: lysozyme (EC3.2.1.17)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.18	EC	Enzyme Commission	neuramindase	no			object	enzyme activity: neuramindase (EC3.2.1.18)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.20	EC	Enzyme Commission	alpha-glucosidase	no			object	enzyme activity: alpha-glucosidase (EC3.2.1.20)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.21	EC	Enzyme Commission	beta-glucosidase	no			object	enzyme activity: beta-glucosidase (EC3.2.1.21)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.22	EC	Enzyme Commission	alpha-galactosidase	no			object	enzyme activity: alpha-galactosidase (EC3.2.1.22)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.23	EC	Enzyme Commission	beta-D-galactosidase	no			object	enzyme activity: beta-D-galactosidase (EC3.2.1.23); enzyme activity: beta-galactosidase (EC3.2.1.23)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.24	EC	Enzyme Commission	alpha-mannosidase	no			object	enzyme activity: alpha-mannosidase (EC3.2.1.24)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.25	EC	Enzyme Commission	beta-mannosidase	no			object	enzyme activity: beta-mannosidase (EC3.2.1.25)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.31	EC	Enzyme Commission	beta-glucoronidase	no			object	enzyme activity: beta-glucoronidase (EC3.2.1.31); enzyme activity: beta-glucuronidase (EC3.2.1.31)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.38	EC	Enzyme Commission	beta-D-fucosidase	no			object	enzyme activity: beta-D-fucosidase (EC3.2.1.38)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.4	EC	Enzyme Commission	cellulase	no			object	enzyme activity: cellulase (EC3.2.1.4)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.40	EC	Enzyme Commission	alpha-L-rhamnosidase	no			object	enzyme activity: alpha-L-rhamnosidase (EC3.2.1.40)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.51	EC	Enzyme Commission	alpha-fucosidase	no			object	enzyme activity: alpha-fucosidase (EC3.2.1.51)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.52	EC	Enzyme Commission	2-nitrophenyl beta-D-galactopyranoside	no			object	enzyme activity: 2-nitrophenyl beta-D-galactopyranoside (EC3.2.1.52); enzyme activity: 4-nitrophenyl beta-D-galactopyranoside (EC3.2.1.52); enzyme activity: 4-nitrophenyl-beta-D-galactopyranoside (EC3.2.1.52) (+1 more)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.55	EC	Enzyme Commission	alpha-arabinosidase	no			object	enzyme activity: alpha-arabinosidase (EC3.2.1.55)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.6	EC	Enzyme Commission	endo-1,3(4)-beta-glucanase	no			object	enzyme activity: endo-1,3(4)-beta-glucanase (EC3.2.1.6)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.8	EC	Enzyme Commission	endo-1,4-beta-xylanase	no			object	enzyme activity: endo-1,4-beta-xylanase (EC3.2.1.8)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.81	EC	Enzyme Commission	agarase	no			object	enzyme activity: agarase (EC3.2.1.81)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.2.1.85	EC	Enzyme Commission	6-phospho-beta-galactosidase	no			object	enzyme activity: 6-phospho-beta-galactosidase (EC3.2.1.85); enzyme activity: beta-galactosidase (EC3.2.1.85)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.1.1	EC	Enzyme Commission	leucine aminopeptidase	no			object	enzyme activity: leucine aminopeptidase (EC3.4.1.1)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.11.1	EC	Enzyme Commission	leucine arylamidase	no			object	enzyme activity: leucine arylamidase (EC3.4.11.1); enzyme activity: leucyl glycin arylamidase (EC3.4.11.1)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.11.2	EC	Enzyme Commission	alanine arylamidase	no			object	enzyme activity: alanine arylamidase (EC3.4.11.2)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.11.21	EC	Enzyme Commission	L-aspartate arylamidase	no			object	enzyme activity: L-aspartate arylamidase (EC3.4.11.21)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.11.3	EC	Enzyme Commission	cystine aminopeptidase	no			object	enzyme activity: cystine aminopeptidase (EC3.4.11.3); enzyme activity: cystine arylamidase (EC3.4.11.3)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.11.4	EC	Enzyme Commission	tripeptide aminopeptidase	no			object	enzyme activity: tripeptide aminopeptidase (EC3.4.11.4)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.11.5	EC	Enzyme Commission	proline-arylamidase	no			object	enzyme activity: proline-arylamidase (EC3.4.11.5)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.19.3	EC	Enzyme Commission	pyrrolidonyl arylamidase	no			object	enzyme activity: pyrrolidonyl arylamidase (EC3.4.19.3)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.21.1	EC	Enzyme Commission	alpha-chymotrypsin	no			object	enzyme activity: alpha-chymotrypsin (EC3.4.21.1)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.21.4	EC	Enzyme Commission	trypsin	no			object	enzyme activity: trypsin (EC3.4.21.4)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.21.50	EC	Enzyme Commission	caseinase	no			object	enzyme activity: caseinase (EC3.4.21.50)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.4.4.5	EC	Enzyme Commission	chymotrypsin	no			object	enzyme activity: chymotrypsin (EC3.4.4.5)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.5.1.32	EC	Enzyme Commission	hippurate hydrolase	no			object	enzyme activity: hippurate hydrolase (EC3.5.1.32)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.5.1.5	EC	Enzyme Commission	urease	no			object	enzyme activity: urease (EC3.5.1.5)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.5.1.72	EC	Enzyme Commission	benzoyl-D-arginine arylamidase	no			object	enzyme activity: benzoyl-D-arginine arylamidase (EC3.5.1.72)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.5.1.B15	EC	Enzyme Commission	pyrazinamidase	no			object	enzyme activity: pyrazinamidase (EC3.5.1.B15)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.5.2.6	EC	Enzyme Commission	beta-lactamase	no			object	enzyme activity: beta-lactamase (EC3.5.2.6)			not_needed	EC numbers serve directly as objects in KGX edges
EC3.5.3.6	EC	Enzyme Commission	arginine dihydrolase	no			object	enzyme activity: arginine dihydrolase (EC3.5.3.6)			not_needed	EC numbers serve directly as objects in KGX edges
EC4.1.1.15	EC	Enzyme Commission	glutamate decarboxylase	no			object	enzyme activity: glutamate decarboxylase (EC4.1.1.15)			not_needed	EC numbers serve directly as objects in KGX edges
EC4.1.1.17	EC	Enzyme Commission	ornithine decarboxylase	no			object	enzyme activity: ornithine decarboxylase (EC4.1.1.17)			not_needed	EC numbers serve directly as objects in KGX edges
EC4.1.1.18	EC	Enzyme Commission	lysine decarboxylase	no			object	enzyme activity: lysine decarboxylase (EC4.1.1.18)			not_needed	EC numbers serve directly as objects in KGX edges
EC4.1.1.19	EC	Enzyme Commission	arginine decarboxylase	no			object	enzyme activity: arginine decarboxylase (EC4.1.1.19)			not_needed	EC numbers serve directly as objects in KGX edges
EC4.1.1.27	EC	Enzyme Commission	tryptophan decarboxylase	no			object	enzyme activity: tryptophan decarboxylase (EC4.1.1.27)			not_needed	EC numbers serve directly as objects in KGX edges
EC4.1.1.39	EC	Enzyme Commission	Ribulose-bisphosphate carboxylase	no			object	enzyme activity: Ribulose-bisphosphate carboxylase (EC4.1.1.39)			not_needed	EC numbers serve directly as objects in KGX edges
EC4.1.2.22	EC	Enzyme Commission	fructose-6-phosphate phosphoketolase	no			object	enzyme activity: fructose-6-phosphate phosphoketolase (EC4.1.2.22)			not_needed	EC numbers serve directly as objects in KGX edges
EC4.1.99.1	EC	Enzyme Commission	tryptophan deaminase	no			object	enzyme activity: tryptophan deaminase (EC4.1.99.1); enzyme activity: tryptophanase (EC4.1.99.1)			not_needed	EC numbers serve directly as objects in KGX edges
EC4.3.1.24	EC	Enzyme Commission	phenylalanine ammonia-lyase	no			object	enzyme activity: phenylalanine ammonia-lyase (EC4.3.1.24)			not_needed	EC numbers serve directly as objects in KGX edges
EC4.3.1.5	EC	Enzyme Commission	phenylalanine deaminase	no			object	enzyme activity: phenylalanine deaminase (EC4.3.1.5)			not_needed	EC numbers serve directly as objects in KGX edges
ECOCORE:00000017	ECOCORE	ECOCORE	phototrophy	yes	METPO:1000656	photoautotrophic	object	growth: phototrophy			xref_confirmed
ECOCORE:00000130	ECOCORE	ECOCORE	photoautotroph	no			object	growth: anoxygenic photoautotrophy; growth: oxygenic photoautotrophy; growth: photoautotrophy	METPO:1000656	photoautotrophic	exact_semantic	photoautotroph maps to photoautotrophic trophic type
ECOCORE:00000131	ECOCORE	ECOCORE	photoheterotroph	yes	METPO:1000657	photoheterotrophic	object	aerobic growth: anoxygenic phototrophy; growth: photoheterotrophy			xref_confirmed
ECOCORE:00000132	ECOCORE	ECOCORE	chemoheterotroph	yes	METPO:1000636	chemoheterotrophic	object	aerobic growth: chemoheterotrophy; growth: chemoheterotrophy			xref_confirmed
ENVO:01000739	ENVO	ENVO	habitat	no			not_for_trait_edges	habitat_count			not_applicable
ENVO:06105015	ENVO	ENVO	biodegradation of plastic	no			not_for_trait_edges	degradation: plastic			not_applicable	process annotation on degradation card
FBcv:0007038	FBcv	FlyBase CV	light conditional	no			qualifier	anaerobic growth in the dark; anaerobic growth with light; anaerobic growth in the dark: acetate (+10 more)			not_needed	environmental condition qualifier
GENEPIO:0001561	GENEPIO	GENEPIO	assembly genome size	no			not_for_trait_edges	estimated genome size; genome size			not_applicable
GO:0006113	GO	Gene Ontology	fermentation	yes	METPO:1002005	Fermentation	object_or_classifier	fermentation; fermentation; fermentation: (2)-D-lactose (+101 more)			xref_confirmed
GO:0006791	GO	Gene Ontology	sulfur utilization	no			object_or_classifier	sulfur source; sulfur source: cysteine; sulfur source: elemental sulfur			predicate_handles	METPO:2000020 uses as sulfur source
GO:0008152	GO	Gene Ontology	metabolic process	yes	METPO:1000060	metabolism	object_or_classifier	builds base from; builds gas from; utilizes (+107 more)			xref_confirmed
GO:0009056	GO	Gene Ontology	catabolic process	no			object_or_classifier	degradation; degradation: (-)-D-fructose; degradation: (-)-D-rhamnose (+78 more)			predicate_handles	METPO:2000007 degrades
GO:0009058	GO	Gene Ontology	biosynthetic process	no			object_or_classifier	assimilation; produces; assimilation: (-)-D-fructose (+809 more)			predicate_handles	METPO:2000202 produces and METPO:2000002 assimilates
GO:0009060	GO	Gene Ontology	aerobic respiration	yes	METPO:1000800; METPO:1000801	respiration; Aerobic respiration	object_or_classifier	aerobic catabolization; aerobic catabolization: (-)-quinic acid; aerobic catabolization: 2-oxoglutarate (+8 more)			xref_confirmed
GO:0009061	GO	Gene Ontology	anaerobic respiration	yes	METPO:1000802	Anaerobic respiration	object_or_classifier	anaerobic catabolization; anaerobic catabolization: acetate; anaerobic catabolization: cellobiose (+3 more)			xref_confirmed
GO:0009399	GO	Gene Ontology	nitrogen fixation	no			object	nitrogen fixation			gap	no METPO class; use biolink:capable_of GO:0009399 directly
GO:0015976	GO	Gene Ontology	carbon utilization	no			object_or_classifier	carbon source; carbon source: (-)-D-fructose; carbon source: (-)-D-rhamnose (+317 more)			predicate_handles	METPO:2000006 uses as carbon source
GO:0015980	GO	Gene Ontology	energy derivation by oxidation of organic compounds	no			object_or_classifier	energy source; energy source: (-)-quinic acid; energy source: (2)-D-lactose (+122 more)			predicate_handles	METPO:2000010 uses as energy source
GO:0016053	GO	Gene Ontology	organic acid biosynthetic process	no			object_or_classifier	builds acid from; builds acid from: (-)-D-fructose; builds acid from: (-)-D-glucose (+174 more)			predicate_handles	METPO:2000003 builds acid from
GO:0016787	GO	Gene Ontology	hydrolase activity	no			object_or_classifier	hydrolysis; hydrolysis: 1,3-beta-d-glucan; hydrolysis: 1h-indol-3-ylacetic acid (+108 more)			predicate_handles	METPO:2000013 hydrolyzes
GO:0019332	GO	Gene Ontology	aerobic respiration, using nitrite as electron donor	no			object_or_classifier	electron donor: nitrite	METPO:1000801	Aerobic respiration	semantic_broader	specific electron donor variant of aerobic respiration
GO:0019333	GO	Gene Ontology	denitrification pathway	no			object_or_classifier	denitrification: nitrate; denitrification: nitrite; denitrification: nitrous oxide (+1 more)			predicate_handles	METPO:2000601 denitrifies
GO:0019385	GO	Gene Ontology	methanogenesis, from acetate	no			object_or_classifier	produces: methane from acetate	METPO:1000844	Methanogenesis	semantic_broader	specific methanogenesis pathway
GO:0019439	GO	Gene Ontology	aromatic compound catabolic process	no			object_or_classifier	degradation: aromatic hydrocarbon; degradation: aromatic compound			predicate_handles	METPO:2000007 degrades
GO:0019740	GO	Gene Ontology	nitrogen utilization	no			object_or_classifier	nitrogen source; nitrogen source: (S)-lactate; nitrogen source: 2-aminobutyrate (+77 more)			predicate_handles	METPO:2000014 uses as nitrogen source
GO:0040007	GO	Gene Ontology	growth	no			object_or_classifier	aerobic growth; anaerobic growth in the dark; anaerobic growth with light (+311 more)			predicate_handles	METPO:2000012 uses for growth
GO:0043554	GO	Gene Ontology	aerobic respiration, using arsenite as electron donor	no			object_or_classifier	oxidation: arsenite detoxification; oxidation: arsenite	METPO:1000801	Aerobic respiration	semantic_broader	specific electron donor variant of aerobic respiration
GO:0043934	GO	Gene Ontology	sporulation	yes	METPO:1000870	sporulation	object	sporulation			xref_confirmed
GO:0045333	GO	Gene Ontology	cellular respiration	yes	METPO:1000800	respiration	object_or_classifier	respiration; respiration: (-)-quinic acid; respiration: (R)-lactate (+81 more)			xref_confirmed
GO:0046274	GO	Gene Ontology	lignin catabolic process	no			object_or_classifier	degradation: lignin			predicate_handles	METPO:2000007 degrades
GO:0055114	GO	Gene Ontology	oxidation-reduction process	no			object_or_classifier	oxidation; reduction; oxidation: (-)-quinic acid (+171 more)			predicate_handles	METPO:2000016 oxidizes / METPO:2000017 reduces
GO:0071941	GO	Gene Ontology	nitrogen cycle metabolic process	no			object_or_classifier	ammonification: nitrate; ammonification: nitrite			predicate_handles	METPO:2000603 ammonifies / METPO:2000601 denitrifies
GO:0120253	GO	Gene Ontology	hydrocarbon catabolic process	no			object_or_classifier	degradation: hydrocarbon			predicate_handles	METPO:2000007 degrades
GO:1990491	GO	Gene Ontology	methane biosynthetic process from methanol and hydrogen	no			object_or_classifier	produces: methane from hydrogen	METPO:1000844	Methanogenesis	semantic_broader	specific methanogenesis pathway
GO:2001127	GO	Gene Ontology	methane biosynthetic process from formic acid	no			object_or_classifier	produces: methane from formate	METPO:1000844	Methanogenesis	semantic_broader	specific methanogenesis pathway
MICRO:0000118	MICRO	MICRO ontology	thermophilic	yes	METPO:1000616	thermophilic	object_via_metpo_class	thermophilic			xref_confirmed
MICRO:0000430	MICRO	MICRO ontology	indole assay	no			classifier	indole test			gap	biochemical assay; no METPO class for indole test
MICRO:0000491	MICRO	MICRO ontology	aerophilicity	no			object_via_metpo_class	oxygen preference	METPO:1000601	oxygen preference	exact_semantic	aerophilicity = oxygen preference phenotype
MICRO:0000502	MICRO	MICRO ontology	aerotolerant	yes	METPO:1000609	aerotolerant	object_via_metpo_class	aerotolerant			xref_confirmed
MICRO:0000989	MICRO	MICRO ontology	growth in 6.5% NaCl assay	no			classifier	growth: 6.5% NaCl	METPO:1000532	salinity phenotype with numerical limits	semantic_broader	specific NaCl assay under salinity phenotypes
MICRO:0001306	MICRO	MICRO ontology	psychrophilic	yes	METPO:1000614; METPO:1000720	psychrophilic; facultative psychrophilic	object_via_metpo_class	psychrophilic			xref_confirmed
NCIT:C127517	NCIT	NCI Thesaurus	Blood Agar Growth Medium	no			object	growth: blood agar	METPO:1004005	growth medium	semantic_broader	specific growth medium instance
NCIT:C164457	NCIT	NCI Thesaurus	Biosafety Level Code	no			not_for_trait_edges	biosafety level	METPO:1001101	biosafety level	exact_semantic	METPO has this class but not used in MetaTraits trait edges
NCIT:C25498	NCIT	NCI Thesaurus	Estimate	no			not_for_trait_edges	estimated gene count			not_applicable	generic measurement concept
OBI:0002568	OBI	OBI	sequence data feature count tabulation	no			not_for_trait_edges	estimated gene count; gene count			not_applicable
OMIT:0004907	OMIT	OMIT	Darkness	no			qualifier	oxidation in darkness: sulfur compounds; oxidation in darkness: sulfide; oxidation in darkness: hydrogen (+1 more)			not_needed	environmental condition qualifier for darkness
OMIT:0027217	OMIT	OMIT	Nitrification	no			object_or_classifier	nitrification			gap	metabolic process; no METPO nitrification class
OMP:0000005	OMP	OMP	presence of motility	yes	METPO:1000702	motile	object_via_metpo_class	presence of motility			xref_confirmed
OMP:0000073	OMP	OMP	cell shape phenotype	yes	METPO:1000666	cell shape	object_via_metpo_class	cell shape			xref_confirmed
OMP:0000078	OMP	OMP	flagellum arrangement phenotype	no			object_via_metpo_class	flagellum arrangement	METPO:1000704	flagellated	semantic_broader	METPO lacks arrangement subtypes (polar, peritrichous)
OMP:0000087	OMP	OMP	facultative anaerobe	yes	METPO:1000605; METPO:1000608; METPO:1000610; METPO:1000612	facultatively anaerobic; facultatively aerobic; microaerotolerant; facultative oxygen preference	object_via_metpo_class	facultative anaerobe			xref_confirmed
OMP:0000116	OMP	OMP	pigmented colony	no			object_via_metpo_class	cell color: yellow pigment; cell color	METPO:1003021	pigmentation	semantic_broader	METPO pigmentation subsumes colony pigmentation
OMP:0000184	OMP	OMP	obligate anaerobe	yes	METPO:1000611	strictly anaerobic	object_via_metpo_class	obligate anaerobic			xref_confirmed
OMP:0000185	OMP	OMP	obligate aerobe	no			object_via_metpo_class	obligate aerobic	METPO:1000606	obligately aerobic	exact_semantic	obligate aerobe = obligately aerobic
OMP:0000188	OMP	OMP	gram positive	yes	METPO:1000698	gram positive	object_via_metpo_class	gram positive			xref_confirmed
OMP:0000189	OMP	OMP	gram negative	no			object_via_metpo_class	gram negative	METPO:1000699	gram negative	exact_label	xref missing from definition_source
OMP:0000317	OMP	OMP	cell diameter phenotype	no			object_via_metpo_class	cell width; cell width maximum; cell width minimum	METPO:1000882	cell width	semantic_equivalent	diameter = width for bacterial cells
OMP:0000322	OMP	OMP	cell length phenotype	no			object_via_metpo_class	cell length; cell length maximum; cell length minimum	METPO:1000881	cell length	exact_semantic	xref missing from definition_source
OMP:0005002	OMP	OMP	temperature effects on population growth phenotype	yes	METPO:1000613	temperature preference	object_via_metpo_class	temperature growth; temperature maximum; temperature minimum (+2 more)			xref_confirmed
OMP:0005008	OMP	OMP	pH effects on population growth phenotype	yes	METPO:1003000	pH growth preference	object_via_metpo_class	pH growth; pH maximum; pH minimum (+1 more)			xref_confirmed
OMP:0005009	OMP	OMP	acidophile	yes	METPO:1003002; METPO:1003003; METPO:1003005; METPO:1003007; METPO:1003009	alkaphilic; acidophilic; facultatively alkaphilic; facultatively acidophilic; alkalotolerant	object_via_metpo_class	acidophilic			xref_confirmed
OMP:0005013	OMP	OMP	solute and water activity effects on population growth phenotype	no			object_via_metpo_class	salinity growth; salinity maximum; salinity minimum (+1 more)	METPO:1000629	halophily preference	semantic_broader	salinity/water activity phenotype maps to halophily preference
OMP:0005117	OMP	OMP	presence of hemolysis	no			object_via_metpo_class	presence of hemolysis			gap	no METPO class for hemolysis
PATO:0001455	PATO	PATO	aerobic	no			qualifier	aerobic growth; aerobic growth: chemoheterotrophy; aerobic growth: anoxygenic phototrophy (+18 more)	METPO:1000602	aerobic	exact_label	used as oxygen condition qualifier
PATO:0001456	PATO	PATO	anaerobic	no			qualifier	anaerobic growth in the dark; anaerobic growth with light; anaerobic growth (+38 more)	METPO:1000603	anaerobic	exact_label	used as oxygen condition qualifier
SIO:001276	SIO	SIO	coding sequence	no			not_for_trait_edges	coding density			not_applicable	genomic feature annotation
SNOMED:111132001	SNOMED	SNOMED CT	Nitrous oxide	no			object	denitrification: nitrous oxide			not_needed	chemical entity; serves directly as object in KGX edges
SNOMED:258755000	SNOMED	SNOMED CT	Percentage of total	no			not_for_trait_edges	coding density			not_applicable	generic measurement concept
SNOMED:34862004	SNOMED	SNOMED CT	Aromatic hydrocarbon	no			object	degradation: aromatic hydrocarbon			not_needed	chemical class; serves directly as object in KGX edges
SNOMED:405662005	SNOMED	SNOMED CT	Required property	no			classifier	required for growth; required for growth: 4-aminobenzoate; required for growth: acetate (+24 more)			predicate_handles	METPO:2000018 requires for growth
SNOMED:409550005	SNOMED	SNOMED CT	MacConkey agar	no			object	growth: MacConkey agar	METPO:1004005	growth medium	semantic_broader	specific growth medium instance
SNOMED:413748004	SNOMED	SNOMED CT	Capnophilic bacteria	no			object_via_metpo_class	capnophilic			gap	CO2 requirement phenotype; nearest: METPO:1000601 oxygen preference hierarchy
SNOMED:424017009	SNOMED	SNOMED CT	Enzyme activity finding	no			classifier	enzyme activity; enzyme activity: 2-nitrophenyl beta-D-galactopyranoside (EC3.2.1.52); enzyme activity: 4-nitrophenyl beta-D-galactopyranoside (EC3.2.1.52) (+130 more)	METPO:2000301	enzyme activity analyzed	semantic_equivalent	METPO property handles enzyme activity classification
SNOMED:5894006	SNOMED	SNOMED CT	Methyl red test	no			classifier	methyl red test			gap	biochemical assay; no METPO class
SNOMED:66592006	SNOMED	SNOMED CT	Voges Proskauer test	no			classifier	voges-proskauer test			gap	biochemical assay; no METPO class
UPa_UPA00640	UPa	UniPathway	methane metabolism	no			object_or_classifier	produces: methane from CO2	METPO:1000844	Methanogenesis	semantic_related	methane metabolism is broader than methanogenesis
gene	gene	gene (literal)		no			not_for_trait_edges	estimated gene count; gene count			not_in_scope	literal string, not ontology term
inbio:000022	inbio	InBio	pathogenicity	no			not_for_trait_edges	generalism_score; generalist	METPO:1004000	pathogenic to host	semantic_related	pathogenicity concept exists in METPO
mesh:D001482	mesh	MeSH	Base Composition	no			not_for_trait_edges	GC percentage	METPO:1000127	GC content	semantic_related	base composition relates to GC content
mesh:D014644	mesh	MeSH	Genetic Variation	no			not_for_trait_edges	intra_species_nucleotide_diversity			not_applicable
mesh:D059646	mesh	MeSH	Genome Size	no			not_for_trait_edges	coding density			not_applicable
