# curie_map:
#   METPO: https://w3id.org/metpo/
#   metatraits: https://metatraits.embl.de/traits#
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: metatraits-metpo-curie-join-2026-02-12
# mapping_date: 2026-02-12
# mapping_tool: metpo/scripts/curie_join_metatraits.py
# mapping_tool_version: 0.2.0
# mapping_provider: https://github.com/berkeleybop/metpo
# license: https://creativecommons.org/publicdomain/zero/1.0/
# comment: CURIE-based join (no fuzzy matching). Composed traits use two-part model: process (METPO) + substrate (CHEBI).
#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	subject_source	object_source	comment
metatraits:aerobic-catabolization-4-hydroxybutyrate	aerobic catabolization: 4-hydroxybutyrate	skos:closeMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: 4-hydroxybutyrate (CHEBI:16724)
metatraits:aerobic-catabolization-acetate	aerobic catabolization: acetate	skos:closeMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: acetate (CHEBI:30089)
metatraits:aerobic-catabolization-acetate	aerobic catabolization: acetate	skos:closeMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: acetate (CHEBI:30089)
metatraits:aerobic-catabolization-alpha-d-glucose	aerobic catabolization: alpha-D-glucose	skos:closeMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: alpha-D-glucose (CHEBI:17925)
metatraits:aerobic-catabolization-alpha-d-glucose	aerobic catabolization: alpha-D-glucose	skos:closeMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: alpha-D-glucose (CHEBI:17925)
metatraits:aerobic-catabolization-cellobiose	aerobic catabolization: cellobiose	skos:closeMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: cellobiose (CHEBI:17057)
metatraits:aerobic-catabolization-cellobiose	aerobic catabolization: cellobiose	skos:closeMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: cellobiose (CHEBI:17057)
metatraits:aerobic-catabolization-cis-aconitate	aerobic catabolization: cis-aconitate	skos:closeMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: cis-aconitate (CHEBI:16383)
metatraits:aerobic-catabolization-cis-aconitate	aerobic catabolization: cis-aconitate	skos:closeMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: cis-aconitate (CHEBI:16383)
metatraits:aerobic-catabolization-d-fructose	aerobic catabolization: D-fructose	skos:closeMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: D-fructose (CHEBI:15824)
metatraits:aerobic-catabolization-d-fructose	aerobic catabolization: D-fructose	skos:closeMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: D-fructose (CHEBI:15824)
metatraits:aerobic-catabolization-d-galactose	aerobic catabolization: D-galactose	skos:closeMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: D-galactose (CHEBI:12936)
metatraits:aerobic-catabolization-d-galactose	aerobic catabolization: D-galactose	skos:closeMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: D-galactose (CHEBI:12936)
metatraits:aerobic-catabolization-dihydrogen	aerobic catabolization: dihydrogen	skos:closeMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: dihydrogen (CHEBI:18276)
metatraits:aerobic-catabolization-dihydrogen	aerobic catabolization: dihydrogen	skos:closeMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: dihydrogen (CHEBI:18276)
metatraits:aerobic-catabolization-quinic-acid	aerobic catabolization: (-)-quinic acid	skos:closeMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: (-)-quinic acid (CHEBI:17521)
metatraits:aerobic-catabolization-quinic-acid	aerobic catabolization: (-)-quinic acid	skos:closeMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: (-)-quinic acid (CHEBI:17521)
metatraits:aerobic-growth-anoxygenic-phototrophy	aerobic growth: anoxygenic phototrophy	skos:closeMatch	METPO:1000657	photoheterotrophic	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: ECOCORE:00000131 | Substrate: anoxygenic phototrophy ()
metatraits:aerobic-growth-chemoheterotrophy	aerobic growth: chemoheterotrophy	skos:closeMatch	METPO:1000636	chemoheterotrophic	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: ECOCORE:00000132 | Substrate: chemoheterotrophy ()
metatraits:aerotolerant	aerotolerant	skos:closeMatch	METPO:1000609	aerotolerant	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: MICRO:0000502
metatraits:anaerobic-catabolization	anaerobic catabolization	skos:closeMatch	METPO:1000802	Anaerobic respiration	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: GO:0009061
metatraits:anaerobic-catabolization-acetate	anaerobic catabolization: acetate	skos:closeMatch	METPO:1000802	Anaerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009061 | Substrate: acetate (CHEBI:30089)
metatraits:anaerobic-catabolization-cellobiose	anaerobic catabolization: cellobiose	skos:closeMatch	METPO:1000802	Anaerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009061 | Substrate: cellobiose (CHEBI:17057)
metatraits:anaerobic-catabolization-d-arabinose	anaerobic catabolization: D-arabinose	skos:closeMatch	METPO:1000802	Anaerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009061 | Substrate: D-arabinose (CHEBI:17108)
metatraits:anaerobic-catabolization-d-fructose	anaerobic catabolization: D-fructose	skos:closeMatch	METPO:1000802	Anaerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009061 | Substrate: D-fructose (CHEBI:15824)
metatraits:builds-base-from	builds base from	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.5	metatraits	METPO	Generic CURIE fallback: GO:0008152
metatraits:builds-gas-from	builds gas from	skos:relatedMatch	METPO:1000060	metabolism	semapv:MappingChaining	0.5	metatraits	METPO	Generic CURIE fallback: GO:0008152
metatraits:cell-shape	cell shape	skos:closeMatch	METPO:1000666	cell shape	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: OMP:0000073
metatraits:facultative-anaerobe	facultative anaerobe	skos:closeMatch	METPO:1000605	facultatively anaerobic	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: OMP:0000087
metatraits:facultative-anaerobe	facultative anaerobe	skos:closeMatch	METPO:1000608	facultatively aerobic	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: OMP:0000087
metatraits:facultative-anaerobe	facultative anaerobe	skos:closeMatch	METPO:1000610	microaerotolerant	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: OMP:0000087
metatraits:facultative-anaerobe	facultative anaerobe	skos:closeMatch	METPO:1000612	facultative oxygen preference	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: OMP:0000087
metatraits:fermentation	fermentation	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: GO:0006113
metatraits:fermentation-1-2-propandiol	fermentation: 1,2-propandiol	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: 1,2-propandiol (CHEBI:16997)
metatraits:fermentation-2-d-lactose	fermentation: (2)-D-lactose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: (2)-D-lactose ()
metatraits:fermentation-2-dehydro-d-gluconate	fermentation: 2-dehydro-D-gluconate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: 2-dehydro-D-gluconate (CHEBI:16808)
metatraits:fermentation-2-oxogluconate	fermentation: 2-oxogluconate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: 2-oxogluconate ()
metatraits:fermentation-2-oxoglutarate	fermentation: 2-oxoglutarate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: 2-oxoglutarate (CHEBI:30916)
metatraits:fermentation-3-o-methyl-alpha-d-glucopyranoside	fermentation: 3-O-methyl alpha-D-glucopyranoside	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: 3-O-methyl alpha-D-glucopyranoside ()
metatraits:fermentation-4-nitrophenyl-beta-d-galactopyranoside	fermentation: 4-nitrophenyl beta-D-galactopyranoside	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: 4-nitrophenyl beta-D-galactopyranoside (CHEBI:355715)
metatraits:fermentation-5-dehydro-d-gluconate	fermentation: 5-dehydro-D-gluconate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: 5-dehydro-D-gluconate (CHEBI:58143)
metatraits:fermentation-acetate	fermentation: acetate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: acetate (CHEBI:30089)
metatraits:fermentation-adipate	fermentation: adipate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: adipate (CHEBI:17128)
metatraits:fermentation-agarose	fermentation: agarose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: agarose (CHEBI:2511)
metatraits:fermentation-alginate	fermentation: alginate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: alginate (CHEBI:58187)
metatraits:fermentation-amygdalin	fermentation: amygdalin	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: amygdalin (CHEBI:27613)
metatraits:fermentation-arabinitol	fermentation: arabinitol	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: arabinitol (CHEBI:22605)
metatraits:fermentation-arabinogalactan	fermentation: arabinogalactan	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: arabinogalactan (CHEBI:27569)
metatraits:fermentation-arabinose	fermentation: arabinose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: arabinose (CHEBI:22599)
metatraits:fermentation-arbutin	fermentation: arbutin	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: arbutin (CHEBI:18305)
metatraits:fermentation-arginine	fermentation: arginine	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: arginine (CHEBI:29016)
metatraits:fermentation-aspartate	fermentation: aspartate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: aspartate (CHEBI:35391)
metatraits:fermentation-beef-extract	fermentation: beef extract	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: beef extract ()
metatraits:fermentation-beta-d-glucose	fermentation: beta-d-glucose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: beta-d-glucose (CHEBI:15903)
metatraits:fermentation-betaine	fermentation: betaine	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: betaine (CHEBI:17750)
metatraits:fermentation-butanol	fermentation: butanol	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: butanol (CHEBI:28885)
metatraits:fermentation-carbon-monoxide	fermentation: carbon monoxide	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: carbon monoxide (CHEBI:17245)
metatraits:fermentation-carboxymethylcellulose	fermentation: carboxymethylcellulose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: carboxymethylcellulose (CHEBI:85146)
metatraits:fermentation-casamino-acids	fermentation: casamino acids	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: casamino acids ()
metatraits:fermentation-casein-hydrolysate	fermentation: casein hydrolysate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: casein hydrolysate ()
metatraits:fermentation-cellobiose	fermentation: cellobiose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: cellobiose (CHEBI:17057)
metatraits:fermentation-cellotetraose	fermentation: cellotetraose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: cellotetraose (CHEBI:62974)
metatraits:fermentation-cellotriose	fermentation: cellotriose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: cellotriose (CHEBI:3528)
metatraits:fermentation-cellulose	fermentation: cellulose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: cellulose (CHEBI:62968)
metatraits:fermentation-chitin	fermentation: chitin	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: chitin (CHEBI:17029)
metatraits:fermentation-choline	fermentation: choline	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: choline (CHEBI:15354)
metatraits:fermentation-citrate	fermentation: citrate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: citrate (CHEBI:16947)
metatraits:fermentation-crotonate	fermentation: crotonate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: crotonate (CHEBI:35899)
metatraits:fermentation-cysteine	fermentation: cysteine	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: cysteine (CHEBI:15356)
metatraits:fermentation-d-arabinose	fermentation: D-arabinose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-arabinose (CHEBI:17108)
metatraits:fermentation-d-arabitol	fermentation: D-arabitol	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-arabitol (CHEBI:18333)
metatraits:fermentation-d-fructose	fermentation: D-fructose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-fructose (CHEBI:15824)
metatraits:fermentation-d-fucose	fermentation: D-fucose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-fucose (CHEBI:28847)
metatraits:fermentation-d-galactose	fermentation: D-galactose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-galactose (CHEBI:12936)
metatraits:fermentation-d-galacturonic-acid	fermentation: D-galacturonic acid	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-galacturonic acid (CHEBI:18024)
metatraits:fermentation-d-glucose	fermentation: D-glucose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-glucose (CHEBI:17634)
metatraits:fermentation-d-lyxose	fermentation: D-lyxose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-lyxose (CHEBI:62318)
metatraits:fermentation-d-mannitol	fermentation: D-mannitol	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-mannitol (CHEBI:16899)
metatraits:fermentation-d-mannose	fermentation: D-mannose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-mannose (CHEBI:16024)
metatraits:fermentation-d-rhamnose	fermentation: D-rhamnose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-rhamnose (CHEBI:63150)
metatraits:fermentation-d-ribose	fermentation: D-ribose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-ribose (CHEBI:16988)
metatraits:fermentation-d-sorbitol	fermentation: D-sorbitol	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-sorbitol (CHEBI:17924)
metatraits:fermentation-d-xylose	fermentation: D-xylose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: D-xylose (CHEBI:65327)
metatraits:fermentation-decanoate	fermentation: decanoate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: decanoate (CHEBI:27689)
metatraits:fermentation-dextrin	fermentation: dextrin	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: dextrin (CHEBI:23652)
metatraits:fermentation-dihydrogen	fermentation: dihydrogen	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: dihydrogen (CHEBI:18276)
metatraits:fermentation-erythritol	fermentation: erythritol	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: erythritol (CHEBI:17113)
metatraits:fermentation-esculin	fermentation: esculin	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: esculin (CHEBI:4853)
metatraits:fermentation-ethanol	fermentation: ethanol	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: ethanol (CHEBI:16236)
metatraits:fermentation-formate	fermentation: formate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: formate (CHEBI:15740)
metatraits:fermentation-fructose	fermentation: fructose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: fructose (CHEBI:28757)
metatraits:fermentation-fucose	fermentation: fucose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: fucose (CHEBI:33984)
metatraits:fermentation-fumarate	fermentation: fumarate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: fumarate (CHEBI:29806)
metatraits:fermentation-galactitol	fermentation: galactitol	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: galactitol (CHEBI:16813)
metatraits:fermentation-galactose	fermentation: galactose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: galactose (CHEBI:28260)
metatraits:fermentation-gelatin	fermentation: gelatin	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: gelatin (CHEBI:5291)
metatraits:fermentation-gentiobiose	fermentation: gentiobiose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: gentiobiose (CHEBI:28066)
metatraits:fermentation-gluconate	fermentation: gluconate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: gluconate (CHEBI:24265)
metatraits:fermentation-glucosamine	fermentation: glucosamine	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: glucosamine (CHEBI:5417)
metatraits:fermentation-glucose	fermentation: glucose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: glucose (CHEBI:17234)
metatraits:fermentation-glycerol	fermentation: glycerol	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: glycerol (CHEBI:17754)
metatraits:fermentation-glycine	fermentation: glycine	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: glycine (CHEBI:15428)
metatraits:fermentation-glycogen	fermentation: glycogen	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: glycogen (CHEBI:28087)
metatraits:fermentation-hippurate	fermentation: hippurate	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: hippurate (CHEBI:606565)
metatraits:fermentation-histidine	fermentation: histidine	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: histidine (CHEBI:27570)
metatraits:fermentation-indole	fermentation: indole	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: indole (CHEBI:35581)
metatraits:fermentation-inositol	fermentation: inositol	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: inositol (CHEBI:17268)
metatraits:fermentation-inulin	fermentation: inulin	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: inulin (CHEBI:15443)
metatraits:fermentation-inuline	fermentation: inuline	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: inuline (CHEBI:2759)
metatraits:fermentation-l-arabinose	fermentation: L-arabinose	skos:closeMatch	METPO:1002005	Fermentation	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0006113 | Substrate: L-arabinose (CHEBI:30849)
