card_id	name	type	ontology_curies	ontology_urls	description
obligate-aerobic	obligate aerobic	boolean	OMP:0000185	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000185	A microbial phenotype that describes a microorganism that requires the presence of oxygen gas (O2) for growth.
obligate-anaerobic	obligate anaerobic	boolean	OMP:0000184	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000184	A microbial phenotype that describes a microorganism that does not grow in the presence of oxygen gas (O2).
oxygen-preference	oxygen preference	factor	MICRO:0000491	https://www.ebi.ac.uk/ols/ontologies/micro/terms?obo_id=MICRO%3A0000491	The metabolic quality of a microorganism with respect to its relationship to oxygen.
capnophilic	capnophilic	boolean	SNOMED:413748004	https://www.ebi.ac.uk/ols/ontologies/snomed/terms?obo_id=SNOMED%3A413748004	Capnophilic bacteria
ph-growth	pH growth	pH	OMP:0005008	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005008	A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.
ph-maximum	pH maximum	pH	OMP:0005008	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005008	A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.
ph-minimum	pH minimum	pH	OMP:0005008	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005008	A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.
ph-preference	pH preference	factor	OMP:0005008	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005008	A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.
presence-of-hemolysis	presence of hemolysis	factor	OMP:0005117	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005117	A hemolysis test phenotype where a cell or cells causes hemolysis.
presence-of-motility	presence of motility	boolean	OMP:0000005	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000005	A motility phenotype where a microbe possesses the ability to perform controlled self-propelled movement that results in translocation from one place to another.
psychrophilic	psychrophilic	boolean	MICRO:0001306	https://www.ebi.ac.uk/ols/ontologies/micro/terms?obo_id=MICRO%3A0001306	Temperature optimum quality, where growth rates at depressed temperatures (&lt;20˚C) are higher than growth rates at ambient temperatures.
salinity-growth	salinity growth	% NaCl (w/v)	OMP:0005013	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005013	A population growth range phenotype related to how growth of a microbial population is affected by the concentration of solutes (water activity) in the environment.
salinity-maximum	salinity maximum	% NaCl (w/v)	OMP:0005013	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005013	A population growth range phenotype related to how growth of a microbial population is affected by the concentration of solutes (water activity) in the environment.
salinity-minimum	salinity minimum	% NaCl (w/v)	OMP:0005013	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005013	A population growth range phenotype related to how growth of a microbial population is affected by the concentration of solutes (water activity) in the environment.
salinity-preference	salinity preference	factor	OMP:0005013	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005013	A population growth range phenotype related to how growth of a microbial population is affected by the concentration of solutes (water activity) in the environment.
sporulation	sporulation	boolean	GO:0043934	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0043934	The process whose specific outcome is the progression of a spore over time, from its initiation to the mature structure. A spore is a structure that can be used for dissemination, for survival of adverse conditions because of its heat and desiccation resistance, and/or for reproduction.
temperature-growth	temperature growth	Celsius	OMP:0005002	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005002	A population growth range phenotype related to how growth of a microbial population is affected by the temperature of the environment.
temperature-maximum	temperature maximum	Celsius	OMP:0005002	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005002	A population growth range phenotype related to how growth of a microbial population is affected by the temperature of the environment.
temperature-minimum	temperature minimum	Celsius	OMP:0005002	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005002	A population growth range phenotype related to how growth of a microbial population is affected by the temperature of the environment.
temperature-preference	temperature preference	factor	OMP:0005002	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005002	A population growth range phenotype related to how growth of a microbial population is affected by the temperature of the environment.
thermophilic	thermophilic	boolean	MICRO:0000118	https://www.ebi.ac.uk/ols/ontologies/micro/terms?obo_id=MICRO%3A0000118	Temperature optimum quality, where growth rates at elevated temperatures (40-85˚C) are higher than growth rates at ambient temperatures.
voges-proskauer-test	voges-proskauer test	boolean	SNOMED:66592006	https://www.ebi.ac.uk/ols/ontologies/snomed/terms?obo_id=SNOMED%3A66592006	Voges Proskauer test (procedure)
aerobic-catabolization	aerobic catabolization	boolean	GO:0009060	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009060	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.
aerobic-growth	aerobic growth	boolean	GO:0040007; PATO:0001455	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455	The increase in size or mass of an entire organism, a part of an organism or a cell.
anaerobic-catabolization	anaerobic catabolization	boolean	GO:0009061	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009061	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which uses compounds other than oxygen (e.g. nitrate, sulfate) as the terminal electron acceptor.
anaerobic-growth-in-the-dark	anaerobic growth in the dark	boolean	GO:0040007; PATO:0001456; FBcv:0007038	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001456; https://www.ebi.ac.uk/ols4/ontologies/fbcv/classes?obo_id=FBcv%3A0007038	The increase in size or mass of an entire organism, a part of an organism or a cell.
anaerobic-growth-with-light	anaerobic growth with light	boolean	GO:0040007; PATO:0001456; FBcv:0007038	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001456; https://www.ebi.ac.uk/ols4/ontologies/fbcv/classes?obo_id=FBcv%3A0007038	The increase in size or mass of an entire organism, a part of an organism or a cell.
anaerobic-growth	anaerobic growth	boolean	GO:0040007; PATO:0001456	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001456	The increase in size or mass of an entire organism, a part of an organism or a cell.
assimilation	assimilation	boolean	GO:0009058	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
builds-acid-from	builds acid from	boolean	GO:0016053	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0016053	The chemical reactions and pathways resulting in the formation of organic acids, any acidic compound containing carbon in covalent linkage.
builds-base-from	builds base from	boolean	GO:0008152	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0008152	A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well macromolecular processes such as DNA repair and replication, protein synthesis and degradation.
builds-gas-from	builds gas from	boolean	GO:0008152	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0008152	A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well macromolecular processes such as DNA repair and replication, protein synthesis and degradation.
carbon-source	carbon source	boolean	GO:0015976	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0015976	A series of processes that forms an integrated mechanism by which a cell or an organism detects the depletion of primary carbon sources and then activates genes to scavenge the last traces of the primary carbon source and to transport and metabolize alternative carbon sources such as carbon dioxide or carbonic acid. The utilization process begins when the cell or organism detects carbon levels, includes the activation of genes whose products detect, transport or metabolize carbon-containing substances, and ends when carbon is incorporated into the cell or organism&#39;s metabolism.
degradation	degradation	boolean	GO:0009056	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
electron-acceptor	electron acceptor	boolean	CHEBI:17654	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654	A substance to which an electron may be transferred.
electron-donor	electron donor	boolean	CHEBI:15022	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A15022	A molecular entity that can transfer an electron to another molecular entity.
energy-source	energy source	boolean	GO:0015980	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0015980	The chemical reactions and pathways by which a cell derives energy from organic compounds
fermentation	fermentation	boolean	GO:0006113	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0006113	The catabolic process that includes oxidation-reduction reactions for the generation of adenosine triphosphate (ATP) and primarily uses organic compounds as both electron donors and acceptors, without consumption of oxygen.
growth	growth	boolean	GO:0040007	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007	The increase in size or mass of an entire organism, a part of an organism or a cell.
hydrolysis	hydrolysis	boolean	GO:0016787	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0016787	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc.
nitrogen-source	nitrogen source	boolean	GO:0019740	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0019740	A series of processes that forms an integrated mechanism by which a cell or an organism detects the depletion of primary nitrogen source, usually ammonia, and then activates genes to scavenge the last traces of the primary nitrogen source and to transport and metabolize alternative nitrogen sources. The utilization process begins when the cell or organism detects nitrogen levels, includes the activation of genes whose products detect, transport or metabolize nitrogen-containing substances, and ends when nitrogen is incorporated into the cell or organism&#39;s metabolism.
oxidation	oxidation	boolean	GO:0055114	https://www.ebi.ac.uk/ols4/ontologies/micro/classes?obo_id=GO%3A0055114	A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.
produces	produces	boolean	GO:0009058	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
reduction	reduction	boolean	GO:0055114	https://www.ebi.ac.uk/ols4/ontologies/micro/classes?obo_id=GO%3A0055114	A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.
required-for-growth	required for growth	boolean	CHEBI:33284; SNOMED:405662005	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A33284; https://www.ebi.ac.uk/ols/ontologies/snomed/terms?obo_id=SNOMED%3A405662005	A nutrient is a food component that an organism uses to survive and grow.
respiration	respiration	boolean	GO:0045333	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0045333	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration).
sulfur-source	sulfur source	boolean	GO:0006791	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0006791	A series of processes that forms an integrated mechanism by which a cell or an organism detects the depletion of primary sulfur sources and then activates genes to scavenge the last traces of the primary sulfur source and to transport and metabolize alternate sulfur sources. The utilization process begins when the cell or organism detects sulfur levels, includes the activation of genes whose products detect, transport or metabolize sulfur-containing compounds, and ends when the sulfur is incorporated into the cell or organism&#39;s metabolism.
utilizes	utilizes	boolean	GO:0008152	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0008152	A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well macromolecular processes such as DNA repair and replication, protein synthesis and degradation.
aerobic-catabolization-quinic-acid	aerobic catabolization: (-)-quinic acid	boolean	GO:0009060; CHEBI:17521	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009060; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17521	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.
aerobic-catabolization-2-oxoglutarate	aerobic catabolization: 2-oxoglutarate	boolean	GO:0009060; CHEBI:30916	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009060; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30916	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.
aerobic-catabolization-4-hydroxybutyrate	aerobic catabolization: 4-hydroxybutyrate	boolean	GO:0009060; CHEBI:16724	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009060; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16724	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.
aerobic-catabolization-acetate	aerobic catabolization: acetate	boolean	GO:0009060; CHEBI:30089	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009060; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30089	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.
aerobic-catabolization-alpha-d-glucose	aerobic catabolization: alpha-D-glucose	boolean	GO:0009060; CHEBI:17925	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009060; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17925	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.
aerobic-catabolization-cellobiose	aerobic catabolization: cellobiose	boolean	GO:0009060; CHEBI:17057	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009060; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17057	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.
aerobic-catabolization-cis-aconitate	aerobic catabolization: cis-aconitate	boolean	GO:0009060; CHEBI:16383	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009060; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16383	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.
aerobic-catabolization-d-fructose	aerobic catabolization: D-fructose	boolean	GO:0009060; CHEBI:15824	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009060; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15824	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.
aerobic-catabolization-d-galactose	aerobic catabolization: D-galactose	boolean	GO:0009060; CHEBI:12936	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009060; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:12936	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.
aerobic-catabolization-dihydrogen	aerobic catabolization: dihydrogen	boolean	GO:0009060; CHEBI:18276	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009060; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18276	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.
aerobic-growth-chemoheterotrophy	aerobic growth: chemoheterotrophy	boolean	GO:0040007; PATO:0001455; ECOCORE:00000132	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/ols/ontologies/ecocore/terms?obo_id=ECOCORE%3A00000132	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-anoxygenic-phototrophy	aerobic growth: anoxygenic phototrophy	boolean	GO:0040007; PATO:0001455; ECOCORE:00000131	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/ols/ontologies/ecocore/terms?obo_id=ECOCORE%3A00000131	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-l-ornithine	aerobic growth: (+)-L-ornithine	boolean	GO:0040007; PATO:0001455; CHEBI:15729	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15729	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-acetate	aerobic growth: acetate	boolean	GO:0040007; PATO:0001455; CHEBI:30089	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30089	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-acetic-acid	aerobic growth: acetic acid	boolean	GO:0040007; PATO:0001455; CHEBI:16411	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16411	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-adipate	aerobic growth: adipate	boolean	GO:0040007; PATO:0001455; CHEBI:17128	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17128	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-alginate	aerobic growth: alginate	boolean	GO:0040007; PATO:0001455; CHEBI:58187	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58187	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-alpha-d-glucose	aerobic growth: alpha-D-glucose	boolean	GO:0040007; PATO:0001455; CHEBI:17925	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17925	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-arabinose	aerobic growth: arabinose	boolean	GO:0040007; PATO:0001455; CHEBI:22599	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:22599	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-aspartate	aerobic growth: aspartate	boolean	GO:0040007; PATO:0001455; CHEBI:35391	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35391	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-butyrate	aerobic growth: butyrate	boolean	GO:0040007; PATO:0001455; CHEBI:17968	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17968	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-casamino-acids	aerobic growth: casamino acids	boolean	GO:0040007; PATO:0001455	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-casein-hydrolysate	aerobic growth: casein hydrolysate	boolean	GO:0040007; PATO:0001455	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455	The increase in size or mass of an entire organism, a part of an organism or a cell.
aerobic-growth-cellobiose	aerobic growth: cellobiose	boolean	GO:0040007; PATO:0001455; CHEBI:17057	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0040007; https://www.ebi.ac.uk/ols/ontologies/pato/terms?obo_id=PATO%3A0001455; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17057	The increase in size or mass of an entire organism, a part of an organism or a cell.
